tag,arm,N,seed,run_kind,W_total,hashes_per_block,W_unique_exact_secondary,exact_duplicates_secondary
pilot,ND-PW,100,13119598877139152285,physical,234000000000000000000,1.6714285714285713e+19,234000000000000000000,0
pilot,ND-PW-OFFSET,100,13119598877139152285,physical,234000000000000000000,1.6714285714285713e+19,234000000000000000000,0
pilot,ND-PC,100,13119598877139152285,physical,233999999782070517768,1.6714285698719322e+19,233999999782070517768,0
pilot,ND-PC-NOLP,100,13119598877139152285,derived,233999999782070517768,1.6714285698719322e+19,233999999782070517768,0
pilot,ND-PW,100,18045328320792528348,physical,234000000000000000000,1.3e+19,234000000000000000000,0
pilot,ND-PW-OFFSET,100,18045328320792528348,physical,234000000000000000000,1.3e+19,234000000000000000000,0
pilot,ND-PC,100,18045328320792528348,physical,233999999782070517780,1.2999999987892806e+19,233999999782070517780,0
pilot,ND-PC-NOLP,100,18045328320792528348,derived,233999999782070517780,1.2999999987892806e+19,233999999782070517780,0
pilot,ND-PW,300,13119598877139152285,physical,702000000000000000000,5.014285714285715e+19,702000000000000000000,0
pilot,ND-PW-OFFSET,300,13119598877139152285,physical,702000000000000000000,5.014285714285715e+19,702000000000000000000,0
pilot,ND-PC,300,13119598877139152285,physical,701999983001500780376,5.014285592867863e+19,701999983001500780376,0
pilot,ND-PC-NOLP,300,13119598877139152285,derived,701999983001500780376,5.014285592867863e+19,701999983001500780376,0
pilot,ND-PW,300,18045328320792528348,physical,702000000000000000000,3.9e+19,702000000000000000000,0
pilot,ND-PW-OFFSET,300,18045328320792528348,physical,702000000000000000000,3.9e+19,702000000000000000000,0
pilot,ND-PC,300,18045328320792528348,physical,701999983001500780792,3.899999905563893e+19,701999983001500780792,0
pilot,ND-PC-NOLP,300,18045328320792528348,derived,701999983001500780792,3.899999905563893e+19,701999983001500780792,0
pilot,ND-PW,500,13119598877139152285,physical,1170000000000000000000,8.357142857142857e+19,1170000000000000000000,0
pilot,ND-PW-OFFSET,500,13119598877139152285,physical,1170000000000000000000,8.357142857142857e+19,1170000000000000000000,0
pilot,ND-PC,500,13119598877139152285,physical,1169999944427984613684,8.35714246019989e+19,1169999944427984613684,0
pilot,ND-PC-NOLP,500,13119598877139152285,derived,1169999944427984613684,8.35714246019989e+19,1169999944427984613684,0
pilot,ND-PW,500,18045328320792528348,physical,1170000000000000000000,6.5e+19,1170000000000000000000,0
pilot,ND-PW-OFFSET,500,18045328320792528348,physical,1170000000000000000000,6.5e+19,1170000000000000000000,0
pilot,ND-PC,500,18045328320792528348,physical,1169999944427984614296,6.499999691266581e+19,1169999944427984614296,0
pilot,ND-PC-NOLP,500,18045328320792528348,derived,1169999944427984614296,6.499999691266581e+19,1169999944427984614296,0
