tag,arm,N,seed,run_kind,accepted_blocks,closed_rounds,mean_interval_s,median_interval_s,p95_interval_s,blocks_per_hour,stale_blocks
primary,ND-PW,100,467376819415377580,physical,19,20,496.4440449569208,280.2862138582858,1277.5026168824427,6.84,0
primary,ND-PW-OFFSET,100,467376819415377580,physical,19,20,496.4440449569208,280.2862138582858,1277.5026168824427,6.84,0
primary,ND-PC,100,467376819415377580,physical,19,20,496.4440454262718,280.2862142232495,1277.502618122177,6.84,0
primary,ND-PC-NOLP,100,467376819415377580,derived,19,20,496.4440454262718,280.2862142232495,1277.502618122177,6.84,0
primary,ND-PW,100,2704408835578762228,physical,22,23,452.7440419975747,223.75125452440028,886.1041841311712,7.92,0
primary,ND-PW-OFFSET,100,2704408835578762228,physical,22,23,452.7440419975747,223.75125452440028,886.1041841311712,7.92,0
primary,ND-PC,100,2704408835578762228,physical,22,23,452.74404242028453,223.75125476047697,886.1041850063095,7.92,0
primary,ND-PC-NOLP,100,2704408835578762228,derived,22,23,452.74404242028453,223.75125476047697,886.1041850063095,7.92,0
primary,ND-PW,100,11237067994138084197,physical,19,20,423.33566635755875,344.4191348354714,918.324473050019,6.84,0
primary,ND-PW-OFFSET,100,11237067994138084197,physical,19,20,423.33566635755875,344.4191348354714,918.324473050019,6.84,0
primary,ND-PC,100,11237067994138084197,physical,19,20,423.3356667106176,344.4191351395398,918.3244738602666,6.84,0
primary,ND-PC-NOLP,100,11237067994138084197,derived,19,20,423.3356667106176,344.4191351395398,918.3244738602666,6.84,0
primary,ND-PW,100,5926412735843326529,physical,11,12,861.147469416098,611.919973145896,2438.259509811691,3.96,0
primary,ND-PW-OFFSET,100,5926412735843326529,physical,11,12,861.147469416098,611.919973145896,2438.259509811691,3.96,0
primary,ND-PC,100,5926412735843326529,physical,11,12,861.1474702127525,611.9199736860807,2438.259511918636,3.96,0
primary,ND-PC-NOLP,100,5926412735843326529,derived,11,12,861.1474702127525,611.9199736860807,2438.259511918636,3.96,0
primary,ND-PW,100,5192363207272324882,physical,17,18,560.9930395359411,346.2688891034684,1307.771012238232,6.12,0
primary,ND-PW-OFFSET,100,5192363207272324882,physical,17,18,560.9930395359411,346.2688891034684,1307.771012238232,6.12,0
primary,ND-PC,100,5192363207272324882,physical,17,18,560.9930400578082,346.2688893763595,1307.7710134207225,6.12,0
primary,ND-PC-NOLP,100,5192363207272324882,derived,17,18,560.9930400578082,346.2688893763595,1307.7710134207225,6.12,0
primary,ND-PW,100,14936110819278713214,physical,17,18,549.8026235559029,480.87398198695,1115.2176664267581,6.12,0
primary,ND-PW-OFFSET,100,14936110819278713214,physical,17,18,549.8026235559029,480.87398198695,1115.2176664267581,6.12,0
primary,ND-PC,100,14936110819278713214,physical,17,18,549.8026240558967,480.87398243675756,1115.2176673588388,6.12,0
primary,ND-PC-NOLP,100,14936110819278713214,derived,17,18,549.8026240558967,480.87398243675756,1115.2176673588388,6.12,0
primary,ND-PW,100,15027284727339452496,physical,14,15,696.9473070958628,488.26695969640843,1983.8214882433263,5.04,0
primary,ND-PW-OFFSET,100,15027284727339452496,physical,14,15,696.9473070958628,488.26695969640843,1983.8214882433263,5.04,0
primary,ND-PC,100,15027284727339452496,physical,14,15,696.947307752409,488.2669601886794,1983.8214900154337,5.04,0
primary,ND-PC-NOLP,100,15027284727339452496,derived,14,15,696.947307752409,488.2669601886794,1983.8214900154337,5.04,0
primary,ND-PW,100,529132900484142986,physical,13,14,767.1232955240816,422.8988678832091,1473.0207510544328,4.680000000000001,0
primary,ND-PW-OFFSET,100,529132900484142986,physical,13,14,767.1232955240816,422.8988678832091,1473.0207510544328,4.680000000000001,0
primary,ND-PC,100,529132900484142986,physical,13,14,767.123296270783,422.89886839405654,1473.020752430132,4.680000000000001,0
primary,ND-PC-NOLP,100,529132900484142986,derived,13,14,767.123296270783,422.89886839405654,1473.020752430132,4.680000000000001,0
primary,ND-PW,100,8583420154531566926,physical,15,16,648.6922317162754,326.3212257701161,1854.8239849969457,5.4,0
primary,ND-PW-OFFSET,100,8583420154531566926,physical,15,16,648.6922317162754,326.3212257701161,1854.8239849969457,5.4,0
primary,ND-PC,100,8583420154531566926,physical,15,16,648.6922323345675,326.3212261387602,1854.8239866287383,5.4,0
primary,ND-PC-NOLP,100,8583420154531566926,derived,15,16,648.6922323345675,326.3212261387602,1854.8239866287383,5.4,0
primary,ND-PW,100,16465068975321571430,physical,11,12,877.5857571765978,868.0509566380152,1482.2103161678247,3.96,0
primary,ND-PW-OFFSET,100,16465068975321571430,physical,11,12,877.5857571765978,868.0509566380152,1482.2103161678247,3.96,0
primary,ND-PC,100,16465068975321571430,physical,11,12,877.5857579965108,868.0509574325954,1482.2103175173588,3.96,0
primary,ND-PC-NOLP,100,16465068975321571430,derived,11,12,877.5857579965108,868.0509574325954,1482.2103175173588,3.96,0
primary,ND-PW,100,1580318165844385263,physical,12,13,816.3850961682731,521.6514645887836,2302.3477682464363,4.32,0
primary,ND-PW-OFFSET,100,1580318165844385263,physical,12,13,816.3850961682731,521.6514645887836,2302.3477682464363,4.32,0
primary,ND-PC,100,1580318165844385263,physical,12,13,816.3850969106436,521.6514650279005,2302.3477703440044,4.32,0
primary,ND-PC-NOLP,100,1580318165844385263,derived,12,13,816.3850969106436,521.6514650279005,2302.3477703440044,4.32,0
primary,ND-PW,100,860680765458012691,physical,29,30,319.4658429456288,265.6633705919087,635.2833821388942,10.44,0
primary,ND-PW-OFFSET,100,860680765458012691,physical,29,30,319.4658429456288,265.6633705919087,635.2833821388942,10.44,0
primary,ND-PC,100,860680765458012691,physical,29,30,319.4658432415275,265.66337088647117,635.2833828907609,10.44,0
primary,ND-PC-NOLP,100,860680765458012691,derived,29,30,319.4658432415275,265.66337088647117,635.2833828907609,10.44,0
primary,ND-PW,100,405674777376978405,physical,21,22,469.08257050491176,301.9724980606208,739.1219359873684,7.5600000000000005,0
