N,arm,C_nonce_mean,U_nonce_run,rho_nonce_mean,cross_miner_m_max,M_ge2,rho_exact_secondary
100,ND-PW,2.34e+20,4294967296.0,0.9999999999816455,100.0,4294967296.0,0.0
100,ND-PW-OFFSET,2.34e+20,4294967296.0,0.9999999999816455,100.0,4294967296.0,0.0
100,ND-PC,2.3399999978207052e+20,4294967296.0,0.9999999999816455,1.0,0.0,0.0
200,ND-PW,4.68e+20,4294967296.0,0.9999999999908227,200.0,4294967296.0,0.0
200,ND-PW-OFFSET,4.68e+20,4294967296.0,0.9999999999908227,200.0,4294967296.0,0.0
200,ND-PC,4.679999886676672e+20,4294967296.0,0.9999999999908227,1.0,0.0,0.0
300,ND-PW,7.02e+20,4294967296.0,0.9999999999938818,300.0,4294967296.0,0.0
300,ND-PW-OFFSET,7.02e+20,4294967296.0,0.9999999999938818,300.0,4294967296.0,0.0
300,ND-PC,7.019999830015008e+20,4294967296.0,0.9999999999938818,1.0,0.0,0.0
400,ND-PW,9.36e+20,4294967296.0,0.9999999999954113,400.0,4294967296.0,0.0
400,ND-PW-OFFSET,9.36e+20,4294967296.0,0.9999999999954113,400.0,4294967296.0,0.0
400,ND-PC,9.35999933749442e+20,4294967296.0,0.9999999999954113,1.0,0.0,0.0
500,ND-PW,1.17e+21,4294967296.0,0.999999999996329,500.0,4294967296.0,0.0
500,ND-PW-OFFSET,1.17e+21,4294967296.0,0.999999999996329,500.0,4294967296.0,0.0
500,ND-PC,1.1699999444279847e+21,4294967296.0,0.999999999996329,1.0,0.0,0.0
