N,arm,F_low_mean,F_low_predicted,T_low_s_mean,T_active_s_mean
100,ND-PW,0.0,0.0,0.0,1000000.0
100,ND-PW-OFFSET,0.0,0.0,0.0,1000000.0
100,ND-PC,9.313225735937322e-10,9.313225737481168e-10,0.0009313225735937322,999999.9990686774
100,ND-PC-NOLP,0.0,0.0,0.0,1000000.0
200,ND-PW,0.0,0.0,0.0,2000000.0
200,ND-PW-OFFSET,0.0,0.0,0.0,2000000.0
200,ND-PC,2.421438635162963e-08,2.421438635366592e-08,0.04842877270325926,1999999.9515712273
200,ND-PC-NOLP,0.0,0.0,0.0,2000000.0
300,ND-PW,0.0,0.0,0.0,3000000.0
300,ND-PW-OFFSET,0.0,0.0,0.0,3000000.0
300,ND-PC,2.421438635222716e-08,2.421438635366592e-08,0.07264315905668148,2999999.927356841
300,ND-PC-NOLP,0.0,0.0,0.0,3000000.0
400,ND-PW,0.0,0.0,0.0,4000000.0
400,ND-PW-OFFSET,0.0,0.0,0.0,4000000.0
400,ND-PC,7.078051065783305e-08,7.078051066089533e-08,0.28312204263133217,3999999.7168779573
400,ND-PC-NOLP,0.0,0.0,0.0,4000000.0
500,ND-PW,0.0,0.0,0.0,5000000.0
500,ND-PW-OFFSET,0.0,0.0,0.0,5000000.0
500,ND-PC,4.7497449047772995e-08,4.749744904938163e-08,0.23748724523886497,4999999.762512755
500,ND-PC-NOLP,0.0,0.0,0.0,5000000.0
