N,arm,alpha_case,energy_kWh_mean,saving_vs_ND_PW_mean
100,ND-PW,LP0,975.0,0.0
100,ND-PW,LP10,975.0,0.0
100,ND-PW,LP25,975.0,0.0
100,ND-PW,LP50,975.0,0.0
100,ND-PW-OFFSET,LP0,975.0,0.0
100,ND-PW-OFFSET,LP10,975.0,0.0
100,ND-PW-OFFSET,LP25,975.0,0.0
100,ND-PW-OFFSET,LP50,975.0,0.0
100,ND-PC,LP0,974.9999990919605,9.313225746154785e-10
100,ND-PC,LP10,974.9999991827644,8.381902949494702e-10
100,ND-PC,LP25,974.9999993189703,6.984920419839113e-10
100,ND-PC,LP50,974.9999995459802,4.656612873077393e-10
100,ND-PC-NOLP,LP0,975.0,0.0
100,ND-PC-NOLP,LP10,975.0,0.0
100,ND-PC-NOLP,LP25,975.0,0.0
100,ND-PC-NOLP,LP50,975.0,0.0
200,ND-PW,LP0,1950.0,0.0
200,ND-PW,LP10,1950.0,0.0
200,ND-PW,LP25,1950.0,0.0
200,ND-PW,LP50,1950.0,0.0
200,ND-PW-OFFSET,LP0,1950.0,0.0
200,ND-PW-OFFSET,LP10,1950.0,0.0
200,ND-PW-OFFSET,LP25,1950.0,0.0
200,ND-PW-OFFSET,LP50,1950.0,0.0
200,ND-PC,LP0,1949.9999527819466,2.4214386273868627e-08
200,ND-PC,LP10,1949.9999575037518,2.1792947779708527e-08
200,ND-PC,LP25,1949.99996458646,1.816078976091262e-08
200,ND-PC,LP50,1949.9999763909732,1.2107193247956616e-08
200,ND-PC-NOLP,LP0,1950.0,0.0
200,ND-PC-NOLP,LP10,1950.0,0.0
200,ND-PC-NOLP,LP25,1950.0,0.0
200,ND-PC-NOLP,LP50,1950.0,0.0
300,ND-PW,LP0,2925.0,0.0
300,ND-PW,LP10,2925.0,0.0
300,ND-PW,LP25,2925.0,0.0
300,ND-PW,LP50,2925.0,0.0
300,ND-PW-OFFSET,LP0,2925.0,0.0
300,ND-PW-OFFSET,LP10,2925.0,0.0
300,ND-PW-OFFSET,LP25,2925.0,0.0
300,ND-PW-OFFSET,LP50,2925.0,0.0
300,ND-PC,LP0,2924.99992917292,2.4214386273868627e-08
300,ND-PC,LP10,2924.999936255628,2.1792947557663922e-08
300,ND-PC,LP25,2924.99994687969,1.816078976091262e-08
300,ND-PC,LP50,2924.99996458646,1.2107193247956616e-08
300,ND-PC-NOLP,LP0,2925.0,0.0
300,ND-PC-NOLP,LP10,2925.0,0.0
300,ND-PC-NOLP,LP25,2925.0,0.0
300,ND-PC-NOLP,LP50,2925.0,0.0
400,ND-PW,LP0,3900.0,0.0
400,ND-PW,LP10,3900.0,0.0
400,ND-PW,LP25,3900.0,0.0
400,ND-PW,LP50,3900.0,0.0
400,ND-PW-OFFSET,LP0,3900.0,0.0
400,ND-PW-OFFSET,LP10,3900.0,0.0
400,ND-PW-OFFSET,LP25,3900.0,0.0
400,ND-PW-OFFSET,LP50,3900.0,0.0
400,ND-PC,LP0,3899.9997239560084,7.078051067477276e-08
400,ND-PC,LP10,3899.9997515604077,6.370245952957987e-08
400,ND-PC,LP25,3899.999792967006,5.308538297832399e-08
400,ND-PC,LP50,3899.9998619780035,3.539025550391983e-08
400,ND-PC-NOLP,LP0,3900.0,0.0
400,ND-PC-NOLP,LP10,3900.0,0.0
400,ND-PC-NOLP,LP25,3900.0,0.0
400,ND-PC-NOLP,LP50,3900.0,0.0
500,ND-PW,LP0,4875.0,0.0
500,ND-PW,LP10,4875.0,0.0
500,ND-PW,LP25,4875.0,0.0
500,ND-PW,LP50,4875.0,0.0
500,ND-PW-OFFSET,LP0,4875.0,0.0
500,ND-PW-OFFSET,LP10,4875.0,0.0
500,ND-PW-OFFSET,LP25,4875.0,0.0
500,ND-PW-OFFSET,LP50,4875.0,0.0
500,ND-PC,LP0,4874.999768449936,4.7497449084943355e-08
500,ND-PC,LP10,4874.999791604942,4.2747704043222257e-08
500,ND-PC,LP25,4874.999826337452,3.5623086813707516e-08
500,ND-PC,LP50,4874.999884224968,2.3748724542471678e-08
500,ND-PC-NOLP,LP0,4875.0,0.0
500,ND-PC-NOLP,LP10,4875.0,0.0
500,ND-PC-NOLP,LP25,4875.0,0.0
500,ND-PC-NOLP,LP50,4875.0,0.0
