N,arm,mean_interval_s,median_interval_s,p95_interval_s,latency_ratio_mean
100,ND-PW,566.2260095496453,401.6454638917324,1346.9319486982306,
100,ND-PW-OFFSET,566.2260095496453,401.6454638917324,1346.9319486982306,1.0
100,ND-PC,566.2260100764698,401.64546428140125,1346.9319499525884,1.0000000009718832
100,ND-PC-NOLP,566.2260100764698,401.64546428140125,1346.9319499525884,1.0000000009718832
200,ND-PW,566.2260095496453,401.6454638917324,1346.9319486982306,
200,ND-PW-OFFSET,566.2260095496453,401.6454638917324,1346.9319486982306,1.0
200,ND-PC,566.2260232593922,401.6454736237611,1346.9319813102327,1.0000000242360576
200,ND-PC-NOLP,566.2260232593922,401.6454736237611,1346.9319813102327,1.0000000242360576
300,ND-PW,566.2260095496453,401.64546389173245,1346.9319486982306,
300,ND-PW-OFFSET,566.2260095496453,401.64546389173245,1346.9319486982306,1.0
300,ND-PC,566.2260232623918,401.64547362172175,1346.9319813173704,1.000000024222193
300,ND-PC-NOLP,566.2260232623918,401.64547362172175,1346.9319813173704,1.000000024222193
400,ND-PW,566.2260095496453,401.6454638917324,1346.9319486982306,
400,ND-PW-OFFSET,566.2260095496453,401.6454638917324,1346.9319486982306,1.0
400,ND-PC,566.2260496268516,401.64549231995255,1346.9320440346983,1.0000000707756123
400,ND-PC-NOLP,566.2260496268516,401.64549231995255,1346.9320440346983,1.0000000707756123
500,ND-PW,566.2260095496454,401.64546389173245,1346.9319486982308,
500,ND-PW-OFFSET,566.2260095496454,401.64546389173245,1346.9319486982308,1.0
500,ND-PC,566.2260364432566,401.64548297040375,1346.9320126776659,1.000000047499073
500,ND-PC-NOLP,566.2260364432566,401.64548297040375,1346.9320126776659,1.000000047499073
