N,arm,alpha_case,energy_per_block_J_mean,energy_per_block_ratio_mean
100,ND-PW,LP0,210958798.46097818,1.0
100,ND-PW,LP50,210958798.46097818,1.0
100,ND-PW-OFFSET,LP0,210958798.46097818,1.0
100,ND-PW-OFFSET,LP50,210958798.46097818,1.0
100,ND-PC,LP0,210958798.2645075,0.9999999990686774
100,ND-PC,LP50,210958798.36274284,0.9999999995343387
100,ND-PC-NOLP,LP0,210958798.46097818,1.0
100,ND-PC-NOLP,LP50,210958798.46097818,1.0
200,ND-PW,LP0,421917596.92195636,1.0
200,ND-PW,LP50,421917596.92195636,1.0
200,ND-PW-OFFSET,LP0,421917596.92195636,1.0
200,ND-PW-OFFSET,LP50,421917596.92195636,1.0
200,ND-PC,LP0,421917586.7054807,0.9999999757856137
200,ND-PC,LP50,421917591.8137185,0.9999999878928069
200,ND-PC-NOLP,LP0,421917596.92195636,1.0
200,ND-PC-NOLP,LP50,421917596.92195636,1.0
300,ND-PW,LP0,632876395.3829346,1.0
300,ND-PW,LP50,632876395.3829346,1.0
300,ND-PW-OFFSET,LP0,632876395.3829346,1.0
300,ND-PW-OFFSET,LP50,632876395.3829346,1.0
300,ND-PC,LP0,632876380.0582211,0.9999999757856137
300,ND-PC,LP50,632876387.7205777,0.9999999878928068
300,ND-PC-NOLP,LP0,632876395.3829346,1.0
300,ND-PC-NOLP,LP50,632876395.3829346,1.0
400,ND-PW,LP0,843835193.8439127,1.0
400,ND-PW,LP50,843835193.8439127,1.0
400,ND-PW-OFFSET,LP0,843835193.8439127,1.0
400,ND-PW-OFFSET,LP50,843835193.8439127,1.0
400,ND-PC,LP0,843835134.1168269,0.9999999292194894
400,ND-PC,LP50,843835163.9803697,0.9999999646097446
400,ND-PC-NOLP,LP0,843835193.8439127,1.0
400,ND-PC-NOLP,LP50,843835193.8439127,1.0
500,ND-PW,LP0,1054793992.304891,1.0
500,ND-PW,LP50,1054793992.304891,1.0
500,ND-PW-OFFSET,LP0,1054793992.304891,1.0
500,ND-PW-OFFSET,LP50,1054793992.304891,1.0
500,ND-PC,LP0,1054793942.204867,0.9999999525025509
500,ND-PC,LP50,1054793967.254879,0.9999999762512755
500,ND-PC-NOLP,LP0,1054793992.304891,1.0
500,ND-PC-NOLP,LP50,1054793992.304891,1.0
