N,arm,W_total_mean,W_unique_exact_secondary,exact_duplicates_secondary
100,ND-PW,2.34e+20,2.34e+20,0.0
100,ND-PW-OFFSET,2.34e+20,2.34e+20,0.0
100,ND-PC,2.3399999978207052e+20,2.3399999978207052e+20,0.0
200,ND-PW,4.68e+20,4.68e+20,0.0
200,ND-PW-OFFSET,4.68e+20,4.68e+20,0.0
200,ND-PC,4.679999886676672e+20,4.679999886676672e+20,0.0
300,ND-PW,7.02e+20,7.02e+20,0.0
300,ND-PW-OFFSET,7.02e+20,7.02e+20,0.0
300,ND-PC,7.019999830015008e+20,7.019999830015008e+20,0.0
400,ND-PW,9.36e+20,9.36e+20,0.0
400,ND-PW-OFFSET,9.36e+20,9.36e+20,0.0
400,ND-PC,9.35999933749442e+20,9.35999933749442e+20,0.0
500,ND-PW,1.17e+21,1.17e+21,0.0
500,ND-PW-OFFSET,1.17e+21,1.17e+21,0.0
500,ND-PC,1.1699999444279847e+21,1.1699999444279847e+21,0.0
