N,arm,metric,mean,median,sd,iqr,ci95_lo,ci95_hi,n
100,ND-PC,block_retention,1.0,1.0,0.0,0.0,1.0,1.0,30
100,ND-PC,latency_ratio,1.0000000009718832,1.0000000009597432,1.51669609484711e-10,2.390008191355264e-10,1.000000000915249,1.0000000010285175,30
100,ND-PC,saving_LP0,9.313225746154785e-10,9.313225746154785e-10,0.0,0.0,9.313225746154785e-10,9.313225746154785e-10,30
100,ND-PC,saving_LP10,8.381902949494702e-10,8.381902949494702e-10,0.0,0.0,8.381902949494702e-10,8.381902949494702e-10,30
100,ND-PC,saving_LP25,6.984920419839113e-10,6.984920419839113e-10,0.0,0.0,6.984920419839113e-10,6.984920419839113e-10,30
100,ND-PC,saving_LP50,4.656612873077393e-10,4.656612873077393e-10,0.0,0.0,4.656612873077393e-10,4.656612873077393e-10,30
100,ND-PC,energy_per_block_ratio_LP0,0.9999999990686774,0.9999999990686774,5.78237968354087e-17,0.0,0.9999999990686774,0.9999999990686774,30
100,ND-PC-NOLP,block_retention,1.0,1.0,0.0,0.0,1.0,1.0,30
100,ND-PC-NOLP,latency_ratio,1.0000000009718832,1.0000000009597432,1.51669609484711e-10,2.390008191355264e-10,1.000000000915249,1.0000000010285175,30
100,ND-PC-NOLP,saving_LP0,0.0,0.0,0.0,0.0,0.0,0.0,30
100,ND-PC-NOLP,saving_LP10,0.0,0.0,0.0,0.0,0.0,0.0,30
100,ND-PC-NOLP,saving_LP25,0.0,0.0,0.0,0.0,0.0,0.0,30
100,ND-PC-NOLP,saving_LP50,0.0,0.0,0.0,0.0,0.0,0.0,30
100,ND-PC-NOLP,energy_per_block_ratio_LP0,1.0,1.0,0.0,0.0,1.0,1.0,30
100,ND-PW-OFFSET,block_retention,1.0,1.0,0.0,0.0,1.0,1.0,30
100,ND-PW-OFFSET,latency_ratio,1.0,1.0,0.0,0.0,1.0,1.0,30
100,ND-PW-OFFSET,saving_LP0,0.0,0.0,0.0,0.0,0.0,0.0,30
100,ND-PW-OFFSET,saving_LP10,0.0,0.0,0.0,0.0,0.0,0.0,30
100,ND-PW-OFFSET,saving_LP25,0.0,0.0,0.0,0.0,0.0,0.0,30
100,ND-PW-OFFSET,saving_LP50,0.0,0.0,0.0,0.0,0.0,0.0,30
100,ND-PW-OFFSET,energy_per_block_ratio_LP0,1.0,1.0,0.0,0.0,1.0,1.0,30
200,ND-PC,block_retention,1.0,1.0,0.0,0.0,1.0,1.0,30
200,ND-PC,latency_ratio,1.0000000242360576,1.0000000242428073,9.271453640867211e-11,1.2044276687106503e-10,1.0000000242014375,1.0000000242706777,30
200,ND-PC,saving_LP0,2.4214386273868627e-08,2.4214386273868627e-08,0.0,0.0,2.4214386273868627e-08,2.4214386273868627e-08,30
200,ND-PC,saving_LP10,2.1792947779708527e-08,2.1792947779708527e-08,0.0,0.0,2.1792947779708527e-08,2.1792947779708527e-08,30
200,ND-PC,saving_LP25,1.816078976091262e-08,1.816078976091262e-08,0.0,0.0,1.816078976091262e-08,1.816078976091262e-08,30
200,ND-PC,saving_LP50,1.2107193247956616e-08,1.2107193247956616e-08,0.0,0.0,1.2107193247956616e-08,1.2107193247956616e-08,30
200,ND-PC,energy_per_block_ratio_LP0,0.9999999757856137,0.9999999757856137,2.816726093507054e-17,0.0,0.9999999757856137,0.9999999757856137,30
200,ND-PC-NOLP,block_retention,1.0,1.0,0.0,0.0,1.0,1.0,30
200,ND-PC-NOLP,latency_ratio,1.0000000242360576,1.0000000242428073,9.271453640867211e-11,1.2044276687106503e-10,1.0000000242014375,1.0000000242706777,30
200,ND-PC-NOLP,saving_LP0,0.0,0.0,0.0,0.0,0.0,0.0,30
200,ND-PC-NOLP,saving_LP10,0.0,0.0,0.0,0.0,0.0,0.0,30
200,ND-PC-NOLP,saving_LP25,0.0,0.0,0.0,0.0,0.0,0.0,30
200,ND-PC-NOLP,saving_LP50,0.0,0.0,0.0,0.0,0.0,0.0,30
200,ND-PC-NOLP,energy_per_block_ratio_LP0,1.0,1.0,0.0,0.0,1.0,1.0,30
200,ND-PW-OFFSET,block_retention,1.0,1.0,0.0,0.0,1.0,1.0,30
200,ND-PW-OFFSET,latency_ratio,1.0,1.0,0.0,0.0,1.0,1.0,30
200,ND-PW-OFFSET,saving_LP0,0.0,0.0,0.0,0.0,0.0,0.0,30
200,ND-PW-OFFSET,saving_LP10,0.0,0.0,0.0,0.0,0.0,0.0,30
200,ND-PW-OFFSET,saving_LP25,0.0,0.0,0.0,0.0,0.0,0.0,30
200,ND-PW-OFFSET,saving_LP50,0.0,0.0,0.0,0.0,0.0,0.0,30
200,ND-PW-OFFSET,energy_per_block_ratio_LP0,1.0,1.0,0.0,0.0,1.0,1.0,30
300,ND-PC,block_retention,1.0,1.0,0.0,0.0,1.0,1.0,30
300,ND-PC,latency_ratio,1.000000024222193,1.0000000242197233,5.7709079084784674e-11,4.878142334518998e-11,1.000000024200644,1.000000024243742,30
300,ND-PC,saving_LP0,2.4214386273868627e-08,2.4214386273868627e-08,0.0,0.0,2.4214386273868627e-08,2.4214386273868627e-08,30
300,ND-PC,saving_LP10,2.1792947557663922e-08,2.1792947557663922e-08,0.0,0.0,2.1792947557663922e-08,2.1792947557663922e-08,30
300,ND-PC,saving_LP25,1.816078976091262e-08,1.816078976091262e-08,0.0,0.0,1.816078976091262e-08,1.816078976091262e-08,30
300,ND-PC,saving_LP50,1.2107193247956616e-08,1.2107193247956616e-08,0.0,0.0,1.2107193247956616e-08,1.2107193247956616e-08,30
300,ND-PC,energy_per_block_ratio_LP0,0.9999999757856137,0.9999999757856137,2.915588500845224e-17,0.0,0.9999999757856137,0.9999999757856137,30
300,ND-PC-NOLP,block_retention,1.0,1.0,0.0,0.0,1.0,1.0,30
300,ND-PC-NOLP,latency_ratio,1.000000024222193,1.0000000242197233,5.7709079084784674e-11,4.878142334518998e-11,1.000000024200644,1.000000024243742,30
300,ND-PC-NOLP,saving_LP0,0.0,0.0,0.0,0.0,0.0,0.0,30
300,ND-PC-NOLP,saving_LP10,0.0,0.0,0.0,0.0,0.0,0.0,30
300,ND-PC-NOLP,saving_LP25,0.0,0.0,0.0,0.0,0.0,0.0,30
300,ND-PC-NOLP,saving_LP50,0.0,0.0,0.0,0.0,0.0,0.0,30
300,ND-PC-NOLP,energy_per_block_ratio_LP0,1.0,1.0,0.0,0.0,1.0,1.0,30
300,ND-PW-OFFSET,block_retention,1.0,1.0,0.0,0.0,1.0,1.0,30
300,ND-PW-OFFSET,latency_ratio,1.0,1.0,0.0,0.0,1.0,1.0,30
300,ND-PW-OFFSET,saving_LP0,0.0,0.0,0.0,0.0,0.0,0.0,30
300,ND-PW-OFFSET,saving_LP10,0.0,0.0,0.0,0.0,0.0,0.0,30
300,ND-PW-OFFSET,saving_LP25,0.0,0.0,0.0,0.0,0.0,0.0,30
300,ND-PW-OFFSET,saving_LP50,0.0,0.0,0.0,0.0,0.0,0.0,30
300,ND-PW-OFFSET,energy_per_block_ratio_LP0,1.0,1.0,0.0,0.0,1.0,1.0,30
400,ND-PC,block_retention,1.0,1.0,0.0,0.0,1.0,1.0,30
400,ND-PC,latency_ratio,1.0000000707756123,1.000000070785625,4.614217752552425e-11,7.582734440347849e-11,1.0000000707583825,1.000000070792842,30
400,ND-PC,saving_LP0,7.078051067477276e-08,7.078051067477276e-08,0.0,0.0,7.078051067477276e-08,7.078051067477276e-08,30
400,ND-PC,saving_LP10,6.370245952957987e-08,6.370245952957987e-08,0.0,0.0,6.370245952957987e-08,6.370245952957987e-08,30
400,ND-PC,saving_LP25,5.308538297832399e-08,5.308538297832399e-08,0.0,0.0,5.308538297832399e-08,5.308538297832399e-08,30
400,ND-PC,saving_LP50,3.539025550391983e-08,3.539025550391983e-08,0.0,0.0,3.539025550391983e-08,3.539025550391983e-08,30
400,ND-PC,energy_per_block_ratio_LP0,0.9999999292194894,0.9999999292194894,6.343219990638425e-17,1.1102230246251565e-16,0.9999999292194894,0.9999999292194894,30
400,ND-PC-NOLP,block_retention,1.0,1.0,0.0,0.0,1.0,1.0,30
400,ND-PC-NOLP,latency_ratio,1.0000000707756123,1.000000070785625,4.614217752552425e-11,7.582734440347849e-11,1.0000000707583825,1.000000070792842,30
400,ND-PC-NOLP,saving_LP0,0.0,0.0,0.0,0.0,0.0,0.0,30
400,ND-PC-NOLP,saving_LP10,0.0,0.0,0.0,0.0,0.0,0.0,30
400,ND-PC-NOLP,saving_LP25,0.0,0.0,0.0,0.0,0.0,0.0,30
400,ND-PC-NOLP,saving_LP50,0.0,0.0,0.0,0.0,0.0,0.0,30
400,ND-PC-NOLP,energy_per_block_ratio_LP0,1.0,1.0,0.0,0.0,1.0,1.0,30
400,ND-PW-OFFSET,block_retention,1.0,1.0,0.0,0.0,1.0,1.0,30
400,ND-PW-OFFSET,latency_ratio,1.0,1.0,0.0,0.0,1.0,1.0,30
400,ND-PW-OFFSET,saving_LP0,0.0,0.0,0.0,0.0,0.0,0.0,30
400,ND-PW-OFFSET,saving_LP10,0.0,0.0,0.0,0.0,0.0,0.0,30
400,ND-PW-OFFSET,saving_LP25,0.0,0.0,0.0,0.0,0.0,0.0,30
400,ND-PW-OFFSET,saving_LP50,0.0,0.0,0.0,0.0,0.0,0.0,30
400,ND-PW-OFFSET,energy_per_block_ratio_LP0,1.0,1.0,0.0,0.0,1.0,1.0,30
500,ND-PC,block_retention,1.0,1.0,0.0,0.0,1.0,1.0,30
500,ND-PC,latency_ratio,1.000000047499073,1.0000000474981128,3.328339260971125e-11,5.2272186579216395e-11,1.0000000474866446,1.0000000475115012,30
500,ND-PC,saving_LP0,4.7497449084943355e-08,4.7497449084943355e-08,0.0,0.0,4.7497449084943355e-08,4.7497449084943355e-08,30
500,ND-PC,saving_LP10,4.2747704043222257e-08,4.2747704043222257e-08,0.0,0.0,4.2747704043222257e-08,4.2747704043222257e-08,30
500,ND-PC,saving_LP25,3.5623086813707516e-08,3.5623086813707516e-08,0.0,0.0,3.5623086813707516e-08,3.5623086813707516e-08,30
500,ND-PC,saving_LP50,2.3748724542471678e-08,2.3748724542471678e-08,0.0,0.0,2.3748724542471678e-08,2.3748724542471678e-08,30
500,ND-PC,energy_per_block_ratio_LP0,0.9999999525025509,0.9999999525025509,4.77599145956105e-17,0.0,0.9999999525025509,0.9999999525025509,30
500,ND-PC-NOLP,block_retention,1.0,1.0,0.0,0.0,1.0,1.0,30
500,ND-PC-NOLP,latency_ratio,1.000000047499073,1.0000000474981128,3.328339260971125e-11,5.2272186579216395e-11,1.0000000474866446,1.0000000475115012,30
500,ND-PC-NOLP,saving_LP0,0.0,0.0,0.0,0.0,0.0,0.0,30
500,ND-PC-NOLP,saving_LP10,0.0,0.0,0.0,0.0,0.0,0.0,30
500,ND-PC-NOLP,saving_LP25,0.0,0.0,0.0,0.0,0.0,0.0,30
500,ND-PC-NOLP,saving_LP50,0.0,0.0,0.0,0.0,0.0,0.0,30
500,ND-PC-NOLP,energy_per_block_ratio_LP0,1.0,1.0,0.0,0.0,1.0,1.0,30
500,ND-PW-OFFSET,block_retention,1.0,1.0,0.0,0.0,1.0,1.0,30
500,ND-PW-OFFSET,latency_ratio,1.0,1.0,0.0,0.0,1.0,1.0,30
500,ND-PW-OFFSET,saving_LP0,0.0,0.0,0.0,0.0,0.0,0.0,30
500,ND-PW-OFFSET,saving_LP10,0.0,0.0,0.0,0.0,0.0,0.0,30
500,ND-PW-OFFSET,saving_LP25,0.0,0.0,0.0,0.0,0.0,0.0,30
500,ND-PW-OFFSET,saving_LP50,0.0,0.0,0.0,0.0,0.0,0.0,30
500,ND-PW-OFFSET,energy_per_block_ratio_LP0,1.0,1.0,0.0,0.0,1.0,1.0,30
