N,quantity,predicted,measured,rel_error,within_tolerance,tolerance,note
100,block_retention (paired mean),1.0,1.0,0.0,True,0.02,
100,latency_ratio (paired mean),1.0,1.0000000009718832,9.71883240552529e-10,True,0.02,
100,F_low ND-PC,9.313225737481168e-10,9.313225735937322e-10,1.657691763180061e-10,True,0.001,
100,saving LP0 ND-PC,9.313225737481168e-10,9.313225746154785e-10,9.313225754828403e-10,True,0.001,
100,saving any-alpha ND-PC-NOLP,0.0,0.0,0.0,True,0.0,exact zero required
100,blocks per run ND-PW,16.666666666666668,17.733333333333334,0.06399999999999999,True,0.1,
100,energy_per_block_ratio LP0,1.0,0.9999999990686774,9.313225746154785e-10,True,0.0001,
100,domain sweeps per PW miner,544823706.1500549,544823696.4666667,1.777343409230769e-08,True,1e-06,
200,block_retention (paired mean),1.0,1.0,0.0,True,0.02,
200,latency_ratio (paired mean),1.0,1.0000000242360576,2.4236057605264705e-08,True,0.02,
200,F_low ND-PC,2.421438635366592e-08,2.421438635162963e-08,8.409423788467003e-11,True,0.001,
200,saving LP0 ND-PC,2.421438635366592e-08,2.4214386273868627e-08,3.2954497365464754e-09,True,0.001,
200,saving any-alpha ND-PC-NOLP,0.0,0.0,0.0,True,0.0,exact zero required
200,blocks per run ND-PW,16.666666666666668,17.733333333333334,0.06399999999999999,True,0.1,
200,energy_per_block_ratio LP0,1.0,0.9999999757856137,2.4214386273868627e-08,True,0.0001,
200,domain sweeps per PW miner,544823706.1500549,544823696.4666667,1.777343409230769e-08,True,1e-06,
300,block_retention (paired mean),1.0,1.0,0.0,True,0.02,
300,latency_ratio (paired mean),1.0,1.000000024222193,2.422219291808858e-08,True,0.02,
300,F_low ND-PC,2.421438635366592e-08,2.421438635222716e-08,5.941749800269103e-11,True,0.001,
300,saving LP0 ND-PC,2.421438635366592e-08,2.4214386273868627e-08,3.2954497365464754e-09,True,0.001,
300,saving any-alpha ND-PC-NOLP,0.0,0.0,0.0,True,0.0,exact zero required
300,blocks per run ND-PW,16.666666666666668,17.733333333333334,0.06399999999999999,True,0.1,
300,energy_per_block_ratio LP0,1.0,0.9999999757856137,2.4214386273868627e-08,True,0.0001,
300,domain sweeps per PW miner,544823706.1500549,544823696.4666667,1.777343409230769e-08,True,1e-06,
400,block_retention (paired mean),1.0,1.0,0.0,True,0.02,
400,latency_ratio (paired mean),1.0,1.0000000707756123,7.077561225976581e-08,True,0.02,
400,F_low ND-PC,7.078051066089533e-08,7.078051065783305e-08,4.3264389287916673e-11,True,0.001,
400,saving LP0 ND-PC,7.078051066089533e-08,7.078051067477276e-08,1.9606287572967184e-10,True,0.001,
400,saving any-alpha ND-PC-NOLP,0.0,0.0,0.0,True,0.0,exact zero required
400,blocks per run ND-PW,16.666666666666668,17.733333333333334,0.06399999999999999,True,0.1,
400,energy_per_block_ratio LP0,1.0,0.9999999292194894,7.078051056375045e-08,True,0.0001,
400,domain sweeps per PW miner,544823706.1500549,544823696.4666667,1.777343409230769e-08,True,1e-06,
500,block_retention (paired mean),1.0,1.0,0.0,True,0.02,
500,latency_ratio (paired mean),1.0,1.000000047499073,4.749907289713917e-08,True,0.02,
500,F_low ND-PC,4.749744904938163e-08,4.7497449047772995e-08,3.386781212548228e-11,True,0.001,
500,saving LP0 ND-PC,4.749744904938163e-08,4.7497449084943355e-08,7.487081114910763e-10,True,0.001,
500,saving any-alpha ND-PC-NOLP,0.0,0.0,0.0,True,0.0,exact zero required
500,blocks per run ND-PW,16.666666666666668,17.733333333333334,0.06399999999999999,True,0.1,
500,energy_per_block_ratio LP0,1.0,0.9999999525025509,4.7497449084943355e-08,True,0.0001,
500,domain sweeps per PW miner,544823706.1500549,544823696.4666667,1.777343409230769e-08,True,1e-06,
