tag,arm,N,seed,run_kind,W_total,hashes_per_block,W_unique_exact_secondary,exact_duplicates_secondary
primary,ND-PW,100,467376819415377580,physical,234000000000000000000,1.231578947368421e+19,234000000000000000000,0
primary,ND-PW-OFFSET,100,467376819415377580,physical,234000000000000000000,1.231578947368421e+19,234000000000000000000,0
primary,ND-PC,100,467376819415377580,physical,233999999782070517784,1.2315789462214238e+19,233999999782070517784,0
primary,ND-PC-NOLP,100,467376819415377580,derived,233999999782070517784,1.2315789462214238e+19,233999999782070517784,0
primary,ND-PW,100,2704408835578762228,physical,234000000000000000000,1.0636363636363637e+19,234000000000000000000,0
primary,ND-PW-OFFSET,100,2704408835578762228,physical,234000000000000000000,1.0636363636363637e+19,234000000000000000000,0
primary,ND-PC,100,2704408835578762228,physical,233999999782070517788,1.0636363626457752e+19,233999999782070517788,0
primary,ND-PC-NOLP,100,2704408835578762228,derived,233999999782070517788,1.0636363626457752e+19,233999999782070517788,0
primary,ND-PW,100,11237067994138084197,physical,234000000000000000000,1.231578947368421e+19,234000000000000000000,0
primary,ND-PW-OFFSET,100,11237067994138084197,physical,234000000000000000000,1.231578947368421e+19,234000000000000000000,0
primary,ND-PC,100,11237067994138084197,physical,233999999782070517768,1.2315789462214238e+19,233999999782070517768,0
primary,ND-PC-NOLP,100,11237067994138084197,derived,233999999782070517768,1.2315789462214238e+19,233999999782070517768,0
primary,ND-PW,100,5926412735843326529,physical,234000000000000000000,2.1272727272727273e+19,234000000000000000000,0
primary,ND-PW-OFFSET,100,5926412735843326529,physical,234000000000000000000,2.1272727272727273e+19,234000000000000000000,0
primary,ND-PC,100,5926412735843326529,physical,233999999782070517764,2.1272727252915503e+19,233999999782070517764,0
primary,ND-PC-NOLP,100,5926412735843326529,derived,233999999782070517764,2.1272727252915503e+19,233999999782070517764,0
primary,ND-PW,100,5192363207272324882,physical,234000000000000000000,1.3764705882352941e+19,234000000000000000000,0
primary,ND-PW-OFFSET,100,5192363207272324882,physical,234000000000000000000,1.3764705882352941e+19,234000000000000000000,0
primary,ND-PC,100,5192363207272324882,physical,233999999782070517784,1.376470586953356e+19,233999999782070517784,0
primary,ND-PC-NOLP,100,5192363207272324882,derived,233999999782070517784,1.376470586953356e+19,233999999782070517784,0
primary,ND-PW,100,14936110819278713214,physical,234000000000000000000,1.3764705882352941e+19,234000000000000000000,0
primary,ND-PW-OFFSET,100,14936110819278713214,physical,234000000000000000000,1.3764705882352941e+19,234000000000000000000,0
primary,ND-PC,100,14936110819278713214,physical,233999999782070517780,1.376470586953356e+19,233999999782070517780,0
primary,ND-PC-NOLP,100,14936110819278713214,derived,233999999782070517780,1.376470586953356e+19,233999999782070517780,0
primary,ND-PW,100,15027284727339452496,physical,234000000000000000000,1.6714285714285713e+19,234000000000000000000,0
primary,ND-PW-OFFSET,100,15027284727339452496,physical,234000000000000000000,1.6714285714285713e+19,234000000000000000000,0
primary,ND-PC,100,15027284727339452496,physical,233999999782070517772,1.6714285698719322e+19,233999999782070517772,0
primary,ND-PC-NOLP,100,15027284727339452496,derived,233999999782070517772,1.6714285698719322e+19,233999999782070517772,0
primary,ND-PW,100,529132900484142986,physical,234000000000000000000,1.8e+19,234000000000000000000,0
primary,ND-PW-OFFSET,100,529132900484142986,physical,234000000000000000000,1.8e+19,234000000000000000000,0
primary,ND-PC,100,529132900484142986,physical,233999999782070517772,1.7999999983236194e+19,233999999782070517772,0
primary,ND-PC-NOLP,100,529132900484142986,derived,233999999782070517772,1.7999999983236194e+19,233999999782070517772,0
primary,ND-PW,100,8583420154531566926,physical,234000000000000000000,1.56e+19,234000000000000000000,0
primary,ND-PW-OFFSET,100,8583420154531566926,physical,234000000000000000000,1.56e+19,234000000000000000000,0
primary,ND-PC,100,8583420154531566926,physical,233999999782070517780,1.5599999985471367e+19,233999999782070517780,0
primary,ND-PC-NOLP,100,8583420154531566926,derived,233999999782070517780,1.5599999985471367e+19,233999999782070517780,0
primary,ND-PW,100,16465068975321571430,physical,234000000000000000000,2.1272727272727273e+19,234000000000000000000,0
primary,ND-PW-OFFSET,100,16465068975321571430,physical,234000000000000000000,2.1272727272727273e+19,234000000000000000000,0
primary,ND-PC,100,16465068975321571430,physical,233999999782070517760,2.1272727252915503e+19,233999999782070517760,0
primary,ND-PC-NOLP,100,16465068975321571430,derived,233999999782070517760,2.1272727252915503e+19,233999999782070517760,0
primary,ND-PW,100,1580318165844385263,physical,234000000000000000000,1.95e+19,234000000000000000000,0
primary,ND-PW-OFFSET,100,1580318165844385263,physical,234000000000000000000,1.95e+19,234000000000000000000,0
primary,ND-PC,100,1580318165844385263,physical,233999999782070517768,1.949999998183921e+19,233999999782070517768,0
primary,ND-PC-NOLP,100,1580318165844385263,derived,233999999782070517768,1.949999998183921e+19,233999999782070517768,0
primary,ND-PW,100,860680765458012691,physical,234000000000000000000,8.068965517241379e+18,234000000000000000000,0
primary,ND-PW-OFFSET,100,860680765458012691,physical,234000000000000000000,8.068965517241379e+18,234000000000000000000,0
primary,ND-PC,100,860680765458012691,physical,233999999782070517804,8.068965509726569e+18,233999999782070517804,0
primary,ND-PC-NOLP,100,860680765458012691,derived,233999999782070517804,8.068965509726569e+18,233999999782070517804,0
primary,ND-PW,100,405674777376978405,physical,234000000000000000000,1.1142857142857142e+19,234000000000000000000,0
primary,ND-PW-OFFSET,100,405674777376978405,physical,234000000000000000000,1.1142857142857142e+19,234000000000000000000,0
primary,ND-PC,100,405674777376978405,physical,233999999782070517784,1.114285713247955e+19,233999999782070517784,0
primary,ND-PC-NOLP,100,405674777376978405,derived,233999999782070517784,1.114285713247955e+19,233999999782070517784,0
primary,ND-PW,100,5516199827559636311,physical,234000000000000000000,1.56e+19,234000000000000000000,0
primary,ND-PW-OFFSET,100,5516199827559636311,physical,234000000000000000000,1.56e+19,234000000000000000000,0
primary,ND-PC,100,5516199827559636311,physical,233999999782070517780,1.5599999985471367e+19,233999999782070517780,0
primary,ND-PC-NOLP,100,5516199827559636311,derived,233999999782070517780,1.5599999985471367e+19,233999999782070517780,0
primary,ND-PW,100,676253669661655881,physical,234000000000000000000,1.3e+19,234000000000000000000,0
primary,ND-PW-OFFSET,100,676253669661655881,physical,234000000000000000000,1.3e+19,234000000000000000000,0
primary,ND-PC,100,676253669661655881,physical,233999999782070517772,1.2999999987892806e+19,233999999782070517772,0
primary,ND-PC-NOLP,100,676253669661655881,derived,233999999782070517772,1.2999999987892806e+19,233999999782070517772,0
primary,ND-PW,100,4902971022134724746,physical,234000000000000000000,1.95e+19,234000000000000000000,0
primary,ND-PW-OFFSET,100,4902971022134724746,physical,234000000000000000000,1.95e+19,234000000000000000000,0
primary,ND-PC,100,4902971022134724746,physical,233999999782070517776,1.949999998183921e+19,233999999782070517776,0
primary,ND-PC-NOLP,100,4902971022134724746,derived,233999999782070517776,1.949999998183921e+19,233999999782070517776,0
primary,ND-PW,100,7985863793510020389,physical,234000000000000000000,1.4625e+19,234000000000000000000,0
primary,ND-PW-OFFSET,100,7985863793510020389,physical,234000000000000000000,1.4625e+19,234000000000000000000,0
primary,ND-PC,100,7985863793510020389,physical,233999999782070517776,1.4624999986379407e+19,233999999782070517776,0
