tag,arm,N,seed,alpha_case,alpha,energy_J,energy_kWh,baseline_conv_offset_J,saving_vs_conv_offset
pilot,XNR-PW-CONV-ZERO,100,7068745346940014165,LP0,0.0,3510000000.0,975.0,,
pilot,XNR-PW-CONV-ZERO,100,7068745346940014165,LP10,0.1,3510000000.0,975.0,,
pilot,XNR-PW-CONV-ZERO,100,7068745346940014165,LP25,0.25,3510000000.0,975.0,,
pilot,XNR-PW-CONV-ZERO,100,7068745346940014165,LP50,0.5,3510000000.0,975.0,,
pilot,XNR-PW-CONV-OFFSET,100,7068745346940014165,LP0,0.0,3510000000.0,975.0,3510000000.0,0.0
pilot,XNR-PW-CONV-OFFSET,100,7068745346940014165,LP10,0.1,3510000000.0,975.0,3510000000.0,0.0
pilot,XNR-PW-CONV-OFFSET,100,7068745346940014165,LP25,0.25,3510000000.0,975.0,3510000000.0,0.0
pilot,XNR-PW-CONV-OFFSET,100,7068745346940014165,LP50,0.5,3510000000.0,975.0,3510000000.0,0.0
pilot,XNR-PW-MT-ZERO,100,7068745346940014165,LP0,0.0,3510000000.0,975.0,3510000000.0,0.0
pilot,XNR-PW-MT-ZERO,100,7068745346940014165,LP10,0.1,3510000000.0,975.0,3510000000.0,0.0
pilot,XNR-PW-MT-ZERO,100,7068745346940014165,LP25,0.25,3510000000.0,975.0,3510000000.0,0.0
pilot,XNR-PW-MT-ZERO,100,7068745346940014165,LP50,0.5,3510000000.0,975.0,3510000000.0,0.0
pilot,XNR-PW-MT-OFFSET,100,7068745346940014165,LP0,0.0,3510000000.0,975.0,3510000000.0,0.0
pilot,XNR-PW-MT-OFFSET,100,7068745346940014165,LP10,0.1,3510000000.0,975.0,3510000000.0,0.0
pilot,XNR-PW-MT-OFFSET,100,7068745346940014165,LP25,0.25,3510000000.0,975.0,3510000000.0,0.0
pilot,XNR-PW-MT-OFFSET,100,7068745346940014165,LP50,0.5,3510000000.0,975.0,3510000000.0,0.0
pilot,XNR-PC,100,7068745346940014165,LP0,0.0,3509999996.7310576,974.9999990919605,3510000000.0,9.313225746154785e-10
pilot,XNR-PC,100,7068745346940014165,LP10,0.1,3509999997.057952,974.9999991827644,3510000000.0,8.381902949494702e-10
pilot,XNR-PC,100,7068745346940014165,LP25,0.25,3509999997.548293,974.9999993189703,3510000000.0,6.984920419839113e-10
pilot,XNR-PC,100,7068745346940014165,LP50,0.5,3509999998.3655286,974.9999995459801,3510000000.0,4.656613983300417e-10
pilot,XNR-PW-CONV-ZERO,100,1676186997283559608,LP0,0.0,3510000000.0,975.0,,
pilot,XNR-PW-CONV-ZERO,100,1676186997283559608,LP10,0.1,3510000000.0,975.0,,
pilot,XNR-PW-CONV-ZERO,100,1676186997283559608,LP25,0.25,3510000000.0,975.0,,
pilot,XNR-PW-CONV-ZERO,100,1676186997283559608,LP50,0.5,3510000000.0,975.0,,
pilot,XNR-PW-CONV-OFFSET,100,1676186997283559608,LP0,0.0,3510000000.0,975.0,3510000000.0,0.0
pilot,XNR-PW-CONV-OFFSET,100,1676186997283559608,LP10,0.1,3510000000.0,975.0,3510000000.0,0.0
pilot,XNR-PW-CONV-OFFSET,100,1676186997283559608,LP25,0.25,3510000000.0,975.0,3510000000.0,0.0
pilot,XNR-PW-CONV-OFFSET,100,1676186997283559608,LP50,0.5,3510000000.0,975.0,3510000000.0,0.0
