tag,arm,N,seed,scope,C_exact,U_exact,R_exact,rho_exact
pilot,XNR-PW-CONV-ZERO,100,7068745346940014165,NR-global-run,234000000000000000000,234000000000000000000,0,0.0
pilot,XNR-PW-CONV-ZERO,100,7068745346940014165,NR-template-epoch,4294967296,4294967296,0,0.0
pilot,XNR-PW-CONV-OFFSET,100,7068745346940014165,NR-global-run,234000000000000000000,234000000000000000000,0,0.0
pilot,XNR-PW-CONV-OFFSET,100,7068745346940014165,NR-template-epoch,4294967296,4294967296,0,0.0
pilot,XNR-PW-MT-ZERO,100,7068745346940014165,NR-global-run,234000000000000000000,2340000000000000000,231660000000000000000,0.99
pilot,XNR-PW-MT-ZERO,100,7068745346940014165,NR-template-epoch,429496729600,4294967296,425201762304,0.99
pilot,XNR-PW-MT-OFFSET,100,7068745346940014165,NR-global-run,234000000000000000000,2340000006737164802,231659999993262835198,0.9899999999712087
pilot,XNR-PW-MT-OFFSET,100,7068745346940014165,NR-template-epoch,429496729600,4294967296,425201762304,0.99
pilot,XNR-PC,100,7068745346940014165,NR-global-run,233999999782070517780,233999999782070517780,0,0.0
pilot,XNR-PC,100,7068745346940014165,NR-template-epoch,4294967296,4294967296,0,0.0
pilot,XNR-PW-CONV-ZERO,100,1676186997283559608,NR-global-run,234000000000000000000,234000000000000000000,0,0.0
pilot,XNR-PW-CONV-ZERO,100,1676186997283559608,NR-template-epoch,4294967296,4294967296,0,0.0
pilot,XNR-PW-CONV-OFFSET,100,1676186997283559608,NR-global-run,234000000000000000000,234000000000000000000,0,0.0
pilot,XNR-PW-CONV-OFFSET,100,1676186997283559608,NR-template-epoch,4294967296,4294967296,0,0.0
pilot,XNR-PW-MT-ZERO,100,1676186997283559608,NR-global-run,234000000000000000000,2340000000000000000,231660000000000000000,0.99
pilot,XNR-PW-MT-ZERO,100,1676186997283559608,NR-template-epoch,429496729600,4294967296,425201762304,0.99
pilot,XNR-PW-MT-OFFSET,100,1676186997283559608,NR-global-run,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996
pilot,XNR-PW-MT-OFFSET,100,1676186997283559608,NR-template-epoch,429496729600,4294967296,425201762304,0.99
pilot,XNR-PC,100,1676186997283559608,NR-global-run,233999999782070517764,233999999782070517764,0,0.0
pilot,XNR-PC,100,1676186997283559608,NR-template-epoch,4294967296,4294967296,0,0.0
pilot,XNR-PW-CONV-ZERO,300,7068745346940014165,NR-global-run,702000000000000000000,702000000000000000000,0,0.0
pilot,XNR-PW-CONV-ZERO,300,7068745346940014165,NR-template-epoch,4294967296,4294967296,0,0.0
pilot,XNR-PW-CONV-OFFSET,300,7068745346940014165,NR-global-run,702000000000000000000,702000000000000000000,0,0.0
pilot,XNR-PW-CONV-OFFSET,300,7068745346940014165,NR-template-epoch,4294967296,4294967296,0,0.0
pilot,XNR-PW-MT-ZERO,300,7068745346940014165,NR-global-run,702000000000000000000,2340000000000000000,699660000000000000000,0.9966666666666667
pilot,XNR-PW-MT-ZERO,300,7068745346940014165,NR-template-epoch,1288490188800,4294967296,1284195221504,0.9966666666666667
pilot,XNR-PW-MT-OFFSET,300,7068745346940014165,NR-global-run,702000000000000000000,2340000006631385743,699659999993368614257,0.9966666666572203
pilot,XNR-PW-MT-OFFSET,300,7068745346940014165,NR-template-epoch,1288490188800,4294967296,1284195221504,0.9966666666666667
pilot,XNR-PC,300,7068745346940014165,NR-global-run,701999983001500780792,701999983001500780792,0,0.0
pilot,XNR-PC,300,7068745346940014165,NR-template-epoch,4294967296,4294967296,0,0.0
pilot,XNR-PW-CONV-ZERO,300,1676186997283559608,NR-global-run,702000000000000000000,702000000000000000000,0,0.0
pilot,XNR-PW-CONV-ZERO,300,1676186997283559608,NR-template-epoch,4294967296,4294967296,0,0.0
pilot,XNR-PW-CONV-OFFSET,300,1676186997283559608,NR-global-run,702000000000000000000,702000000000000000000,0,0.0
pilot,XNR-PW-CONV-OFFSET,300,1676186997283559608,NR-template-epoch,4294967296,4294967296,0,0.0
pilot,XNR-PW-MT-ZERO,300,1676186997283559608,NR-global-run,702000000000000000000,2340000000000000000,699660000000000000000,0.9966666666666667
pilot,XNR-PW-MT-ZERO,300,1676186997283559608,NR-template-epoch,1288490188800,4294967296,1284195221504,0.9966666666666667
pilot,XNR-PW-MT-OFFSET,300,1676186997283559608,NR-global-run,702000000000000000000,2340000003650486272,699659999996349513728,0.9966666666614665
pilot,XNR-PW-MT-OFFSET,300,1676186997283559608,NR-template-epoch,1288490188800,4294967296,1284195221504,0.9966666666666667
pilot,XNR-PC,300,1676186997283559608,NR-global-run,701999983001500780376,701999983001500780376,0,0.0
pilot,XNR-PC,300,1676186997283559608,NR-template-epoch,4294967296,4294967296,0,0.0
pilot,XNR-PW-CONV-ZERO,500,7068745346940014165,NR-global-run,1170000000000000000000,1170000000000000000000,0,0.0
pilot,XNR-PW-CONV-ZERO,500,7068745346940014165,NR-template-epoch,4294967296,4294967296,0,0.0
pilot,XNR-PW-CONV-OFFSET,500,7068745346940014165,NR-global-run,1170000000000000000000,1170000000000000000000,0,0.0
pilot,XNR-PW-CONV-OFFSET,500,7068745346940014165,NR-template-epoch,4294967296,4294967296,0,0.0
pilot,XNR-PW-MT-ZERO,500,7068745346940014165,NR-global-run,1170000000000000000000,2340000000000000000,1167660000000000000000,0.998
pilot,XNR-PW-MT-ZERO,500,7068745346940014165,NR-template-epoch,2147483648000,4294967296,2143188680704,0.998
pilot,XNR-PW-MT-OFFSET,500,7068745346940014165,NR-global-run,1170000000000000000000,2340000007468949643,1167659999992531050357,0.9979999999936163
pilot,XNR-PW-MT-OFFSET,500,7068745346940014165,NR-template-epoch,2147483648000,4294967296,2143188680704,0.998
pilot,XNR-PC,500,7068745346940014165,NR-global-run,1169999944427984614092,1169999944427984614092,0,0.0
pilot,XNR-PC,500,7068745346940014165,NR-template-epoch,4294967296,4294967296,0,0.0
pilot,XNR-PW-CONV-ZERO,500,1676186997283559608,NR-global-run,1170000000000000000000,1170000000000000000000,0,0.0
pilot,XNR-PW-CONV-ZERO,500,1676186997283559608,NR-template-epoch,4294967296,4294967296,0,0.0
pilot,XNR-PW-CONV-OFFSET,500,1676186997283559608,NR-global-run,1170000000000000000000,1170000000000000000000,0,0.0
pilot,XNR-PW-CONV-OFFSET,500,1676186997283559608,NR-template-epoch,4294967296,4294967296,0,0.0
pilot,XNR-PW-MT-ZERO,500,1676186997283559608,NR-global-run,1170000000000000000000,2340000000000000000,1167660000000000000000,0.998
pilot,XNR-PW-MT-ZERO,500,1676186997283559608,NR-template-epoch,2147483648000,4294967296,2143188680704,0.998
pilot,XNR-PW-MT-OFFSET,500,1676186997283559608,NR-global-run,1170000000000000000000,2340000003650486272,1167659999996349513728,0.9979999999968799
pilot,XNR-PW-MT-OFFSET,500,1676186997283559608,NR-template-epoch,2147483648000,4294967296,2143188680704,0.998
pilot,XNR-PC,500,1676186997283559608,NR-global-run,1169999944427984613684,1169999944427984613684,0,0.0
pilot,XNR-PC,500,1676186997283559608,NR-template-epoch,4294967296,4294967296,0,0.0
