tag,arm,N,seed,scope,C_nonce,U_nonce,R_nonce,rho_nonce,M_ge2,m_max,O_mean,O_median,O_max
pilot,XNR-PW-CONV-ZERO,100,7068745346940014165,NR-global-run,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,100,4294967296.0,4294967296.0,4294967296
pilot,XNR-PW-CONV-ZERO,100,7068745346940014165,NR-template-epoch,4294967296,4294967296,0,0.0,0,1,0.0,0.0,0
pilot,XNR-PW-CONV-OFFSET,100,7068745346940014165,NR-global-run,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,100,4294967296.0,4294967296.0,4294967296
pilot,XNR-PW-CONV-OFFSET,100,7068745346940014165,NR-template-epoch,4294967296,4294967296,0,0.0,0,1,0.0,0.0,0
pilot,XNR-PW-MT-ZERO,100,7068745346940014165,NR-global-run,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,100,4294967296.0,4294967296.0,4294967296
pilot,XNR-PW-MT-ZERO,100,7068745346940014165,NR-template-epoch,429496729600,4294967296,425201762304,0.99,4294967296,100,4294967296.0,4294967296.0,4294967296
pilot,XNR-PW-MT-OFFSET,100,7068745346940014165,NR-global-run,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,100,4294967296.0,4294967296.0,4294967296
pilot,XNR-PW-MT-OFFSET,100,7068745346940014165,NR-template-epoch,429496729600,4294967296,425201762304,0.99,4294967296,100,4294967296.0,4294967296.0,4294967296
pilot,XNR-PC,100,7068745346940014165,NR-global-run,233999999782070517780,4294967296,233999999777775550484,0.9999999999816455,0,1,0.0,0.0,0
pilot,XNR-PC,100,7068745346940014165,NR-template-epoch,4294967296,4294967296,0,0.0,0,1,0.0,0.0,0
pilot,XNR-PW-CONV-ZERO,100,1676186997283559608,NR-global-run,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,100,4294967296.0,4294967296.0,4294967296
pilot,XNR-PW-CONV-ZERO,100,1676186997283559608,NR-template-epoch,4294967296,4294967296,0,0.0,0,1,0.0,0.0,0
pilot,XNR-PW-CONV-OFFSET,100,1676186997283559608,NR-global-run,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,100,4294967296.0,4294967296.0,4294967296
pilot,XNR-PW-CONV-OFFSET,100,1676186997283559608,NR-template-epoch,4294967296,4294967296,0,0.0,0,1,0.0,0.0,0
pilot,XNR-PW-MT-ZERO,100,1676186997283559608,NR-global-run,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,100,4294967296.0,4294967296.0,4294967296
pilot,XNR-PW-MT-ZERO,100,1676186997283559608,NR-template-epoch,429496729600,4294967296,425201762304,0.99,4294967296,100,4294967296.0,4294967296.0,4294967296
pilot,XNR-PW-MT-OFFSET,100,1676186997283559608,NR-global-run,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,100,4294967296.0,4294967296.0,4294967296
pilot,XNR-PW-MT-OFFSET,100,1676186997283559608,NR-template-epoch,429496729600,4294967296,425201762304,0.99,4294967296,100,4294967296.0,4294967296.0,4294967296
pilot,XNR-PC,100,1676186997283559608,NR-global-run,233999999782070517764,4294967296,233999999777775550468,0.9999999999816455,0,1,0.0,0.0,0
pilot,XNR-PC,100,1676186997283559608,NR-template-epoch,4294967296,4294967296,0,0.0,0,1,0.0,0.0,0
pilot,XNR-PW-CONV-ZERO,300,7068745346940014165,NR-global-run,702000000000000000000,4294967296,701999999995705032704,0.9999999999938818,4294967296,300,4294967296.0,4294967296.0,4294967296
pilot,XNR-PW-CONV-ZERO,300,7068745346940014165,NR-template-epoch,4294967296,4294967296,0,0.0,0,1,0.0,0.0,0
pilot,XNR-PW-CONV-OFFSET,300,7068745346940014165,NR-global-run,702000000000000000000,4294967296,701999999995705032704,0.9999999999938818,4294967296,300,4294967296.0,4294967296.0,4294967296
pilot,XNR-PW-CONV-OFFSET,300,7068745346940014165,NR-template-epoch,4294967296,4294967296,0,0.0,0,1,0.0,0.0,0
pilot,XNR-PW-MT-ZERO,300,7068745346940014165,NR-global-run,702000000000000000000,4294967296,701999999995705032704,0.9999999999938818,4294967296,300,4294967296.0,4294967296.0,4294967296
pilot,XNR-PW-MT-ZERO,300,7068745346940014165,NR-template-epoch,1288490188800,4294967296,1284195221504,0.9966666666666667,4294967296,300,4294967296.0,4294967296.0,4294967296
pilot,XNR-PW-MT-OFFSET,300,7068745346940014165,NR-global-run,702000000000000000000,4294967296,701999999995705032704,0.9999999999938818,4294967296,300,4294967296.0,4294967296.0,4294967296
pilot,XNR-PW-MT-OFFSET,300,7068745346940014165,NR-template-epoch,1288490188800,4294967296,1284195221504,0.9966666666666667,4294967296,300,4294967296.0,4294967296.0,4294967296
pilot,XNR-PC,300,7068745346940014165,NR-global-run,701999983001500780792,4294967296,701999982997205813496,0.9999999999938818,0,1,0.0,0.0,0
pilot,XNR-PC,300,7068745346940014165,NR-template-epoch,4294967296,4294967296,0,0.0,0,1,0.0,0.0,0
pilot,XNR-PW-CONV-ZERO,300,1676186997283559608,NR-global-run,702000000000000000000,4294967296,701999999995705032704,0.9999999999938818,4294967296,300,4294967296.0,4294967296.0,4294967296
pilot,XNR-PW-CONV-ZERO,300,1676186997283559608,NR-template-epoch,4294967296,4294967296,0,0.0,0,1,0.0,0.0,0
pilot,XNR-PW-CONV-OFFSET,300,1676186997283559608,NR-global-run,702000000000000000000,4294967296,701999999995705032704,0.9999999999938818,4294967296,300,4294967296.0,4294967296.0,4294967296
pilot,XNR-PW-CONV-OFFSET,300,1676186997283559608,NR-template-epoch,4294967296,4294967296,0,0.0,0,1,0.0,0.0,0
pilot,XNR-PW-MT-ZERO,300,1676186997283559608,NR-global-run,702000000000000000000,4294967296,701999999995705032704,0.9999999999938818,4294967296,300,4294967296.0,4294967296.0,4294967296
pilot,XNR-PW-MT-ZERO,300,1676186997283559608,NR-template-epoch,1288490188800,4294967296,1284195221504,0.9966666666666667,4294967296,300,4294967296.0,4294967296.0,4294967296
pilot,XNR-PW-MT-OFFSET,300,1676186997283559608,NR-global-run,702000000000000000000,4294967296,701999999995705032704,0.9999999999938818,4294967296,300,4294967296.0,4294967296.0,4294967296
pilot,XNR-PW-MT-OFFSET,300,1676186997283559608,NR-template-epoch,1288490188800,4294967296,1284195221504,0.9966666666666667,4294967296,300,4294967296.0,4294967296.0,4294967296
pilot,XNR-PC,300,1676186997283559608,NR-global-run,701999983001500780376,4294967296,701999982997205813080,0.9999999999938818,0,1,0.0,0.0,0
pilot,XNR-PC,300,1676186997283559608,NR-template-epoch,4294967296,4294967296,0,0.0,0,1,0.0,0.0,0
pilot,XNR-PW-CONV-ZERO,500,7068745346940014165,NR-global-run,1170000000000000000000,4294967296,1169999999995705032704,0.999999999996329,4294967296,500,4294967296.0,4294967296.0,4294967296
pilot,XNR-PW-CONV-ZERO,500,7068745346940014165,NR-template-epoch,4294967296,4294967296,0,0.0,0,1,0.0,0.0,0
pilot,XNR-PW-CONV-OFFSET,500,7068745346940014165,NR-global-run,1170000000000000000000,4294967296,1169999999995705032704,0.999999999996329,4294967296,500,4294967296.0,4294967296.0,4294967296
pilot,XNR-PW-CONV-OFFSET,500,7068745346940014165,NR-template-epoch,4294967296,4294967296,0,0.0,0,1,0.0,0.0,0
pilot,XNR-PW-MT-ZERO,500,7068745346940014165,NR-global-run,1170000000000000000000,4294967296,1169999999995705032704,0.999999999996329,4294967296,500,4294967296.0,4294967296.0,4294967296
pilot,XNR-PW-MT-ZERO,500,7068745346940014165,NR-template-epoch,2147483648000,4294967296,2143188680704,0.998,4294967296,500,4294967296.0,4294967296.0,4294967296
pilot,XNR-PW-MT-OFFSET,500,7068745346940014165,NR-global-run,1170000000000000000000,4294967296,1169999999995705032704,0.999999999996329,4294967296,500,4294967296.0,4294967296.0,4294967296
pilot,XNR-PW-MT-OFFSET,500,7068745346940014165,NR-template-epoch,2147483648000,4294967296,2143188680704,0.998,4294967296,500,4294967296.0,4294967296.0,4294967296
pilot,XNR-PC,500,7068745346940014165,NR-global-run,1169999944427984614092,4294967296,1169999944423689646796,0.999999999996329,0,1,0.0,0.0,0
pilot,XNR-PC,500,7068745346940014165,NR-template-epoch,4294967296,4294967296,0,0.0,0,1,0.0,0.0,0
pilot,XNR-PW-CONV-ZERO,500,1676186997283559608,NR-global-run,1170000000000000000000,4294967296,1169999999995705032704,0.999999999996329,4294967296,500,4294967296.0,4294967296.0,4294967296
pilot,XNR-PW-CONV-ZERO,500,1676186997283559608,NR-template-epoch,4294967296,4294967296,0,0.0,0,1,0.0,0.0,0
pilot,XNR-PW-CONV-OFFSET,500,1676186997283559608,NR-global-run,1170000000000000000000,4294967296,1169999999995705032704,0.999999999996329,4294967296,500,4294967296.0,4294967296.0,4294967296
pilot,XNR-PW-CONV-OFFSET,500,1676186997283559608,NR-template-epoch,4294967296,4294967296,0,0.0,0,1,0.0,0.0,0
pilot,XNR-PW-MT-ZERO,500,1676186997283559608,NR-global-run,1170000000000000000000,4294967296,1169999999995705032704,0.999999999996329,4294967296,500,4294967296.0,4294967296.0,4294967296
pilot,XNR-PW-MT-ZERO,500,1676186997283559608,NR-template-epoch,2147483648000,4294967296,2143188680704,0.998,4294967296,500,4294967296.0,4294967296.0,4294967296
pilot,XNR-PW-MT-OFFSET,500,1676186997283559608,NR-global-run,1170000000000000000000,4294967296,1169999999995705032704,0.999999999996329,4294967296,500,4294967296.0,4294967296.0,4294967296
pilot,XNR-PW-MT-OFFSET,500,1676186997283559608,NR-template-epoch,2147483648000,4294967296,2143188680704,0.998,4294967296,500,4294967296.0,4294967296.0,4294967296
pilot,XNR-PC,500,1676186997283559608,NR-global-run,1169999944427984613684,4294967296,1169999944423689646388,0.999999999996329,0,1,0.0,0.0,0
pilot,XNR-PC,500,1676186997283559608,NR-template-epoch,4294967296,4294967296,0,0.0,0,1,0.0,0.0,0
