tag,arm,N,seed,scope,O_mean,O_median,O_p95,O_max,M_ge2,M_ge3,m_max,mean_mult_reused
pilot,XNR-PW-CONV-ZERO,100,7068745346940014165,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0
pilot,XNR-PW-CONV-ZERO,100,7068745346940014165,subsweep,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,100.0,100.0
pilot,XNR-PW-CONV-OFFSET,100,7068745346940014165,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0
pilot,XNR-PW-CONV-OFFSET,100,7068745346940014165,subsweep,121441.25575757581,0.0,0.0,21464398.0,401537040.0,82153029.0,4.0,2.2338930799509806
pilot,XNR-PW-MT-ZERO,100,7068745346940014165,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0
pilot,XNR-PW-MT-ZERO,100,7068745346940014165,subsweep,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,100.0,100.0
pilot,XNR-PW-MT-OFFSET,100,7068745346940014165,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0
pilot,XNR-PW-MT-OFFSET,100,7068745346940014165,subsweep,121441.25575757575,0.0,0.0,21464398.0,401537040.0,82153029.0,4.0,2.23389307995098
pilot,XNR-PC,100,7068745346940014165,round,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
pilot,XNR-PC,100,7068745346940014165,subsweep,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
pilot,XNR-PW-CONV-ZERO,100,1676186997283559608,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0
pilot,XNR-PW-CONV-ZERO,100,1676186997283559608,subsweep,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,100.0,100.0
pilot,XNR-PW-CONV-OFFSET,100,1676186997283559608,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0
pilot,XNR-PW-CONV-OFFSET,100,1676186997283559608,subsweep,124477.5228282828,0.0,0.0,21441775.0,359121228.0,71563496.0,5.0,2.292421922771994
pilot,XNR-PW-MT-ZERO,100,1676186997283559608,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0
pilot,XNR-PW-MT-ZERO,100,1676186997283559608,subsweep,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,100.0,100.0
pilot,XNR-PW-MT-OFFSET,100,1676186997283559608,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0
pilot,XNR-PW-MT-OFFSET,100,1676186997283559608,subsweep,124477.52282828283,0.0,0.0,21441775.0,359121228.0,71563496.0,5.0,2.292421922771995
pilot,XNR-PC,100,1676186997283559608,round,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
pilot,XNR-PC,100,1676186997283559608,subsweep,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
pilot,XNR-PW-CONV-ZERO,300,7068745346940014165,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,300.0,300.0
pilot,XNR-PW-CONV-ZERO,300,7068745346940014165,subsweep,7158278.0,7158278.0,7158278.0,7158278.0,7158278.0,7158278.0,300.0,300.0
pilot,XNR-PW-CONV-OFFSET,300,7068745346940014165,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,300.0,300.0
pilot,XNR-PW-CONV-OFFSET,300,7068745346940014165,subsweep,13550.088517279824,0.0,0.0,7150094.0,411823497.0,65286672.0,5.0,2.209947117223377
pilot,XNR-PW-MT-ZERO,300,7068745346940014165,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,300.0,300.0
pilot,XNR-PW-MT-ZERO,300,7068745346940014165,subsweep,7158278.0,7158278.0,7158278.0,7158278.0,7158278.0,7158278.0,300.0,300.0
pilot,XNR-PW-MT-OFFSET,300,7068745346940014165,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,300.0,300.0
pilot,XNR-PW-MT-OFFSET,300,7068745346940014165,subsweep,13550.08851727982,0.0,0.0,7150094.0,411823497.0,65286672.0,5.0,2.209947117223377
pilot,XNR-PC,300,7068745346940014165,round,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
pilot,XNR-PC,300,7068745346940014165,subsweep,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
pilot,XNR-PW-CONV-ZERO,300,1676186997283559608,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,300.0,300.0
pilot,XNR-PW-CONV-ZERO,300,1676186997283559608,subsweep,7158278.0,7158278.0,7158278.0,7158278.0,7158278.0,7158278.0,300.0,300.0
pilot,XNR-PW-CONV-OFFSET,300,1676186997283559608,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,300.0,300.0
pilot,XNR-PW-CONV-OFFSET,300,1676186997283559608,subsweep,11640.558193979932,0.0,0.0,7144419.0,361947726.0,70101888.0,4.0,2.2120317202932225
pilot,XNR-PW-MT-ZERO,300,1676186997283559608,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,300.0,300.0
pilot,XNR-PW-MT-ZERO,300,1676186997283559608,subsweep,7158278.0,7158278.0,7158278.0,7158278.0,7158278.0,7158278.0,300.0,300.0
pilot,XNR-PW-MT-OFFSET,300,1676186997283559608,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,300.0,300.0
pilot,XNR-PW-MT-OFFSET,300,1676186997283559608,subsweep,11640.558193979934,0.0,0.0,7144419.0,361947726.0,70101888.0,4.0,2.2120317202932225
pilot,XNR-PC,300,1676186997283559608,round,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
pilot,XNR-PC,300,1676186997283559608,subsweep,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
pilot,XNR-PW-CONV-ZERO,500,7068745346940014165,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,500.0,500.0
pilot,XNR-PW-CONV-ZERO,500,7068745346940014165,subsweep,4294967.0,4294967.0,4294967.0,4294967.0,4294967.0,4294967.0,500.0,500.0
pilot,XNR-PW-CONV-OFFSET,500,7068745346940014165,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,500.0,500.0
pilot,XNR-PW-CONV-OFFSET,500,7068745346940014165,subsweep,4547.947166332665,0.0,0.0,4286783.0,389265852.0,77388561.0,4.0,2.218770039967441
pilot,XNR-PW-MT-ZERO,500,7068745346940014165,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,500.0,500.0
pilot,XNR-PW-MT-ZERO,500,7068745346940014165,subsweep,4294967.0,4294967.0,4294967.0,4294967.0,4294967.0,4294967.0,500.0,500.0
pilot,XNR-PW-MT-OFFSET,500,7068745346940014165,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,500.0,500.0
pilot,XNR-PW-MT-OFFSET,500,7068745346940014165,subsweep,4547.947166332665,0.0,0.0,4286783.0,389265852.0,77388561.0,4.0,2.218770039967441
