tag,arm,N,seed,template_epochs_completed,nonce_domain_exhaustions,nonce_resets
pilot,XNR-PW-CONV-ZERO,100,7068745346940014165,54482369600,54482369600,54482371600
pilot,XNR-PW-CONV-OFFSET,100,7068745346940014165,54482369600,54482369600,0
pilot,XNR-PW-MT-ZERO,100,7068745346940014165,544823705,54482370500,54482370700
pilot,XNR-PW-MT-OFFSET,100,7068745346940014165,544823706,54482370600,0
pilot,XNR-PC,100,7068745346940014165,54482370555,5448237055500,5448237055500
pilot,XNR-PW-CONV-ZERO,100,1676186997283559608,54482369800,54482369800,54482371400
pilot,XNR-PW-CONV-OFFSET,100,1676186997283559608,54482369800,54482369800,0
pilot,XNR-PW-MT-ZERO,100,1676186997283559608,544823706,54482370600,54482370700
pilot,XNR-PW-MT-OFFSET,100,1676186997283559608,544823706,54482370600,0
pilot,XNR-PC,100,1676186997283559608,54482370559,5448237055900,5448237055900
pilot,XNR-PW-CONV-ZERO,300,7068745346940014165,163447108800,163447108800,163447114800
pilot,XNR-PW-CONV-OFFSET,300,7068745346940014165,163447108800,163447108800,0
pilot,XNR-PW-MT-ZERO,300,7068745346940014165,544823705,163447111500,163447112100
pilot,XNR-PW-MT-OFFSET,300,7068745346940014165,544823706,163447111800,0
pilot,XNR-PC,300,7068745346940014165,163447107877,49034132363100,49034132363100
pilot,XNR-PW-CONV-ZERO,300,1676186997283559608,163447109400,163447109400,163447114200
pilot,XNR-PW-CONV-OFFSET,300,1676186997283559608,163447109400,163447109400,0
pilot,XNR-PW-MT-ZERO,300,1676186997283559608,544823706,163447111800,163447112100
pilot,XNR-PW-MT-OFFSET,300,1676186997283559608,544823706,163447111800,0
pilot,XNR-PC,300,1676186997283559608,163447107881,49034132364300,49034132364300
pilot,XNR-PW-CONV-ZERO,500,7068745346940014165,272411848000,272411848000,272411858000
pilot,XNR-PW-CONV-OFFSET,500,7068745346940014165,272411848000,272411848000,0
pilot,XNR-PW-MT-ZERO,500,7068745346940014165,544823705,272411852500,272411853500
pilot,XNR-PW-MT-OFFSET,500,7068745346940014165,544823706,272411853000,0
pilot,XNR-PC,500,7068745346940014165,272411840127,136205920063500,136205920063500
pilot,XNR-PW-CONV-ZERO,500,1676186997283559608,272411849000,272411849000,272411857000
pilot,XNR-PW-CONV-OFFSET,500,1676186997283559608,272411849000,272411849000,0
pilot,XNR-PW-MT-ZERO,500,1676186997283559608,544823706,272411853000,272411853500
pilot,XNR-PW-MT-OFFSET,500,1676186997283559608,544823706,272411853000,0
pilot,XNR-PC,500,1676186997283559608,272411840129,136205920064500,136205920064500
