N,arm,rho_nonce_round_mean,rho_nonce_round_sd,rho_nonce_template_epoch_mean,rho_nonce_template_epoch_sd,rho_nonce_global_run_mean,rho_nonce_global_run_sd,rho_nonce_subsweep_mean,rho_nonce_subsweep_sd,M_ge2_round_mean,M_ge2_round_sd,M_ge3_round_mean,M_ge3_round_sd,m_max_round_mean,m_max_round_sd,mean_mult_reused_round_mean,mean_mult_reused_round_sd,O_mean_round_mean,O_mean_round_sd,O_mean_subsweep_mean,O_mean_subsweep_sd,O_median_subsweep_mean,O_median_subsweep_sd,O_p95_subsweep_mean,O_p95_subsweep_sd,O_max_subsweep_mean,O_max_subsweep_sd
100,XNR-PW-CONV-ZERO,0.9999999969596338,5.161531746093606e-09,0.0,0.0,0.9999999999816455,0.0,0.99,1.471818800683524e-16,4294967296.0,0.0,4294967296.0,0.0,100.0,0.0,100.0,0.0,4294967296.0,0.0,21474836.0,0.0,21474836.0,0.0,21474836.0,0.0,21474836.0,0.0
100,XNR-PW-CONV-OFFSET,0.9999999969596338,5.161531746093606e-09,0.0,0.0,0.9999999999816455,0.0,0.2129762494887815,0.023677599989081723,4294967296.0,0.0,4294967296.0,0.0,100.0,0.0,100.0,0.0,4294967296.0,0.0,108994.70655892257,17268.618510741286,0.0,0.0,0.0,0.0,21182345.066666666,304584.497108702
100,XNR-PW-MT-ZERO,0.9999999999787813,1.2114122582883118e-11,0.99,0.0,0.9999999999816455,0.0,0.99,0.0,4294967296.0,0.0,4294967296.0,0.0,100.0,0.0,100.0,0.0,4294967296.0,0.0,21474836.0,0.0,21474836.0,0.0,21474836.0,0.0,21474836.0,0.0
100,XNR-PW-MT-OFFSET,0.9999999999787813,1.2114122582883118e-11,0.99,0.0,0.9999999999816455,0.0,0.2129762494887815,0.02367759998908173,4294967296.0,0.0,4294967296.0,0.0,100.0,0.0,100.0,0.0,4294967296.0,0.0,108994.70655892255,17268.618510741293,0.0,0.0,0.0,0.0,21182345.066666666,304584.497108702
100,XNR-PC,0.9999999969596342,5.1615307308182965e-09,0.0,0.0,0.9999999999816455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,XNR-PW-CONV-ZERO,0.9999999984798169,2.580765892622268e-09,0.0,0.0,0.9999999999908227,0.0,0.9949999999999999,1.2283592692536294e-16,4294967296.0,0.0,4294967296.0,0.0,200.0,0.0,200.0,0.0,4294967296.0,0.0,10737418.0,0.0,10737418.0,0.0,10737418.0,0.0,10737418.0,0.0
200,XNR-PW-CONV-OFFSET,0.9999999984798169,2.580765892622268e-09,0.0,0.0,0.9999999999908227,0.0,0.20991612480765862,0.020400298008710495,4294967296.0,0.0,4294967296.0,0.0,200.0,0.0,200.0,0.0,4294967296.0,0.0,26335.604644891122,3181.228282587245,0.0,0.0,0.0,0.0,10639615.733333332,130476.65406076274
200,XNR-PW-MT-ZERO,0.9999999999903313,2.691181666952661e-12,0.995,0.0,0.9999999999908227,0.0,0.995,0.0,4294967296.0,0.0,4294967296.0,0.0,200.0,0.0,200.0,0.0,4294967296.0,0.0,10737418.0,0.0,10737418.0,0.0,10737418.0,0.0,10737418.0,0.0
200,XNR-PW-MT-OFFSET,0.9999999999903313,2.691181666952661e-12,0.995,0.0,0.9999999999908227,0.0,0.20991612480765862,0.0204002980087105,4294967296.0,0.0,4294967296.0,0.0,200.0,0.0,200.0,0.0,4294967296.0,0.0,26335.604644891122,3181.2282825872453,0.0,0.0,0.0,0.0,10639615.733333332,130476.65406076274
200,XNR-PC,0.9999999984798168,2.5807657926601736e-09,0.0,0.0,0.9999999999908227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,XNR-PW-CONV-ZERO,0.9999999989865446,1.72051058903501e-09,0.0,0.0,0.9999999999938818,0.0,0.9966666666666665,5.595601015803485e-17,4294967296.0,0.0,4294967296.0,0.0,300.0,0.0,300.0,0.0,4294967296.0,0.0,7158278.0,0.0,7158278.0,0.0,7158278.0,0.0,7158278.0,0.0
300,XNR-PW-CONV-OFFSET,0.9999999989865446,1.72051058903501e-09,0.0,0.0,0.9999999999938818,0.0,0.21410528644831434,0.017367431172548974,4294967296.0,0.0,4294967296.0,0.0,300.0,0.0,300.0,0.0,4294967296.0,0.0,11999.303106651801,1221.2822282746831,0.0,0.0,0.0,0.0,7111899.133333334,51719.065211925496
300,XNR-PW-MT-ZERO,0.9999999999936564,1.2343906751181246e-12,0.9966666666666667,0.0,0.9999999999938818,0.0,0.9966666666666667,0.0,4294967296.0,0.0,4294967296.0,0.0,300.0,0.0,300.0,0.0,4294967296.0,0.0,7158278.0,0.0,7158278.0,0.0,7158278.0,0.0,7158278.0,0.0
300,XNR-PW-MT-OFFSET,0.9999999999936564,1.2343906751181246e-12,0.9966666666666667,0.0,0.9999999999938818,0.0,0.21410528644831434,0.017367431172548967,4294967296.0,0.0,4294967296.0,0.0,300.0,0.0,300.0,0.0,4294967296.0,0.0,11999.303106651801,1221.2822282746824,0.0,0.0,0.0,0.0,7111899.133333334,51719.065211925496
300,XNR-PC,0.9999999989865446,1.7205105198537157e-09,0.0,0.0,0.9999999999938818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,XNR-PW-CONV-ZERO,0.9999999992399085,1.2903829068721178e-09,0.0,0.0,0.9999999999954113,0.0,0.9975000000000003,1.471818800683524e-16,4294967296.0,0.0,4294967296.0,0.0,400.0,0.0,400.0,0.0,4294967296.0,0.0,5368709.0,0.0,5368709.0,0.0,5368709.0,0.0,5368709.0,0.0
400,XNR-PW-CONV-OFFSET,0.9999999992399085,1.2903829068721178e-09,0.0,0.0,0.9999999999954113,0.0,0.21406268344338775,0.016606637953204138,4294967296.0,0.0,4294967296.0,0.0,400.0,0.0,400.0,0.0,4294967296.0,0.0,6752.775522138681,710.4236856753737,0.0,0.0,0.0,0.0,5341022.333333333,32368.41832801645
400,XNR-PW-MT-ZERO,0.999999999995258,8.398794315662172e-13,0.9975,0.0,0.9999999999954113,0.0,0.9975,0.0,4294967296.0,0.0,4294967296.0,0.0,400.0,0.0,400.0,0.0,4294967296.0,0.0,5368709.0,0.0,5368709.0,0.0,5368709.0,0.0,5368709.0,0.0
400,XNR-PW-MT-OFFSET,0.999999999995258,8.398794315662172e-13,0.9975,0.0,0.9999999999954113,0.0,0.21406268344338772,0.016606637953204145,4294967296.0,0.0,4294967296.0,0.0,400.0,0.0,400.0,0.0,4294967296.0,0.0,6752.77552213868,710.423685675374,0.0,0.0,0.0,0.0,5341022.333333333,32368.41832801645
400,XNR-PC,0.9999999992399083,1.2903828879936801e-09,0.0,0.0,0.9999999999954113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,XNR-PW-CONV-ZERO,0.9999999993919267,1.032306348696825e-09,0.0,0.0,0.999999999996329,0.0,0.998,1.2283592692536294e-16,4294967296.0,0.0,4294967296.0,0.0,500.0,0.0,500.0,0.0,4294967296.0,0.0,4294967.0,0.0,4294967.0,0.0,4294967.0,0.0,4294967.0,0.0
500,XNR-PW-CONV-OFFSET,0.9999999993919267,1.032306348696825e-09,0.0,0.0,0.999999999996329,0.0,0.2122087886899558,0.014149908063660151,4294967296.0,0.0,4294967296.0,0.0,500.0,0.0,500.0,0.0,4294967296.0,0.0,4283.110789579158,398.1829457182663,0.0,0.0,0.0,0.0,4281162.333333333,13119.136812787787
500,XNR-PW-MT-ZERO,0.9999999999961835,7.97333107761282e-13,0.998,0.0,0.999999999996329,0.0,0.998,0.0,4294967296.0,0.0,4294967296.0,0.0,500.0,0.0,500.0,0.0,4294967296.0,0.0,4294967.0,0.0,4294967.0,0.0,4294967.0,0.0,4294967.0,0.0
500,XNR-PW-MT-OFFSET,0.9999999999961835,7.97333107761282e-13,0.998,0.0,0.999999999996329,0.0,0.2122087886899558,0.014149908063660137,4294967296.0,0.0,4294967296.0,0.0,500.0,0.0,500.0,0.0,4294967296.0,0.0,4283.110789579158,398.18294571826607,0.0,0.0,0.0,0.0,4281162.333333333,13119.136812787787
500,XNR-PC,0.9999999993919267,1.0323063465984462e-09,0.0,0.0,0.999999999996329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
