N,arm,rho_exact_round_mean,rho_exact_round_sd,rho_exact_template_epoch_mean,rho_exact_template_epoch_sd,rho_exact_global_run_mean,rho_exact_global_run_sd,R_exact_global_run_mean,R_exact_global_run_sd,rho_exact_subsweep_mean,rho_exact_subsweep_sd
100,XNR-PW-CONV-ZERO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,XNR-PW-CONV-OFFSET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,XNR-PW-MT-ZERO,0.99,0.0,0.99,0.0,0.99,0.0,2.3166e+20,0.0,0.99,0.0
100,XNR-PW-MT-OFFSET,0.9899999999824834,9.018726706554909e-12,0.99,0.0,0.9899999999838742,2.6717019728375632e-12,2.3165999999622657e+20,625181396.6877594,0.2129762494887815,0.02367759998908173
100,XNR-PC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,XNR-PW-CONV-ZERO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,XNR-PW-CONV-OFFSET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,XNR-PW-MT-ZERO,0.995,0.0,0.995,0.0,0.995,0.0,4.6566e+20,0.0,0.995,0.0
200,XNR-PW-MT-OFFSET,0.9949999999917326,2.558921179660045e-12,0.995,0.0,0.9949999999919112,1.5806192396307964e-12,4.6565999999621444e+20,739735402.2545958,0.20991612480765862,0.0204002980087105
200,XNR-PC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,XNR-PW-CONV-ZERO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,XNR-PW-CONV-OFFSET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,XNR-PW-MT-ZERO,0.9966666666666667,0.0,0.9966666666666667,0.0,0.9966666666666667,0.0,6.9966e+20,0.0,0.9966666666666667,0.0
300,XNR-PW-MT-OFFSET,0.9966666666612414,1.2334582640199697e-12,0.9966666666666667,0.0,0.9966666666612662,1.0971235456245463e-12,6.996599999962089e+20,770174824.8628982,0.21410528644831434,0.017367431172548967
300,XNR-PC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,XNR-PW-CONV-ZERO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,XNR-PW-CONV-OFFSET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,XNR-PW-MT-ZERO,0.9975,0.0,0.9975,0.0,0.9975,0.0,9.3366e+20,0.0,0.9975,0.0
400,XNR-PW-MT-OFFSET,0.9974999999959564,7.865293009065748e-13,0.9975,0.0,0.9974999999959563,7.869346970362073e-13,9.33659999996215e+20,736576594.2480738,0.21406268344338772,0.016606637953204145
400,XNR-PC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,XNR-PW-CONV-ZERO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,XNR-PW-CONV-OFFSET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,XNR-PW-MT-ZERO,0.998,0.0,0.998,0.0,0.998,0.0,1.16766e+21,0.0,0.998,0.0
500,XNR-PW-MT-OFFSET,0.9979999999967453,7.374763692210373e-13,0.998,0.0,0.9979999999967625,6.43627165211104e-13,1.167659999996212e+21,753040684.4638852,0.2122087886899558,0.014149908063660137
500,XNR-PC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
