N,arm,C_total_mean,C_total_sd,t_active_miner_s_mean,evals_per_active_miner_second
100,XNR-PW-CONV-ZERO,2.34e+20,0.0,1000000.0,234000000000000.0
100,XNR-PW-CONV-OFFSET,2.34e+20,0.0,1000000.0,234000000000000.0
100,XNR-PW-MT-ZERO,2.34e+20,0.0,1000000.0,234000000000000.0
100,XNR-PW-MT-OFFSET,2.34e+20,0.0,1000000.0,234000000000000.0
100,XNR-PC,2.3399999978207052e+20,0.0,999999.9990686774,234000000000000.0
200,XNR-PW-CONV-ZERO,4.68e+20,0.0,2000000.0,234000000000000.0
200,XNR-PW-CONV-OFFSET,4.68e+20,0.0,2000000.0,234000000000000.0
200,XNR-PW-MT-ZERO,4.68e+20,0.0,2000000.0,234000000000000.0
200,XNR-PW-MT-OFFSET,4.68e+20,0.0,2000000.0,234000000000000.0
200,XNR-PC,4.679999886676672e+20,0.0,1999999.9515712273,234000000000000.0
300,XNR-PW-CONV-ZERO,7.02e+20,0.0,3000000.0,234000000000000.0
300,XNR-PW-CONV-OFFSET,7.02e+20,0.0,3000000.0,234000000000000.0
300,XNR-PW-MT-ZERO,7.02e+20,0.0,3000000.0,234000000000000.0
300,XNR-PW-MT-OFFSET,7.02e+20,0.0,3000000.0,234000000000000.0
300,XNR-PC,7.019999830015008e+20,0.0,2999999.927356841,234000000000000.0
400,XNR-PW-CONV-ZERO,9.36e+20,0.0,4000000.0,234000000000000.0
400,XNR-PW-CONV-OFFSET,9.36e+20,0.0,4000000.0,234000000000000.0
400,XNR-PW-MT-ZERO,9.36e+20,0.0,4000000.0,234000000000000.0
400,XNR-PW-MT-OFFSET,9.36e+20,0.0,4000000.0,234000000000000.0
400,XNR-PC,9.35999933749442e+20,0.0,3999999.7168779573,234000000000000.0
500,XNR-PW-CONV-ZERO,1.17e+21,0.0,5000000.0,234000000000000.0
500,XNR-PW-CONV-OFFSET,1.17e+21,0.0,5000000.0,234000000000000.0
500,XNR-PW-MT-ZERO,1.17e+21,0.0,5000000.0,234000000000000.0
500,XNR-PW-MT-OFFSET,1.17e+21,0.0,5000000.0,234000000000000.0
500,XNR-PC,1.1699999444279847e+21,0.0,4999999.762512755,234000000000000.0
