N,arm,alpha_case,alpha,energy_J_mean,energy_kWh_mean,energy_J_sd,saving_vs_conv_offset_mean,saving_vs_conv_offset_max
100,XNR-PW-CONV-ZERO,LP0,0.0,3510000000.0,975.0,0.0,0.0,0.0
100,XNR-PW-CONV-ZERO,LP10,0.1,3510000000.0,975.0,0.0,0.0,0.0
100,XNR-PW-CONV-ZERO,LP25,0.25,3510000000.0,975.0,0.0,0.0,0.0
100,XNR-PW-CONV-ZERO,LP50,0.5,3510000000.0,975.0,0.0,0.0,0.0
100,XNR-PW-CONV-OFFSET,LP0,0.0,3510000000.0,975.0,0.0,0.0,0.0
100,XNR-PW-CONV-OFFSET,LP10,0.1,3510000000.0,975.0,0.0,0.0,0.0
100,XNR-PW-CONV-OFFSET,LP25,0.25,3510000000.0,975.0,0.0,0.0,0.0
100,XNR-PW-CONV-OFFSET,LP50,0.5,3510000000.0,975.0,0.0,0.0,0.0
100,XNR-PW-MT-ZERO,LP0,0.0,3510000000.0,975.0,0.0,0.0,0.0
100,XNR-PW-MT-ZERO,LP10,0.1,3510000000.0,975.0,0.0,0.0,0.0
100,XNR-PW-MT-ZERO,LP25,0.25,3510000000.0,975.0,0.0,0.0,0.0
100,XNR-PW-MT-ZERO,LP50,0.5,3510000000.0,975.0,0.0,0.0,0.0
100,XNR-PW-MT-OFFSET,LP0,0.0,3510000000.0,975.0,0.0,0.0,0.0
100,XNR-PW-MT-OFFSET,LP10,0.1,3510000000.0,975.0,0.0,0.0,0.0
100,XNR-PW-MT-OFFSET,LP25,0.25,3510000000.0,975.0,0.0,0.0,0.0
100,XNR-PW-MT-OFFSET,LP50,0.5,3510000000.0,975.0,0.0,0.0,0.0
100,XNR-PC,LP0,0.0,3509999996.7310576,974.9999990919605,0.0,9.313225746154785e-10,9.313225746154785e-10
100,XNR-PC,LP10,0.1,3509999997.057952,974.9999991827644,0.0,8.381902949494702e-10,8.381902949494702e-10
100,XNR-PC,LP25,0.25,3509999997.548293,974.9999993189703,0.0,6.984920419839113e-10,6.984920419839113e-10
100,XNR-PC,LP50,0.5,3509999998.3655286,974.9999995459801,0.0,4.656613983300417e-10,4.656613983300417e-10
100,XNR-PC,F_low_time,,,,,9.313225736022793e-10,9.313225736022793e-10
200,XNR-PW-CONV-ZERO,LP0,0.0,7020000000.0,1950.0,0.0,0.0,0.0
200,XNR-PW-CONV-ZERO,LP10,0.1,7020000000.0,1950.0,0.0,0.0,0.0
200,XNR-PW-CONV-ZERO,LP25,0.25,7020000000.0,1950.0,0.0,0.0,0.0
200,XNR-PW-CONV-ZERO,LP50,0.5,7020000000.0,1950.0,0.0,0.0,0.0
200,XNR-PW-CONV-OFFSET,LP0,0.0,7020000000.0,1950.0,0.0,0.0,0.0
200,XNR-PW-CONV-OFFSET,LP10,0.1,7020000000.0,1950.0,0.0,0.0,0.0
200,XNR-PW-CONV-OFFSET,LP25,0.25,7020000000.0,1950.0,0.0,0.0,0.0
200,XNR-PW-CONV-OFFSET,LP50,0.5,7020000000.0,1950.0,0.0,0.0,0.0
200,XNR-PW-MT-ZERO,LP0,0.0,7020000000.0,1950.0,0.0,0.0,0.0
200,XNR-PW-MT-ZERO,LP10,0.1,7020000000.0,1950.0,0.0,0.0,0.0
200,XNR-PW-MT-ZERO,LP25,0.25,7020000000.0,1950.0,0.0,0.0,0.0
200,XNR-PW-MT-ZERO,LP50,0.5,7020000000.0,1950.0,0.0,0.0,0.0
200,XNR-PW-MT-OFFSET,LP0,0.0,7020000000.0,1950.0,0.0,0.0,0.0
200,XNR-PW-MT-OFFSET,LP10,0.1,7020000000.0,1950.0,0.0,0.0,0.0
200,XNR-PW-MT-OFFSET,LP25,0.25,7020000000.0,1950.0,0.0,0.0,0.0
200,XNR-PW-MT-OFFSET,LP50,0.5,7020000000.0,1950.0,0.0,0.0,0.0
200,XNR-PC,LP0,0.0,7019999830.015008,1949.9999527819466,0.0,2.4214386273868627e-08,2.4214386273868627e-08
200,XNR-PC,LP10,0.1,7019999847.013507,1949.9999575037518,0.0,2.1792947779708527e-08,2.1792947779708527e-08
