N,arm,template_epochs_completed_mean,nonce_domain_exhaustions_mean,nonce_resets_mean,epochs_per_miner_mean
100,XNR-PW-CONV-ZERO,54482369736.666664,54482369736.666664,54482371450.0,544823697.3666667
100,XNR-PW-CONV-OFFSET,54482369736.666664,54482369736.666664,0.0,544823697.3666667
100,XNR-PW-MT-ZERO,544823705.9333333,54482370593.333336,54482370700.0,544823705.9333333
100,XNR-PW-MT-OFFSET,544823706.0,54482370600.0,0.0,544823706.0
100,XNR-PC,54482370555.73333,5448237055573.333,5448237055573.333,544823705.5573334
200,XNR-PW-CONV-ZERO,108964739473.33333,108964739473.33333,108964742900.0,544823697.3666667
200,XNR-PW-CONV-OFFSET,108964739473.33333,108964739473.33333,0.0,544823697.3666667
200,XNR-PW-MT-ZERO,544823705.9666667,108964741193.33333,108964741400.0,544823705.9666667
200,XNR-PW-MT-OFFSET,544823706.0,108964741200.0,0.0,544823706.0
200,XNR-PC,108964738583.23334,21792947716646.668,21792947716646.668,544823692.9161667
300,XNR-PW-CONV-ZERO,163447109210.0,163447109210.0,163447114350.0,544823697.3666667
300,XNR-PW-CONV-OFFSET,163447109210.0,163447109210.0,0.0,544823697.3666667
300,XNR-PW-MT-ZERO,544823705.9666667,163447111790.0,163447112100.0,544823705.9666667
300,XNR-PW-MT-OFFSET,544823706.0,163447111800.0,0.0,544823706.0
300,XNR-PC,163447107878.4,49034132363520.0,49034132363520.0,544823692.928
400,XNR-PW-CONV-ZERO,217929478946.66666,217929478946.66666,217929485800.0,544823697.3666667
400,XNR-PW-CONV-OFFSET,217929478946.66666,217929478946.66666,0.0,544823697.3666667
400,XNR-PW-MT-ZERO,544823705.9666667,217929482386.66666,217929482800.0,544823705.9666667
400,XNR-PW-MT-OFFSET,544823706.0,217929482400.0,0.0,544823706.0
400,XNR-PC,217929467026.36667,87171786810546.67,87171786810546.67,544823667.5659167
500,XNR-PW-CONV-ZERO,272411848683.33334,272411848683.33334,272411857250.0,544823697.3666667
500,XNR-PW-CONV-OFFSET,272411848683.33334,272411848683.33334,0.0,544823697.3666667
500,XNR-PW-MT-ZERO,544823705.9666667,272411852983.33334,272411853500.0,544823705.9666667
500,XNR-PW-MT-OFFSET,544823706.0,272411853000.0,0.0,544823706.0
500,XNR-PC,272411840127.4,136205920063700.0,136205920063700.0,544823680.2548
