N,family,metric,zero_mean,offset_mean,zero_minus_offset,test,p_value,effect
100,CONV,subsweep_rho_nonce,0.99,0.2129762494887815,0.7770237505112185,Wilcoxon,1.862645149230957e-09,rank-biserial=1.000
100,CONV,subsweep_O_mean,21474836.0,108994.70655892257,21365841.293441076,paired t,1.8711005865653775e-91,dz=1237.264
100,CONV,round_rho_nonce,0.9999999969596338,0.9999999969596338,0.0,degenerate (all differences zero),,0
100,CONV,accepted_blocks,16.133333333333333,16.133333333333333,0.0,degenerate (all differences zero),,0
100,MT,subsweep_rho_nonce,0.99,0.2129762494887815,0.7770237505112185,Wilcoxon,1.862645149230957e-09,rank-biserial=1.000
100,MT,subsweep_O_mean,21474836.0,108994.70655892255,21365841.293441076,paired t,1.8711005865653775e-91,dz=1237.264
100,MT,round_rho_nonce,0.9999999999787813,0.9999999999787813,0.0,degenerate (all differences zero),,0
100,MT,accepted_blocks,0.06666666666666667,0.06666666666666667,0.0,degenerate (all differences zero),,0
200,CONV,subsweep_rho_nonce,0.9949999999999999,0.20991612480765862,0.7850838751923412,paired t,9.471689457155263e-48,dz=38.484
200,CONV,subsweep_O_mean,10737418.0,26335.604644891122,10711082.39535511,paired t,4.608853558096667e-104,dz=3366.964
200,CONV,round_rho_nonce,0.9999999984798169,0.9999999984798169,0.0,degenerate (all differences zero),,0
200,CONV,accepted_blocks,16.133333333333333,16.133333333333333,0.0,degenerate (all differences zero),,0
200,MT,subsweep_rho_nonce,0.995,0.20991612480765862,0.7850838751923414,paired t,9.471689457154616e-48,dz=38.484
200,MT,subsweep_O_mean,10737418.0,26335.604644891122,10711082.39535511,paired t,4.608853558096667e-104,dz=3366.964
200,MT,round_rho_nonce,0.9999999999903313,0.9999999999903313,0.0,degenerate (all differences zero),,0
200,MT,accepted_blocks,0.03333333333333333,0.03333333333333333,0.0,degenerate (all differences zero),,0
300,CONV,subsweep_rho_nonce,0.9966666666666665,0.21410528644831434,0.7825613802183522,paired t,9.792823397868055e-50,dz=45.059
300,CONV,subsweep_O_mean,7158278.0,11999.303106651801,7146278.696893348,Wilcoxon,1.862645149230957e-09,rank-biserial=1.000
300,CONV,round_rho_nonce,0.9999999989865446,0.9999999989865446,0.0,degenerate (all differences zero),,0
300,CONV,accepted_blocks,16.133333333333333,16.133333333333333,0.0,degenerate (all differences zero),,0
300,MT,subsweep_rho_nonce,0.9966666666666667,0.21410528644831434,0.7825613802183523,paired t,9.792823397867504e-50,dz=45.059
300,MT,subsweep_O_mean,7158278.0,11999.303106651801,7146278.696893348,Wilcoxon,1.862645149230957e-09,rank-biserial=1.000
300,MT,round_rho_nonce,0.9999999999936564,0.9999999999936564,0.0,degenerate (all differences zero),,0
300,MT,accepted_blocks,0.03333333333333333,0.03333333333333333,0.0,degenerate (all differences zero),,0
400,CONV,subsweep_rho_nonce,0.9975000000000003,0.21406268344338775,0.7834373165566125,paired t,2.587681039036479e-50,dz=47.176
400,CONV,subsweep_O_mean,5368709.0,6752.775522138681,5361956.224477861,paired t,3.1415316754922295e-114,dz=7547.547
400,CONV,round_rho_nonce,0.9999999992399085,0.9999999992399085,0.0,degenerate (all differences zero),,0
400,CONV,accepted_blocks,16.133333333333333,16.133333333333333,0.0,degenerate (all differences zero),,0
400,MT,subsweep_rho_nonce,0.9975,0.21406268344338772,0.7834373165566123,paired t,2.587681039036502e-50,dz=47.176
400,MT,subsweep_O_mean,5368709.0,6752.77552213868,5361956.224477861,paired t,3.1415316754922295e-114,dz=7547.547
400,MT,round_rho_nonce,0.999999999995258,0.999999999995258,0.0,degenerate (all differences zero),,0
400,MT,accepted_blocks,0.03333333333333333,0.03333333333333333,0.0,degenerate (all differences zero),,0
500,CONV,subsweep_rho_nonce,0.998,0.2122087886899558,0.7857912113100441,paired t,2.2884837202363774e-52,dz=55.533
500,CONV,subsweep_O_mean,4294967.0,4283.110789579158,4290683.889210421,paired t,1.0295288979179902e-118,dz=10775.660
500,CONV,round_rho_nonce,0.9999999993919267,0.9999999993919267,0.0,degenerate (all differences zero),,0
500,CONV,accepted_blocks,16.133333333333333,16.133333333333333,0.0,degenerate (all differences zero),,0
500,MT,subsweep_rho_nonce,0.998,0.2122087886899558,0.7857912113100443,paired t,2.2884837202362543e-52,dz=55.533
500,MT,subsweep_O_mean,4294967.0,4283.110789579158,4290683.889210421,paired t,1.0295288979179902e-118,dz=10775.660
500,MT,round_rho_nonce,0.9999999999961835,0.9999999999961835,0.0,degenerate (all differences zero),,0
500,MT,accepted_blocks,0.03333333333333333,0.03333333333333333,0.0,degenerate (all differences zero),,0
