N,arm,scope,O_mean_mean,O_median_mean,O_p95_mean,O_max_mean,M_ge2_mean,M_ge3_mean,m_max_mean,mean_mult_reused_mean
100,XNR-PW-CONV-ZERO,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0
100,XNR-PW-CONV-ZERO,subsweep,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,100.0,100.0
100,XNR-PW-CONV-OFFSET,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0
100,XNR-PW-CONV-OFFSET,subsweep,108994.70655892257,0.0,0.0,21182345.066666666,385765463.93333334,62157120.06666667,3.8666666666666667,2.1860642557847236
100,XNR-PW-MT-ZERO,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0
100,XNR-PW-MT-ZERO,subsweep,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,100.0,100.0
100,XNR-PW-MT-OFFSET,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0
100,XNR-PW-MT-OFFSET,subsweep,108994.70655892255,0.0,0.0,21182345.066666666,385765463.93333334,62157120.06666667,3.8666666666666667,2.1860642557847236
100,XNR-PC,round,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100,XNR-PC,subsweep,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
200,XNR-PW-CONV-ZERO,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,200.0,200.0
200,XNR-PW-CONV-ZERO,subsweep,10737418.0,10737418.0,10737418.0,10737418.0,10737418.0,10737418.0,200.0,200.0
200,XNR-PW-CONV-OFFSET,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,200.0,200.0
200,XNR-PW-CONV-OFFSET,subsweep,26335.604644891122,0.0,0.0,10639615.733333332,385443258.93333334,57928555.0,4.166666666666667,2.1694148489208267
200,XNR-PW-MT-ZERO,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,200.0,200.0
200,XNR-PW-MT-ZERO,subsweep,10737418.0,10737418.0,10737418.0,10737418.0,10737418.0,10737418.0,200.0,200.0
200,XNR-PW-MT-OFFSET,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,200.0,200.0
200,XNR-PW-MT-OFFSET,subsweep,26335.604644891122,0.0,0.0,10639615.733333332,385443258.93333334,57928555.0,4.166666666666667,2.1694148489208267
200,XNR-PC,round,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
200,XNR-PC,subsweep,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
300,XNR-PW-CONV-ZERO,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,300.0,300.0
300,XNR-PW-CONV-ZERO,subsweep,7158278.0,7158278.0,7158278.0,7158278.0,7158278.0,7158278.0,300.0,300.0
300,XNR-PW-CONV-OFFSET,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,300.0,300.0
300,XNR-PW-CONV-OFFSET,subsweep,11999.303106651801,0.0,0.0,7111899.133333334,390758770.5,60747807.63333333,4.566666666666666,2.176566512487513
300,XNR-PW-MT-ZERO,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,300.0,300.0
300,XNR-PW-MT-ZERO,subsweep,7158278.0,7158278.0,7158278.0,7158278.0,7158278.0,7158278.0,300.0,300.0
300,XNR-PW-MT-OFFSET,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,300.0,300.0
300,XNR-PW-MT-OFFSET,subsweep,11999.303106651801,0.0,0.0,7111899.133333334,390758770.5,60747807.63333333,4.566666666666666,2.176566512487513
300,XNR-PC,round,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
300,XNR-PC,subsweep,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
400,XNR-PW-CONV-ZERO,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,400.0,400.0
400,XNR-PW-CONV-ZERO,subsweep,5368709.0,5368709.0,5368709.0,5368709.0,5368709.0,5368709.0,400.0,400.0
400,XNR-PW-CONV-OFFSET,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,400.0,400.0
400,XNR-PW-CONV-OFFSET,subsweep,6752.775522138681,0.0,0.0,5341022.333333333,389794567.96666664,61505624.3,4.566666666666666,2.1789761869634936
400,XNR-PW-MT-ZERO,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,400.0,400.0
400,XNR-PW-MT-ZERO,subsweep,5368709.0,5368709.0,5368709.0,5368709.0,5368709.0,5368709.0,400.0,400.0
400,XNR-PW-MT-OFFSET,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,400.0,400.0
400,XNR-PW-MT-OFFSET,subsweep,6752.77552213868,0.0,0.0,5341022.333333333,389794567.96666664,61505624.3,4.566666666666666,2.1789761869634936
400,XNR-PC,round,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
400,XNR-PC,subsweep,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
500,XNR-PW-CONV-ZERO,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,500.0,500.0
500,XNR-PW-CONV-ZERO,subsweep,4294967.0,4294967.0,4294967.0,4294967.0,4294967.0,4294967.0,500.0,500.0
