tag,arm,N,seed,scope,C_exact,U_exact,R_exact,rho_exact
primary,XNR-PW-CONV-ZERO,100,18231826143518580289,NR-global-run,234000000000000000000,234000000000000000000,0,0.0
primary,XNR-PW-CONV-ZERO,100,18231826143518580289,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-CONV-OFFSET,100,18231826143518580289,NR-global-run,234000000000000000000,234000000000000000000,0,0.0
primary,XNR-PW-CONV-OFFSET,100,18231826143518580289,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-MT-ZERO,100,18231826143518580289,NR-global-run,234000000000000000000,2340000000000000000,231660000000000000000,0.99
primary,XNR-PW-MT-ZERO,100,18231826143518580289,NR-template-epoch,429496729600,4294967296,425201762304,0.99
primary,XNR-PW-MT-OFFSET,100,18231826143518580289,NR-global-run,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996
primary,XNR-PW-MT-OFFSET,100,18231826143518580289,NR-template-epoch,429496729600,4294967296,425201762304,0.99
primary,XNR-PC,100,18231826143518580289,NR-global-run,233999999782070517768,233999999782070517768,0,0.0
primary,XNR-PC,100,18231826143518580289,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-CONV-ZERO,100,8906286495562900921,NR-global-run,234000000000000000000,234000000000000000000,0,0.0
primary,XNR-PW-CONV-ZERO,100,8906286495562900921,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-CONV-OFFSET,100,8906286495562900921,NR-global-run,234000000000000000000,234000000000000000000,0,0.0
primary,XNR-PW-CONV-OFFSET,100,8906286495562900921,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-MT-ZERO,100,8906286495562900921,NR-global-run,234000000000000000000,2340000000000000000,231660000000000000000,0.99
primary,XNR-PW-MT-ZERO,100,8906286495562900921,NR-template-epoch,429496729600,4294967296,425201762304,0.99
primary,XNR-PW-MT-OFFSET,100,8906286495562900921,NR-global-run,234000000000000000000,2340000003915432608,231659999996084567392,0.9899999999832674
primary,XNR-PW-MT-OFFSET,100,8906286495562900921,NR-template-epoch,429496729600,4294967296,425201762304,0.99
primary,XNR-PC,100,8906286495562900921,NR-global-run,233999999782070517784,233999999782070517784,0,0.0
primary,XNR-PC,100,8906286495562900921,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-CONV-ZERO,100,8770642015975544875,NR-global-run,234000000000000000000,234000000000000000000,0,0.0
primary,XNR-PW-CONV-ZERO,100,8770642015975544875,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-CONV-OFFSET,100,8770642015975544875,NR-global-run,234000000000000000000,234000000000000000000,0,0.0
primary,XNR-PW-CONV-OFFSET,100,8770642015975544875,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-MT-ZERO,100,8770642015975544875,NR-global-run,234000000000000000000,2340000000000000000,231660000000000000000,0.99
primary,XNR-PW-MT-ZERO,100,8770642015975544875,NR-template-epoch,429496729600,4294967296,425201762304,0.99
primary,XNR-PW-MT-OFFSET,100,8770642015975544875,NR-global-run,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996
primary,XNR-PW-MT-OFFSET,100,8770642015975544875,NR-template-epoch,429496729600,4294967296,425201762304,0.99
primary,XNR-PC,100,8770642015975544875,NR-global-run,233999999782070517788,233999999782070517788,0,0.0
primary,XNR-PC,100,8770642015975544875,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-CONV-ZERO,100,9576473659758073777,NR-global-run,234000000000000000000,234000000000000000000,0,0.0
primary,XNR-PW-CONV-ZERO,100,9576473659758073777,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-CONV-OFFSET,100,9576473659758073777,NR-global-run,234000000000000000000,234000000000000000000,0,0.0
primary,XNR-PW-CONV-OFFSET,100,9576473659758073777,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-MT-ZERO,100,9576473659758073777,NR-global-run,234000000000000000000,2340000000000000000,231660000000000000000,0.99
primary,XNR-PW-MT-ZERO,100,9576473659758073777,NR-template-epoch,429496729600,4294967296,425201762304,0.99
primary,XNR-PW-MT-OFFSET,100,9576473659758073777,NR-global-run,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996
primary,XNR-PW-MT-OFFSET,100,9576473659758073777,NR-template-epoch,429496729600,4294967296,425201762304,0.99
primary,XNR-PC,100,9576473659758073777,NR-global-run,233999999782070517780,233999999782070517780,0,0.0
primary,XNR-PC,100,9576473659758073777,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-CONV-ZERO,100,16363268894485278985,NR-global-run,234000000000000000000,234000000000000000000,0,0.0
primary,XNR-PW-CONV-ZERO,100,16363268894485278985,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-CONV-OFFSET,100,16363268894485278985,NR-global-run,234000000000000000000,234000000000000000000,0,0.0
primary,XNR-PW-CONV-OFFSET,100,16363268894485278985,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-MT-ZERO,100,16363268894485278985,NR-global-run,234000000000000000000,2340000000000000000,231660000000000000000,0.99
primary,XNR-PW-MT-ZERO,100,16363268894485278985,NR-template-epoch,429496729600,4294967296,425201762304,0.99
primary,XNR-PW-MT-OFFSET,100,16363268894485278985,NR-global-run,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996
primary,XNR-PW-MT-OFFSET,100,16363268894485278985,NR-template-epoch,429496729600,4294967296,425201762304,0.99
primary,XNR-PC,100,16363268894485278985,NR-global-run,233999999782070517768,233999999782070517768,0,0.0
primary,XNR-PC,100,16363268894485278985,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-CONV-ZERO,100,16585534704111605887,NR-global-run,234000000000000000000,234000000000000000000,0,0.0
primary,XNR-PW-CONV-ZERO,100,16585534704111605887,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-CONV-OFFSET,100,16585534704111605887,NR-global-run,234000000000000000000,234000000000000000000,0,0.0
primary,XNR-PW-CONV-OFFSET,100,16585534704111605887,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-MT-ZERO,100,16585534704111605887,NR-global-run,234000000000000000000,2340000000000000000,231660000000000000000,0.99
primary,XNR-PW-MT-ZERO,100,16585534704111605887,NR-template-epoch,429496729600,4294967296,425201762304,0.99
primary,XNR-PW-MT-OFFSET,100,16585534704111605887,NR-global-run,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996
primary,XNR-PW-MT-OFFSET,100,16585534704111605887,NR-template-epoch,429496729600,4294967296,425201762304,0.99
primary,XNR-PC,100,16585534704111605887,NR-global-run,233999999782070517776,233999999782070517776,0,0.0
primary,XNR-PC,100,16585534704111605887,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-CONV-ZERO,100,14790319751179523344,NR-global-run,234000000000000000000,234000000000000000000,0,0.0
primary,XNR-PW-CONV-ZERO,100,14790319751179523344,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-CONV-OFFSET,100,14790319751179523344,NR-global-run,234000000000000000000,234000000000000000000,0,0.0
primary,XNR-PW-CONV-OFFSET,100,14790319751179523344,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-MT-ZERO,100,14790319751179523344,NR-global-run,234000000000000000000,2340000000000000000,231660000000000000000,0.99
primary,XNR-PW-MT-ZERO,100,14790319751179523344,NR-template-epoch,429496729600,4294967296,425201762304,0.99
primary,XNR-PW-MT-OFFSET,100,14790319751179523344,NR-global-run,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996
primary,XNR-PW-MT-OFFSET,100,14790319751179523344,NR-template-epoch,429496729600,4294967296,425201762304,0.99
primary,XNR-PC,100,14790319751179523344,NR-global-run,233999999782070517784,233999999782070517784,0,0.0
primary,XNR-PC,100,14790319751179523344,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-CONV-ZERO,100,15311360825920276038,NR-global-run,234000000000000000000,234000000000000000000,0,0.0
primary,XNR-PW-CONV-ZERO,100,15311360825920276038,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-CONV-OFFSET,100,15311360825920276038,NR-global-run,234000000000000000000,234000000000000000000,0,0.0
