tag,arm,N,seed,scope,C_nonce,U_nonce,R_nonce,rho_nonce,M_ge2,m_max,O_mean,O_median,O_max
primary,XNR-PW-CONV-ZERO,100,18231826143518580289,NR-global-run,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PW-CONV-ZERO,100,18231826143518580289,NR-template-epoch,4294967296,4294967296,0,0.0,0,1,0.0,0.0,0
primary,XNR-PW-CONV-OFFSET,100,18231826143518580289,NR-global-run,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PW-CONV-OFFSET,100,18231826143518580289,NR-template-epoch,4294967296,4294967296,0,0.0,0,1,0.0,0.0,0
primary,XNR-PW-MT-ZERO,100,18231826143518580289,NR-global-run,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PW-MT-ZERO,100,18231826143518580289,NR-template-epoch,429496729600,4294967296,425201762304,0.99,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PW-MT-OFFSET,100,18231826143518580289,NR-global-run,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PW-MT-OFFSET,100,18231826143518580289,NR-template-epoch,429496729600,4294967296,425201762304,0.99,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PC,100,18231826143518580289,NR-global-run,233999999782070517768,4294967296,233999999777775550472,0.9999999999816455,0,1,0.0,0.0,0
primary,XNR-PC,100,18231826143518580289,NR-template-epoch,4294967296,4294967296,0,0.0,0,1,0.0,0.0,0
primary,XNR-PW-CONV-ZERO,100,8906286495562900921,NR-global-run,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PW-CONV-ZERO,100,8906286495562900921,NR-template-epoch,4294967296,4294967296,0,0.0,0,1,0.0,0.0,0
primary,XNR-PW-CONV-OFFSET,100,8906286495562900921,NR-global-run,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PW-CONV-OFFSET,100,8906286495562900921,NR-template-epoch,4294967296,4294967296,0,0.0,0,1,0.0,0.0,0
primary,XNR-PW-MT-ZERO,100,8906286495562900921,NR-global-run,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PW-MT-ZERO,100,8906286495562900921,NR-template-epoch,429496729600,4294967296,425201762304,0.99,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PW-MT-OFFSET,100,8906286495562900921,NR-global-run,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PW-MT-OFFSET,100,8906286495562900921,NR-template-epoch,429496729600,4294967296,425201762304,0.99,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PC,100,8906286495562900921,NR-global-run,233999999782070517784,4294967296,233999999777775550488,0.9999999999816455,0,1,0.0,0.0,0
primary,XNR-PC,100,8906286495562900921,NR-template-epoch,4294967296,4294967296,0,0.0,0,1,0.0,0.0,0
primary,XNR-PW-CONV-ZERO,100,8770642015975544875,NR-global-run,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PW-CONV-ZERO,100,8770642015975544875,NR-template-epoch,4294967296,4294967296,0,0.0,0,1,0.0,0.0,0
primary,XNR-PW-CONV-OFFSET,100,8770642015975544875,NR-global-run,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PW-CONV-OFFSET,100,8770642015975544875,NR-template-epoch,4294967296,4294967296,0,0.0,0,1,0.0,0.0,0
primary,XNR-PW-MT-ZERO,100,8770642015975544875,NR-global-run,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PW-MT-ZERO,100,8770642015975544875,NR-template-epoch,429496729600,4294967296,425201762304,0.99,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PW-MT-OFFSET,100,8770642015975544875,NR-global-run,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PW-MT-OFFSET,100,8770642015975544875,NR-template-epoch,429496729600,4294967296,425201762304,0.99,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PC,100,8770642015975544875,NR-global-run,233999999782070517788,4294967296,233999999777775550492,0.9999999999816455,0,1,0.0,0.0,0
primary,XNR-PC,100,8770642015975544875,NR-template-epoch,4294967296,4294967296,0,0.0,0,1,0.0,0.0,0
primary,XNR-PW-CONV-ZERO,100,9576473659758073777,NR-global-run,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PW-CONV-ZERO,100,9576473659758073777,NR-template-epoch,4294967296,4294967296,0,0.0,0,1,0.0,0.0,0
primary,XNR-PW-CONV-OFFSET,100,9576473659758073777,NR-global-run,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PW-CONV-OFFSET,100,9576473659758073777,NR-template-epoch,4294967296,4294967296,0,0.0,0,1,0.0,0.0,0
primary,XNR-PW-MT-ZERO,100,9576473659758073777,NR-global-run,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PW-MT-ZERO,100,9576473659758073777,NR-template-epoch,429496729600,4294967296,425201762304,0.99,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PW-MT-OFFSET,100,9576473659758073777,NR-global-run,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PW-MT-OFFSET,100,9576473659758073777,NR-template-epoch,429496729600,4294967296,425201762304,0.99,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PC,100,9576473659758073777,NR-global-run,233999999782070517780,4294967296,233999999777775550484,0.9999999999816455,0,1,0.0,0.0,0
primary,XNR-PC,100,9576473659758073777,NR-template-epoch,4294967296,4294967296,0,0.0,0,1,0.0,0.0,0
primary,XNR-PW-CONV-ZERO,100,16363268894485278985,NR-global-run,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PW-CONV-ZERO,100,16363268894485278985,NR-template-epoch,4294967296,4294967296,0,0.0,0,1,0.0,0.0,0
primary,XNR-PW-CONV-OFFSET,100,16363268894485278985,NR-global-run,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PW-CONV-OFFSET,100,16363268894485278985,NR-template-epoch,4294967296,4294967296,0,0.0,0,1,0.0,0.0,0
primary,XNR-PW-MT-ZERO,100,16363268894485278985,NR-global-run,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PW-MT-ZERO,100,16363268894485278985,NR-template-epoch,429496729600,4294967296,425201762304,0.99,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PW-MT-OFFSET,100,16363268894485278985,NR-global-run,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PW-MT-OFFSET,100,16363268894485278985,NR-template-epoch,429496729600,4294967296,425201762304,0.99,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PC,100,16363268894485278985,NR-global-run,233999999782070517768,4294967296,233999999777775550472,0.9999999999816455,0,1,0.0,0.0,0
primary,XNR-PC,100,16363268894485278985,NR-template-epoch,4294967296,4294967296,0,0.0,0,1,0.0,0.0,0
primary,XNR-PW-CONV-ZERO,100,16585534704111605887,NR-global-run,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PW-CONV-ZERO,100,16585534704111605887,NR-template-epoch,4294967296,4294967296,0,0.0,0,1,0.0,0.0,0
primary,XNR-PW-CONV-OFFSET,100,16585534704111605887,NR-global-run,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PW-CONV-OFFSET,100,16585534704111605887,NR-template-epoch,4294967296,4294967296,0,0.0,0,1,0.0,0.0,0
primary,XNR-PW-MT-ZERO,100,16585534704111605887,NR-global-run,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PW-MT-ZERO,100,16585534704111605887,NR-template-epoch,429496729600,4294967296,425201762304,0.99,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PW-MT-OFFSET,100,16585534704111605887,NR-global-run,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PW-MT-OFFSET,100,16585534704111605887,NR-template-epoch,429496729600,4294967296,425201762304,0.99,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PC,100,16585534704111605887,NR-global-run,233999999782070517776,4294967296,233999999777775550480,0.9999999999816455,0,1,0.0,0.0,0
primary,XNR-PC,100,16585534704111605887,NR-template-epoch,4294967296,4294967296,0,0.0,0,1,0.0,0.0,0
primary,XNR-PW-CONV-ZERO,100,14790319751179523344,NR-global-run,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PW-CONV-ZERO,100,14790319751179523344,NR-template-epoch,4294967296,4294967296,0,0.0,0,1,0.0,0.0,0
primary,XNR-PW-CONV-OFFSET,100,14790319751179523344,NR-global-run,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PW-CONV-OFFSET,100,14790319751179523344,NR-template-epoch,4294967296,4294967296,0,0.0,0,1,0.0,0.0,0
primary,XNR-PW-MT-ZERO,100,14790319751179523344,NR-global-run,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PW-MT-ZERO,100,14790319751179523344,NR-template-epoch,429496729600,4294967296,425201762304,0.99,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PW-MT-OFFSET,100,14790319751179523344,NR-global-run,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PW-MT-OFFSET,100,14790319751179523344,NR-template-epoch,429496729600,4294967296,425201762304,0.99,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PC,100,14790319751179523344,NR-global-run,233999999782070517784,4294967296,233999999777775550488,0.9999999999816455,0,1,0.0,0.0,0
primary,XNR-PC,100,14790319751179523344,NR-template-epoch,4294967296,4294967296,0,0.0,0,1,0.0,0.0,0
primary,XNR-PW-CONV-ZERO,100,15311360825920276038,NR-global-run,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PW-CONV-ZERO,100,15311360825920276038,NR-template-epoch,4294967296,4294967296,0,0.0,0,1,0.0,0.0,0
primary,XNR-PW-CONV-OFFSET,100,15311360825920276038,NR-global-run,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PW-CONV-OFFSET,100,15311360825920276038,NR-template-epoch,4294967296,4294967296,0,0.0,0,1,0.0,0.0,0
primary,XNR-PW-MT-ZERO,100,15311360825920276038,NR-global-run,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,100,4294967296.0,4294967296.0,4294967296
