tag,arm,N,seed,rounds,accepted_blocks,stale_blocks,mean_interval_s,median_interval_s,p95_interval_s,C_total_evaluations,t_active_miner_s,t_low_miner_s,f_low_time,template_epochs_completed,nonce_domain_exhaustions,nonce_resets,state_time_conservation_rel,work_identity_rel,run_C_nonce,run_U_nonce,run_R_nonce,run_rho_nonce,run_M_ge2,run_M_ge3,run_m_max,run_mean_mult_reused,run_O_mean,run_O_median,run_O_p95,run_O_max,run_C_exact,run_U_exact,run_R_exact,run_rho_exact,epoch_C_nonce,epoch_U_nonce,epoch_rho_nonce,epoch_C_exact,epoch_U_exact,epoch_rho_exact,epoch_M_ge2,epoch_M_ge3,epoch_m_max,epoch_mean_mult_reused,epoch_R_nonce,epoch_R_exact,epoch_O_mean,epoch_O_median,epoch_O_p95,epoch_O_max,mean_round_rho_nonce,mean_round_rho_exact,mean_round_U_nonce,mean_round_M_ge2,mean_round_M_ge3,mean_round_m_max,mean_round_mean_mult_reused,mean_round_O_mean,mean_round_O_median,mean_round_O_p95,mean_round_O_max,mean_subsweep_rho_nonce,mean_subsweep_rho_exact,mean_subsweep_M_ge2,mean_subsweep_M_ge3,mean_subsweep_m_max,mean_subsweep_mean_mult_reused,mean_subsweep_O_mean,mean_subsweep_O_median,mean_subsweep_O_p95,mean_subsweep_O_max,mean_subsweep_U_nonce,mean_subsweep_C_nonce
primary,XNR-PW-CONV-ZERO,100,18231826143518580289,16,15,0,614.2594930633769,450.92398188376643,1486.5337254275005,234000000000000000000,1000000.0,0.0,0.0,54482369800,54482369800,54482371400,0.0,0.0,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,234000000000000000000,234000000000000000000,0,0.0,4294967296,4294967296,0.0,4294967296,4294967296,0.0,0,0,1,0.0,0,0,0.0,0.0,0.0,0,0.9999999990356736,0.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,0.9900000000000001,0.0,21474836.0,21474836.0,100.0,100.0,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,2147483600.0
primary,XNR-PW-CONV-OFFSET,100,18231826143518580289,16,15,0,614.2594930633769,450.92398188376643,1486.5337254275005,234000000000000000000,1000000.0,0.0,0.0,54482369800,54482369800,0,0.0,0.0,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,234000000000000000000,234000000000000000000,0,0.0,4294967296,4294967296,0.0,4294967296,4294967296,0.0,0,0,1,0.0,0,0,0.0,0.0,0.0,0,0.9999999990356736,0.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,0.2225349972404911,0.0,414006899.0,63883358.0,3.0,2.1543050566410966,109449.2151515151,0.0,0.0,21269498.0,1669593343.0,2147483600.0
primary,XNR-PW-MT-ZERO,100,18231826143518580289,1,0,0,,,,234000000000000000000,1000000.0,0.0,0.0,544823706,54482370600,54482370700,0.0,0.0,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,234000000000000000000,2340000000000000000,231660000000000000000,0.99,429496729600,4294967296,0.99,429496729600,4294967296,0.99,4294967296,4294967296,100,100.0,425201762304,425201762304,4294967296.0,4294967296.0,4294967296.0,4294967296,0.9999999999816455,0.99,4294967296.0,4294967296.0,4294967296.0,100.0,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,0.99,0.99,21474836.0,21474836.0,100.0,100.0,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,2147483600.0
primary,XNR-PW-MT-OFFSET,100,18231826143518580289,1,0,0,,,,234000000000000000000,1000000.0,0.0,0.0,544823706,54482370600,0,0.0,0.0,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996,429496729600,4294967296,0.99,429496729600,4294967296,0.99,4294967296,4294967296,100,100.0,425201762304,425201762304,4294967296.0,4294967296.0,4294967296.0,4294967296,0.9999999999816455,0.9899999999843996,4294967296.0,4294967296.0,4294967296.0,100.0,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,0.22253499724049114,0.22253499724049114,414006899.0,63883358.0,3.0,2.154305056641097,109449.21515151515,0.0,0.0,21269498.0,1669593343.0,2147483600.0
primary,XNR-PC,100,18231826143518580289,16,15,0,614.2594936283477,450.92398239523806,1486.5337268944847,233999999782070517768,999999.9990686774,0.0009313225736410257,9.313225736410256e-10,54482370558,5448237055800,5448237055800,0.0,0.0,233999999782070517768,4294967296,233999999777775550472,0.9999999999816455,0,0,1,0.0,0.0,0.0,0.0,0,233999999782070517768,233999999782070517768,0,0.0,4294967296,4294967296,0.0,4294967296,4294967296,0.0,0,0,1,0.0,0,0,0.0,0.0,0.0,0,0.9999999990356736,0.0,4294967296.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2147483600.0,2147483600.0
primary,XNR-PW-CONV-ZERO,100,8906286495562900921,20,19,0,504.17983994514793,482.88227623676113,1174.7699546849776,234000000000000000000,1000000.0,0.0,0.0,54482369700,54482369700,54482371700,0.0,0.0,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,234000000000000000000,234000000000000000000,0,0.0,4294967296,4294967296,0.0,4294967296,4294967296,0.0,0,0,1,0.0,0,0,0.0,0.0,0.0,0,0.9999999787094456,0.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,0.9899999999999999,0.0,21474836.0,21474836.0,100.0,100.0,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,2147483600.0
primary,XNR-PW-CONV-OFFSET,100,8906286495562900921,20,19,0,504.17983994514793,482.88227623676113,1174.7699546849776,234000000000000000000,1000000.0,0.0,0.0,54482369700,54482369700,0,0.0,0.0,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,234000000000000000000,234000000000000000000,0,0.0,4294967296,4294967296,0.0,4294967296,4294967296,0.0,0,0,1,0.0,0,0,0.0,0.0,0.0,0,0.9999999787094456,0.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,0.23557191309866116,0.0,402742842.0,88391573.0,4.0,2.2561038142547547,126016.80868686871,0.0,0.0,21333857.0,1641596780.0,2147483600.0
primary,XNR-PW-MT-ZERO,100,8906286495562900921,2,1,99,6648.767612462602,6648.767612462602,6648.767612462602,234000000000000000000,1000000.0,0.0,0.0,544823705,54482370500,54482370700,0.0,0.0,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,234000000000000000000,2340000000000000000,231660000000000000000,0.99,429496729600,4294967296,0.99,429496729600,4294967296,0.99,4294967296,4294967296,100,100.0,425201762304,425201762304,4294967296.0,4294967296.0,4294967296.0,4294967296,0.9999999999588123,0.99,4294967296.0,4294967296.0,4294967296.0,100.0,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,0.99,0.99,21474836.0,21474836.0,100.0,100.0,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,2147483600.0
primary,XNR-PW-MT-OFFSET,100,8906286495562900921,2,1,0,6648.767608890776,6648.767608890776,6648.767608890776,234000000000000000000,1000000.0,0.0,0.0,544823706,54482370600,0,0.0,0.0,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,234000000000000000000,2340000003915432608,231659999996084567392,0.9899999999832674,429496729600,4294967296,0.99,429496729600,4294967296,0.99,4294967296,4294967296,100,100.0,425201762304,425201762304,4294967296.0,4294967296.0,4294967296.0,4294967296,0.9999999999588123,0.9899999999758644,4294967296.0,4294967296.0,4294967296.0,100.0,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,0.23557191309866116,0.23557191309866116,402742842.0,88391573.0,4.0,2.2561038142547547,126016.80868686868,0.0,0.0,21333857.0,1641596780.0,2147483600.0
primary,XNR-PC,100,8906286495562900921,20,19,0,504.17984039898573,482.88227665439587,1174.7699557215358,233999999782070517784,999999.9990686774,0.0009313225735726496,9.313225735726496e-10,54482370554,5448237055400,5448237055400,0.0,0.0,233999999782070517784,4294967296,233999999777775550488,0.9999999999816455,0,0,1,0.0,0.0,0.0,0.0,0,233999999782070517784,233999999782070517784,0,0.0,4294967296,4294967296,0.0,4294967296,4294967296,0.0,0,0,1,0.0,0,0,0.0,0.0,0.0,0,0.9999999787094513,0.0,4294967296.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2147483600.0,2147483600.0
