tag,arm,N,seed,round,duration_s,block,round_C_nonce,round_U_nonce,round_R_nonce,round_rho_nonce,round_M_ge2,round_M_ge3,round_m_max,round_mean_mult_reused,round_O_mean,round_O_median,round_O_p95,round_O_max,round_C_exact,round_U_exact,round_R_exact,round_rho_exact,subsweep_C_nonce,subsweep_U_nonce,subsweep_R_nonce,subsweep_rho_nonce,subsweep_M_ge2,subsweep_M_ge3,subsweep_m_max,subsweep_mean_mult_reused,subsweep_O_mean,subsweep_O_median,subsweep_O_p95,subsweep_O_max,subsweep_C_exact,subsweep_U_exact,subsweep_R_exact,subsweep_rho_exact
primary,XNR-PW-CONV-ZERO,100,18231826143518580289,0,260.89701228164006,1,6104990087390378000,4294967296,6104990083095410704,0.9999999992964825,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,6104990087390378000,6104990087390378000,0,0.0,2147483600,21474836,2126008764,0.99,21474836,21474836,100,100.0,21474836.0,21474836.0,21474836.0,21474836,2147483600,2147483600,0,0.0
primary,XNR-PW-CONV-ZERO,100,18231826143518580289,1,159.7874210670919,1,3739025652969950800,4294967296,3739025648674983504,0.9999999988513137,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,3739025652969950800,3739025652969950800,0,0.0,2147483600,21474836,2126008764,0.99,21474836,21474836,100,100.0,21474836.0,21474836.0,21474836.0,21474836,2147483600,2147483600,0,0.0
primary,XNR-PW-CONV-ZERO,100,18231826143518580289,2,105.99032142028885,1,2480173521234759200,4294967296,2480173516939791904,0.9999999982682796,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,2480173521234759200,2480173521234759200,0,0.0,2147483600,21474836,2126008764,0.99,21474836,21474836,100,100.0,21474836.0,21474836.0,21474836.0,21474836,2147483600,2147483600,0,0.0
primary,XNR-PW-CONV-ZERO,100,18231826143518580289,3,575.8287325785877,1,13474392342338953300,4294967296,13474392338043986004,0.9999999996812496,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,13474392342338953300,13474392342338953300,0,0.0,2147483600,21474836,2126008764,0.99,21474836,21474836,100,100.0,21474836.0,21474836.0,21474836.0,21474836,2147483600,2147483600,0,0.0
primary,XNR-PW-CONV-ZERO,100,18231826143518580289,4,1486.5337254275005,1,34784889175003512900,4294967296,34784889170708545604,0.9999999998765278,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,34784889175003512900,34784889175003512900,0,0.0,2147483600,21474836,2126008764,0.99,21474836,21474836,100,100.0,21474836.0,21474836.0,21474836.0,21474836,2147483600,2147483600,0,0.0
primary,XNR-PW-CONV-ZERO,100,18231826143518580289,5,2108.103409535412,1,49329619783128645700,4294967296,49329619778833678404,0.9999999999129333,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,49329619783128645700,49329619783128645700,0,0.0,2147483600,21474836,2126008764,0.99,21474836,21474836,100,100.0,21474836.0,21474836.0,21474836.0,21474836,2147483600,2147483600,0,0.0
primary,XNR-PW-CONV-ZERO,100,18231826143518580289,6,33.574345534688455,1,785639685511709900,4294967296,785639681216742604,0.9999999945331589,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,785639685511709900,785639685511709900,0,0.0,2147483600,21474836,2126008764,0.99,21474836,21474836,100,100.0,21474836.0,21474836.0,21474836.0,21474836,2147483600,2147483600,0,0.0
primary,XNR-PW-CONV-ZERO,100,18231826143518580289,7,450.92398188376643,1,10551621176080134200,4294967296,10551621171785166904,0.9999999995929566,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,10551621176080134200,10551621176080134200,0,0.0,2147483600,21474836,2126008764,0.99,21474836,21474836,100,100.0,21474836.0,21474836.0,21474836.0,21474836,2147483600,2147483600,0,0.0
primary,XNR-PW-CONV-ZERO,100,18231826143518580289,8,263.6424023642568,1,6169232215323608100,4294967296,6169232211028640804,0.9999999993038085,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,6169232215323608100,6169232215323608100,0,0.0,2147483600,21474836,2126008764,0.99,21474836,21474836,100,100.0,21474836.0,21474836.0,21474836.0,21474836,2147483600,2147483600,0,0.0
primary,XNR-PW-CONV-ZERO,100,18231826143518580289,9,879.5013250806852,1,20580331006888034400,4294967296,20580331002593067104,0.9999999997913072,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,20580331006888034400,20580331006888034400,0,0.0,2147483600,21474836,2126008764,0.99,21474836,21474836,100,100.0,21474836.0,21474836.0,21474836.0,21474836,2147483600,2147483600,0,0.0
primary,XNR-PW-CONV-ZERO,100,18231826143518580289,10,1302.6270720070545,1,30481473484965072900,4294967296,30481473480670105604,0.9999999998590958,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,30481473484965072900,30481473484965072900,0,0.0,2147483600,21474836,2126008764,0.99,21474836,21474836,100,100.0,21474836.0,21474836.0,21474836.0,21474836,2147483600,2147483600,0,0.0
primary,XNR-PW-CONV-ZERO,100,18231826143518580289,11,63.21106739392329,1,1479138977017804900,4294967296,1479138972722837604,0.9999999970963058,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,1479138977017804900,1479138977017804900,0,0.0,2147483600,21474836,2126008764,0.99,21474836,21474836,100,100.0,21474836.0,21474836.0,21474836.0,21474836,2147483600,2147483600,0,0.0
primary,XNR-PW-CONV-ZERO,100,18231826143518580289,12,761.3723445254737,1,17816112861896085600,4294967296,17816112857601118304,0.999999999758928,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,17816112861896085600,17816112861896085600,0,0.0,2147483600,21474836,2126008764,0.99,21474836,21474836,100,100.0,21474836.0,21474836.0,21474836.0,21474836,2147483600,2147483600,0,0.0
primary,XNR-PW-CONV-ZERO,100,18231826143518580289,13,469.0571108924908,1,10975936394884284500,4294967296,10975936390589317204,0.9999999996086925,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,10975936394884284500,10975936394884284500,0,0.0,2147483600,21474836,2126008764,0.99,21474836,21474836,100,100.0,21474836.0,21474836.0,21474836.0,21474836,2147483600,2147483600,0,0.0
primary,XNR-PW-CONV-ZERO,100,18231826143518580289,14,292.8421239577926,1,6852505700612346900,4294967296,6852505696317379604,0.9999999993732267,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,6852505700612346900,6852505700612346900,0,0.0,2147483600,21474836,2126008764,0.99,21474836,21474836,100,100.0,21474836.0,21474836.0,21474836.0,21474836,2147483600,2147483600,0,0.0
primary,XNR-PW-CONV-ZERO,100,18231826143518580289,15,786.107604049347,0,18394917934754718700,4294967296,18394917930459751404,0.9999999997665133,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,18394917934754718700,18394917934754718700,0,0.0,2147483600,21474836,2126008764,0.99,21474836,21474836,100,100.0,21474836.0,21474836.0,21474836.0,21474836,2147483600,2147483600,0,0.0
primary,XNR-PW-CONV-OFFSET,100,18231826143518580289,0,260.89701228164006,1,6104990087390378000,4294967296,6104990083095410704,0.9999999992964825,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,6104990087390378000,6104990087390378000,0,0.0,2147483600,1669593343,477890257,0.22253499724049114,414006899,63883358,3,2.154305056641097,109449.21515151515,0.0,0.0,21269498,2147483600,2147483600,0,0.0
primary,XNR-PW-CONV-OFFSET,100,18231826143518580289,1,159.7874210670919,1,3739025652969950800,4294967296,3739025648674983504,0.9999999988513137,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,3739025652969950800,3739025652969950800,0,0.0,2147483600,1669593343,477890257,0.22253499724049114,414006899,63883358,3,2.154305056641097,109449.21515151515,0.0,0.0,21269498,2147483600,2147483600,0,0.0
