tag,arm,N,seed,template_epochs_completed,nonce_domain_exhaustions,nonce_resets
primary,XNR-PW-CONV-ZERO,100,18231826143518580289,54482369800,54482369800,54482371400
primary,XNR-PW-CONV-OFFSET,100,18231826143518580289,54482369800,54482369800,0
primary,XNR-PW-MT-ZERO,100,18231826143518580289,544823706,54482370600,54482370700
primary,XNR-PW-MT-OFFSET,100,18231826143518580289,544823706,54482370600,0
primary,XNR-PC,100,18231826143518580289,54482370558,5448237055800,5448237055800
primary,XNR-PW-CONV-ZERO,100,8906286495562900921,54482369700,54482369700,54482371700
primary,XNR-PW-CONV-OFFSET,100,8906286495562900921,54482369700,54482369700,0
primary,XNR-PW-MT-ZERO,100,8906286495562900921,544823705,54482370500,54482370700
primary,XNR-PW-MT-OFFSET,100,8906286495562900921,544823706,54482370600,0
primary,XNR-PC,100,8906286495562900921,54482370554,5448237055400,5448237055400
primary,XNR-PW-CONV-ZERO,100,8770642015975544875,54482369700,54482369700,54482371400
primary,XNR-PW-CONV-OFFSET,100,8770642015975544875,54482369700,54482369700,0
primary,XNR-PW-MT-ZERO,100,8770642015975544875,544823706,54482370600,54482370700
primary,XNR-PW-MT-OFFSET,100,8770642015975544875,544823706,54482370600,0
primary,XNR-PC,100,8770642015975544875,54482370553,5448237055300,5448237055300
primary,XNR-PW-CONV-ZERO,100,9576473659758073777,54482369700,54482369700,54482371400
primary,XNR-PW-CONV-OFFSET,100,9576473659758073777,54482369700,54482369700,0
primary,XNR-PW-MT-ZERO,100,9576473659758073777,544823706,54482370600,54482370700
primary,XNR-PW-MT-OFFSET,100,9576473659758073777,544823706,54482370600,0
primary,XNR-PC,100,9576473659758073777,54482370555,5448237055500,5448237055500
primary,XNR-PW-CONV-ZERO,100,16363268894485278985,54482370100,54482370100,54482371300
primary,XNR-PW-CONV-OFFSET,100,16363268894485278985,54482370100,54482370100,0
primary,XNR-PW-MT-ZERO,100,16363268894485278985,544823706,54482370600,54482370700
primary,XNR-PW-MT-OFFSET,100,16363268894485278985,544823706,54482370600,0
primary,XNR-PC,100,16363268894485278985,54482370558,5448237055800,5448237055800
primary,XNR-PW-CONV-ZERO,100,16585534704111605887,54482369700,54482369700,54482371500
primary,XNR-PW-CONV-OFFSET,100,16585534704111605887,54482369700,54482369700,0
primary,XNR-PW-MT-ZERO,100,16585534704111605887,544823706,54482370600,54482370700
primary,XNR-PW-MT-OFFSET,100,16585534704111605887,544823706,54482370600,0
primary,XNR-PC,100,16585534704111605887,54482370556,5448237055600,5448237055600
primary,XNR-PW-CONV-ZERO,100,14790319751179523344,54482369600,54482369600,54482371300
primary,XNR-PW-CONV-OFFSET,100,14790319751179523344,54482369600,54482369600,0
primary,XNR-PW-MT-ZERO,100,14790319751179523344,544823706,54482370600,54482370700
primary,XNR-PW-MT-OFFSET,100,14790319751179523344,544823706,54482370600,0
primary,XNR-PC,100,14790319751179523344,54482370554,5448237055400,5448237055400
primary,XNR-PW-CONV-ZERO,100,15311360825920276038,54482369700,54482369700,54482371200
primary,XNR-PW-CONV-OFFSET,100,15311360825920276038,54482369700,54482369700,0
primary,XNR-PW-MT-ZERO,100,15311360825920276038,544823706,54482370600,54482370700
primary,XNR-PW-MT-OFFSET,100,15311360825920276038,544823706,54482370600,0
primary,XNR-PC,100,15311360825920276038,54482370556,5448237055600,5448237055600
primary,XNR-PW-CONV-ZERO,100,10419287363523441034,54482369900,54482369900,54482371200
primary,XNR-PW-CONV-OFFSET,100,10419287363523441034,54482369900,54482369900,0
primary,XNR-PW-MT-ZERO,100,10419287363523441034,544823706,54482370600,54482370700
primary,XNR-PW-MT-OFFSET,100,10419287363523441034,544823706,54482370600,0
primary,XNR-PC,100,10419287363523441034,54482370557,5448237055700,5448237055700
primary,XNR-PW-CONV-ZERO,100,9964858435511495645,54482369700,54482369700,54482371400
primary,XNR-PW-CONV-OFFSET,100,9964858435511495645,54482369700,54482369700,0
primary,XNR-PW-MT-ZERO,100,9964858435511495645,544823706,54482370600,54482370700
primary,XNR-PW-MT-OFFSET,100,9964858435511495645,544823706,54482370600,0
primary,XNR-PC,100,9964858435511495645,54482370556,5448237055600,5448237055600
primary,XNR-PW-CONV-ZERO,100,12980243426712185825,54482369900,54482369900,54482371800
primary,XNR-PW-CONV-OFFSET,100,12980243426712185825,54482369900,54482369900,0
primary,XNR-PW-MT-ZERO,100,12980243426712185825,544823706,54482370600,54482370700
primary,XNR-PW-MT-OFFSET,100,12980243426712185825,544823706,54482370600,0
primary,XNR-PC,100,12980243426712185825,54482370554,5448237055400,5448237055400
primary,XNR-PW-CONV-ZERO,100,2834549471034337693,54482369400,54482369400,54482371400
primary,XNR-PW-CONV-OFFSET,100,2834549471034337693,54482369400,54482369400,0
primary,XNR-PW-MT-ZERO,100,2834549471034337693,544823706,54482370600,54482370700
primary,XNR-PW-MT-OFFSET,100,2834549471034337693,544823706,54482370600,0
primary,XNR-PC,100,2834549471034337693,54482370556,5448237055600,5448237055600
primary,XNR-PW-CONV-ZERO,100,17638313716927524985,54482370100,54482370100,54482371200
primary,XNR-PW-CONV-OFFSET,100,17638313716927524985,54482370100,54482370100,0
