run_id,pow_run_id,phase,protocol,composition,N,seed_index,tag,alpha_case,alpha,is_idealized_alpha,P_low_note,PoW_energy_J,PoW_energy_kWh,PoCol_energy_J,PoCol_energy_kWh,PoCol_active_J,PoCol_waking_J,PoCol_low_J,PoCol_standby_J,paired_energy_difference_kWh,EnergySaving,PoW_energy_per_block_kWh,PoCol_energy_per_block_kWh,PoW_energy_per_round_kWh,PoCol_energy_per_round_kWh,PoW_accepted_blocks,PoCol_accepted_blocks,BlockRetention,LatencyRatio_median,LatencyRatio_mean,HashRetention,mean_SecurityHashFraction,min_SecurityHashFraction,CapacityRemovedFraction,PowerRemovedFraction,SelectivityGain,F_low,F_standby,F_parked_power_weighted,dE_total_J,dE_participation_J,dE_selection_J,share_participation,share_selection,dE_participation_shapley_J,dE_selection_shapley_J,share_participation_shapley,share_selection_shapley,dE_postrange_J,dE_reserve_J,share_postrange,share_reserve,dE_stale_J,decomposition_residual_J,power_identity_error_Ws
8Y_H0_N100_P0_ALL_seed001,8Y_H0_N100_POW_seed001,primary,P0_ALL,H0,100,1,,alpha_0,0.0,True,"model assumption, not a manufacturer-certified mode",3510000000.0,975.0,3503407401.1754766,973.1687225487435,3503407401.1754766,0.0,0.0,0.0,-1.831277451256483,0.001878233283340025,54.166666666666664,54.06492903048575,54.166666666666664,54.06492903048575,18,18,1.0,1.0,1.0017015565118423,0.9981217667166609,0.9981217667166609,0.0,0.0018782332833391369,0.0018782332833390258,0.9999999999999409,0.0018782332833401558,0.0,0.0018782332833401558,6592598.824523947,6592598.82452037,3.577210009098053e-06,0.9999999999994574,5.426099940726128e-13,6592598.824522158,1.7886050045490265e-06,0.9999999999997287,2.713049970363064e-13,6592598.824523947,0.0,1.0,0.0,0.0,0.0,4.76837158203125e-07
8Y_H0_N100_P0_ALL_seed001,8Y_H0_N100_POW_seed001,primary,P0_ALL,H0,100,1,,alpha_005,0.05,False,"model assumption, not a manufacturer-certified mode",3510000000.0,975.0,3503737031.1167026,973.2602864213063,3503407401.1754766,0.0,329629.9412261974,0.0,-1.7397135786936815,0.0017843216191729683,54.166666666666664,54.07001591229479,54.166666666666664,54.07001591229479,18,18,1.0,1.0,1.0017015565118423,0.9981217667166609,0.9981217667166609,0.0,0.0018782332833391369,0.0018782332833390258,0.9999999999999409,0.0018782332833401558,0.0,0.0018782332833401558,6262968.88329775,6262968.883294351,3.398396074771881e-06,0.9999999999994574,5.426174292251097e-13,6262968.88329605,1.6991980373859406e-06,0.9999999999997287,2.7130871461255486e-13,6262968.88329775,0.0,1.0,0.0,0.0,0.0,4.76837158203125e-07
8Y_H0_N100_P0_ALL_seed001,8Y_H0_N100_POW_seed001,primary,P0_ALL,H0,100,1,,alpha_010,0.1,False,"model assumption, not a manufacturer-certified mode",3510000000.0,975.0,3504066661.057929,973.3518502938692,3503407401.1754766,0.0,659259.8824523948,0.0,-1.6481497061307664,0.0016904099550059115,54.166666666666664,54.07510279410385,54.166666666666664,54.07510279410385,18,18,1.0,1.0,1.0017015565118423,0.9981217667166609,0.9981217667166609,0.0,0.0018782332833391369,0.0018782332833390258,0.9999999999999409,0.0018782332833401558,0.0,0.0018782332833401558,5933338.942071552,5933338.942068333,3.2195821404457092e-06,0.9999999999994573,5.426256905056618e-13,5933338.942069942,1.6097910702228546e-06,0.9999999999997287,2.713128452528309e-13,5933338.942071552,0.0,1.0,0.0,0.0,0.0,4.76837158203125e-07
8Y_H0_N100_P0_ALL_seed001,8Y_H0_N100_POW_seed001,primary,P0_ALL,H0,100,1,,alpha_025,0.25,False,"model assumption, not a manufacturer-certified mode",3510000000.0,975.0,3505055550.8816075,973.6265419115576,3503407401.1754766,0.0,1648149.7061309868,0.0,-1.3734580884423622,0.0014086749625049633,54.166666666666664,54.09036343953098,54.166666666666664,54.09036343953098,18,18,1.0,1.0,1.0017015565118423,0.9981217667166609,0.9981217667166609,0.0,0.0018782332833391369,0.0018782332833390258,0.9999999999999409,0.0018782332833401558,0.0,0.0018782332833401558,4944449.11839296,4944449.118390277,2.6831403374671936e-06,0.9999999999994573,5.426570833717599e-13,4944449.118391618,1.3415701687335968e-06,0.9999999999997286,2.7132854168587997e-13,4944449.11839296,0.0,1.0,0.0,0.0,0.0,4.76837158203125e-07
8Y_H0_N100_P0_ALL_seed001,8Y_H0_N100_POW_seed001,primary,P0_ALL,H0,100,1,,alpha_050,0.5,False,"model assumption, not a manufacturer-certified mode",3510000000.0,975.0,3506703700.5877385,974.0843612743718,3503407401.1754766,0.0,3296299.4122619736,0.0,-0.9156387256282414,0.0009391166416700125,54.166666666666664,54.11579784857621,54.166666666666664,54.11579784857621,18,18,1.0,1.0,1.0017015565118423,0.9981217667166609,0.9981217667166609,0.0,0.0018782332833391369,0.0018782332833390258,0.9999999999999409,0.0018782332833401558,0.0,0.0018782332833401558,3296299.4122619736,3296299.412260185,1.7886050045490265e-06,0.9999999999994574,5.426099940726128e-13,3296299.412261079,8.943025022745132e-07,0.9999999999997287,2.713049970363064e-13,3296299.4122619736,0.0,1.0,0.0,0.0,0.0,4.76837158203125e-07
8Y_H0_N100_P3_ENERGY_seed001,8Y_H0_N100_POW_seed001,primary,P3_ENERGY,H0,100,1,,alpha_0,0.0,True,"model assumption, not a manufacturer-certified mode",3510000000.0,975.0,2102209148.2076194,583.9469856132276,2102209148.2076194,0.0,0.0,0.0,-391.05301438677236,0.4010800147556639,54.166666666666664,44.9189988933252,54.166666666666664,44.9189988933252,18,13,0.7222222222222222,1.2193516793911914,1.4126816888168878,0.5989199852443353,0.5989199852443353,0.0,0.4010800147556647,0.4010800147556649,1.0000000000000004,0.0010800147556644124,0.4,0.4010800147556644,1407790851.792382,1407790851.792383,-9.5367431640625e-07,1.0000000000000007,-6.774261355598692e-16,1407790851.7923825,-4.76837158203125e-07,1.0000000000000004,-3.387130677799346e-16,3790851.7923820876,1404000000.0,0.0026927663207610857,0.997307233679239,0.0,0.0,1.430511474609375e-06
8Y_H0_N100_P3_ENERGY_seed001,8Y_H0_N100_POW_seed001,primary,P3_ENERGY,H0,100,1,,alpha_005,0.05,False,"model assumption, not a manufacturer-certified mode",3510000000.0,975.0,2172598690.7972383,603.4996363325662,2102209148.2076194,0.0,189542.5896191044,70200000.0,-371.5003636674338,0.38102601401788083,54.166666666666664,46.42304894865894,54.166666666666664,46.42304894865894,18,13,0.7222222222222222,1.2193516793911914,1.4126816888168878,0.5989199852443353,0.5989199852443353,0.0,0.4010800147556647,0.4010800147556649,1.0000000000000004,0.0010800147556644124,0.4,0.4010800147556644,1337401309.2027628,1337401309.2027638,-9.5367431640625e-07,1.0000000000000007,-7.130801426945993e-16,1337401309.2027633,-4.76837158203125e-07,1.0000000000000004,-3.5654007134729964e-16,3601309.202762983,1333800000.0,0.0026927663207610857,0.997307233679239,0.0,0.0,1.430511474609375e-06
8Y_H0_N100_P3_ENERGY_seed001,8Y_H0_N100_POW_seed001,primary,P3_ENERGY,H0,100,1,,alpha_010,0.1,False,"model assumption, not a manufacturer-certified mode",3510000000.0,975.0,2242988233.386858,623.052287051905,2102209148.2076194,0.0,379085.1792382088,140400000.0,-351.94771294809505,0.36097201328009754,54.166666666666664,47.92709900399269,54.166666666666664,47.92709900399269,18,13,0.7222222222222222,1.2193516793911914,1.4126816888168878,0.5989199852443353,0.5989199852443353,0.0,0.4010800147556647,0.4010800147556649,1.0000000000000004,0.0010800147556644124,0.4,0.4010800147556644,1267011766.613144,1267011766.6131446,-7.152557373046875e-07,1.0000000000000007,-5.645217796332244e-16,1267011766.6131444,-3.5762786865234375e-07,1.0000000000000004,-2.822608898166122e-16,3411766.613143879,1263600000.0,0.0026927663207610857,0.9973072336792389,0.0,0.0,1.430511474609375e-06
8Y_H0_N100_P3_ENERGY_seed001,8Y_H0_N100_POW_seed001,primary,P3_ENERGY,H0,100,1,,alpha_025,0.25,False,"model assumption, not a manufacturer-certified mode",3510000000.0,975.0,2454156861.155715,681.7102392099208,2102209148.2076194,0.0,947712.9480955219,351000000.0,-293.2897607900792,0.3008100110667479,54.166666666666664,52.43924916999391,54.166666666666664,52.43924916999391,18,13,0.7222222222222222,1.2193516793911914,1.4126816888168878,0.5989199852443353,0.5989199852443353,0.0,0.4010800147556647,0.4010800147556649,1.0000000000000004,0.0010800147556644124,0.4,0.4010800147556644,1055843138.8442864,1055843138.8442872,-7.152557373046875e-07,1.0000000000000007,-6.774261355598693e-16,1055843138.8442868,-3.5762786865234375e-07,1.0000000000000004,-3.3871306777993466e-16,2843138.8442865657,1053000000.0,0.002692766320761086,0.997307233679239,0.0,0.0,1.430511474609375e-06
8Y_H0_N100_P3_ENERGY_seed001,8Y_H0_N100_POW_seed001,primary,P3_ENERGY,H0,100,1,,alpha_050,0.5,False,"model assumption, not a manufacturer-certified mode",3510000000.0,975.0,2806104574.1038103,779.473492806614,2102209148.2076194,0.0,1895425.8961910438,702000000.0,-195.526507193386,0.20054000737783184,54.166666666666664,59.95949944666261,54.166666666666664,59.95949944666261,18,13,0.7222222222222222,1.2193516793911914,1.4126816888168878,0.5989199852443353,0.5989199852443353,0.0,0.4010800147556647,0.4010800147556649,1.0000000000000004,0.0010800147556644124,0.4,0.4010800147556644,703895425.896191,703895425.8961915,-4.76837158203125e-07,1.0000000000000007,-6.774261355598692e-16,703895425.8961912,-2.384185791015625e-07,1.0000000000000004,-3.387130677799346e-16,1895425.8961910438,702000000.0,0.0026927663207610857,0.997307233679239,0.0,0.0,1.430511474609375e-06
