run_id,protocol,composition,N,seed_index,block_index,interval_s
8Y_H0_N100_POW_seed001,POW,H0,100,1,1,764.5498573371825
8Y_H0_N100_POW_seed001,POW,H0,100,1,2,3151.947633985008
8Y_H0_N100_POW_seed001,POW,H0,100,1,3,54.41255053741315
8Y_H0_N100_POW_seed001,POW,H0,100,1,4,123.18210859939427
8Y_H0_N100_POW_seed001,POW,H0,100,1,5,116.05619480715177
8Y_H0_N100_POW_seed001,POW,H0,100,1,6,784.5033252284202
8Y_H0_N100_POW_seed001,POW,H0,100,1,7,127.02411638185276
8Y_H0_N100_POW_seed001,POW,H0,100,1,8,107.73449777134556
8Y_H0_N100_POW_seed001,POW,H0,100,1,9,177.69130951902753
8Y_H0_N100_POW_seed001,POW,H0,100,1,10,406.120799022111
8Y_H0_N100_POW_seed001,POW,H0,100,1,11,117.24063972073782
8Y_H0_N100_POW_seed001,POW,H0,100,1,12,484.2559828370886
8Y_H0_N100_POW_seed001,POW,H0,100,1,13,526.5837457707521
8Y_H0_N100_POW_seed001,POW,H0,100,1,14,277.355221990837
8Y_H0_N100_POW_seed001,POW,H0,100,1,15,972.9266152584914
8Y_H0_N100_POW_seed001,POW,H0,100,1,16,119.48192402939003
8Y_H0_N100_POW_seed001,POW,H0,100,1,17,771.3414235969503
8Y_H0_N100_POW_seed001,POW,H0,100,1,18,153.16006894961538
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,1,1,765.2059315864356
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,1,2,3161.537914859383
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,1,3,54.41255053741315
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,1,4,123.18210859939472
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,1,5,116.05619480715177
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,1,6,785.7344378168409
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,1,7,127.02411638185276
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,1,8,107.73449777134556
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,1,9,177.69130951902753
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,1,10,406.120799022111
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,1,11,117.24063972073782
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,1,12,484.2559828370886
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,1,13,526.5837457707521
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,1,14,277.355221990837
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,1,15,975.554011795376
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,1,16,119.48192402938912
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,1,17,772.9514002450851
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,1,18,153.16006894961538
8Y_H0_N100_P3_ENERGY_seed001,P3_ENERGY,H0,100,1,1,4361.89599668504
8Y_H0_N100_P3_ENERGY_seed001,P3_ENERGY,H0,100,1,2,724.6924815542761
8Y_H0_N100_P3_ENERGY_seed001,P3_ENERGY,H0,100,1,3,116.62105354931646
8Y_H0_N100_P3_ENERGY_seed001,P3_ENERGY,H0,100,1,4,785.4364448645529
8Y_H0_N100_P3_ENERGY_seed001,P3_ENERGY,H0,100,1,5,126.96886588880807
8Y_H0_N100_P3_ENERGY_seed001,P3_ENERGY,H0,100,1,6,107.71414064905457
8Y_H0_N100_P3_ENERGY_seed001,P3_ENERGY,H0,100,1,7,176.97650014882402
8Y_H0_N100_P3_ENERGY_seed001,P3_ENERGY,H0,100,1,8,406.4879799206301
8Y_H0_N100_P3_ENERGY_seed001,P3_ENERGY,H0,100,1,9,116.32374158019138
8Y_H0_N100_P3_ENERGY_seed001,P3_ENERGY,H0,100,1,10,1127.5179056912402
8Y_H0_N100_P3_ENERGY_seed001,P3_ENERGY,H0,100,1,11,277.430876198845
8Y_H0_N100_P3_ENERGY_seed001,P3_ENERGY,H0,100,1,12,975.6102809347758
8Y_H0_N100_P3_ENERGY_seed001,P3_ENERGY,H0,100,1,13,119.09771423830716
8Y_H0_N100_P4_RESERVE_seed001,P4_RESERVE,H0,100,1,1,1675.2059315864353
8Y_H0_N100_P4_RESERVE_seed001,P4_RESERVE,H0,100,1,2,4070.1907756915843
8Y_H0_N100_P4_RESERVE_seed001,P4_RESERVE,H0,100,1,3,664.1435714085283
