run_id,pow_run_id,phase,protocol,composition,N,seed_index,tag,alpha_case,alpha,is_idealized_alpha,P_low_note,PoW_energy_J,PoW_energy_kWh,PoCol_energy_J,PoCol_energy_kWh,PoCol_active_J,PoCol_waking_J,PoCol_low_J,PoCol_standby_J,paired_energy_difference_kWh,EnergySaving,PoW_energy_per_block_kWh,PoCol_energy_per_block_kWh,PoW_energy_per_round_kWh,PoCol_energy_per_round_kWh,PoW_accepted_blocks,PoCol_accepted_blocks,BlockRetention,LatencyRatio_median,LatencyRatio_mean,HashRetention,mean_SecurityHashFraction,min_SecurityHashFraction,CapacityRemovedFraction,PowerRemovedFraction,SelectivityGain,F_low,F_standby,F_parked_power_weighted,dE_total_J,dE_participation_J,dE_selection_J,share_participation,share_selection,dE_participation_shapley_J,dE_selection_shapley_J,share_participation_shapley,share_selection_shapley,dE_postrange_J,dE_reserve_J,share_postrange,share_reserve,dE_stale_J,decomposition_residual_J,power_identity_error_Ws
8YP_H0_N100_P0_ALL_seed001,8YP_H0_N100_POW_seed001,pilot,P0_ALL,H0,100,1,,alpha_0,0.0,True,"model assumption, not a manufacturer-certified mode",3510000000.0,975.0,3506152968.900605,973.9313802501681,3506152968.900605,0.0,0.0,0.0,-1.0686197498318961,0.0010960202562378951,42.391304347826086,42.344842619572525,42.391304347826086,42.344842619572525,23,23,1.0,1.0,1.0010247559830894,0.998903979743762,0.998903979743762,0.0,0.0010960202562380061,0.0010960202562382282,1.0000000000002025,0.0010960202562379769,0.0,0.0010960202562379758,3847031.0993952947,3847031.099395402,-1.0710209608078003e-07,1.0000000000000278,-2.7840195026657087e-14,3847031.099395348,-5.3551048040390015e-08,1.000000000000014,-1.3920097513328544e-14,3847031.0993952947,0.0,1.0,0.0,0.0,0.0,4.76837158203125e-07
8YP_H0_N100_P0_ALL_seed001,8YP_H0_N100_POW_seed001,pilot,P0_ALL,H0,100,1,,alpha_005,0.05,False,"model assumption, not a manufacturer-certified mode",3510000000.0,975.0,3506345320.455575,973.9848112376598,3506152968.900605,0.0,192351.55496976475,0.0,-1.0151887623402445,0.0010412192434259282,42.391304347826086,42.347165705985205,42.391304347826086,42.347165705985205,23,23,1.0,1.0,1.0010247559830894,0.998903979743762,0.998903979743762,0.0,0.0010960202562380061,0.0010960202562382282,1.0000000000002025,0.0010960202562379769,0.0,0.0010960202562379758,3654679.54442553,3654679.5444256314,-1.0151416063308716e-07,1.0000000000000278,-2.777648748655032e-14,3654679.5444255807,-5.075708031654358e-08,1.000000000000014,-1.388824374327516e-14,3654679.54442553,0.0,1.0,0.0,0.0,0.0,4.76837158203125e-07
8YP_H0_N100_P0_ALL_seed001,8YP_H0_N100_POW_seed001,pilot,P0_ALL,H0,100,1,,alpha_010,0.1,False,"model assumption, not a manufacturer-certified mode",3510000000.0,975.0,3506537672.010545,974.0382422251513,3506152968.900605,0.0,384703.1099395295,0.0,-0.9617577748487065,0.0009864182306140723,42.391304347826086,42.349488792397885,42.391304347826086,42.349488792397885,23,23,1.0,1.0,1.0010247559830894,0.998903979743762,0.998903979743762,0.0,0.0010960202562380061,0.0010960202562382282,1.0000000000002025,0.0010960202562379769,0.0,0.0010960202562379758,3462327.989455765,3462327.9894558615,-9.639188647270203e-08,1.0000000000000278,-2.7840195026657087e-14,3462327.9894558135,-4.819594323635101e-08,1.000000000000014,-1.3920097513328544e-14,3462327.989455765,0.0,1.0,0.0,0.0,0.0,4.76837158203125e-07
8YP_H0_N100_P0_ALL_seed001,8YP_H0_N100_POW_seed001,pilot,P0_ALL,H0,100,1,,alpha_025,0.25,False,"model assumption, not a manufacturer-certified mode",3510000000.0,975.0,3507114726.675454,974.1985351876261,3506152968.900605,0.0,961757.7748488237,0.0,-0.8014648123738652,0.0008220151921782826,42.391304347826086,42.35645805163592,42.391304347826086,42.35645805163592,23,23,1.0,1.0,1.0010247559830894,0.998903979743762,0.998903979743762,0.0,0.0010960202562380061,0.0010960202562382282,1.0000000000002025,0.0010960202562379769,0.0,0.0010960202562379758,2885273.3245464712,2885273.3245465513,-8.009374141693115e-08,1.0000000000000278,-2.7759498809188515e-14,2885273.3245465113,-4.0046870708465576e-08,1.000000000000014,-1.3879749404594257e-14,2885273.3245464712,0.0,1.0,0.0,0.0,0.0,4.76837158203125e-07
8YP_H0_N100_P0_ALL_seed001,8YP_H0_N100_POW_seed001,pilot,P0_ALL,H0,100,1,,alpha_050,0.5,False,"model assumption, not a manufacturer-certified mode",3510000000.0,975.0,3508076484.450303,974.4656901250842,3506152968.900605,0.0,1923515.5496976473,0.0,-0.5343098749158344,0.000548010128118781,42.391304347826086,42.36807348369931,42.391304347826086,42.36807348369931,23,23,1.0,1.0,1.0010247559830894,0.998903979743762,0.998903979743762,0.0,0.0010960202562380061,0.0010960202562382282,1.0000000000002025,0.0010960202562379769,0.0,0.0010960202562379758,1923515.5496976473,1923515.549697701,-5.3551048040390015e-08,1.0000000000000278,-2.7840195026657087e-14,1923515.549697674,-2.6775524020195007e-08,1.000000000000014,-1.3920097513328544e-14,1923515.5496976473,0.0,1.0,0.0,0.0,0.0,4.76837158203125e-07
8YP_H0_N100_P1_EQUAL_seed001,8YP_H0_N100_POW_seed001,pilot,P1_EQUAL,H0,100,1,,alpha_0,0.0,True,"model assumption, not a manufacturer-certified mode",3510000000.0,975.0,3506152968.900605,973.9313802501681,3506152968.900605,0.0,0.0,0.0,-1.0686197498318961,0.0010960202562378951,42.391304347826086,42.344842619572525,42.391304347826086,42.344842619572525,23,23,1.0,1.0,1.0010247559830894,0.998903979743762,0.998903979743762,0.0,0.0010960202562380061,0.0010960202562382282,1.0000000000002025,0.0010960202562379769,0.0,0.0010960202562379758,3847031.0993952947,3847031.099395402,-1.0710209608078003e-07,1.0000000000000278,-2.7840195026657087e-14,3847031.099395348,-5.3551048040390015e-08,1.000000000000014,-1.3920097513328544e-14,3847031.0993952947,0.0,1.0,0.0,0.0,0.0,4.76837158203125e-07
8YP_H0_N100_P1_EQUAL_seed001,8YP_H0_N100_POW_seed001,pilot,P1_EQUAL,H0,100,1,,alpha_005,0.05,False,"model assumption, not a manufacturer-certified mode",3510000000.0,975.0,3506345320.455575,973.9848112376598,3506152968.900605,0.0,192351.55496976475,0.0,-1.0151887623402445,0.0010412192434259282,42.391304347826086,42.347165705985205,42.391304347826086,42.347165705985205,23,23,1.0,1.0,1.0010247559830894,0.998903979743762,0.998903979743762,0.0,0.0010960202562380061,0.0010960202562382282,1.0000000000002025,0.0010960202562379769,0.0,0.0010960202562379758,3654679.54442553,3654679.5444256314,-1.0151416063308716e-07,1.0000000000000278,-2.777648748655032e-14,3654679.5444255807,-5.075708031654358e-08,1.000000000000014,-1.388824374327516e-14,3654679.54442553,0.0,1.0,0.0,0.0,0.0,4.76837158203125e-07
8YP_H0_N100_P1_EQUAL_seed001,8YP_H0_N100_POW_seed001,pilot,P1_EQUAL,H0,100,1,,alpha_010,0.1,False,"model assumption, not a manufacturer-certified mode",3510000000.0,975.0,3506537672.010545,974.0382422251513,3506152968.900605,0.0,384703.1099395295,0.0,-0.9617577748487065,0.0009864182306140723,42.391304347826086,42.349488792397885,42.391304347826086,42.349488792397885,23,23,1.0,1.0,1.0010247559830894,0.998903979743762,0.998903979743762,0.0,0.0010960202562380061,0.0010960202562382282,1.0000000000002025,0.0010960202562379769,0.0,0.0010960202562379758,3462327.989455765,3462327.9894558615,-9.639188647270203e-08,1.0000000000000278,-2.7840195026657087e-14,3462327.9894558135,-4.819594323635101e-08,1.000000000000014,-1.3920097513328544e-14,3462327.989455765,0.0,1.0,0.0,0.0,0.0,4.76837158203125e-07
8YP_H0_N100_P1_EQUAL_seed001,8YP_H0_N100_POW_seed001,pilot,P1_EQUAL,H0,100,1,,alpha_025,0.25,False,"model assumption, not a manufacturer-certified mode",3510000000.0,975.0,3507114726.675454,974.1985351876261,3506152968.900605,0.0,961757.7748488237,0.0,-0.8014648123738652,0.0008220151921782826,42.391304347826086,42.35645805163592,42.391304347826086,42.35645805163592,23,23,1.0,1.0,1.0010247559830894,0.998903979743762,0.998903979743762,0.0,0.0010960202562380061,0.0010960202562382282,1.0000000000002025,0.0010960202562379769,0.0,0.0010960202562379758,2885273.3245464712,2885273.3245465513,-8.009374141693115e-08,1.0000000000000278,-2.7759498809188515e-14,2885273.3245465113,-4.0046870708465576e-08,1.000000000000014,-1.3879749404594257e-14,2885273.3245464712,0.0,1.0,0.0,0.0,0.0,4.76837158203125e-07
8YP_H0_N100_P1_EQUAL_seed001,8YP_H0_N100_POW_seed001,pilot,P1_EQUAL,H0,100,1,,alpha_050,0.5,False,"model assumption, not a manufacturer-certified mode",3510000000.0,975.0,3508076484.450303,974.4656901250842,3506152968.900605,0.0,1923515.5496976473,0.0,-0.5343098749158344,0.000548010128118781,42.391304347826086,42.36807348369931,42.391304347826086,42.36807348369931,23,23,1.0,1.0,1.0010247559830894,0.998903979743762,0.998903979743762,0.0,0.0010960202562380061,0.0010960202562382282,1.0000000000002025,0.0010960202562379769,0.0,0.0010960202562379758,1923515.5496976473,1923515.549697701,-5.3551048040390015e-08,1.0000000000000278,-2.7840195026657087e-14,1923515.549697674,-2.6775524020195007e-08,1.000000000000014,-1.3920097513328544e-14,1923515.5496976473,0.0,1.0,0.0,0.0,0.0,4.76837158203125e-07
