run_id,phase,protocol,protocol_label,composition,N,seed,seed_index,tag,horizon_s,H_N_Hps,H_N_THs,P_N_W,eta_network_J_per_TH,difficulty,target,q_per_candidate,nonce_domain,domain_semantics,allocation,selection_rule,target_hash_fraction,target_count_fraction,reserve_schedule,trigger_s,wake_s,n_active_initial,r_count_initial,r_hash_initial,r_power_initial,accepted_blocks,closed_rounds,blocks_created,stale_blocks,stale_rate,blocks_per_hour,mean_block_interval,median_block_interval,sd_block_interval,p95_block_interval,total_evaluations,unique_evaluations,duplicate_evaluations,duplicate_ratio,distinct_nonce_values,nonce_value_reuse_ratio,n_templates,stale_evaluations,useful_chain_evaluations,reserve_activations,stage_max_reached,epoch_exhaustions,range_completions,work_accounting_error,execution_time_seconds,commit_hash,config_hash,t_active_miner_s,t_low_miner_s,t_standby_miner_s,t_waking_miner_s,F_active,F_low,F_standby,F_waking,F_parked_minertime,F_parked_power_weighted,pw_active_Ws,pw_low_Ws,pw_standby_Ws,pw_waking_Ws,integral_H_active_hashes,integral_P_active_Ws,integral_P_waking_Ws,integral_P_parked_nominal_Ws,mean_h_active_fraction,mean_p_drawn_fraction,min_h_active_fraction,wake_events,low_episodes,mean_low_episode_s,max_low_episode_s,standby_episodes,mean_standby_episode_s,miners_entering_low,miners_entering_standby,state_time_conservation_error_s,min_state_residence_s,HashCapacityResidence_hashes,PowerResidence_Ws,CapacityRemovedFraction,PowerRemovedFraction,SelectivityGain,SelectivityGain_defined,mean_SecurityHashFraction,min_SecurityHashFraction,mean_PowerDrawnFraction,gini_blocks_by_miner,gini_active_time_by_miner,miners_with_zero_active_time,miners_with_zero_blocks,participation_share_S21PRO,reward_share_S21PRO,active_time_share_S21PRO,installed_hash_share_S21PRO,selection_frequency_S21PRO,n_S21PRO,blocks_won_S21PRO,participation_share_S19XP,reward_share_S19XP,active_time_share_S19XP,installed_hash_share_S19XP,selection_frequency_S19XP,n_S19XP,blocks_won_S19XP,participation_share_S19JPRO,reward_share_S19JPRO,active_time_share_S19JPRO,installed_hash_share_S19JPRO,selection_frequency_S19JPRO,n_S19JPRO,blocks_won_S19JPRO
8YP_H0_N100_POW_seed001,pilot,POW,Traditional competitive PoW (distinct per-miner templates) - principal comparator,H0,100,4090561990393436418,1,,10000.0,2.34e+16,23400.0,351000.0,15.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,14040000000000000000,installed,hash,S4_OPTIMIZE,,,,300.0,10.0,100,1.0,1.0,1.0,23,23,23,0,0.0,8.280000000000001,394.9116827350204,285.69392861834785,373.55588739922655,1151.7396403042574,234000000000000001524,234000000000000001524,0,0.0,4294967296,0.9999999999816455,3000,2.2019725566356362e+17,1.420984821944236e+18,0,0,0,600,0.0,0.016376966000279936,ec89b3bbf840c2e27c5e270e21ea6ed29c1155c3,2d7344a1dac41b6a3484536e18939f294bff62d32a67310254f9a41fc7dfb0d0,1000000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3510000000.0,0.0,0.0,0.0,2.34e+20,3510000000.0,0.0,0.0,1.0,1.0,1.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,2.34e+20,3510000000.0,0.0,0.0,,False,1.0,1.0,1.0,0.8221739130434782,0.0,0,80,1.0,1.0,1.0,1.0,1.0,100,23,,,,,,0,0,,,,,,0,0
8YP_H0_N100_POW_CT_seed001,pilot,POW_CT,Common-Template Independent PoW - SECONDARY mechanism diagnostic only,H0,100,4090561990393436418,1,,10000.0,2.34e+16,23400.0,351000.0,15.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,14040000000000000000,installed,hash,S4_OPTIMIZE,,,,300.0,10.0,100,1.0,1.0,1.0,6,6,6,0,0.0,2.16,1005.0516052993762,711.2877515846191,903.4786541497018,2312.9976296489613,234000000000000000164,154887125338984992619,79112874661015007545,0.3380892079530556,4294967296,0.9999999999816455,20,5.686253577094663e+16,4.2802602714132077e+17,0,0,0,1300,0.0,0.010569683000085206,ec89b3bbf840c2e27c5e270e21ea6ed29c1155c3,2d7344a1dac41b6a3484536e18939f294bff62d32a67310254f9a41fc7dfb0d0,1000000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3510000000.0,0.0,0.0,0.0,2.34e+20,3510000000.0,0.0,0.0,1.0,1.0,1.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,2.34e+20,3510000000.0,0.0,0.0,,False,1.0,1.0,1.0,0.94,0.0,0,94,1.0,1.0,1.0,1.0,1.0,100,6,,,,,,0,0,,,,,,0,0
8YP_H0_N100_P0_ALL_seed001,pilot,P0_ALL,PoCol-All (all miners active) - within-PoCol control,H0,100,4090561990393436418,1,,10000.0,2.34e+16,23400.0,351000.0,15.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,14040000000000000000,installed,hash,S4_OPTIMIZE,1.0,,,300.0,10.0,100,1.0,1.0,1.0,23,23,23,0,0.0,8.280000000000001,395.31637084469503,285.69392861834785,374.3563415907608,1154.0562086620714,233743531260040315524,233743531260040315524,0,0.0,4294967296,0.9999999999816253,30,2.2019725566356362e+17,1.420984821944236e+18,0,0,6,600,0.0,0.019596933999764587,ec89b3bbf840c2e27c5e270e21ea6ed29c1155c3,2d7344a1dac41b6a3484536e18939f294bff62d32a67310254f9a41fc7dfb0d0,998903.9797437616,1096.0202562379768,0.0,0.0,0.9989039797437615,0.0010960202562379769,0.0,0.0,0.0010960202562379769,0.0010960202562379758,3506152968.900605,3847031.0993952947,0.0,0.0,2.337435312600403e+20,3506152968.900604,0.0,3847031.099395291,0.998903979743762,0.9989039797437618,0.0,0,600,1.8267004270632938,4.914613604458282,0,0.0,100,0,1.8189894035458565e-12,0.0,2.337435312600403e+20,3506152968.900604,0.0010960202562380061,0.0010960202562382282,1.0000000000002025,True,0.998903979743762,0.0,0.9989039797437618,0.8221739130434782,6.628206864567332e-05,0,80,1.0,1.0,0.9989039797437615,1.0,1.0,100,23,,,,,,0,0,,,,,,0,0
8YP_H0_N100_P1_EQUAL_seed001,pilot,P1_EQUAL,PoCol equal nonce ranges,H0,100,4090561990393436418,1,,10000.0,2.34e+16,23400.0,351000.0,15.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,14040000000000000000,installed,equal,S4_OPTIMIZE,1.0,,,300.0,10.0,100,1.0,1.0,1.0,23,23,23,0,0.0,8.280000000000001,395.31637084469503,285.69392861834785,374.3563415907608,1154.0562086620714,233743531260040315524,233743531260040315524,0,0.0,4294967296,0.9999999999816253,30,2.2019725566356362e+17,1.420984821944236e+18,0,0,6,600,0.0,0.01985006999984762,ec89b3bbf840c2e27c5e270e21ea6ed29c1155c3,2d7344a1dac41b6a3484536e18939f294bff62d32a67310254f9a41fc7dfb0d0,998903.9797437616,1096.0202562379768,0.0,0.0,0.9989039797437615,0.0010960202562379769,0.0,0.0,0.0010960202562379769,0.0010960202562379758,3506152968.900605,3847031.0993952947,0.0,0.0,2.337435312600403e+20,3506152968.900604,0.0,3847031.099395291,0.998903979743762,0.9989039797437618,0.0,0,600,1.8267004270632938,4.914613604458282,0,0.0,100,0,1.8189894035458565e-12,0.0,2.337435312600403e+20,3506152968.900604,0.0010960202562380061,0.0010960202562382282,1.0000000000002025,True,0.998903979743762,0.0,0.9989039797437618,0.8221739130434782,6.628206864567332e-05,0,80,1.0,1.0,0.9989039797437615,1.0,1.0,100,23,,,,,,0,0,,,,,,0,0
8YP_H0_N100_P2_HASHPROP_seed001,pilot,P2_HASHPROP,PoCol hash-proportional nonce ranges,H0,100,4090561990393436418,1,,10000.0,2.34e+16,23400.0,351000.0,15.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,14040000000000000000,installed,hash,S4_OPTIMIZE,1.0,,,300.0,10.0,100,1.0,1.0,1.0,23,23,23,0,0.0,8.280000000000001,395.31637084469503,285.69392861834785,374.3563415907608,1154.0562086620714,233743531260040315524,233743531260040315524,0,0.0,4294967296,0.9999999999816253,30,2.2019725566356362e+17,1.420984821944236e+18,0,0,6,600,0.0,0.020068548999915947,ec89b3bbf840c2e27c5e270e21ea6ed29c1155c3,2d7344a1dac41b6a3484536e18939f294bff62d32a67310254f9a41fc7dfb0d0,998903.9797437616,1096.0202562379768,0.0,0.0,0.9989039797437615,0.0010960202562379769,0.0,0.0,0.0010960202562379769,0.0010960202562379758,3506152968.900605,3847031.0993952947,0.0,0.0,2.337435312600403e+20,3506152968.900604,0.0,3847031.099395291,0.998903979743762,0.9989039797437618,0.0,0,600,1.8267004270632938,4.914613604458282,0,0.0,100,0,1.8189894035458565e-12,0.0,2.337435312600403e+20,3506152968.900604,0.0010960202562380061,0.0010960202562382282,1.0000000000002025,True,0.998903979743762,0.0,0.9989039797437618,0.8221739130434782,6.628206864567332e-05,0,80,1.0,1.0,0.9989039797437615,1.0,1.0,100,23,,,,,,0,0,,,,,,0,0
8YP_H0_N100_P3_ENERGY_seed001,pilot,P3_ENERGY,PoCol energy-aware active set,H0,100,4090561990393436418,1,,10000.0,2.34e+16,23400.0,351000.0,15.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,14040000000000000000,installed,hash,S4_OPTIMIZE,0.6,,,300.0,10.0,60,0.6,0.6,0.6,14,14,14,0,0.0,5.04,703.4886776541719,559.0632629840488,616.1897732132197,1746.7681615513013,140130312443534953836,140130312443534953836,0,0.0,4294967296,0.9999999999693502,25,8.12560707021711e+16,8.951218011255104e+17,0,0,10,600,2.338394843243053e-16,0.011374798999895575,ec89b3bbf840c2e27c5e270e21ea6ed29c1155c3,2d7344a1dac41b6a3484536e18939f294bff62d32a67310254f9a41fc7dfb0d0,598847.4890749359,1152.5109250643,400000.0,0.0,0.5988474890749359,0.0011525109250643,0.4,0.0,0.4011525109250643,0.4011525109250643,2101954686.6530242,4045313.3469756935,1404000000.0,0.0,1.4013031244353498e+20,2101954686.6530213,0.0,1408045313.3469765,0.5988474890749358,0.5988474890749349,0.0,0,600,1.9208515417738337,4.623967943331536,40,10000.0,60,0,1.8189894035458565e-12,0.0,1.4013031244353498e+20,2101954686.6530213,0.4011525109250642,0.4011525109250651,1.0000000000000022,True,0.5988474890749358,0.0,0.5988474890749349,0.8600000000000001,0.40005519078212615,40,86,1.0,1.0,0.5988474890749359,1.0,0.6,100,14,,,,,,0,0,,,,,,0,0
8YP_H0_N100_P4_RESERVE_seed001,pilot,P4_RESERVE,PoCol adaptive reserve activation,H0,100,4090561990393436418,1,,10000.0,2.34e+16,23400.0,351000.0,15.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,14040000000000000000,installed,hash,S4_OPTIMIZE,,,"0.60,0.75,0.90,1.00",300.0,10.0,60,0.6,0.6,0.6,13,13,13,0,0.0,4.680000000000001,751.7157717688309,489.8634964306748,737.9578163596461,1932.3288662304087,126507642033454213348,126507642033454213348,0,0.0,4294967296,0.9999999999660497,18,8.223874304930474e+16,7.994056646314675e+17,238,3,4,550,1.2950996269195613e-16,0.01357318899999882,ec89b3bbf840c2e27c5e270e21ea6ed29c1155c3,2d7344a1dac41b6a3484536e18939f294bff62d32a67310254f9a41fc7dfb0d0,540630.9488609155,262285.4493908217,194703.60174826297,2380.0,0.5406309488609155,0.26228544939082166,0.19470360174826296,0.00238,0.4569890511390846,0.45698905113908433,1897614630.5018115,920621927.3617831,683409642.136403,8353800.0,1.2650764203345424e+20,1897614630.5018141,8353800.0,1604031569.4981875,0.5406309488609156,0.5430109488609157,0.0,238,550,476.882635256039,912.5333884503639,278,700.3726681592191,100,40,0.0,0.0,1.2650764203345424e+20,1905968430.5018141,0.45936905113908444,0.4569890511390843,0.9948189805253563,True,0.5406309488609156,0.0,0.5430109488609157,0.8699999999999999,0.12047914091793888,0,87,1.0,1.0,0.5406309488609155,1.0,0.6,100,13,,,,,,0,0,,,,,,0,0
8YP_H0_N100_POW_seed002,pilot,POW,Traditional competitive PoW (distinct per-miner templates) - principal comparator,H0,100,6838684854956031349,2,,10000.0,2.34e+16,23400.0,351000.0,15.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,14040000000000000000,installed,hash,S4_OPTIMIZE,,,,300.0,10.0,100,1.0,1.0,1.0,21,21,21,0,0.0,7.5600000000000005,476.01027062920593,339.1030389807147,681.6898720832875,885.379932333597,233999999999999998530,233999999999999998530,0,0.0,4294967296,0.9999999999816455,3096,2.107607677098672e+17,1.0731305772498766e+18,0,0,0,899,0.0,0.014982815999701415,ec89b3bbf840c2e27c5e270e21ea6ed29c1155c3,2d7344a1dac41b6a3484536e18939f294bff62d32a67310254f9a41fc7dfb0d0,1000000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3510000000.0,0.0,0.0,0.0,2.34e+20,3510000000.0,0.0,0.0,1.0,1.0,1.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,2.34e+20,3510000000.0,0.0,0.0,,False,1.0,1.0,1.0,0.8261904761904761,0.0,0,81,1.0,1.0,1.0,1.0,1.0,100,21,,,,,,0,0,,,,,,0,0
8YP_H0_N100_POW_CT_seed002,pilot,POW_CT,Common-Template Independent PoW - SECONDARY mechanism diagnostic only,H0,100,6838684854956031349,2,,10000.0,2.34e+16,23400.0,351000.0,15.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,14040000000000000000,installed,hash,S4_OPTIMIZE,,,,300.0,10.0,100,1.0,1.0,1.0,8,8,8,0,0.0,2.88,969.5079097724463,777.3431670074078,728.3300397656132,2121.1583020571697,233999999999999998001,154532929613620180550,79467070386379817451,0.33960286489905905,4294967296,0.9999999999816455,21,8.249813704087158e+16,5.503983986248218e+17,0,0,0,1200,0.0,0.01127099699988321,ec89b3bbf840c2e27c5e270e21ea6ed29c1155c3,2d7344a1dac41b6a3484536e18939f294bff62d32a67310254f9a41fc7dfb0d0,1000000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3510000000.0,0.0,0.0,0.0,2.34e+20,3510000000.0,0.0,0.0,1.0,1.0,1.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,2.34e+20,3510000000.0,0.0,0.0,,False,1.0,1.0,1.0,0.95,0.0,0,94,1.0,1.0,1.0,1.0,1.0,100,8,,,,,,0,0,,,,,,0,0
8YP_H0_N100_P0_ALL_seed002,pilot,P0_ALL,PoCol-All (all miners active) - within-PoCol control,H0,100,6838684854956031349,2,,10000.0,2.34e+16,23400.0,351000.0,15.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,14040000000000000000,installed,hash,S4_OPTIMIZE,1.0,,,300.0,10.0,100,1.0,1.0,1.0,20,20,20,0,0.0,7.2,472.3161835248376,309.2307813809239,701.24940361762,1004.848473328268,233480505569017901469,233480505569017901469,0,0.0,4294967296,0.9999999999816046,30,1.9938383843230464e+17,9.399293604101426e+17,0,0,9,900,4.210372928584432e-16,0.01992664799990962,ec89b3bbf840c2e27c5e270e21ea6ed29c1155c3,2d7344a1dac41b6a3484536e18939f294bff62d32a67310254f9a41fc7dfb0d0,997779.9383291362,2220.0616708636644,0.0,0.0,0.9977799383291363,0.0022200616708636643,0.0,0.0,0.0022200616708636643,0.002220061670863665,3502207583.535269,7792416.464731464,0.0,0.0,2.33480505569018e+20,3502207583.5352716,0.0,7792416.464731472,0.9977799383291367,0.9977799383291373,0.0,0,900,2.466735189848517,6.2814952638455,0,0.0,100,0,1.8189894035458565e-12,0.0,2.33480505569018e+20,3502207583.5352716,0.0022200616708633047,0.0022200616708627496,0.99999999999975,True,0.9977799383291367,0.0,0.9977799383291373,0.8360000000000001,7.591949884178106e-05,0,82,1.0,1.0,0.9977799383291363,1.0,1.0,100,20,,,,,,0,0,,,,,,0,0
