run_id,protocol,composition,N,t,h_active_fraction,p_drawn_fraction
8YP_H0_N100_POW_seed001,POW,H0,100,0.0,1.0,1.0
8YP_H0_N100_POW_seed001,POW,H0,100,10000.0,1.0,1.0
8YP_H0_N100_POW_CT_seed001,POW_CT,H0,100,0.0,1.0,1.0
8YP_H0_N100_POW_CT_seed001,POW_CT,H0,100,10000.0,1.0,1.0
8YP_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,0.0,1.0,1.0
8YP_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.99,0.99
8YP_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.98,0.98
8YP_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.97,0.97
8YP_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.96,0.96
8YP_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.95,0.95
8YP_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.94,0.94
8YP_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.93,0.93
8YP_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.92,0.92
8YP_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.91,0.91
8YP_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.9,0.9
8YP_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.89,0.89
8YP_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.88,0.88
8YP_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.87,0.87
8YP_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.86,0.86
8YP_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.85,0.85
8YP_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.84,0.84
8YP_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.83,0.83
8YP_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.82,0.82
8YP_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.81,0.81
8YP_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.8,0.8
8YP_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.79,0.79
8YP_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.78,0.78
8YP_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.77,0.77
8YP_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.76,0.76
8YP_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.75,0.75
8YP_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.74,0.74
8YP_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.73,0.73
8YP_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.72,0.72
8YP_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.71,0.71
8YP_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.7,0.7
