run_id,protocol,composition,N,seed_index,block_index,interval_s
8YS_H0_N100_P1_EQUAL_seed001_alloc,P1_EQUAL,H0,100,1,1,1816.4390464936291
8YS_H0_N100_P1_EQUAL_seed001_alloc,P1_EQUAL,H0,100,1,2,320.8918816309115
8YS_H0_N100_P1_EQUAL_seed001_alloc,P1_EQUAL,H0,100,1,3,270.066266210767
8YS_H0_N100_P1_EQUAL_seed001_alloc,P1_EQUAL,H0,100,1,4,449.85035406374163
8YS_H0_N100_P1_EQUAL_seed001_alloc,P1_EQUAL,H0,100,1,5,191.56398912642817
8YS_H0_N100_P1_EQUAL_seed001_alloc,P1_EQUAL,H0,100,1,6,551.5944312641632
8YS_H0_N100_P1_EQUAL_seed001_alloc,P1_EQUAL,H0,100,1,7,307.8838831131493
8YS_H0_N100_P1_EQUAL_seed001_alloc,P1_EQUAL,H0,100,1,8,590.4387227191742
8YS_H0_N100_P1_EQUAL_seed001_alloc,P1_EQUAL,H0,100,1,9,1564.1742516229751
8YS_H0_N100_P1_EQUAL_seed001_alloc,P1_EQUAL,H0,100,1,10,431.96559244326363
8YS_H0_N100_P1_EQUAL_seed001_alloc,P1_EQUAL,H0,100,1,11,2130.886255231745
8YS_H0_N100_P1_EQUAL_seed001_alloc,P1_EQUAL,H0,100,1,12,894.439425544926
8YS_H0_N100_P2_HASHPROP_seed001_alloc,P2_HASHPROP,H0,100,1,1,1816.4390464936291
8YS_H0_N100_P2_HASHPROP_seed001_alloc,P2_HASHPROP,H0,100,1,2,320.8918816309115
8YS_H0_N100_P2_HASHPROP_seed001_alloc,P2_HASHPROP,H0,100,1,3,270.066266210767
8YS_H0_N100_P2_HASHPROP_seed001_alloc,P2_HASHPROP,H0,100,1,4,449.85035406374163
8YS_H0_N100_P2_HASHPROP_seed001_alloc,P2_HASHPROP,H0,100,1,5,191.56398912642817
8YS_H0_N100_P2_HASHPROP_seed001_alloc,P2_HASHPROP,H0,100,1,6,551.5944312641632
8YS_H0_N100_P2_HASHPROP_seed001_alloc,P2_HASHPROP,H0,100,1,7,307.8838831131493
8YS_H0_N100_P2_HASHPROP_seed001_alloc,P2_HASHPROP,H0,100,1,8,590.4387227191742
8YS_H0_N100_P2_HASHPROP_seed001_alloc,P2_HASHPROP,H0,100,1,9,1564.1742516229751
8YS_H0_N100_P2_HASHPROP_seed001_alloc,P2_HASHPROP,H0,100,1,10,431.96559244326363
8YS_H0_N100_P2_HASHPROP_seed001_alloc,P2_HASHPROP,H0,100,1,11,2130.886255231745
8YS_H0_N100_P2_HASHPROP_seed001_alloc,P2_HASHPROP,H0,100,1,12,894.439425544926
8YS_H0_N100_P1_EQUAL_seed002_alloc,P1_EQUAL,H0,100,2,1,1731.4670800351992
8YS_H0_N100_P1_EQUAL_seed002_alloc,P1_EQUAL,H0,100,2,2,216.12060998394372
8YS_H0_N100_P1_EQUAL_seed002_alloc,P1_EQUAL,H0,100,2,3,411.20160619849594
8YS_H0_N100_P1_EQUAL_seed002_alloc,P1_EQUAL,H0,100,2,4,528.4836563339877
8YS_H0_N100_P1_EQUAL_seed002_alloc,P1_EQUAL,H0,100,2,5,1163.5063316605988
8YS_H0_N100_P1_EQUAL_seed002_alloc,P1_EQUAL,H0,100,2,6,993.0862960995473
8YS_H0_N100_P1_EQUAL_seed002_alloc,P1_EQUAL,H0,100,2,7,1089.1722645829186
8YS_H0_N100_P1_EQUAL_seed002_alloc,P1_EQUAL,H0,100,2,8,191.89357007684703
8YS_H0_N100_P1_EQUAL_seed002_alloc,P1_EQUAL,H0,100,2,9,689.6754652719983
8YS_H0_N100_P1_EQUAL_seed002_alloc,P1_EQUAL,H0,100,2,10,288.6918354893569
8YS_H0_N100_P1_EQUAL_seed002_alloc,P1_EQUAL,H0,100,2,11,418.1706438304964
8YS_H0_N100_P1_EQUAL_seed002_alloc,P1_EQUAL,H0,100,2,12,718.1551151980138
8YS_H0_N100_P1_EQUAL_seed002_alloc,P1_EQUAL,H0,100,2,13,154.0046005369477
8YS_H0_N100_P1_EQUAL_seed002_alloc,P1_EQUAL,H0,100,2,14,584.0201925700858
8YS_H0_N100_P2_HASHPROP_seed002_alloc,P2_HASHPROP,H0,100,2,1,1731.4670800351992
8YS_H0_N100_P2_HASHPROP_seed002_alloc,P2_HASHPROP,H0,100,2,2,216.12060998394372
8YS_H0_N100_P2_HASHPROP_seed002_alloc,P2_HASHPROP,H0,100,2,3,411.20160619849594
8YS_H0_N100_P2_HASHPROP_seed002_alloc,P2_HASHPROP,H0,100,2,4,528.4836563339877
8YS_H0_N100_P2_HASHPROP_seed002_alloc,P2_HASHPROP,H0,100,2,5,1163.5063316605988
8YS_H0_N100_P2_HASHPROP_seed002_alloc,P2_HASHPROP,H0,100,2,6,993.0862960995473
8YS_H0_N100_P2_HASHPROP_seed002_alloc,P2_HASHPROP,H0,100,2,7,1089.1722645829186
8YS_H0_N100_P2_HASHPROP_seed002_alloc,P2_HASHPROP,H0,100,2,8,191.89357007684703
8YS_H0_N100_P2_HASHPROP_seed002_alloc,P2_HASHPROP,H0,100,2,9,689.6754652719983
8YS_H0_N100_P2_HASHPROP_seed002_alloc,P2_HASHPROP,H0,100,2,10,288.6918354893569
8YS_H0_N100_P2_HASHPROP_seed002_alloc,P2_HASHPROP,H0,100,2,11,418.1706438304964
8YS_H0_N100_P2_HASHPROP_seed002_alloc,P2_HASHPROP,H0,100,2,12,718.1551151980138
8YS_H0_N100_P2_HASHPROP_seed002_alloc,P2_HASHPROP,H0,100,2,13,154.0046005369477
8YS_H0_N100_P2_HASHPROP_seed002_alloc,P2_HASHPROP,H0,100,2,14,584.0201925700858
8YS_H0_N100_P1_EQUAL_seed003_alloc,P1_EQUAL,H0,100,3,1,65.5959152363129
8YS_H0_N100_P1_EQUAL_seed003_alloc,P1_EQUAL,H0,100,3,2,764.6918512966429
8YS_H0_N100_P1_EQUAL_seed003_alloc,P1_EQUAL,H0,100,3,3,1445.0947013359032
8YS_H0_N100_P1_EQUAL_seed003_alloc,P1_EQUAL,H0,100,3,4,10.87463445844378
8YS_H0_N100_P1_EQUAL_seed003_alloc,P1_EQUAL,H0,100,3,5,261.09409740441515
8YS_H0_N100_P1_EQUAL_seed003_alloc,P1_EQUAL,H0,100,3,6,294.0663876733229
8YS_H0_N100_P1_EQUAL_seed003_alloc,P1_EQUAL,H0,100,3,7,297.6263817183126
8YS_H0_N100_P1_EQUAL_seed003_alloc,P1_EQUAL,H0,100,3,8,887.1809218595677
8YS_H0_N100_P1_EQUAL_seed003_alloc,P1_EQUAL,H0,100,3,9,796.1668184847817
8YS_H0_N100_P1_EQUAL_seed003_alloc,P1_EQUAL,H0,100,3,10,1518.3234283735583
8YS_H0_N100_P1_EQUAL_seed003_alloc,P1_EQUAL,H0,100,3,11,154.9223057269828
