run_id,phase,protocol,protocol_label,composition,N,seed,seed_index,tag,horizon_s,H_N_Hps,H_N_THs,P_N_W,eta_network_J_per_TH,difficulty,target,q_per_candidate,nonce_domain,domain_semantics,allocation,selection_rule,target_hash_fraction,target_count_fraction,reserve_schedule,trigger_s,wake_s,n_active_initial,r_count_initial,r_hash_initial,r_power_initial,accepted_blocks,closed_rounds,blocks_created,stale_blocks,stale_rate,blocks_per_hour,mean_block_interval,median_block_interval,sd_block_interval,p95_block_interval,total_evaluations,unique_evaluations,duplicate_evaluations,duplicate_ratio,distinct_nonce_values,nonce_value_reuse_ratio,n_templates,stale_evaluations,useful_chain_evaluations,reserve_activations,stage_max_reached,epoch_exhaustions,range_completions,work_accounting_error,execution_time_seconds,commit_hash,config_hash,t_active_miner_s,t_low_miner_s,t_standby_miner_s,t_waking_miner_s,F_active,F_low,F_standby,F_waking,F_parked_minertime,F_parked_power_weighted,pw_active_Ws,pw_low_Ws,pw_standby_Ws,pw_waking_Ws,integral_H_active_hashes,integral_P_active_Ws,integral_P_waking_Ws,integral_P_parked_nominal_Ws,mean_h_active_fraction,mean_p_drawn_fraction,min_h_active_fraction,wake_events,low_episodes,mean_low_episode_s,max_low_episode_s,standby_episodes,mean_standby_episode_s,miners_entering_low,miners_entering_standby,state_time_conservation_error_s,min_state_residence_s,HashCapacityResidence_hashes,PowerResidence_Ws,CapacityRemovedFraction,PowerRemovedFraction,SelectivityGain,SelectivityGain_defined,mean_SecurityHashFraction,min_SecurityHashFraction,mean_PowerDrawnFraction,gini_blocks_by_miner,gini_active_time_by_miner,miners_with_zero_active_time,miners_with_zero_blocks,participation_share_S21PRO,reward_share_S21PRO,active_time_share_S21PRO,installed_hash_share_S21PRO,selection_frequency_S21PRO,n_S21PRO,blocks_won_S21PRO,participation_share_S19XP,reward_share_S19XP,active_time_share_S19XP,installed_hash_share_S19XP,selection_frequency_S19XP,n_S19XP,blocks_won_S19XP,participation_share_S19JPRO,reward_share_S19JPRO,active_time_share_S19JPRO,installed_hash_share_S19JPRO,selection_frequency_S19JPRO,n_S19JPRO,blocks_won_S19JPRO
8YS_H0_N100_P1_EQUAL_seed001_alloc,secondary,P1_EQUAL,PoCol equal nonce ranges,H0,100,8063686115461822543,1,alloc,10000.0,2.34e+16,23400.0,351000.0,15.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,14040000000000000000,installed,equal,S4_OPTIMIZE,1.0,,,300.0,10.0,100,1.0,1.0,1.0,12,12,12,0,0.0,4.32,793.3495082887395,500.7223926639524,666.277260154878,1957.940290425781,233501716993830044855,233501716993830044855,0,0.0,4294967296,0.9999999999816063,22,1.1475770577195926e+17,9.581818178183251e+17,0,0,9,900,4.2099904559844197e-16,0.01580456299961952,ec89b3bbf840c2e27c5e270e21ea6ed29c1155c3,2d7344a1dac41b6a3484536e18939f294bff62d32a67310254f9a41fc7dfb0d0,997870.5854437181,2129.414556281865,0.0,0.0,0.9978705854437181,0.002129414556281865,0.0,0.0,0.002129414556281865,0.002129414556281865,3502525754.90745,7474245.092549345,0.0,0.0,2.3350171699383016e+20,3502525754.9074492,0.0,7474245.092549358,0.9978705854437186,0.9978705854437178,0.0,0,900,2.3660161736465164,6.745914268077286,0,0.0,100,0,1.8189894035458565e-12,0.0,2.3350171699383016e+20,3502525754.9074492,0.0021294145562813505,0.0021294145562822386,1.000000000000417,True,0.9978705854437186,0.0,0.9978705854437178,0.8799999999999999,5.606417324788282e-05,0,88,1.0,1.0,0.9978705854437181,1.0,1.0,100,12,,,,,,0,0,,,,,,0,0
8YS_H0_N100_P2_HASHPROP_seed001_alloc,secondary,P2_HASHPROP,PoCol hash-proportional nonce ranges,H0,100,8063686115461822543,1,alloc,10000.0,2.34e+16,23400.0,351000.0,15.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,14040000000000000000,installed,hash,S4_OPTIMIZE,1.0,,,300.0,10.0,100,1.0,1.0,1.0,12,12,12,0,0.0,4.32,793.3495082887395,500.7223926639524,666.277260154878,1957.940290425781,233501716993830044855,233501716993830044855,0,0.0,4294967296,0.9999999999816063,22,1.1475770577195926e+17,9.581818178183251e+17,0,0,9,900,4.2099904559844197e-16,0.01520633700010876,ec89b3bbf840c2e27c5e270e21ea6ed29c1155c3,2d7344a1dac41b6a3484536e18939f294bff62d32a67310254f9a41fc7dfb0d0,997870.5854437181,2129.414556281865,0.0,0.0,0.9978705854437181,0.002129414556281865,0.0,0.0,0.002129414556281865,0.002129414556281865,3502525754.90745,7474245.092549345,0.0,0.0,2.3350171699383016e+20,3502525754.9074492,0.0,7474245.092549358,0.9978705854437186,0.9978705854437178,0.0,0,900,2.3660161736465164,6.745914268077286,0,0.0,100,0,1.8189894035458565e-12,0.0,2.3350171699383016e+20,3502525754.9074492,0.0021294145562813505,0.0021294145562822386,1.000000000000417,True,0.9978705854437186,0.0,0.9978705854437178,0.8799999999999999,5.606417324788282e-05,0,88,1.0,1.0,0.9978705854437181,1.0,1.0,100,12,,,,,,0,0,,,,,,0,0
8YS_H0_N100_P1_EQUAL_seed002_alloc,secondary,P1_EQUAL,PoCol equal nonce ranges,H0,100,8334383792207353191,2,alloc,10000.0,2.34e+16,23400.0,351000.0,15.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,14040000000000000000,installed,equal,S4_OPTIMIZE,1.0,,,300.0,10.0,100,1.0,1.0,1.0,14,14,14,0,0.0,5.04,655.5463762763169,556.2519244520367,451.84968611078546,1362.2925935917087,233576805504875420583,233576805504875420583,0,0.0,4294967296,0.9999999999816122,23,1.314321535187428e+17,1.1597929308845135e+18,0,0,8,800,2.805758039987924e-16,0.015503074999742239,ec89b3bbf840c2e27c5e270e21ea6ed29c1155c3,2d7344a1dac41b6a3484536e18939f294bff62d32a67310254f9a41fc7dfb0d0,998191.4765165612,1808.5234834383743,0.0,0.0,0.9981914765165613,0.0018085234834383744,0.0,0.0,0.0018085234834383744,0.0018085234834383738,3503652082.573133,6347917.426868692,0.0,0.0,2.335768055048755e+20,3503652082.573135,0.0,6347917.426868692,0.9981914765165619,0.9981914765165627,0.0,0,800,2.2606543542979676,5.424307268291159,0,0.0,100,0,1.8189894035458565e-12,0.0,2.335768055048755e+20,3503652082.573135,0.0018085234834380737,0.0018085234834372965,0.9999999999995702,True,0.9981914765165619,0.0,0.9981914765165627,0.8785714285714286,8.791578908695641e-05,0,87,1.0,1.0,0.9981914765165613,1.0,1.0,100,14,,,,,,0,0,,,,,,0,0
8YS_H0_N100_P2_HASHPROP_seed002_alloc,secondary,P2_HASHPROP,PoCol hash-proportional nonce ranges,H0,100,8334383792207353191,2,alloc,10000.0,2.34e+16,23400.0,351000.0,15.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,14040000000000000000,installed,hash,S4_OPTIMIZE,1.0,,,300.0,10.0,100,1.0,1.0,1.0,14,14,14,0,0.0,5.04,655.5463762763169,556.2519244520367,451.84968611078546,1362.2925935917087,233576805504875420583,233576805504875420583,0,0.0,4294967296,0.9999999999816122,23,1.314321535187428e+17,1.1597929308845135e+18,0,0,8,800,2.805758039987924e-16,0.015172720999999001,ec89b3bbf840c2e27c5e270e21ea6ed29c1155c3,2d7344a1dac41b6a3484536e18939f294bff62d32a67310254f9a41fc7dfb0d0,998191.4765165612,1808.5234834383743,0.0,0.0,0.9981914765165613,0.0018085234834383744,0.0,0.0,0.0018085234834383744,0.0018085234834383738,3503652082.573133,6347917.426868692,0.0,0.0,2.335768055048755e+20,3503652082.573135,0.0,6347917.426868692,0.9981914765165619,0.9981914765165627,0.0,0,800,2.2606543542979676,5.424307268291159,0,0.0,100,0,1.8189894035458565e-12,0.0,2.335768055048755e+20,3503652082.573135,0.0018085234834380737,0.0018085234834372965,0.9999999999995702,True,0.9981914765165619,0.0,0.9981914765165627,0.8785714285714286,8.791578908695641e-05,0,87,1.0,1.0,0.9981914765165613,1.0,1.0,100,14,,,,,,0,0,,,,,,0,0
8YS_H0_N100_P1_EQUAL_seed003_alloc,secondary,P1_EQUAL,PoCol equal nonce ranges,H0,100,6889695668962070368,3,alloc,10000.0,2.34e+16,23400.0,351000.0,15.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,14040000000000000000,installed,equal,S4_OPTIMIZE,1.0,,,300.0,10.0,100,1.0,1.0,1.0,14,14,14,0,0.0,5.04,639.0155451055726,659.0361694070252,488.7547024493375,1470.7247557990825,233398005911723221687,233398005911723221687,0,0.0,4294967296,0.999999999981598,26,1.3229495322079354e+17,6.830230818572339e+17,0,0,11,1100,2.80790745165095e-16,0.01887923399999636,ec89b3bbf840c2e27c5e270e21ea6ed29c1155c3,2d7344a1dac41b6a3484536e18939f294bff62d32a67310254f9a41fc7dfb0d0,997427.3756911248,2572.6243088751316,0.0,0.0,0.9974273756911248,0.0025726243088751316,0.0,0.0,0.0025726243088751316,0.0025726243088751316,3500970088.675847,9029911.324151712,0.0,0.0,2.3339800591172315e+20,3500970088.6758513,0.0,9029911.324151715,0.9974273756911246,0.9974273756911257,0.0,0,1100,2.3387493717046652,5.706099101242216,0,0.0,100,0,1.8189894035458565e-12,0.0,2.3339800591172315e+20,3500970088.6758513,0.002572624308875393,0.002572624308874283,0.9999999999995685,True,0.9974273756911246,0.0,0.9974273756911257,0.8785714285714286,0.00010509133845881813,0,87,1.0,1.0,0.9974273756911248,1.0,1.0,100,14,,,,,,0,0,,,,,,0,0
8YS_H0_N100_P2_HASHPROP_seed003_alloc,secondary,P2_HASHPROP,PoCol hash-proportional nonce ranges,H0,100,6889695668962070368,3,alloc,10000.0,2.34e+16,23400.0,351000.0,15.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,14040000000000000000,installed,hash,S4_OPTIMIZE,1.0,,,300.0,10.0,100,1.0,1.0,1.0,14,14,14,0,0.0,5.04,639.0155451055726,659.0361694070252,488.7547024493375,1470.7247557990825,233398005911723221687,233398005911723221687,0,0.0,4294967296,0.999999999981598,26,1.3229495322079354e+17,6.830230818572339e+17,0,0,11,1100,2.80790745165095e-16,0.018817188999946666,ec89b3bbf840c2e27c5e270e21ea6ed29c1155c3,2d7344a1dac41b6a3484536e18939f294bff62d32a67310254f9a41fc7dfb0d0,997427.3756911248,2572.6243088751316,0.0,0.0,0.9974273756911248,0.0025726243088751316,0.0,0.0,0.0025726243088751316,0.0025726243088751316,3500970088.675847,9029911.324151712,0.0,0.0,2.3339800591172315e+20,3500970088.6758513,0.0,9029911.324151715,0.9974273756911246,0.9974273756911257,0.0,0,1100,2.3387493717046652,5.706099101242216,0,0.0,100,0,1.8189894035458565e-12,0.0,2.3339800591172315e+20,3500970088.6758513,0.002572624308875393,0.002572624308874283,0.9999999999995685,True,0.9974273756911246,0.0,0.9974273756911257,0.8785714285714286,0.00010509133845881813,0,87,1.0,1.0,0.9974273756911248,1.0,1.0,100,14,,,,,,0,0,,,,,,0,0
8YS_H0_N100_P1_EQUAL_seed004_alloc,secondary,P1_EQUAL,PoCol equal nonce ranges,H0,100,4087591021073051263,4,alloc,10000.0,2.34e+16,23400.0,351000.0,15.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,14040000000000000000,installed,equal,S4_OPTIMIZE,1.0,,,300.0,10.0,100,1.0,1.0,1.0,22,22,22,0,0.0,7.92,440.7927425673754,399.8345927383742,396.96807709434023,1374.564985063938,233602694942932235284,233602694942932235284,0,0.0,4294967296,0.9999999999816143,30,2.143887127281358e+17,1.280628906149246e+18,0,0,7,700,8.416341260447788e-16,0.020736947000386863,ec89b3bbf840c2e27c5e270e21ea6ed29c1155c3,2d7344a1dac41b6a3484536e18939f294bff62d32a67310254f9a41fc7dfb0d0,998302.1151407358,1697.8848592639579,0.0,0.0,0.9983021151407357,0.001697884859263958,0.0,0.0,0.001697884859263958,0.0016978848592639575,3504040424.143984,5959575.856016491,0.0,0.0,2.3360269494293243e+20,3504040424.1439853,0.0,5959575.856016485,0.9983021151407369,0.9983021151407365,0.0,0,700,2.425549798948511,5.10663382477378,0,0.0,100,0,1.8189894035458565e-12,0.0,2.3360269494293243e+20,3504040424.1439853,0.0016978848592631435,0.0016978848592634765,1.000000000000196,True,0.9983021151407369,0.0,0.9983021151407365,0.8318181818181818,6.711560858740917e-05,0,81,1.0,1.0,0.9983021151407357,1.0,1.0,100,22,,,,,,0,0,,,,,,0,0
8YS_H0_N100_P2_HASHPROP_seed004_alloc,secondary,P2_HASHPROP,PoCol hash-proportional nonce ranges,H0,100,4087591021073051263,4,alloc,10000.0,2.34e+16,23400.0,351000.0,15.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,14040000000000000000,installed,hash,S4_OPTIMIZE,1.0,,,300.0,10.0,100,1.0,1.0,1.0,22,22,22,0,0.0,7.92,440.7927425673754,399.8345927383742,396.96807709434023,1374.564985063938,233602694942932235284,233602694942932235284,0,0.0,4294967296,0.9999999999816143,30,2.143887127281358e+17,1.280628906149246e+18,0,0,7,700,8.416341260447788e-16,0.019662271000015608,ec89b3bbf840c2e27c5e270e21ea6ed29c1155c3,2d7344a1dac41b6a3484536e18939f294bff62d32a67310254f9a41fc7dfb0d0,998302.1151407358,1697.8848592639579,0.0,0.0,0.9983021151407357,0.001697884859263958,0.0,0.0,0.001697884859263958,0.0016978848592639575,3504040424.143984,5959575.856016491,0.0,0.0,2.3360269494293243e+20,3504040424.1439853,0.0,5959575.856016485,0.9983021151407369,0.9983021151407365,0.0,0,700,2.425549798948511,5.10663382477378,0,0.0,100,0,1.8189894035458565e-12,0.0,2.3360269494293243e+20,3504040424.1439853,0.0016978848592631435,0.0016978848592634765,1.000000000000196,True,0.9983021151407369,0.0,0.9983021151407365,0.8318181818181818,6.711560858740917e-05,0,81,1.0,1.0,0.9983021151407357,1.0,1.0,100,22,,,,,,0,0,,,,,,0,0
8YS_H0_N100_P1_EQUAL_seed005_alloc,secondary,P1_EQUAL,PoCol equal nonce ranges,H0,100,6547292525179712211,5,alloc,10000.0,2.34e+16,23400.0,351000.0,15.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,14040000000000000000,installed,equal,S4_OPTIMIZE,1.0,,,300.0,10.0,100,1.0,1.0,1.0,16,16,16,0,0.0,5.76,622.7115960753952,463.56750776365743,572.0020328692968,1781.305390561858,233467344606905872429,233467344606905872429,0,0.0,4294967296,0.9999999999816036,27,1.6062146648254662e+17,9.205752929765033e+17,0,0,10,1000,7.017683791104102e-16,0.019137542999942525,ec89b3bbf840c2e27c5e270e21ea6ed29c1155c3,2d7344a1dac41b6a3484536e18939f294bff62d32a67310254f9a41fc7dfb0d0,997723.6949013077,2276.30509869285,0.0,0.0,0.9977236949013077,0.00227630509869285,0.0,0.0,0.00227630509869285,0.00227630509869285,3502010169.103587,7989830.896411904,0.0,0.0,2.3346734460690602e+20,3502010169.103597,0.0,7989830.896411889,0.9977236949013077,0.9977236949013097,0.0,0,1000,2.27630509869285,5.855320692490295,0,0.0,100,0,1.8189894035458565e-12,0.0,2.3346734460690602e+20,3502010169.103597,0.002276305098692255,0.0022763050986902567,0.999999999999122,True,0.9977236949013077,0.0,0.9977236949013097,0.875,7.51459036123503e-05,0,86,1.0,1.0,0.9977236949013077,1.0,1.0,100,16,,,,,,0,0,,,,,,0,0
8YS_H0_N100_P2_HASHPROP_seed005_alloc,secondary,P2_HASHPROP,PoCol hash-proportional nonce ranges,H0,100,6547292525179712211,5,alloc,10000.0,2.34e+16,23400.0,351000.0,15.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,14040000000000000000,installed,hash,S4_OPTIMIZE,1.0,,,300.0,10.0,100,1.0,1.0,1.0,16,16,16,0,0.0,5.76,622.7115960753952,463.56750776365743,572.0020328692968,1781.305390561858,233467344606905872429,233467344606905872429,0,0.0,4294967296,0.9999999999816036,27,1.6062146648254662e+17,9.205752929765033e+17,0,0,10,1000,7.017683791104102e-16,0.018225604000235762,ec89b3bbf840c2e27c5e270e21ea6ed29c1155c3,2d7344a1dac41b6a3484536e18939f294bff62d32a67310254f9a41fc7dfb0d0,997723.6949013077,2276.30509869285,0.0,0.0,0.9977236949013077,0.00227630509869285,0.0,0.0,0.00227630509869285,0.00227630509869285,3502010169.103587,7989830.896411904,0.0,0.0,2.3346734460690602e+20,3502010169.103597,0.0,7989830.896411889,0.9977236949013077,0.9977236949013097,0.0,0,1000,2.27630509869285,5.855320692490295,0,0.0,100,0,1.8189894035458565e-12,0.0,2.3346734460690602e+20,3502010169.103597,0.002276305098692255,0.0022763050986902567,0.999999999999122,True,0.9977236949013077,0.0,0.9977236949013097,0.875,7.51459036123503e-05,0,86,1.0,1.0,0.9977236949013077,1.0,1.0,100,16,,,,,,0,0,,,,,,0,0
