composition,N,H_N_THs,H_N_PHs,P_N_W,P_N_kW,eta_network_J_per_TH,n_S19JPRO,hash_share_S19JPRO,power_share_S19JPRO,n_S19XP,hash_share_S19XP,power_share_S19XP,n_S21PRO,hash_share_S21PRO,power_share_S21PRO,rationale
H0,100,23400.0,23.4,351000.0,351.0,15.0,0,0.0,0.0,0,0.0,0.0,100,1.0,1.0,Homogeneous control: 100% S21 Pro. Reproduces the Stage 8X hardware model so that any Stage 8Y effect attributable to heterogeneity can be separated from effects present without it.
H0,200,46800.0,46.8,702000.0,702.0,15.0,0,0.0,0.0,0,0.0,0.0,200,1.0,1.0,Homogeneous control: 100% S21 Pro. Reproduces the Stage 8X hardware model so that any Stage 8Y effect attributable to heterogeneity can be separated from effects present without it.
H0,300,70200.0,70.2,1053000.0,1053.0,15.0,0,0.0,0.0,0,0.0,0.0,300,1.0,1.0,Homogeneous control: 100% S21 Pro. Reproduces the Stage 8X hardware model so that any Stage 8Y effect attributable to heterogeneity can be separated from effects present without it.
H0,400,93600.0,93.6,1404000.0,1404.0,15.0,0,0.0,0.0,0,0.0,0.0,400,1.0,1.0,Homogeneous control: 100% S21 Pro. Reproduces the Stage 8X hardware model so that any Stage 8Y effect attributable to heterogeneity can be separated from effects present without it.
H0,500,117000.0,117.0,1755000.0,1755.0,15.0,0,0.0,0.0,0,0.0,0.0,500,1.0,1.0,Homogeneous control: 100% S21 Pro. Reproduces the Stage 8X hardware model so that any Stage 8Y effect attributable to heterogeneity can be separated from effects present without it.
H1,100,20150.0,20.15,339950.0,339.95,16.870967741935484,25,0.12903225806451613,0.22562141491395793,0,0.0,0.0,75,0.8709677419354839,0.7743785850860421,"Low heterogeneity: 75/25 newest/older. A network that has largely, but not completely, refreshed to the current generation."
H1,200,40300.0,40.3,679900.0,679.9,16.870967741935484,50,0.12903225806451613,0.22562141491395793,0,0.0,0.0,150,0.8709677419354839,0.7743785850860421,"Low heterogeneity: 75/25 newest/older. A network that has largely, but not completely, refreshed to the current generation."
H1,300,60450.0,60.45,1019850.0,1019.85,16.870967741935484,75,0.12903225806451613,0.22562141491395793,0,0.0,0.0,225,0.8709677419354839,0.7743785850860421,"Low heterogeneity: 75/25 newest/older. A network that has largely, but not completely, refreshed to the current generation."
H1,400,80600.0,80.6,1359800.0,1359.8,16.870967741935484,100,0.12903225806451613,0.22562141491395793,0,0.0,0.0,300,0.8709677419354839,0.7743785850860421,"Low heterogeneity: 75/25 newest/older. A network that has largely, but not completely, refreshed to the current generation."
H1,500,100750.0,100.75,1699750.0,1699.75,16.870967741935484,125,0.12903225806451613,0.22562141491395793,0,0.0,0.0,375,0.8709677419354839,0.7743785850860421,"Low heterogeneity: 75/25 newest/older. A network that has largely, but not completely, refreshed to the current generation."
H2,100,16900.0,16.9,328900.0,328.9,19.46153846153846,50,0.3076923076923077,0.466403162055336,0,0.0,0.0,50,0.6923076923076923,0.5335968379446641,Medium heterogeneity: 50/50. The balanced two-generation reference case.
H2,200,33800.0,33.8,657800.0,657.8,19.46153846153846,100,0.3076923076923077,0.466403162055336,0,0.0,0.0,100,0.6923076923076923,0.5335968379446641,Medium heterogeneity: 50/50. The balanced two-generation reference case.
H2,300,50700.0,50.7,986700.0,986.7,19.46153846153846,150,0.3076923076923077,0.466403162055336,0,0.0,0.0,150,0.6923076923076923,0.5335968379446641,Medium heterogeneity: 50/50. The balanced two-generation reference case.
H2,400,67600.0,67.6,1315600.0,1315.6,19.46153846153846,200,0.3076923076923077,0.466403162055336,0,0.0,0.0,200,0.6923076923076923,0.5335968379446641,Medium heterogeneity: 50/50. The balanced two-generation reference case.
H2,500,84500.0,84.5,1644500.0,1644.5,19.46153846153846,250,0.3076923076923077,0.466403162055336,0,0.0,0.0,250,0.6923076923076923,0.5335968379446641,Medium heterogeneity: 50/50. The balanced two-generation reference case.
H3,100,13650.0,13.65,317850.0,317.85,23.285714285714285,75,0.5714285714285714,0.7239263803680982,0,0.0,0.0,25,0.42857142857142855,0.27607361963190186,"High heterogeneity: 25/75. A network dominated by older, less efficient capacity, with a high-efficiency minority."
H3,200,27300.0,27.3,635700.0,635.7,23.285714285714285,150,0.5714285714285714,0.7239263803680982,0,0.0,0.0,50,0.42857142857142855,0.27607361963190186,"High heterogeneity: 25/75. A network dominated by older, less efficient capacity, with a high-efficiency minority."
H3,300,40950.0,40.95,953550.0,953.55,23.285714285714285,225,0.5714285714285714,0.7239263803680982,0,0.0,0.0,75,0.42857142857142855,0.27607361963190186,"High heterogeneity: 25/75. A network dominated by older, less efficient capacity, with a high-efficiency minority."
H3,400,54600.0,54.6,1271400.0,1271.4,23.285714285714285,300,0.5714285714285714,0.7239263803680982,0,0.0,0.0,100,0.42857142857142855,0.27607361963190186,"High heterogeneity: 25/75. A network dominated by older, less efficient capacity, with a high-efficiency minority."
H3,500,68250.0,68.25,1589250.0,1589.25,23.285714285714285,375,0.5714285714285714,0.7239263803680982,0,0.0,0.0,125,0.42857142857142855,0.27607361963190186,"High heterogeneity: 25/75. A network dominated by older, less efficient capacity, with a high-efficiency minority."
H4,100,14110.0,14.11,313900.0,313.9,22.246633593196314,50,0.36853295535081504,0.4886906658171392,30,0.29978738483345146,0.2876712328767123,20,0.3316796598157335,0.22363810130614845,"Multi-generation realistic skew: 20% S21 Pro, 30% S19 XP, 50% S19j Pro. Three generations with the newest as a minority, reflecting the fact that hardware turnover is gradual and older units keep running while they remain marginally profitable. It spans the full efficiency range available in the registry (15.0 to 29.5 J/TH) with an intermediate class in between. The shares were fixed on this turnover argument BEFORE any Stage 8Y run was executed and were not adjusted toward or away from any energy threshold."
H4,200,28220.0,28.22,627800.0,627.8,22.246633593196314,100,0.36853295535081504,0.4886906658171392,60,0.29978738483345146,0.2876712328767123,40,0.3316796598157335,0.22363810130614845,"Multi-generation realistic skew: 20% S21 Pro, 30% S19 XP, 50% S19j Pro. Three generations with the newest as a minority, reflecting the fact that hardware turnover is gradual and older units keep running while they remain marginally profitable. It spans the full efficiency range available in the registry (15.0 to 29.5 J/TH) with an intermediate class in between. The shares were fixed on this turnover argument BEFORE any Stage 8Y run was executed and were not adjusted toward or away from any energy threshold."
H4,300,42330.0,42.33,941700.0,941.7,22.246633593196314,150,0.36853295535081504,0.4886906658171392,90,0.29978738483345146,0.2876712328767123,60,0.3316796598157335,0.22363810130614845,"Multi-generation realistic skew: 20% S21 Pro, 30% S19 XP, 50% S19j Pro. Three generations with the newest as a minority, reflecting the fact that hardware turnover is gradual and older units keep running while they remain marginally profitable. It spans the full efficiency range available in the registry (15.0 to 29.5 J/TH) with an intermediate class in between. The shares were fixed on this turnover argument BEFORE any Stage 8Y run was executed and were not adjusted toward or away from any energy threshold."
