composition,N,H_N_Hps,H_N_THs,P_N_W,eta_network_J_per_TH,difficulty_D,target,q_per_candidate,expected_hashes_per_block,nonce_domain_S,domain_semantics,expected_winners_per_epoch,p_epoch_exhaustion_predicted
H0,100,2.34e+16,23400.0,351000.0,15.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,1.404e+19,14040000000000000000,installed,1.0,0.36787944117144233
H0,200,4.68e+16,46800.0,702000.0,15.0,6537884473.800659,0x0000000000000000a82ce9ef0e145597ebb626393c32ceeaaa42ada91bd431f9,3.5612535612535614e-20,2.808e+19,28080000000000000000,installed,1.0,0.36787944117144233
H0,300,7.02e+16,70200.0,1053000.0,15.0,9806826710.700989,0x0000000000000000701df14a0962e3ba9d24197b7d77349c7181c91b67e2cbfb,2.3741690408357075e-20,4.212e+19,42120000000000000000,installed,1.0,0.36787944117144233
H0,400,9.36e+16,93600.0,1404000.0,15.0,13075768947.601318,0x0000000000000000541674f7870a2acbf5db131c9e196775552156d48dea18fc,1.7806267806267807e-20,5.616e+19,56160000000000000000,installed,1.0,0.36787944117144233
H0,500,1.17e+17,117000.0,1755000.0,15.0,16344711184.501648,0x000000000000000043452a5f9f3b556ff7e275b07e7ab92aaa811243a4bb4730,1.4245014245014244e-20,7.02e+19,70200000000000000000,installed,0.9999999999999999,0.3678794411714424
H1,100,2.015e+16,20150.0,339950.0,16.870967741935484,2814922481.775284,0x00000000000000018699dd43ffab1960d922ed6c28b8122107508b1527dc5309,8.27129859387924e-20,1.209e+19,12090000000000000000,installed,1.0,0.36787944117144233
H1,200,4.03e+16,40300.0,679900.0,16.870967741935484,5629844963.550568,0x0000000000000000c34ceea1ffd58cb06c9176b6145c091083a8458a93ee2984,4.13564929693962e-20,2.418e+19,24180000000000000000,installed,1.0,0.36787944117144233
H1,300,6.045e+16,60450.0,1019850.0,16.870967741935484,8444767445.325851,0x0000000000000000823349c1553908759db64f240d92b0b5ad1ad9070d497103,2.7570995312930796e-20,3.627e+19,36270000000000000000,installed,1.0,0.36787944117144233
H1,400,8.06e+16,80600.0,1359800.0,16.870967741935484,11259689927.101135,0x000000000000000061a67750ffeac6583648bb5b0a2e048841d422c549f714c2,2.06782464846981e-20,4.836e+19,48360000000000000000,installed,1.0,0.36787944117144233
H1,500,1.0075e+17,100750.0,1699750.0,16.870967741935484,14074612408.87642,0x00000000000000004e1ec5da66556b79c506fc48d4f19d39ce434f043b2c109b,1.6542597187758478e-20,6.045e+19,60450000000000000000,installed,1.0,0.36787944117144233
H2,100,1.69e+16,16900.0,328900.0,19.46153846153846,2360902726.650238,0x0000000000000001d1b7741fd8384f7d51a9a4ed443dee3b1291435e25ae143c,9.861932938856016e-20,1.014e+19,10140000000000000000,installed,1.0,0.36787944117144233
H2,200,3.38e+16,33800.0,657800.0,19.46153846153846,4721805453.300476,0x0000000000000000e8dbba0fec1c27bea8d4d276a21ef71d8948a1af12d70a1e,4.930966469428008e-20,2.028e+19,20280000000000000000,installed,1.0,0.36787944117144233
H2,300,5.07e+16,50700.0,986700.0,19.46153846153846,7082708179.950714,0x00000000000000009b3d26b54812c529c5e336f9c169fa13b0db1674b73a06be,3.287310979618672e-20,3.042e+19,30420000000000000000,installed,1.0,0.36787944117144233
H2,400,6.76e+16,67600.0,1315600.0,19.46153846153846,9443610906.600952,0x0000000000000000746ddd07f60e13df546a693b510f7b8ec4a450d7896b850f,2.465483234714004e-20,4.056e+19,40560000000000000000,installed,1.0,0.36787944117144233
H2,500,8.45e+16,84500.0,1644500.0,19.46153846153846,11804513633.25119,0x00000000000000005d24b0d32b3e764c4388542f740c62d89d5040ac6def9da5,1.9723865877712033e-20,5.07e+19,50700000000000000000,installed,1.0,0.36787944117144233
H3,100,1.365e+16,13650.0,317850.0,23.285714285714285,1906882971.5251923,0x00000000000000024099fd7cc28edc520395155685407c49232dc11f3ad786c5,1.221001221001221e-19,8.19e+18,8190000000000000000,installed,1.0,0.36787944117144233
H3,200,2.73e+16,27300.0,635700.0,23.285714285714285,3813765943.0503845,0x0000000000000001204cfebe61476e2901ca8aab42a03e249196e08f9d6bc362,6.105006105006105e-20,1.638e+19,16380000000000000000,installed,1.0,0.36787944117144233
H3,300,4.095e+16,40950.0,953550.0,23.285714285714285,5720648914.575577,0x0000000000000000c033547eeb84f41b5687071cd7157ec30bb9eb0a68f28241,4.07000407000407e-20,2.457e+19,24570000000000000000,installed,1.0,0.36787944117144233
H3,400,5.46e+16,54600.0,1271400.0,23.285714285714285,7627531886.100769,0x000000000000000090267f5f30a3b71480e54555a1501f1248cb7047ceb5e1b1,3.0525030525030526e-20,3.276e+19,32760000000000000000,installed,1.0,0.36787944117144233
H3,500,6.825e+16,68250.0,1589250.0,23.285714285714285,9534414857.625961,0x00000000000000007351ff7f5a1c9276cd843777b44018db6d6f8d063ef7e7c1,2.442002442002442e-20,4.095e+19,40950000000000000000,installed,1.0,0.36787944117144233
H4,100,1.411e+16,14110.0,313900.0,22.246633593196314,1971144229.1736603,0x00000000000000022dcdc20f47eae801b001cc9d2dfe567cd1d6cef705c287a3,1.1811953697141507e-19,8.466e+18,8466000000000000000,installed,1.0,0.36787944117144233
H4,200,2.822e+16,28220.0,627800.0,22.246633593196314,3942288458.3473206,0x000000000000000116e6e107a3f57400d800e64e96ff2b3e68eb677b82e143d1,5.905976848570753e-20,1.6932e+19,16932000000000000000,installed,1.0,0.36787944117144233
H4,300,4.233e+16,42330.0,941700.0,22.246633593196314,5913432687.520981,0x0000000000000000b9ef40afc2a3a2ab3aab443464aa1cd445f244fd01eb828b,3.937317899047169e-20,2.5398e+19,25398000000000000000,installed,1.0,0.36787944117144233
H4,400,5.644e+16,56440.0,1255600.0,22.246633593196314,7884576916.694641,0x00000000000000008b737083d1faba006c0073274b7f959f3475b3bdc170a1e8,2.9529884242853767e-20,3.3864e+19,33864000000000000000,installed,1.0,0.36787944117144233
H4,500,7.055e+16,70550.0,1569500.0,22.246633593196314,9855721145.868301,0x00000000000000006f8f8d3641956199f0005c1f6f99447f5d2af631678d4e53,2.3623907394283013e-20,4.233e+19,42330000000000000000,installed,1.0,0.36787944117144233
