composition,N,protocol,alpha_case,alpha,is_idealized_alpha,pairs,PoW_energy_kWh_mean,PoCol_energy_kWh_mean,EnergySaving_mean,EnergySaving_median,EnergySaving_sd,EnergySaving_ci95_low,EnergySaving_ci95_high,EnergySaving_boot_ci95_low,EnergySaving_boot_ci95_high,exceeds_50pct_mean,exceeds_50pct_ci_lower,exceeds_50pct_boot_ci_lower,one_sided_p_greater_50pct,seed_fraction_exceeding_50pct
H0,100,P0_ALL,alpha_0,0.0,True,30,975.0,973.1200093733471,0.0019281955145155768,0.0019397943210089,0.0004529288108028307,0.0017590691170472515,0.002097321911983902,0.0017704277286931579,0.0020863652212146696,False,False,False,1.0,0.0
H0,100,P0_ALL,alpha_005,0.05,False,30,975.0,973.2140089046799,0.0018317857387898,0.0018428046049585,0.00043028237026268486,0.0016711156611948926,0.0019924558163847074,0.0016819063422585131,0.00198204696015395,False,False,False,1.0,0.0
H0,100,P0_ALL,alpha_010,0.1,False,30,975.0,973.3080084360128,0.0017353759630639935,0.0017458148889081498,0.00040763592972254336,0.0015831622053425023,0.0018875897207854847,0.0015933849558238387,0.0018777286990931937,False,False,False,1.0,0.0
H0,100,P0_ALL,alpha_025,0.25,False,30,975.0,973.5900070300104,0.0014461466358866731,0.0014548457407567998,0.00033969660810210167,0.001319301837785437,0.0015729914339879091,0.0013278207965198836,0.001564773915911006,False,False,False,1.0,0.0
H0,100,P0_ALL,alpha_050,0.5,False,30,975.0,974.0600046866738,0.0009640977572577634,0.0009698971605046501,0.00022646440540140088,0.0008795345585236061,0.0010486609559919207,0.0008852138643465464,0.001043182610607331,False,False,False,1.0,0.0
H0,100,P3_ENERGY,alpha_0,0.0,True,30,975.0,583.7263722107939,0.4013062849120062,0.40129584267506063,0.00020218866874725263,0.401230786422313,0.4013817834016994,0.4012365029305463,0.4013776617145714,False,False,False,1.0,0.0
H0,100,P3_ENERGY,alpha_005,0.05,False,30,975.0,603.2900536002542,0.3812409706664059,0.3812310505413077,0.0001920792353098965,0.3811692471011974,0.3813126942316144,0.381174677784019,0.38130877862884294,False,False,False,1.0,0.0
H0,100,P3_ENERGY,alpha_010,0.1,False,30,975.0,622.8537349897146,0.36117565642080574,0.36116625840755456,0.00018196980187253076,0.3611077077800819,0.3612436050615296,0.3611128526374917,0.36123989554311436,False,False,False,1.0,0.0
H0,100,P3_ENERGY,alpha_025,0.25,False,30,975.0,681.5447791580955,0.3009797136840047,0.30097188200629543,0.0001516415015604327,0.3009230898167348,0.3010363375512746,0.3009273771979097,0.30103324628592865,False,False,False,1.0,0.0
H0,100,P3_ENERGY,alpha_050,0.5,False,30,975.0,779.363186105397,0.2006531424560031,0.2006479213375303,0.00010109433437364206,0.2006153932111565,0.2006908917008497,0.20061825146527318,0.20068883085728573,False,False,False,1.0,0.0
H0,100,P4_RESERVE,alpha_0,0.0,True,30,975.0,554.551631778946,0.4312290956113373,0.43872279603290054,0.041358350868999444,0.41578563359065823,0.4466725576320164,0.41627558672008147,0.4455132680995663,False,False,False,0.9999999997367618,0.03333333333333333
H0,100,P4_RESERVE,alpha_005,0.05,False,30,975.0,575.5740501899986,0.40966764083077056,0.41678665623125555,0.03929043332554945,0.3949963519111254,0.4243389297504157,0.3954618073840775,0.42323760469458793,False,False,False,0.9999999999998608,0.0
