composition,N,protocol,PoW_mean_interval_s,PoCol_mean_interval_s,PoW_median_interval_s,PoCol_median_interval_s,PoW_p95_interval_s,PoCol_p95_interval_s,LatencyRatio_median_mean,LatencyRatio_ci95_low,LatencyRatio_ci95_high,LatencyRatio_n_defined,LatencyRatio_n_NA,meets_latency_1p10
H0,100,P0_ALL,582.6760332529597,583.8576490056387,410.3161041732475,410.44835820501334,1515.6887610982367,1520.0928524776843,1.0002028313456628,0.999967234739212,1.0004384279521137,30,0,True
H0,100,P3_ENERGY,582.6760332529597,918.811687582265,410.3161041732475,709.6187963541712,1515.6887610982367,2174.57005590016,1.835778984553958,1.492130344815866,2.17942762429205,30,0,False
H0,100,P4_RESERVE,582.6760332529597,997.6228584032376,410.3161041732475,748.5844764511871,1515.6887610982367,2309.0850577587544,1.9340951899102592,1.4692201891987169,2.3989701906218013,30,0,False
H0,300,P0_ALL,589.621709704793,591.045488388559,403.55492864778654,403.79053110981926,1605.0586451768206,1610.2856921525004,1.0003650598195637,0.9999860061203014,1.000744113518826,30,0,True
H0,300,P3_ENERGY,589.621709704793,1036.4700765676055,403.55492864778654,805.4977297618099,1605.0586451768206,2407.8952812028438,2.0756606399919924,1.6600484581050352,2.4912728218789493,30,0,False
H0,300,P4_RESERVE,589.621709704793,1085.40442573652,403.55492864778654,901.1734178244549,1605.0586451768206,2382.1358197746254,2.2371387893076142,1.6975296177943087,2.77674796082092,30,0,False
H0,500,P0_ALL,591.0340511237401,594.1936019746331,397.67947718383436,391.9886531759482,1563.3813234966196,1564.5602626351406,0.9863005003254663,0.9637964565530763,1.0088045440978564,30,0,True
H0,500,P3_ENERGY,591.0340511237401,1032.5252079825957,397.67947718383436,806.9021650260669,1563.3813234966196,2459.580743312471,2.0559001040924163,1.5531586032781617,2.558641604906671,30,0,False
H0,500,P4_RESERVE,591.0340511237401,1024.5497109703792,397.67947718383436,762.7769363960072,1563.3813234966196,2428.809413277694,1.9761203492383013,1.5506830214319187,2.401557677044684,30,0,False
H2,100,P0_ALL,586.8385347153395,587.0284823666192,433.3855908117234,433.0636329424908,1535.1359604463653,1539.1451576073682,0.9982760158173218,0.9938849806513795,1.002667050983264,30,0,True
H2,100,P3_ENERGY,586.8385347153395,912.9270853949596,433.3855908117234,735.711966559483,1535.1359604463653,2169.6115422159364,1.8083422619970109,1.43075935042819,2.185925173565832,30,0,False
H2,100,P4_RESERVE,586.8385347153395,1000.9793992307881,433.3855908117234,839.453187876521,1535.1359604463653,2248.142132888232,2.0624464439217176,1.4931327931358336,2.6317600947076016,30,0,False
H2,300,P0_ALL,554.0506508853928,555.7727507786174,425.1267833904724,424.31216270824245,1471.2828564390322,1477.1361206231961,0.9970457700167793,0.9904718669090372,1.0036196731245215,30,0,True
H2,300,P3_ENERGY,554.0506508853928,866.7836582677961,425.1267833904724,693.2201851232278,1471.2828564390322,2119.775552027824,1.7726368575761955,1.538157956443373,2.007115758709018,30,0,False
H2,300,P4_RESERVE,554.0506508853928,971.1589547701827,425.1267833904724,679.5643312990583,1471.2828564390322,2286.662464509042,1.7608219375958964,1.3777328516905145,2.1439110235012784,30,0,False
H2,500,P0_ALL,596.0573787796851,595.9689119464907,445.9503370704133,441.02051646353544,1533.2755150896337,1535.3453808510847,0.9900913996194328,0.9746148020406278,1.0055679971982379,30,0,True
H2,500,P3_ENERGY,596.0573787796851,936.5092925258385,445.9503370704133,692.4088701158639,1533.2755150896337,2328.3956118652295,1.6250200556406633,1.3716299232806413,1.8784101880006854,30,0,False
H2,500,P4_RESERVE,596.0573787796851,977.757213910908,445.9503370704133,681.1004951265828,1533.2755150896337,2271.875020266949,1.5736621015679524,1.2723551298694487,1.8749690732664561,30,0,False
H4,100,P0_ALL,577.6772227212251,573.903432778833,441.9912741939859,440.22613961924606,1471.260546106077,1471.817298393084,0.9967841026610528,0.9930288981184593,1.0005393072036464,30,0,True
H4,100,P3_ENERGY,577.6772227212251,911.3811924469769,441.9912741939859,679.3904056858026,1471.260546106077,2220.4916939544805,1.6168852206408013,1.2746045731863507,1.959165868095252,30,0,False
H4,100,P4_RESERVE,577.6772227212251,957.64816080103,441.9912741939859,658.4089968720089,1471.260546106077,2221.9856256924945,1.529448999511808,1.2864505062300686,1.7724474927935472,30,0,False
H4,300,P0_ALL,570.578893304053,570.9006577873154,407.9028232877266,405.22474546517725,1551.0714521455127,1555.4575837219609,0.9903672602172439,0.9765713473748873,1.0041631730596003,30,0,True
H4,300,P3_ENERGY,570.578893304053,856.0235363070664,407.9028232877266,599.6573397509294,1551.0714521455127,2274.17279140855,1.502325617226435,1.303297261246786,1.701353973206084,30,0,False
H4,300,P4_RESERVE,570.578893304053,955.413709347707,407.9028232877266,745.7733334823926,1551.0714521455127,2265.5653413004566,1.8227466904795344,1.4773338070112345,2.1681595739478343,30,0,False
H4,500,P0_ALL,583.9857363801297,582.1359604325402,427.94309212717343,424.2535932601341,1489.6900134670052,1490.6841614648877,0.9921422522298479,0.9804960028857654,1.0037885015739303,30,0,True
H4,500,P3_ENERGY,583.9857363801297,926.2670342078709,427.94309212717343,744.691482637973,1489.6900134670052,2097.7672278782306,1.8054761430566602,1.537798266310438,2.073154019802882,30,0,False
H4,500,P4_RESERVE,583.9857363801297,1016.6981852494113,427.94309212717343,725.3901947782243,1489.6900134670052,2312.3941859571432,1.7780843043051218,1.4310466042270684,2.125122004383175,30,0,False
