composition,N,protocol,runs,F_active,F_low,F_standby,F_waking,F_parked_minertime,F_parked_power_weighted,mean_h_active_fraction,mean_p_drawn_fraction,min_h_active_fraction,wake_events_mean,reserve_activations_mean,mean_low_episode_s,max_low_episode_s,miners_entering_low_mean,miners_entering_standby_mean,state_time_conservation_error_max_s
H0,100,P0_ALL,30,0.9980718044854845,0.0019281955145155766,0.0,0.0,0.0019281955145155766,0.0019281955145155766,0.9980718044854846,0.9980718044854843,0.0,0.0,0.0,2.080696429052714,7.80042633694211,100.0,0.0,1.8189894035458565e-12
H0,100,P3_ENERGY,30,0.5986937150879937,0.0013062849120062299,0.40000000000000013,0.0,0.4013062849120062,0.4013062849120062,0.5986937150879938,0.5986937150879937,0.0,0.0,0.0,1.9028246615246573,6.911723829757193,60.0,0.0,1.8189894035458565e-12
H0,100,P4_RESERVE,30,0.56648544582948,0.2667887734317459,0.16444032217959137,0.002285458559182647,0.4312290956113374,0.4312290956113374,0.56648544582948,0.5687709043886625,0.0,229.53333333333333,229.53333333333333,443.1956240258562,913.2976198933924,100.0,40.0,1.8189894035458565e-12
H0,100,POW,30,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H0,300,P0_ALL,30,0.997582979412188,0.002417020587811906,0.0,0.0,0.002417020587811906,0.002417020587811906,0.9975829794121879,0.997582979412188,0.0,0.0,0.0,2.5367935802222763,8.493192230502245,300.0,0.0,1.8189894035458565e-12
H0,300,P3_ENERGY,30,0.5983705313633768,0.00162946863662319,0.40000000000000013,0.0,0.40162946863662324,0.40162946863662324,0.5983705313633764,0.5983705313633767,0.0,0.0,0.0,2.306986666375742,8.02365079754145,180.0,0.0,1.8189894035458565e-12
H0,300,P4_RESERVE,30,0.5681488389434973,0.27151581372921757,0.15810961710912338,0.0022257302181614333,0.42962543083834104,0.42962543083834104,0.5681488389434972,0.5703745691616592,0.0,671.4,671.4,436.907328206901,915.276224859952,300.0,120.0,1.8189894035458565e-12
H0,300,POW,30,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H0,500,P0_ALL,30,0.9974715433729933,0.00252845662700672,0.0,0.0,0.00252845662700672,0.00252845662700672,0.9974715433729936,0.9974715433729942,0.0,0.0,0.0,2.7433194109851344,7.97533153866766,500.0,0.0,1.8189894035458565e-12
H0,500,P3_ENERGY,30,0.6001998652939887,0.0018001347060113235,0.3979999999999999,0.0,0.39980013470601133,0.39980013470601133,0.6001998652939885,0.600199865293989,0.0,0.0,0.0,2.515931715778938,9.012291109005671,301.0,0.0,1.8189894035458565e-12
H0,500,P4_RESERVE,30,0.575964051080846,0.25840114770789147,0.16341035333882664,0.002224447872435703,0.4218115010467181,0.421811501046718,0.5759640510808466,0.5781884989532818,0.0,1117.1666666666667,1117.1666666666667,421.0491015700389,914.5192005546046,500.0,199.0,3.637978807091713e-12
H0,500,POW,30,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H2,100,P0_ALL,30,0.998097533849561,0.001902466150439117,0.0,0.0,0.001902466150439117,0.0019026999437493398,0.9980961956208846,0.9980973000562506,0.0,0.0,0.0,2.089843177714093,8.040210266155555,100.0,0.0,1.8189894035458565e-12
H2,100,P3_ENERGY,30,0.43906833772881343,0.0009316622711865433,0.56,0.0,0.5609316622711866,0.5327700565664878,0.600264859070189,0.4672299434335122,0.0,0.0,0.0,1.8114932383392641,7.80042633694211,44.0,0.0,1.8189894035458565e-12
H2,100,P4_RESERVE,30,0.5222636210171535,0.22024053554919265,0.25440037052199316,0.003095472911660587,0.4746409060711858,0.46850526754814953,0.5581705186091807,0.5314947324518504,0.0,310.4,310.4,398.3388874563598,913.7519029618852,100.0,56.0,1.8189894035458565e-12
H2,100,POW,30,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H2,300,P0_ALL,30,0.9976944984518412,0.0023055015481584463,0.0,0.0,0.0023055015481584463,0.0023058215040581264,0.9976926670300623,0.997694178495942,0.0,0.0,0.0,2.478706057909758,8.493192230502245,300.0,0.0,1.8189894035458565e-12
H2,300,P3_ENERGY,30,0.43224538411891883,0.0010879492144143935,0.5666666666666667,0.0,0.5677546158810812,0.5387104596359363,0.5984936087800413,0.4612895403640638,0.0,0.0,0.0,2.1773414834125697,7.590318451188068,130.0,0.0,1.8189894035458565e-12
H2,300,P4_RESERVE,30,0.527670038721436,0.21667505483809277,0.25256476020300395,0.003090146237467117,0.4692398150410968,0.4630396608373948,0.5639606613775999,0.5369603391626053,0.0,930.7333333333333,930.7333333333333,392.64228133149186,914.6695302848872,300.0,170.0,1.8189894035458565e-12
H2,300,POW,30,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H2,500,P0_ALL,30,0.9974630209091562,0.0025369790908438333,0.0,0.0,0.0025369790908438333,0.00253708902074176,0.99746239167241,0.9974629109792591,0.0,0.0,0.0,2.7473680211768854,7.97533153866766,500.0,0.0,1.8189894035458565e-12
H2,500,P3_ENERGY,30,0.4327894166764962,0.0012105833235036936,0.5660000000000001,0.0,0.5672105833235038,0.5381298715310119,0.5992468846289947,0.46187012846898834,0.0,0.0,0.0,2.422543202711091,7.989090297783605,217.0,0.0,1.8189894035458565e-12
H2,500,P4_RESERVE,30,0.5257756519964855,0.2128510699661087,0.2582291786767627,0.003144099360642907,0.47108024864287146,0.464511513504334,0.5641889540884069,0.5354884864956658,0.0,1580.6333333333334,1580.6333333333334,378.88920447056705,913.8825859648618,500.0,283.0,1.8189894035458565e-12
H2,500,POW,30,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H4,100,P0_ALL,30,0.9980800245712779,0.0019199754287221136,0.0,0.0,0.0019199754287221136,0.00192005231670341,0.9980789456418092,0.9980799476832963,0.0,0.0,0.0,2.112878116889292,8.098496561790853,100.0,0.0,1.8189894035458565e-12
