composition,N,protocol,runs,W_total_mean,W_unique_mean,W_duplicate_mean,duplicate_ratio_mean,distinct_nonce_values_mean,nonce_value_reuse_ratio_mean,stale_evaluations_mean,useful_chain_evaluations_mean,work_accounting_error_max,n_templates_mean
H0,100,P0_ALL,30,2.3354880224960335e+20,2.3354880224960335e+20,0.0,0.0,4294967296.0,0.9999999999816098,1.6870639180531088e+17,9.784881079156892e+17,2.245758354324697e-15,27.4
H0,100,P3_ENERGY,30,1.4009432933059053e+20,1.4009432933059053e+20,0.0,0.0,4294967296.0,0.9999999999693423,6.3362508096688344e+16,6.688326400372175e+17,1.8717737596841943e-15,23.333333333333332
H0,100,P4_RESERVE,30,1.325575943240983e+20,1.325575943240983e+20,0.0,0.0,4294967296.0,0.9999999999674326,6.889831836162235e+16,5.600356178555185e+17,2.7558966642787424e-15,15.9
H0,100,POW,30,2.34e+20,2.34e+20,0.0,0.0,4294967296.0,0.9999999999816457,1.6872652022998528e+17,9.784881079156892e+17,0.0,2740.1
H0,300,P0_ALL,30,7.00303251547356e+20,7.00303251547356e+20,0.0,0.0,4294967296.0,0.9999999999938669,4.748394161765076e+17,9.309774543686173e+17,4.679611624150235e-15,26.666666666666668
H0,300,P3_ENERGY,30,4.200561130170905e+20,4.200561130170905e+20,0.0,0.0,4294967296.0,0.9999999999897752,1.6911380631006486e+17,6.063188565936972e+17,4.057277896388839e-15,22.366666666666667
H0,300,P4_RESERVE,30,3.988404849383352e+20,3.988404849383352e+20,0.0,0.0,4294967296.0,0.9999999999891659,1.8864085211142112e+17,5.33149516929573e+17,4.355024342412902e-15,15.233333333333333
H0,300,POW,30,7.02e+20,7.02e+20,0.0,0.0,4294967296.0,0.9999999999938819,4.7484281088415456e+17,9.309774543686173e+17,0.0,8009.533333333334
H0,500,P0_ALL,30,1.1670417057464021e+21,1.1670417057464021e+21,0.0,0.0,4294967296.0,0.9999999999963197,8.046702951861645e+17,9.802893830964015e+17,4.495492670181319e-15,26.7
H0,500,P3_ENERGY,30,7.022338423939667e+20,7.022338423939667e+20,0.0,0.0,4294967296.0,0.9999999999938839,2.9273150468115386e+17,6.071711427741567e+17,5.599580094240011e-15,22.866666666666667
H0,500,P4_RESERVE,30,6.7387793976459e+20,6.7387793976459e+20,0.0,0.0,4294967296.0,0.9999999999935797,3.3077134917859565e+17,5.566088124067453e+17,4.927381291146232e-15,15.833333333333334
H0,500,POW,30,1.17e+21,1.17e+21,0.0,0.0,4294967296.0,0.9999999999963293,8.091164779291436e+17,9.861452502013871e+17,0.0,13356.2
H2,100,P0_ALL,30,1.6867825705992952e+20,1.6867825705992952e+20,0.0,0.0,4294967296.0,0.9999999999745374,1.1744042096253395e+17,8.073306985941297e+17,2.526582234932069e-15,26.7
H2,100,P3_ENERGY,30,1.0144476118286193e+20,1.0144476118286193e+20,0.0,0.0,4294967296.0,0.9999999999576621,4.458677265385931e+16,6.474761789336763e+17,1.939820848506081e-15,23.233333333333334
H2,100,P4_RESERVE,30,9.433081764495149e+19,9.433081764495149e+19,0.0,0.0,4294967296.0,0.9999999999543168,4.9614320024370696e+16,5.0004634833485376e+17,2.4583213371259346e-15,15.5
H2,100,POW,30,1.6900000000000003e+20,1.6900000000000003e+20,0.0,0.0,4294967296.0,0.9999999999745862,1.1767133767155002e+17,8.110793343490792e+17,0.0,2686.5666666666666
H2,300,P0_ALL,30,5.0583018218424186e+20,5.0583018218424186e+20,0.0,0.0,4294967296.0,0.999999999991509,3.7162904363051923e+17,8.364835639010392e+17,3.3689620179029386e-15,27.9
H2,300,P3_ENERGY,30,3.0343625965148104e+20,3.0343625965148104e+20,0.0,0.0,4294967296.0,0.9999999999858457,1.4270599746648483e+17,6.59630000032539e+17,4.103516697075711e-15,23.833333333333332
H2,300,P4_RESERVE,30,2.85928055318443e+20,2.85928055318443e+20,0.0,0.0,4294967296.0,0.9999999999849015,1.5493750350274298e+17,5.21528812180892e+17,3.4226253209876458e-15,16.033333333333335
H2,300,POW,30,5.07e+20,5.07e+20,0.0,0.0,4294967296.0,0.9999999999915291,3.746558169792093e+17,8.45198989260467e+17,0.0,8382.566666666668
H2,500,P0_ALL,30,8.428557209631865e+20,8.428557209631865e+20,0.0,0.0,4294967296.0,0.9999999999949043,5.817279474744305e+17,8.286794172831164e+17,7.625463072648322e-15,26.7
H2,500,P3_ENERGY,30,5.063636175115006e+20,5.063636175115006e+20,0.0,0.0,4294967296.0,0.9999999999915178,2.2036210040432906e+17,6.724154251903199e+17,3.753907734052619e-15,22.933333333333334
H2,500,P4_RESERVE,30,4.7673966620470385e+20,4.7673966620470385e+20,0.0,0.0,4294967296.0,0.9999999999909346,2.4377962408079024e+17,5.208722247144983e+17,3.260939647521193e-15,15.533333333333333
H2,500,POW,30,8.45e+20,8.45e+20,0.0,0.0,4294967296.0,0.9999999999949171,5.852027120176422e+17,8.332298137063296e+17,0.0,13390.9
H4,100,P0_ALL,30,1.4082893923005925e+20,1.4082893923005925e+20,0.0,0.0,4294967296.0,0.9999999999695022,1.014200467360384e+17,6.744349205387956e+17,2.2096873277478083e-15,27.333333333333332
H4,100,P3_ENERGY,30,8.469366625992932e+19,8.469366625992932e+19,0.0,0.0,4294967296.0,0.9999999999492883,3.806425777771482e+16,5.5300953675168915e+17,1.9340780151887397e-15,23.3
H4,100,P4_RESERVE,30,7.945114553736469e+19,7.945114553736469e+19,0.0,0.0,4294967296.0,0.9999999999456971,4.250713740756682e+16,4.533045733505907e+17,1.7421223279754245e-15,15.733333333333333
H4,100,POW,30,1.4109999999999998e+20,1.4109999999999998e+20,0.0,0.0,4294967296.0,0.9999999999695607,1.0209003214445288e+17,6.808111166902522e+17,0.0,2736.266666666667
H4,300,P0_ALL,30,4.2232606046668305e+20,4.2232606046668305e+20,0.0,0.0,4294967296.0,0.9999999999898302,2.9482476265115814e+17,6.741804545699066e+17,4.65580217225791e-15,27.033333333333335
H4,300,P3_ENERGY,30,2.5398806623240054e+20,2.5398806623240054e+20,0.0,0.0,4294967296.0,0.9999999999830896,1.1929961991540059e+17,5.80163988134786e+17,3.9991243016190654e-15,23.433333333333334
H4,300,P4_RESERVE,30,2.401790388493645e+20,2.401790388493645e+20,0.0,0.0,4294967296.0,0.9999999999820305,1.2859611253167534e+17,4.628736054253683e+17,3.792038131745741e-15,16.133333333333333
H4,300,POW,30,4.233e+20,4.233e+20,0.0,0.0,4294967296.0,0.9999999999898536,2.943786296302698e+17,6.731169996516084e+17,0.0,8108.466666666666
H4,500,P0_ALL,30,7.037077216317412e+20,7.037077216317412e+20,0.0,0.0,4294967296.0,0.9999999999938965,5.0003479229260966e+17,6.73666211401153e+17,6.146201246870115e-15,27.133333333333333
H4,500,P3_ENERGY,30,4.2224669851568295e+20,4.2224669851568295e+20,0.0,0.0,4294967296.0,0.9999999999898282,1.8427429696631203e+17,5.264288955879727e+17,5.277221561766378e-15,22.966666666666665
H4,500,P4_RESERVE,30,3.952285484145753e+20,3.952285484145753e+20,0.0,0.0,4294967296.0,0.9999999999890505,2.014330261413477e+17,3.933068383813595e+17,7.304737645567482e-15,15.5
H4,500,POW,30,7.055e+20,7.055e+20,0.0,0.0,4294967296.0,0.9999999999939119,5.0291386570902515e+17,6.771321155526554e+17,0.0,13614.666666666666
