composition,N,protocol,metric,family,n_pairs,mean_control,mean_treatment,mean_difference,median_difference,sd_difference,iqr_difference,ci95_mean_low,ci95_mean_high,boot_ci95_low,boot_ci95_high,relative_difference,n_negative,n_zero,n_positive,shapiro_p,normality_ok,ttest_t,ttest_p,wilcoxon_W,wilcoxon_p,recommended_test,recommended_p,p_holm,cohen_dz,rank_biserial
H0,100,P0_ALL,accepted_blocks,accepted_blocks,30,17.166666666666668,17.166666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,0,,False,,,,,Wilcoxon signed-rank,,0.0,,0.0
H0,100,P0_ALL,total_evaluations,total_evaluations,30,2.339999999999999e+20,2.335488022496033e+20,-4.5119775039665824e+17,-4.5391187111601766e+17,1.0598534172786077e+17,1.3551496395536794e+17,-4.9077332740424576e+17,-4.116221733890707e+17,-4.8820946176423686e+17,-4.142800885142174e+17,-0.0019281955145156343,30,0,0,0.9715646059037774,True,-23.317487282571165,2.4677827302217698e-20,0.0,1.862645149230957e-09,paired t-test,2.4677827302217698e-20,5.118080780408349e-20,-4.257171256334688,-1.0
H0,100,P0_ALL,mean_h_active_fraction,mean_h_active_fraction,30,1.0,0.9980718044854846,-0.0019281955145153036,-0.001939794321007604,0.00045292881080278305,0.0005791237775862601,-0.002097321911983611,-0.001759069117046996,-0.002086365221214162,-0.0017704277286928474,-0.0019281955145153036,30,0,0,0.9715646059049547,True,-23.31748728256927,2.4677827302272945e-20,0.0,1.862645149230957e-09,paired t-test,2.4677827302272945e-20,5.1180807803967466e-20,-4.257171256334343,-1.0
H0,100,P0_ALL,median_block_interval,median_block_interval,30,410.3161041732475,410.44835820501334,0.1322540317659256,0.0,0.4215442063386648,0.0,-0.025153161795754553,0.28966122532760574,0.014054026643420486,0.30460377236703007,0.00032232230327007604,0,23,7,2.514817101536515e-10,False,1.718408542448471,0.0963825714218741,0.0,0.01775592261403605,Wilcoxon signed-rank,0.01775592261403605,0.15980330352632446,0.3137370405695338,1.0
H0,100,P0_ALL,energy_kWh_alpha_0,energy_alpha_0,30,975.0,973.1200093733471,-1.8799906266527198,-1.8912994629836817,0.44160559053276616,0.5646456831471767,-2.0448888641843395,-1.7150923891211003,-2.034206090684323,-1.7261670354758871,-0.00192819551451561,30,0,0,0.9715646059036491,True,-23.317487282570195,2.4677827302246072e-20,0.0,1.862645149230957e-09,paired t-test,2.4677827302246072e-20,5.0835592890921976e-20,-4.257171256334511,-1.0
H0,100,P0_ALL,energy_kWh_alpha_005,energy_alpha_005,30,975.0,973.2140089046799,-1.7859910953201128,-1.7967344898345914,0.41952531100611856,0.5364133989898221,-1.942644420975148,-1.6293377696650777,-1.932495786150164,-1.6398586837021032,-0.0018317857387898592,30,0,0,0.9715646059035603,True,-23.31748728257109,2.4677827302219853e-20,0.0,1.862645149230957e-09,paired t-test,2.4677827302219853e-20,5.083559289093159e-20,-4.257171256334675,-1.0
H0,100,P0_ALL,energy_kWh_alpha_010,energy_alpha_010,30,975.0,973.3080084360128,-1.6919915639874679,-1.702169516685501,0.39744503147949023,0.5081811148324107,-1.8403999777659257,-1.54358315020901,-1.8307854816159188,-1.553550331928307,-0.0017353759630640696,30,0,0,0.9715646059035984,True,-23.31748728257043,2.4677827302239166e-20,0.0,1.862645149230957e-09,paired t-test,2.4677827302239166e-20,5.083559289094942e-20,-4.257171256334554,-1.0
H0,100,P0_ALL,energy_kWh_alpha_025,energy_alpha_025,30,975.0,973.5900070300104,-1.4099929699895786,-1.4184745972378892,0.33120419289953995,0.4234842623604038,-1.5336666481382804,-1.2863192918408768,-1.5256545680133051,-1.2946252766069792,-0.0014461466358867473,30,0,0,0.971564605903475,True,-23.317487282573275,2.4677827302156068e-20,0.0,1.862645149230957e-09,paired t-test,2.4677827302156068e-20,5.0835592890786734e-20,-4.257171256335074,-1.0
H0,100,P0_ALL,energy_kWh_alpha_050,energy_alpha_050,30,975.0,974.0600046866738,-0.9399953133263542,-0.9456497314920966,0.22080279526639598,0.28232284157348886,-1.0224444320921688,-0.8575461945605396,-1.0171030453421783,-0.8630835177379045,-0.0009640977572577992,30,0,0,0.971564605903476,True,-23.317487282568692,2.4677827302289908e-20,0.0,1.862645149230957e-09,paired t-test,2.4677827302289908e-20,5.0835592890765657e-20,-4.257171256334237,-1.0
H0,100,P3_ENERGY,accepted_blocks,accepted_blocks,30,17.166666666666668,10.766666666666667,-6.4,-7.0,3.3487002110443203,4.0,-7.650425208967094,-5.149574791032907,-7.6,-5.233333333333333,-0.37281553398058254,30,0,0,0.2684232985725354,True,-10.468014892679411,2.3146699719293923e-11,0.0,1.6615043860971686e-06,paired t-test,2.3146699719293923e-11,1.1573349859646961e-10,-1.9111892963401782,-1.0
