composition,N,protocol,alpha_case,alpha,horizon_s,n,EnergySaving_long_mean,EnergySaving_long_ci95_low,EnergySaving_long_ci95_high,EnergySaving_short_mean,saving_difference_long_minus_short,BlockRetention_long_mean,BlockRetention_short_mean,blocks_long_mean,exceeds_50pct
H0,300,P0_ALL,alpha_0,0.0,100000.0,30,0.002543396644840794,0.002491552592784923,0.002595240696896665,0.0024170205878116667,0.00012637605702912717,0.9981529123961553,1.0,163.93333333333334,False
H0,300,P0_ALL,alpha_005,0.05,100000.0,30,0.002416226812598757,0.0023669749631456787,0.0024654786620518353,0.0022961695584210666,0.00012005725417769042,0.9981529123961553,1.0,163.93333333333334,False
H0,300,P0_ALL,alpha_010,0.1,100000.0,30,0.0022890569803567036,0.00224239733350641,0.002335716627206997,0.002175318529030507,0.00011373845132619641,0.9981529123961553,1.0,163.93333333333334,False
H0,300,P0_ALL,alpha_025,0.25,100000.0,30,0.001907547483630583,0.0018686644445886815,0.0019464305226724844,0.00181276544085866,9.478204277192301e-05,0.9981529123961553,1.0,163.93333333333334,False
H0,300,P0_ALL,alpha_050,0.5,100000.0,30,0.0012716983224203501,0.0012457762963924337,0.0012976203484482665,0.0012085102939056833,6.31880285146668e-05,0.9981529123961553,1.0,163.93333333333334,False
H0,300,P3_ENERGY,alpha_0,0.0,100000.0,30,0.4017484885108623,0.4017265179869638,0.40177045903476083,0.40162946863662324,0.00011901987423906801,0.6000537331580085,0.5941449992577331,98.53333333333333,False
H0,300,P3_ENERGY,alpha_005,0.05,100000.0,30,0.3816610640853192,0.38164019208761557,0.3816819360830228,0.381547995204792,0.00011306888052720065,0.6000537331580085,0.5941449992577331,98.53333333333333,False
H0,300,P3_ENERGY,alpha_010,0.1,100000.0,30,0.361573639659776,0.36155386618826735,0.3615934131312847,0.36146652177296096,0.00010711788681505574,0.6000537331580085,0.5941449992577331,98.53333333333333,False
H0,300,P3_ENERGY,alpha_025,0.25,100000.0,30,0.30131136638314665,0.30129488849022273,0.30132784427607057,0.3012221014774674,8.926490567923162e-05,0.6000537331580085,0.5941449992577331,98.53333333333333,False
H0,300,P3_ENERGY,alpha_050,0.5,100000.0,30,0.2008742442554311,0.20086325899348184,0.20088522951738036,0.20081473431831157,5.9509937119534007e-05,0.6000537331580085,0.5941449992577331,98.53333333333333,False
H0,300,P4_RESERVE,alpha_0,0.0,100000.0,30,0.4256404962068287,0.42012813491526396,0.43115285749839344,0.4296254308383411,-0.0039849346315123935,0.5811876263983681,0.5488460977160668,95.43333333333334,False
H0,300,P4_RESERVE,alpha_005,0.05,100000.0,30,0.40435847139648734,0.3991217281695008,0.40959521462347387,0.4081441592964241,-0.003785687899936774,0.5811876263983681,0.5488460977160668,95.43333333333334,False
H0,300,P4_RESERVE,alpha_010,0.1,100000.0,30,0.38307644658614587,0.37811532142373755,0.3880375717485542,0.38666288775450697,-0.0035864411683610986,0.5811876263983681,0.5488460977160668,95.43333333333334,False
H0,300,P4_RESERVE,alpha_025,0.25,100000.0,30,0.31923037215512157,0.315096101186448,0.32336464312379515,0.3222190731287558,-0.0029887009736342396,0.5811876263983681,0.5488460977160668,95.43333333333334,False
H0,300,P4_RESERVE,alpha_050,0.5,100000.0,30,0.21282024810341435,0.21006406745763195,0.21557642874919675,0.21481271541917063,-0.00199246731575628,0.5811876263983681,0.5488460977160668,95.43333333333334,False
H2,300,P0_ALL,alpha_0,0.0,100000.0,30,0.002546853582720407,0.0025009406317479227,0.0025927665336928914,0.002305821504058133,0.00024103207866227414,0.9939693685467226,0.9953823953823954,163.36666666666667,False
H2,300,P0_ALL,alpha_005,0.05,100000.0,30,0.002419510903584387,0.0023758936001605333,0.002463128207008241,0.0021905304288552304,0.00022898047472915675,0.9939693685467226,0.9953823953823954,163.36666666666667,False
H2,300,P0_ALL,alpha_010,0.1,100000.0,30,0.0022921682244483365,0.0022508465685731026,0.0023334898803235703,0.002075239353652343,0.00021692887079599339,0.9939693685467226,0.9953823953823954,163.36666666666667,False
H2,300,P0_ALL,alpha_025,0.25,100000.0,30,0.0019101401870402534,0.0018757054738108782,0.0019445749002696285,0.001729366128043607,0.0001807740589966464,0.9939693685467226,0.9953823953823954,163.36666666666667,False
H2,300,P0_ALL,alpha_050,0.5,100000.0,30,0.0012734267913600767,0.001250470315873808,0.0012963832668463453,0.0011529107520290732,0.0001205160393310035,0.9939693685467226,0.9953823953823954,163.36666666666667,False
H2,300,P3_ENERGY,alpha_0,0.0,100000.0,30,0.5388374651442918,0.5388112150773517,0.5388637152112318,0.5387104596359363,0.00012700550835542668,0.6021540665193305,0.6441960491187171,98.8,True
H2,300,P3_ENERGY,alpha_005,0.05,100000.0,30,0.5118955918870772,0.5118706543234842,0.5119205294506702,0.5117749366541395,0.0001206552329376942,0.6021540665193305,0.6441960491187171,98.8,True
H2,300,P3_ENERGY,alpha_010,0.1,100000.0,30,0.48495371862986253,0.48493009356961647,0.4849773436901086,0.48483941367234273,0.00011430495751979519,0.6021540665193305,0.6441960491187171,98.8,False
H2,300,P3_ENERGY,alpha_025,0.25,100000.0,30,0.40412809885821876,0.4041084113080137,0.4041477864084238,0.4040328447269522,9.525413126654225e-05,0.6021540665193305,0.6441960491187171,98.8,False
H2,300,P3_ENERGY,alpha_050,0.5,100000.0,30,0.2694187325721458,0.2694056075386758,0.26943185760561583,0.26935522981796817,6.350275417765783e-05,0.6021540665193305,0.6441960491187171,98.8,False
H2,300,P4_RESERVE,alpha_0,0.0,100000.0,30,0.44945465705136933,0.44186923792496574,0.4570400761777729,0.463039660837395,-0.013585003786025673,0.5695606796780617,0.5765040039553433,93.46666666666667,False
H2,300,P4_RESERVE,alpha_005,0.05,100000.0,30,0.42698192419880093,0.4197757760287175,0.43418807236888435,0.4398876777955252,-0.012905753596724245,0.5695606796780617,0.5765040039553433,93.46666666666667,False
H2,300,P4_RESERVE,alpha_010,0.1,100000.0,30,0.4045091913462325,0.39768231413246924,0.4113360685599957,0.41673569475365557,-0.012226503407423095,0.5695606796780617,0.5765040039553433,93.46666666666667,False
H2,300,P4_RESERVE,alpha_025,0.25,100000.0,30,0.3370909927885271,0.3314019284437244,0.3427800571333298,0.3472797456280462,-0.010188752839519088,0.5695606796780617,0.5765040039553433,93.46666666666667,False
H2,300,P4_RESERVE,alpha_050,0.5,100000.0,30,0.2247273285256846,0.2209346189624828,0.22852003808888643,0.23151983041869753,-0.00679250189301292,0.5695606796780617,0.5765040039553433,93.46666666666667,False
H4,300,P0_ALL,alpha_0,0.0,100000.0,30,0.0025460321200283034,0.0025016337276741315,0.0025904305123824753,0.0023000138513322465,0.0002460182686960569,0.9970816367178743,1.0039351851851852,165.13333333333333,False
H4,300,P0_ALL,alpha_005,0.05,100000.0,30,0.002418730514026886,0.00237655204129042,0.0024609089867633524,0.0021850131587656235,0.00023371735526126272,0.9970816367178743,1.0039351851851852,165.13333333333333,False
H4,300,P0_ALL,alpha_010,0.1,100000.0,30,0.00229142890802548,0.0022514703549067305,0.00233138746114423,0.0020700124661989965,0.0002214164418264837,0.9970816367178743,1.0039351851851852,165.13333333333333,False
H4,300,P0_ALL,alpha_025,0.25,100000.0,30,0.0019095240900212367,0.0018762252957556147,0.0019428228842868587,0.0017250103884992236,0.0001845137015220131,0.9970816367178743,1.0039351851851852,165.13333333333333,False
H4,300,P0_ALL,alpha_050,0.5,100000.0,30,0.0012730160600142,0.0012508168638371193,0.0012952152561912808,0.0011500069256661534,0.00012300913434804667,0.9970816367178743,1.0039351851851852,165.13333333333333,False
H4,300,P3_ENERGY,alpha_0,0.0,100000.0,30,0.5188003203528494,0.5187747625593078,0.518825878146391,0.5186363546458651,0.00016396570698429258,0.6192043573033145,0.6876701722197078,102.4,True
H4,300,P3_ENERGY,alpha_005,0.05,100000.0,30,0.492860304335207,0.4928360244313425,0.4928845842390715,0.49270453691357186,0.00015576742163514457,0.6192043573033145,0.6876701722197078,102.4,False
H4,300,P3_ENERGY,alpha_010,0.1,100000.0,30,0.4669202883175645,0.46689728630337707,0.4669432903317519,0.4667727191812787,0.0001475691362857745,0.6192043573033145,0.6876701722197078,102.4,False
H4,300,P3_ENERGY,alpha_025,0.25,100000.0,30,0.389100240264637,0.3890810719194808,0.3891194086097932,0.3889772659843989,0.0001229742802381084,0.6192043573033145,0.6876701722197078,102.4,False
H4,300,P3_ENERGY,alpha_050,0.5,100000.0,30,0.25940016017642464,0.2593873812796539,0.2594129390731954,0.25931817732293255,8.198285349209078e-05,0.6192043573033145,0.6876701722197078,102.4,False
H4,300,P4_RESERVE,alpha_0,0.0,100000.0,30,0.44383810031647386,0.43706384665867065,0.45061235397427707,0.45499607646311097,-0.011157976146637105,0.581015667518913,0.6278428999620951,95.96666666666667,False
H4,300,P4_RESERVE,alpha_005,0.05,100000.0,30,0.42164619530065023,0.41521065432573717,0.4280817362755633,0.43224627263995546,-0.010600077339305236,0.581015667518913,0.6278428999620951,95.96666666666667,False
H4,300,P4_RESERVE,alpha_010,0.1,100000.0,30,0.39945429028482654,0.39335746199280364,0.40555111857684945,0.40949646881679996,-0.010042178531973422,0.581015667518913,0.6278428999620951,95.96666666666667,False
H4,300,P4_RESERVE,alpha_025,0.25,100000.0,30,0.33287857523735537,0.327797884994003,0.33795926548070776,0.3412470573473333,-0.008368482109977926,0.581015667518913,0.6278428999620951,95.96666666666667,False
