run_id,scenario_id,block_id,pair_id,master_seed,seed_index,condition,control_or_treatment,template_seed,adversarial_seed,num_miners,horizon_T,difficulty,config_sha256
A01-S00,A01,A,A01-S00,7266343386191483739,0,A01,CONTROL,12089769011917694374,1988348648956568175,141,10000.0,1000,d06fa7bcee39efc2f322cad6fa2fb3d99959b7736645f4e5a147a14e10f3a045
A01-S01,A01,A,A01-S01,7327669731288643706,1,A01,CONTROL,12962257606173152482,5324873478951682309,141,10000.0,1000,d06fa7bcee39efc2f322cad6fa2fb3d99959b7736645f4e5a147a14e10f3a045
A01-S02,A01,A,A01-S02,14021529625252821637,2,A01,CONTROL,10111987247277390914,7444505376397852194,141,10000.0,1000,d06fa7bcee39efc2f322cad6fa2fb3d99959b7736645f4e5a147a14e10f3a045
A01-S03,A01,A,A01-S03,13015257401067502099,3,A01,CONTROL,17270178139864731407,8641882922361671506,141,10000.0,1000,d06fa7bcee39efc2f322cad6fa2fb3d99959b7736645f4e5a147a14e10f3a045
A01-S04,A01,A,A01-S04,4888788266148067928,4,A01,CONTROL,2317428014290689691,5004527360990479258,141,10000.0,1000,d06fa7bcee39efc2f322cad6fa2fb3d99959b7736645f4e5a147a14e10f3a045
A01-S05,A01,A,A01-S05,372686234733934361,5,A01,CONTROL,4112462094266218956,12493455952218554452,141,10000.0,1000,d06fa7bcee39efc2f322cad6fa2fb3d99959b7736645f4e5a147a14e10f3a045
A01-S06,A01,A,A01-S06,8946841158517248766,6,A01,CONTROL,18344430265889267866,3607112505366798910,141,10000.0,1000,d06fa7bcee39efc2f322cad6fa2fb3d99959b7736645f4e5a147a14e10f3a045
A01-S07,A01,A,A01-S07,9009703059525875822,7,A01,CONTROL,17090463357186446524,16318870803467828902,141,10000.0,1000,d06fa7bcee39efc2f322cad6fa2fb3d99959b7736645f4e5a147a14e10f3a045
A01-S08,A01,A,A01-S08,13763262471769672163,8,A01,CONTROL,16125149457169702369,9691583463255889012,141,10000.0,1000,d06fa7bcee39efc2f322cad6fa2fb3d99959b7736645f4e5a147a14e10f3a045
A01-S09,A01,A,A01-S09,11943450448932995834,9,A01,CONTROL,17149423523499720600,14346439664770562953,141,10000.0,1000,d06fa7bcee39efc2f322cad6fa2fb3d99959b7736645f4e5a147a14e10f3a045
A01-S10,A01,A,A01-S10,383364110206706523,10,A01,CONTROL,523302846518345112,15696728803483267094,141,10000.0,1000,d06fa7bcee39efc2f322cad6fa2fb3d99959b7736645f4e5a147a14e10f3a045
