tier,scenario_id,block_id,confirmatory_or_exploratory,master_seed,seed_index,num_miners,horizon_T,nonce_domain_size,batch_size,difficulty,purpose
TIER1,A01,A,CONFIRMATORY,17024034099160922174,0,12,200.0,400,25,1000,semantic/config validation
TIER1,A01,A,CONFIRMATORY,11768030410170855390,1,12,200.0,400,25,1000,semantic/config validation
TIER1,A02,A,CONFIRMATORY,17024034099160922174,0,12,200.0,400,25,1000,semantic/config validation
TIER1,A02,A,CONFIRMATORY,11768030410170855390,1,12,200.0,400,25,1000,semantic/config validation
TIER1,A03,A,CONFIRMATORY,17024034099160922174,0,12,200.0,400,25,1000,semantic/config validation
TIER1,A03,A,CONFIRMATORY,11768030410170855390,1,12,200.0,400,25,1000,semantic/config validation
TIER1,A04,A,CONFIRMATORY,17024034099160922174,0,12,200.0,400,25,1000,semantic/config validation
TIER1,A04,A,CONFIRMATORY,11768030410170855390,1,12,200.0,400,25,1000,semantic/config validation
TIER1,A05,A,CONFIRMATORY,17024034099160922174,0,12,200.0,400,25,1000,semantic/config validation
TIER1,A05,A,CONFIRMATORY,11768030410170855390,1,12,200.0,400,25,1000,semantic/config validation
TIER1,A06,A,CONFIRMATORY,17024034099160922174,0,12,200.0,400,25,1000,semantic/config validation
TIER1,A06,A,CONFIRMATORY,11768030410170855390,1,12,200.0,400,25,1000,semantic/config validation
TIER1,B01,B,CONFIRMATORY,17024034099160922174,0,12,200.0,400,25,1000,semantic/config validation
TIER1,B01,B,CONFIRMATORY,11768030410170855390,1,12,200.0,400,25,1000,semantic/config validation
TIER1,B02,B,CONFIRMATORY,17024034099160922174,0,12,200.0,400,25,1000,semantic/config validation
TIER1,B02,B,CONFIRMATORY,11768030410170855390,1,12,200.0,400,25,1000,semantic/config validation
TIER1,B03,B,CONFIRMATORY,17024034099160922174,0,12,200.0,400,25,1000,semantic/config validation
TIER1,B03,B,CONFIRMATORY,11768030410170855390,1,12,200.0,400,25,1000,semantic/config validation
TIER1,B04,B,CONFIRMATORY,17024034099160922174,0,12,200.0,400,25,1000,semantic/config validation
TIER1,B04,B,CONFIRMATORY,11768030410170855390,1,12,200.0,400,25,1000,semantic/config validation
TIER1,C01,C,CONFIRMATORY,17024034099160922174,0,12,200.0,400,25,1000,semantic/config validation
TIER1,C01,C,CONFIRMATORY,11768030410170855390,1,12,200.0,400,25,1000,semantic/config validation
TIER1,C02,C,CONFIRMATORY,17024034099160922174,0,12,200.0,400,25,1000,semantic/config validation
TIER1,C02,C,CONFIRMATORY,11768030410170855390,1,12,200.0,400,25,1000,semantic/config validation
TIER1,C03,C,CONFIRMATORY,17024034099160922174,0,12,200.0,400,25,1000,semantic/config validation
TIER1,C03,C,CONFIRMATORY,11768030410170855390,1,12,200.0,400,25,1000,semantic/config validation
TIER1,C04,C,CONFIRMATORY,17024034099160922174,0,12,200.0,400,25,1000,semantic/config validation
TIER1,C04,C,CONFIRMATORY,11768030410170855390,1,12,200.0,400,25,1000,semantic/config validation
TIER1,C05,C,CONFIRMATORY,17024034099160922174,0,12,200.0,400,25,1000,semantic/config validation
TIER1,C05,C,CONFIRMATORY,11768030410170855390,1,12,200.0,400,25,1000,semantic/config validation
TIER1,C06,C,CONFIRMATORY,17024034099160922174,0,12,200.0,400,25,2037035976334486086268445688409378161051468393665936250636140449354381299763336706183397376,semantic/config validation
TIER1,C06,C,CONFIRMATORY,11768030410170855390,1,12,200.0,400,25,2037035976334486086268445688409378161051468393665936250636140449354381299763336706183397376,semantic/config validation
TIER1,D00,D,CONFIRMATORY,17024034099160922174,0,12,200.0,400,25,1000,semantic/config validation
TIER1,D00,D,CONFIRMATORY,11768030410170855390,1,12,200.0,400,25,1000,semantic/config validation
TIER1,D01,D,CONFIRMATORY,17024034099160922174,0,12,200.0,400,25,1000,semantic/config validation
TIER1,D01,D,CONFIRMATORY,11768030410170855390,1,12,200.0,400,25,1000,semantic/config validation
TIER1,D02,D,CONFIRMATORY,17024034099160922174,0,12,200.0,400,25,1000,semantic/config validation
TIER1,D02,D,CONFIRMATORY,11768030410170855390,1,12,200.0,400,25,1000,semantic/config validation
TIER1,D03,D,CONFIRMATORY,17024034099160922174,0,12,200.0,400,25,1000,semantic/config validation
TIER1,D03,D,CONFIRMATORY,11768030410170855390,1,12,200.0,400,25,1000,semantic/config validation
TIER1,D04C,D,CONFIRMATORY,17024034099160922174,0,12,200.0,400,25,1000,semantic/config validation
TIER1,D04C,D,CONFIRMATORY,11768030410170855390,1,12,200.0,400,25,1000,semantic/config validation
TIER1,D04,D,CONFIRMATORY,17024034099160922174,0,12,200.0,400,25,1000,semantic/config validation
TIER1,D04,D,CONFIRMATORY,11768030410170855390,1,12,200.0,400,25,1000,semantic/config validation
