N,mode,n_seeds,total_energy_kwh__n,total_energy_kwh__mean,total_energy_kwh__median,total_energy_kwh__std,total_energy_kwh__p2_5,total_energy_kwh__p97_5,total_energy_kwh__boot_ci_low,total_energy_kwh__boot_ci_high,total_energy_kwh__min,total_energy_kwh__max,active_miner_seconds__n,active_miner_seconds__mean,active_miner_seconds__median,active_miner_seconds__std,active_miner_seconds__p2_5,active_miner_seconds__p97_5,active_miner_seconds__boot_ci_low,active_miner_seconds__boot_ci_high,active_miner_seconds__min,active_miner_seconds__max,idle_miner_seconds__n,idle_miner_seconds__mean,idle_miner_seconds__median,idle_miner_seconds__std,idle_miner_seconds__p2_5,idle_miner_seconds__p97_5,idle_miner_seconds__boot_ci_low,idle_miner_seconds__boot_ci_high,idle_miner_seconds__min,idle_miner_seconds__max,pct_time_active__n,pct_time_active__mean,pct_time_active__median,pct_time_active__std,pct_time_active__p2_5,pct_time_active__p97_5,pct_time_active__boot_ci_low,pct_time_active__boot_ci_high,pct_time_active__min,pct_time_active__max,avg_discovery_time_s__n,avg_discovery_time_s__mean,avg_discovery_time_s__median,avg_discovery_time_s__std,avg_discovery_time_s__p2_5,avg_discovery_time_s__p97_5,avg_discovery_time_s__boot_ci_low,avg_discovery_time_s__boot_ci_high,avg_discovery_time_s__min,avg_discovery_time_s__max,duplicate_header_evaluations__n,duplicate_header_evaluations__mean,duplicate_header_evaluations__median,duplicate_header_evaluations__std,duplicate_header_evaluations__p2_5,duplicate_header_evaluations__p97_5,duplicate_header_evaluations__boot_ci_low,duplicate_header_evaluations__boot_ci_high,duplicate_header_evaluations__min,duplicate_header_evaluations__max,unique_candidate_evaluations__n,unique_candidate_evaluations__mean,unique_candidate_evaluations__median,unique_candidate_evaluations__std,unique_candidate_evaluations__p2_5,unique_candidate_evaluations__p97_5,unique_candidate_evaluations__boot_ci_low,unique_candidate_evaluations__boot_ci_high,unique_candidate_evaluations__min,unique_candidate_evaluations__max,successful_rounds__n,successful_rounds__mean,successful_rounds__median,successful_rounds__std,successful_rounds__p2_5,successful_rounds__p97_5,successful_rounds__boot_ci_low,successful_rounds__boot_ci_high,successful_rounds__min,successful_rounds__max,exhaustion_probability
100,COMMON_TEMPLATE_DUPLICATE_BASELINE,100,100,13.375685807777772,13.153311277777764,1.9985703645733222,9.826970515277761,17.772327965277775,13.005389297152776,13.76716816315277,8.124626777777767,19.172585277777777,100,423916.3211999999,415021.3399999994,79942.8145829328,281967.70949999953,599782.0075000002,409104.460775,439575.61541500007,213873.96000000008,655792.2999999996,100,576083.6788,584978.6600000008,79942.8145829329,400217.9924999996,718032.2905000008,560424.3845849999,590895.5392250002,344207.6999999995,786126.0400000018,100,42.391632120000004,41.50213399999994,7.99428145829328,28.19677094999995,59.97820075000001,40.91044607749999,43.9575615415,21.387396000000006,65.57922999999995,100,201.60778774828702,200.80009176470588,41.85225766421079,125.2470068382353,302.4151299999999,193.5608128763821,210.10529705208427,112.40233846153845,320.04977142857143,100,706942229.4,694882039.5,133561466.76332642,465246720.675,1005876716.6249999,682117039.1475,733107419.4015,352892034.0,1114503093.0,100,7140830.6,7019010.5,1349105.724882085,4699461.825,10160370.874999998,6890071.1025,7405125.4485,3564566.0,11257607.0,100,14.85,15.0,1.366075260064985,12.0,17.0,14.59,15.1,11.0,17.0,0.0
100,POCOL_DISJOINT_NONCE,100,100,2.886290372777778,2.8885092777777794,0.02150774141480569,2.8464850152777776,2.9199498777777793,2.882101283777778,2.890671683027779,2.8303512777777753,2.949766277777775,100,4340.503800000024,4429.260000000022,860.309656592214,2748.289499999997,5686.8839999999645,4172.940240000009,4515.75621000003,2102.9400000001015,6879.540000000019,100,995659.4962,995570.7400000009,860.30965659215,994313.1160000018,997251.7104999981,995484.2437900001,995827.0597599997,993120.4600000025,997897.0599999999,100,0.4340503800000024,0.44292600000000226,0.08603096565922139,0.27482894999999974,0.5686883999999965,0.41729402400000093,0.451575621000003,0.21029400000001017,0.6879540000000018,100,2.0596333173400128,2.063325,0.40485958694622093,1.3648705625,2.802614062499999,1.9842664858512442,2.1379417910245637,1.1927999999999999,2.9814000000000003,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,7234173.0,7382100.0,1433849.4276536948,4580482.5,9478139.999999996,6954900.4,7526260.35,3504900.0,11465900.0,100,14.85,15.0,1.366075260064985,12.0,17.0,14.58975,15.12,11.0,17.0,0.0
100,INDEPENDENT_HEADERS_EQUAL_TOTAL_BUDGET,100,100,2.8863558027777776,2.886857027777779,0.02094448513373054,2.8495272777777796,2.922086252777784,2.882238873527778,2.8903040214027778,2.832791777777776,2.9269302777777826,100,4343.121000000011,4363.170000000009,837.7794053492137,2869.980000000136,5772.3390000000545,4178.4438299999965,4501.049745000027,2200.5599999999463,5966.100000000037,100,995656.8789999995,995636.8299999986,837.7794053491867,994227.6610000001,997130.0200000011,995498.9502549998,995821.5561699999,994033.9000000013,997799.439999999,100,0.4343121000000011,0.43631700000000095,0.08377794053492137,0.2869980000000136,0.5772339000000054,0.4178443829999997,0.4501049745000027,0.22005599999999462,0.5966100000000037,100,2.044807746349239,2.032978571428571,0.43138410573270103,1.31660625,2.9070429999999994,1.9625344196348506,2.124110469279066,1.22284,2.9991882352941173,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,7238535.0,7271950.0,1396299.0089153468,4783300.0,9620565.0,6964073.05,7501749.575,3667600.0,9943500.0,100,14.81,15.0,1.361037928356239,12.0,17.0,14.559750000000001,15.06,11.0,17.0,0.0
100,INDEPENDENT_HEADERS_FULL_PER_MINER_BUDGET,100,100,2.903230292777779,2.9009525277777817,0.03086709356219099,2.85022706527778,2.9678798277777787,2.8973571534027784,2.909487431777779,2.832791777777776,2.9856477777777815,100,5018.100600000014,4926.990000000109,1234.683742487639,2897.971500000068,7604.082000000146,4783.175025000031,5268.386160000021,2200.5599999999463,8314.799999999945,100,994981.8993999999,995073.0099999998,1234.6837424877526,992395.918,997102.0285000012,994731.6138399998,995216.8249750001,991685.1999999984,997799.439999999,100,0.5018100600000014,0.4926990000000109,0.1234683742487639,0.2897971500000068,0.7604082000000145,0.47831750250000316,0.5268386160000021,0.22005599999999462,0.8314799999999944,100,2.9518238823529406,2.8982294117647056,0.7262845544044912,1.7046891176470587,4.472989411764706,2.813632367647058,3.099050682352941,1.2944470588235293,4.89105882352941,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,8363501.0,8211650.0,2057806.2374793917,4829952.5,12673470.0,7971958.375,8780643.6,3667600.0,13858000.0,100,17.0,17.0,0.0,17.0,17.0,17.0,17.0,17.0,17.0,0.0
200,COMMON_TEMPLATE_DUPLICATE_BASELINE,100,100,26.907688675555555,27.111971055555504,4.104669423258356,19.839646580555556,34.34773433055551,26.067717173305546,27.758201168055535,16.34505855555552,38.15266055555556,100,854085.3247999995,862256.6200000001,164186.77693033408,571363.6409999991,1151687.1509999968,820486.4647099996,888105.8244999995,431580.11999999895,1303884.2000000004,100,1145914.6752000002,1137743.38,164186.7769303333,848312.8490000031,1428636.3590000018,1111894.1755,1179513.5352899996,696115.8000000032,1568419.8799999936,100,42.70426623999997,43.112831,8.209338846516703,28.568182049999958,57.584357549999844,41.02432323549999,44.405291224999964,21.579005999999946,65.19421000000003,100,199.535881823287,194.42906344537815,37.64229470565748,132.16609862500002,273.1486862307692,192.22275236764304,207.33019900917088,126.9353294117647,295.1162,100,1426258981.44,1445257997.0,275128344.49073637,969038639.1,1927664439.0249996,1371016958.19675,1482080831.3314998,715703699.0,2169562476.0,100,7167130.56,7262603.0,1382554.4949283234,4869540.9,9686755.974999998,6889532.45325,7447642.3685,3596501.0,10902324.0,100,14.72,15.0,1.4219065306194292,12.0,17.0,14.44,15.0,11.0,17.0,0.0
200,POCOL_DISJOINT_NONCE,100,100,5.666967425555556,5.665345055555566,0.02169749459057909,5.629229855555574,5.707385030555569,5.662772805305556,5.671531222805556,5.6171065555555675,5.733050555555563,100,4456.474800000035,4391.579999999935,867.8997836231032,2946.972000000152,6073.179000000402,4288.689990000052,4639.026690000028,2462.040000000405,7099.800000000091,100,1995543.5251999996,1995608.4200000083,867.8997836240034,1993926.8209999988,1997053.0279999953,1995360.97331,1995711.3100099997,1992900.1999999955,1997537.9600000072,100,0.2228237400000018,0.21957899999999675,0.04339498918115516,0.1473486000000076,0.3036589500000201,0.21443449950000257,0.23195133450000138,0.12310200000002025,0.3549900000000045,100,1.0500547539166716,1.0271752747252747,0.22264510742056848,0.6896221874999999,1.4941884999999997,1.0054270403993066,1.0938499537530484,0.570323076923077,1.7082499999999998,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,7427458.0,7319300.0,1446499.6393718978,4911620.0,10121965.0,7147816.65,7731711.149999999,4103400.0,11833000.0,100,14.72,15.0,1.4219065306194292,12.0,17.0,14.43,14.98,11.0,17.0,0.0
200,INDEPENDENT_HEADERS_EQUAL_TOTAL_BUDGET,100,100,5.665832585555554,5.66437905555556,0.01951565548474071,5.631032480555554,5.6988955555555725,5.661991006055554,5.669690215055556,5.628788555555581,5.725814555555566,100,4411.081200000012,4352.940000000006,780.6262193896107,3019.0769999999447,5733.60000000013,4257.418020000008,4565.386380000018,2929.3200000003626,6810.359999999858,100,1995588.9187999996,1995647.0600000056,780.6262193896777,1994266.3999999966,1996980.9230000058,1995434.6136199997,1995742.5819799998,1993189.6399999976,1997070.6799999927,100,0.22055406000000066,0.2176470000000003,0.03903131096948054,0.15095384999999725,0.28668000000000654,0.21287090100000036,0.2282693190000009,0.14646600000001814,0.3405179999999929,100,1.0378872537535992,1.05834375,0.20280504126030788,0.6730224374999999,1.4600681249999998,0.9972898834343231,1.0760168454089292,0.5176285714285714,1.5876499999999998,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,7351802.0,7254900.0,1301043.6989827154,5031795.0,9556000.0,7095696.7,7608977.3,4882200.0,11350600.0,100,14.75,15.0,1.2978225742925857,12.0,17.0,14.48,15.00025,11.0,17.0,0.0
200,INDEPENDENT_HEADERS_FULL_PER_MINER_BUDGET,100,100,5.6823686455555595,5.678963555555534,0.02784344217374657,5.633814830555545,5.748234530555539,5.676965077055556,5.688016728305559,5.629172555555555,5.759732555555577,100,5072.523600000019,4936.31999999994,1113.73768694984,3130.370999999886,7707.158999999924,4856.380859999988,5298.446910000028,2944.6800000001276,8167.080000000214,100,1994927.4764000005,1995063.6799999983,1113.737686950474,1992292.8409999919,1996869.629000002,1994701.5530899991,1995143.6191399992,1991832.920000003,1997055.3199999973,100,0.2536261800000009,0.24681599999999698,0.055686884347492,0.1565185499999943,0.38535794999999623,0.24281904299999935,0.26492234550000143,0.1472340000000064,0.4083540000000107,100,1.4919187058823526,1.4518588235294119,0.3275699079264213,0.9206973529411764,2.2668114705882343,1.4283473117647059,1.5583667382352935,0.8660823529411763,2.402082352941176,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,8454206.0,8227200.0,1856229.4782497212,5217285.0,12845264.999999998,8093968.1,8830744.85,4907800.0,13611800.0,100,17.0,17.0,0.0,17.0,17.0,17.0,17.0,17.0,17.0,0.0
300,COMMON_TEMPLATE_DUPLICATE_BASELINE,100,100,41.283459278333346,40.862457833333224,6.757689254923593,26.336774933333327,53.507588183333496,40.04014142033332,42.54556370370836,24.327773333333408,59.89130783333363,100,1318005.0378000003,1301164.98,270307.570196944,720137.6640000034,1806970.1940000092,1268272.3234800012,1368489.2148150005,639777.5999999979,2062318.9800000116,100,1681994.9621999997,1698835.0200000051,270307.5701969437,1193029.8059999957,2279862.3359999955,1631510.7851849997,1731727.67652,937681.0200000046,2360222.4000000046,100,43.933501260000014,43.37216600000001,9.010252339898134,24.00458880000011,60.232339800000304,42.27574411600002,45.61630716050003,21.32591999999993,68.74396600000038,100,202.7660018131427,196.77064,44.630613677509146,126.99000453781511,285.5758442142856,194.38216440749142,211.41406820087542,103.73014285714284,339.13259999999997,100,2201261322.0,2168475224.5,455201603.55805963,1234367194.125,3001803660.3749995,2118001572.02725,2286654094.6177497,1062741680.0,3523012948.0,100,7362078.0,7252425.5,1522413.3898262861,4128318.375,10039477.124999998,7083617.29775,7647672.55725,3554320.0,11782652.0,100,14.55,15.0,1.5529379129946443,11.0,17.0,14.25975,14.85,10.0,17.0,0.0
300,POCOL_DISJOINT_NONCE,100,100,8.44606025333332,8.443684583333333,0.021079965707532847,8.408703908333319,8.491434420833285,8.441863984958317,8.450209857833324,8.403204833333374,8.504052833333317,100,4509.076799999962,4414.0499999999465,843.1986283014144,3014.82299999993,6324.043499999871,4341.226064999998,4675.060979999959,2794.860000000338,6828.779999999465,100,2995490.9232000005,2995585.950000002,843.1986282996983,2993675.9565000073,2996985.176999985,2995324.939020001,2995658.773934997,2993171.220000005,2997205.139999979,100,0.15030255999999872,0.14713499999999818,0.028106620943380477,0.10049409999999767,0.2108014499999957,0.14470753549999993,0.15583536599999862,0.09316200000001128,0.22762599999998215,100,0.6970780691925722,0.67929,0.13026560608653096,0.4755898125000001,0.9491389285714285,0.6709225154965989,0.7221742097889243,0.39492857142857135,1.06355,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,7515128.0,7356750.0,1405331.047169091,5024705.0,10540072.499999998,7235376.775,7791768.3,4658100.0,11381300.0,100,14.55,15.0,1.5529379129946443,11.0,17.0,14.24975,14.84025,10.0,17.0,0.0
300,INDEPENDENT_HEADERS_EQUAL_TOTAL_BUDGET,100,100,8.444888528333331,8.446854833333397,0.01980035568166732,8.405290095833331,8.477370383333307,8.441164441208326,8.448739959083333,8.398254833333276,8.484846833333373,100,4462.207799999953,4540.859999999989,792.0142272668209,2878.2704999997104,5761.482000000025,4313.244314999919,4616.265029999889,2596.85999999915,6060.540000000333,100,2995537.792199999,2995459.1400000034,792.0142272676079,2994238.518000005,2997121.7294999952,2995383.734969999,2995686.755684999,2993939.4599999795,2997403.139999986,100,0.1487402599999984,0.1513619999999996,0.02640047424222736,0.09594234999999034,0.19204940000000084,0.1437748104999973,0.15387550099999625,0.08656199999997168,0.2020180000000111,100,0.6829875045733675,0.6834153846153845,0.13496261244331811,0.399186,0.9157438124999999,0.658011517697964,0.7094321780959113,0.31661538461538463,1.0214399999999997,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,7437013.0,7568100.0,1320023.7121114011,4797117.5,9602469.999999998,7188740.525,7693775.05,4328100.0,10100900.0,100,14.53,15.0,1.4031350180178237,12.0,17.0,14.26,14.81,12.0,17.0,0.0
