n_miners,metric,comparison,pow_mean,pocol_mean,mean_diff,pocol_vs_pow_pct,paired_cohens_d,n_pairs
100,energy_kWh,PoCol_minus_PoW,8.420833333333345,8.420833333333345,2.9605947323337506e-16,0.0,0.23845910571424858,30
100,co2_kg,PoCol_minus_PoW,3.747270833333341,3.74727083333334,-1.1842378929335003e-16,-2.3702007653128625e-14,-0.28235631020158364,30
100,energy_per_accepted_block_kWh,PoCol_minus_PoW,0.48800353995718154,0.4805572684939664,-0.007446271463215191,-1.5258642312038329,-0.04472948229204318,30
200,energy_kWh,PoCol_minus_PoW,8.420833333333313,8.420833333333313,0.0,0.0,,30
200,co2_kg,PoCol_minus_PoW,3.747270833333345,3.747270833333345,-4.4408920985006264e-17,0.0,-0.18257418583505539,30
200,energy_per_accepted_block_kWh,PoCol_minus_PoW,0.5171172486141964,0.48514656363092146,-0.03197068498327492,-6.182482806162819,-0.17190482642293323,30
300,energy_kWh,PoCol_minus_PoW,8.420833333333293,8.420833333333293,0.0,0.0,,30
300,co2_kg,PoCol_minus_PoW,3.747270833333359,3.747270833333359,0.0,0.0,,30
300,energy_per_accepted_block_kWh,PoCol_minus_PoW,0.5996188644898885,0.5909413709868725,-0.008677493503016057,-1.4471681958168918,-0.035456119350311135,30
400,energy_kWh,PoCol_minus_PoW,8.420833333333313,8.420833333333313,0.0,0.0,,30
400,co2_kg,PoCol_minus_PoW,3.747270833333305,3.747270833333305,-4.4408920985006264e-17,0.0,-0.32773069341672506,30
400,energy_per_accepted_block_kWh,PoCol_minus_PoW,0.5428300418729521,0.525356381308446,-0.01747366056450617,-3.2189929106016257,-0.09592909124680742,30
500,energy_kWh,PoCol_minus_PoW,8.420833333333414,8.420833333333414,0.0,0.0,,30
500,co2_kg,PoCol_minus_PoW,3.747270833333307,3.747270833333307,1.4802973661668754e-17,0.0,0.18257418583505539,30
500,energy_per_accepted_block_kWh,PoCol_minus_PoW,0.5122449297571467,0.5266190077669315,0.014374078009784765,2.806094736086394,0.10189399711301222,30
