family,gamma_scenario,gamma,seed,energy_kwh,carbon_kg,carbon_per_block_kg,carbon_per_tx_g
PoW_BTC,low,0.05,20260101,549367770.9649522,27468388.548247613,178366.15940420527,89183.07970210265
PoW_BTC,low,0.05,20260102,507498895.64628017,25374944.78231401,161623.85211664974,80811.92605832487
PoW_BTC,low,0.05,20260103,449671040.4439793,22483552.022198968,167787.70165820126,83893.85082910063
PoW_BTC,low,0.05,20260104,437064908.2848787,21853245.414243937,161875.8919573625,80937.94597868124
PoW_BTC,low,0.05,20260105,482242044.3484006,24112102.21742003,152608.24188240524,76304.12094120262
PoW_BTC,low,0.05,20260106,387241845.9226178,19362092.296130892,165487.96834299908,82743.98417149953
PoW_BTC,low,0.05,20260107,464685894.96426266,23234294.748213135,163621.79400150094,81810.89700075047
PoW_BTC,low,0.05,20260108,457942651.8881643,22897132.594408214,149654.46140136087,74827.23070068043
PoW_BTC,low,0.05,20260109,494488353.8848481,24724417.694242407,162660.642725279,81330.3213626395
PoW_BTC,low,0.05,20260110,494926902.2306805,24746345.11153403,160690.5526722989,80345.27633614944
PoW_BTC,low,0.05,20260111,386414687.8667808,19320734.39333904,168006.38602903514,84003.19301451757
PoW_BTC,low,0.05,20260112,435116558.00712657,21755827.90035633,166075.02214012467,83037.51107006232
PoW_BTC,low,0.05,20260113,497273025.9042666,24863651.29521333,175096.13588178402,87548.06794089201
PoW_BTC,low,0.05,20260114,411978781.7519651,20598939.087598257,166120.47651288917,83060.23825644457
PoW_BTC,low,0.05,20260115,500841744.5572435,25042087.22786218,164750.57386751435,82375.28693375716
PoW_BTC,low,0.05,20260116,510696029.61518633,25534801.48075932,173706.13252217224,86853.06626108612
PoW_BTC,low,0.05,20260117,397762068.7990887,19888103.439954437,154171.34449577084,77085.6722478854
PoW_BTC,low,0.05,20260118,516142291.6703941,25807114.58351971,169783.64857578755,84891.82428789379
PoW_BTC,low,0.05,20260119,507690339.0915799,25384516.954578996,160661.49971252528,80330.74985626264
PoW_BTC,low,0.05,20260120,471962436.3809922,23598121.81904961,178773.65014431524,89386.82507215762
PoW_BTC,low,0.05,20260121,529009969.7354031,26450498.486770157,176336.65657846772,88168.32828923386
PoW_BTC,low,0.05,20260122,465411312.75627613,23270565.637813807,169858.14334170663,84929.0716708533
PoW_BTC,low,0.05,20260123,400666616.5415463,20033330.827077314,160266.64661661853,80133.32330830926
