peer_degree,tx_rate_hz,block_size_mb,seed,comm_energy_kwh,pow_compute_energy_kwh,comm_to_compute_ratio,total_messages
4,1,0.5,20260101,7.414894666666666,549367770.9649522,1.3497141730106536e-08,346216000
4,1,0.5,20260102,7.417644666666666,507498895.64628017,1.4616080409831401e-08,346228000
4,1,0.5,20260103,7.396561333333333,449671040.4439793,1.644882740509683e-08,346136000
4,1,0.5,20260104,7.3974779999999996,437064908.2848787,1.692535332801948e-08,346140000
4,1,0.5,20260105,7.418561333333333,482242044.3484006,1.538348101389044e-08,346232000
4,1,0.5,20260106,7.380977999999999,387241845.9226178,1.906038326621068e-08,346068000
4,1,0.5,20260107,7.403894666666666,464685894.96426266,1.5933116857863896e-08,346168000
4,1,0.5,20260108,7.413977999999999,457942651.8881643,1.6189752077975456e-08,346212000
4,1,0.5,20260109,7.413061333333332,494488353.8848481,1.499137699623077e-08,346208000
4,1,0.5,20260110,7.414894666666666,494926902.2306805,1.49817975811116e-08,346216000
4,1,0.5,20260111,7.379144666666666,386414687.8667808,1.9096439391068586e-08,346060000
4,1,0.5,20260112,7.393811333333333,435116558.00712657,1.6992714244655872e-08,346124000
4,1,0.5,20260113,7.403894666666666,497273025.9042666,1.488899313049013e-08,346168000
4,1,0.5,20260114,7.387394666666665,411978781.7519651,1.7931493061975947e-08,346096000
4,1,0.5,20260115,7.413061333333332,500841744.5572435,1.4801204999169271e-08,346208000
4,1,0.5,20260116,7.408477999999999,510696029.61518633,1.4506629326220429e-08,346188000
4,1,0.5,20260117,7.391977999999999,397762068.7990887,1.858391882945912e-08,346116000
4,1,0.5,20260118,7.413061333333332,516142291.6703941,1.4362437360717722e-08,346208000
4,1,0.5,20260119,7.418561333333333,507690339.0915799,1.4612374437944805e-08,346232000
4,1,0.5,20260120,7.394727999999999,471962436.3809922,1.5668043534783766e-08,346128000
4,1,0.5,20260121,7.4112279999999995,529009969.7354031,1.4009618767122481e-08,346200000
4,1,0.5,20260122,7.3993113333333325,465411312.75627613,1.589843463304073e-08,346148000
4,1,0.5,20260123,7.388311333333332,400666616.5415463,1.8440047232053878e-08,346100000
4,1,0.5,20260124,7.3993113333333325,467774059.2496601,1.5818130969473398e-08,346148000
4,1,0.5,20260125,7.419477999999999,489757304.6412692,1.5149295231920056e-08,346236000
4,1,0.5,20260126,7.416727999999999,552055622.7773468,1.3434747684820317e-08,346224000
4,1,0.5,20260127,7.408477999999999,446496708.98751503,1.6592458244092354e-08,346188000
4,1,0.5,20260128,7.405727999999999,414605142.3820009,1.7862122880223835e-08,346176000
4,1,0.5,20260129,7.396561333333333,450412343.31034666,1.6421755405217426e-08,346136000
4,1,0.5,20260130,7.398394666666666,447144774.754443,1.6545859606051792e-08,346144000
4,1,1.0,20260101,7.543227999999999,549367770.9649522,1.3730743590492189e-08,346216000
4,1,1.0,20260102,7.548477999999999,507498895.64628017,1.487388064241461e-08,346228000
4,1,1.0,20260103,7.508227999999999,449671040.4439793,1.669715708751626e-08,346136000
4,1,1.0,20260104,7.509977999999999,437064908.2848787,1.718275216711061e-08,346140000
4,1,1.0,20260105,7.550227999999999,482242044.3484006,1.5656511265420195e-08,346232000
4,1,1.0,20260106,7.478477999999999,387241845.9226178,1.9312163906724114e-08,346068000
4,1,1.0,20260107,7.522227999999999,464685894.96426266,1.618776916088341e-08,346168000
4,1,1.0,20260108,7.541477999999999,457942651.8881643,1.6468171219486513e-08,346212000
4,1,1.0,20260109,7.539727999999999,494488353.8848481,1.524753402333067e-08,346208000
4,1,1.0,20260110,7.543227999999999,494926902.2306805,1.524109513142645e-08,346216000
4,1,1.0,20260111,7.474977999999999,386414687.8667808,1.93444458368442e-08,346060000
4,1,1.0,20260112,7.502977999999999,435116558.00712657,1.72436048730582e-08,346124000
4,1,1.0,20260113,7.522227999999999,497273025.9042666,1.5126957643280965e-08,346168000
4,1,1.0,20260114,7.490727999999999,411978781.7519651,1.818231504094754e-08,346096000
4,1,1.0,20260115,7.539727999999999,500841744.5572435,1.505411256536794e-08,346208000
