peer_degree,tx_rate_hz,block_size_mb,comm_energy_mean_kwh,comm_energy_ci95_kwh,pow_compute_mean_kwh,comm_to_compute_ratio,mean_total_messages,n_seeds
4,1,0.5,7.403986333333333,0.004342532817296488,467478070.91198325,1.5988134321227965e-08,346168400.0,30
4,1,1.0,7.522402999999999,0.008290289923929621,467478070.91198325,1.624199601256859e-08,346168400.0,30
4,1,2.0,7.759236333333332,0.01618580413719592,467478070.91198325,1.6749719395249837e-08,346168400.0,30
4,10,0.5,72.86753833333334,0.004342532817296359,467478070.91198325,1.5736811246800756e-07,3456568400.0,30
4,10,1.0,72.985955,0.00829028992392973,467478070.91198325,1.5762197415934817e-07,3456568400.0,30
4,10,2.0,73.22278833333331,0.01618580413719592,467478070.91198325,1.581296975420294e-07,3456568400.0,30
4,100,0.5,727.5030583333333,0.004342532817298774,467478070.91198325,1.571167893935803e-06,34560568400.0,30
4,100,1.0,727.6214750000001,0.008290289923928731,467478070.91198325,1.571421755627144e-06,34560568400.0,30
4,100,2.0,727.8583083333334,0.01618580413719415,467478070.91198325,1.5719294790098254e-06,34560568400.0,30
8,1,0.5,14.807972666666666,0.008685065634592976,467478070.91198325,3.197626864245593e-08,692336800.0,30
8,1,1.0,15.044805999999998,0.016580579847859243,467478070.91198325,3.248399202513718e-08,692336800.0,30
8,1,2.0,15.518472666666664,0.03237160827439184,467478070.91198325,3.3499438790499674e-08,692336800.0,30
8,10,0.5,145.73507666666669,0.008685065634592717,467478070.91198325,3.147362249360151e-07,6913136800.0,30
8,10,1.0,145.97191,0.01658057984785946,467478070.91198325,3.1524394831869634e-07,6913136800.0,30
8,10,2.0,146.44557666666662,0.03237160827439184,467478070.91198325,3.162593950840588e-07,6913136800.0,30
8,100,0.5,1455.0061166666667,0.008685065634597549,467478070.91198325,3.142335787871606e-06,69121136800.0,30
8,100,1.0,1455.2429500000003,0.016580579847857463,467478070.91198325,3.142843511254288e-06,69121136800.0,30
8,100,2.0,1455.7166166666668,0.0323716082743883,467478070.91198325,3.143858958019651e-06,69121136800.0,30
16,1,0.5,29.615945333333332,0.017370131269185952,467478070.91198325,6.395253728491186e-08,1384673600.0,30
16,1,1.0,30.089611999999995,0.033161159695718485,467478070.91198325,6.496798405027435e-08,1384673600.0,30
16,1,2.0,31.03694533333333,0.06474321654878368,467478070.91198325,6.699887758099935e-08,1384673600.0,30
16,10,0.5,291.47015333333337,0.017370131269185435,467478070.91198325,6.294724498720302e-07,13826273600.0,30
16,10,1.0,291.94382,0.03316115969571892,467478070.91198325,6.304878966373927e-07,13826273600.0,30
16,10,2.0,292.89115333333325,0.06474321654878368,467478070.91198325,6.325187901681176e-07,13826273600.0,30
16,100,0.5,2910.0122333333334,0.017370131269195097,467478070.91198325,6.284671575743212e-06,138242273600.0,30
16,100,1.0,2910.4859000000006,0.033161159695714926,467478070.91198325,6.285687022508576e-06,138242273600.0,30
16,100,2.0,2911.4332333333336,0.0647432165487766,467478070.91198325,6.287717916039302e-06,138242273600.0,30
