hw_class,validator_power_w,validator_count,seed,total_energy_kwh,consensus_energy_kwh,communication_energy_kwh
low_power_node,10.0,100,20260101,24.85409083994668,23.65409083994668,1.2
low_power_node,10.0,100,20260102,24.586905491975116,23.386905491975117,1.2
low_power_node,10.0,100,20260103,24.665121061547683,23.465121061547684,1.2
low_power_node,10.0,100,20260104,24.23787730070113,23.03787730070113,1.2
low_power_node,10.0,100,20260105,25.038035945039837,23.838035945039838,1.2
low_power_node,10.0,100,20260106,24.98614035088167,23.78614035088167,1.2
low_power_node,10.0,100,20260107,24.97123311395412,23.77123311395412,1.2
low_power_node,10.0,100,20260108,24.79710912794698,23.597109127946982,1.2
low_power_node,10.0,100,20260109,25.067697232939736,23.867697232939737,1.2
low_power_node,10.0,100,20260110,25.051305273361134,23.851305273361135,1.2
low_power_node,10.0,100,20260111,24.89718743799828,23.69718743799828,1.2
low_power_node,10.0,100,20260112,25.22588406154206,24.02588406154206,1.2
low_power_node,10.0,100,20260113,24.65983453005974,23.45983453005974,1.2
low_power_node,10.0,100,20260114,24.904140210326236,23.704140210326237,1.2
low_power_node,10.0,100,20260115,25.262949366513066,24.062949366513067,1.2
low_power_node,10.0,100,20260116,25.2451415242149,24.045141524214902,1.2
low_power_node,10.0,100,20260117,25.28576070938025,24.08576070938025,1.2
low_power_node,10.0,100,20260118,24.987279980913826,23.787279980913826,1.2
low_power_node,10.0,100,20260119,25.378455378294305,24.178455378294306,1.2
low_power_node,10.0,100,20260120,24.88558313772534,23.68558313772534,1.2
low_power_node,10.0,100,20260121,25.050379222728644,23.850379222728645,1.2
low_power_node,10.0,100,20260122,24.8892006364029,23.6892006364029,1.2
low_power_node,10.0,100,20260123,25.254651757654702,24.054651757654703,1.2
low_power_node,10.0,100,20260124,25.16912596300276,23.96912596300276,1.2
low_power_node,10.0,100,20260125,25.046856720266142,23.846856720266143,1.2
low_power_node,10.0,100,20260126,24.746183018572612,23.546183018572613,1.2
low_power_node,10.0,100,20260127,24.935475440921063,23.735475440921064,1.2
low_power_node,10.0,100,20260128,24.977238437991574,23.777238437991574,1.2
low_power_node,10.0,100,20260129,24.764545632156597,23.564545632156598,1.2
low_power_node,10.0,100,20260130,24.948743315587908,23.74874331558791,1.2
low_power_node,10.0,500,20260101,125.07879230429079,119.07879230429079,6.0
low_power_node,10.0,500,20260102,124.1397827564379,118.1397827564379,6.0
low_power_node,10.0,500,20260103,124.52055580534932,118.52055580534932,6.0
low_power_node,10.0,500,20260104,124.3114569114957,118.3114569114957,6.0
low_power_node,10.0,500,20260105,124.1304783860996,118.1304783860996,6.0
low_power_node,10.0,500,20260106,125.08005916294749,119.08005916294749,6.0
low_power_node,10.0,500,20260107,124.90067525158823,118.90067525158823,6.0
low_power_node,10.0,500,20260108,125.70373105461131,119.70373105461131,6.0
low_power_node,10.0,500,20260109,124.71635731904767,118.71635731904767,6.0
low_power_node,10.0,500,20260110,124.51680636918367,118.51680636918367,6.0
low_power_node,10.0,500,20260111,124.79083283670421,118.79083283670421,6.0
