hw_class,validator_power_w,validator_count,total_energy_mean_kwh,total_energy_std_kwh,total_energy_ci95_kwh,comm_energy_mean_kwh,n_seeds
low_power_node,10.0,100,24.959004407351568,0.24046244294046212,0.089780070050996,1.2,30
low_power_node,10.0,500,124.74991378801089,0.4605837037654911,0.17196547071033227,6.0,30
low_power_node,10.0,1000,249.48393705226485,0.7871981778831538,0.2939116258245153,12.0,30
low_power_node,10.0,5000,1247.0295404299334,1.7110490455397172,0.6388444752151217,60.0,30
standard_server,100.0,100,238.79004407351565,2.404624429404622,0.8978007005099604,1.2,30
standard_server,100.0,500,1193.4991378801085,4.6058370376551,1.7196547071033932,6.0,30
standard_server,100.0,1000,2386.8393705226476,7.871981778830849,2.9391162582448955,12.0,30
standard_server,100.0,5000,11930.295404299335,17.110490455398505,6.388444752151715,60.0,30
high_power_server,500.0,100,1189.1502203675784,12.02312214702326,4.489003502549858,1.2,30
high_power_server,500.0,500,5943.4956894005445,23.029185188274823,8.598273535516713,6.0,30
high_power_server,500.0,1000,11886.19685261324,39.35990889415749,14.695581291225691,12.0,30
high_power_server,500.0,5000,59411.47702149662,85.55245227697998,31.94222376075389,60.0,30
uptime_sweep,100.0,1000,2172.834787315008,7.164839597568705,2.6750946763571632,0.9,30
uptime_sweep,100.0,1000,2386.8393705226476,7.871981778830849,2.9391162582448955,0.99,30
uptime_sweep,100.0,1000,2403.217563500493,7.931695897859372,2.9614113731237786,1.0,30
