miner_count,seed,network_energy_kwh,energy_per_block_kwh,num_blocks,mean_per_miner_kwh,max_miner_kwh
50,20260101,549367770.9649522,3567323.1880841055,154,10987355.41929904,44321067.23607179
50,20260102,507498895.64628017,3232477.0423329948,157,10149977.912925605,28303922.084827874
50,20260103,449671040.4439793,3355754.033164025,134,8993420.808879586,48120136.03191269
50,20260104,437064908.2848787,3237517.8391472492,135,8741298.165697573,30349617.174320955
50,20260105,482242044.3484006,3052164.837648105,158,9644840.886968013,28372000.525133207
50,20260106,387241845.9226178,3309759.3668599813,117,7744836.918452353,89645041.94038235
50,20260107,464685894.96426266,3272435.8800300187,142,9293717.899285251,33147429.44399444
50,20260108,457942651.8881643,2993089.2280272176,153,9158853.037763283,48114462.44411544
50,20260109,494488353.8848481,3253212.85450558,152,9889767.077696964,44194270.464456886
50,20260110,494926902.2306805,3213811.0534459776,154,9898538.044613613,59271022.125439025
50,20260111,386414687.8667808,3360127.7205807026,115,7728293.757335617,25436980.31099169
50,20260112,435116558.00712657,3321500.442802493,131,8702331.160142532,39972893.215020455
50,20260113,497273025.9042666,3501922.7176356805,142,9945460.518085334,44329093.811595656
50,20260114,411978781.7519651,3322409.530257783,124,8239575.635039299,27220369.488274135
50,20260115,500841744.5572435,3295011.477350286,152,10016834.891144866,81680185.72756326
50,20260116,510696029.61518633,3474122.6504434445,147,10213920.592303727,43011792.62698372
50,20260117,397762068.7990887,3083426.8899154165,129,7955241.375981773,33046284.890473045
50,20260118,516142291.6703941,3395672.971515751,152,10322845.833407884,34441139.658907406
50,20260119,507690339.0915799,3213229.9942505057,158,10153806.7818316,41249853.4886134
50,20260120,471962436.3809922,3575473.002886304,132,9439248.72761984,39099235.74013703
50,20260121,529009969.7354031,3526733.1315693543,150,10580199.39470806,57314765.767233156
50,20260122,465411312.75627613,3397162.8668341325,137,9308226.255125526,36406720.945283435
50,20260123,400666616.5415463,3205332.9323323704,125,8013332.330830927,32223873.806181118
50,20260124,467774059.2496601,3414409.1916033584,137,9355481.184993206,46761801.25258683
50,20260125,489757304.6412692,3080234.620385341,159,9795146.092825385,32106726.249745898
50,20260126,552055622.7773468,3538818.0947265825,156,11041112.455546942,55707502.97423587
50,20260127,446496708.98751503,3037392.578146361,147,8929934.179750297,62448269.67635291
50,20260128,414605142.3820009,2879202.3776527843,144,8292102.847640015,26052289.974966303
50,20260129,450412343.31034666,3361286.1441070647,134,9008246.86620693,41369284.74669946
50,20260130,447144774.754443,3287829.22613561,136,8942895.495088857,36042403.41977204
100,20260101,549367770.9649522,3567323.1880841055,154,5493677.70964952,22595826.664421
100,20260102,507498895.64628017,3232477.0423329948,157,5074988.956462802,17220202.40801607
100,20260103,449671040.4439793,3355754.033164025,134,4496710.404439795,24671291.812644433
100,20260104,437064908.2848787,3237517.8391472492,135,4370649.0828487845,16756758.907909108
100,20260105,482242044.3484006,3052164.837648105,158,4822420.443484005,16336876.100907242
100,20260106,387241845.9226178,3309759.3668599813,117,3872418.4592261785,49659606.19750024
100,20260107,464685894.96426266,3272435.8800300187,142,4646858.9496426275,19776704.022950947
100,20260108,457942651.8881643,2993089.2280272176,153,4579426.518881643,26448496.886648625
100,20260109,494488353.8848481,3253212.85450558,152,4944883.538848482,25877057.612384208
100,20260110,494926902.2306805,3213811.0534459776,154,4949269.022306805,23960494.909984984
100,20260111,386414687.8667808,3360127.7205807026,115,3864146.878667807,15860280.177767524
100,20260112,435116558.00712657,3321500.442802493,131,4351165.580071267,22083647.198675882
100,20260113,497273025.9042666,3501922.7176356805,142,4972730.259042666,25833032.84049011
100,20260114,411978781.7519651,3322409.530257783,124,4119787.817519648,22190565.957811575
100,20260115,500841744.5572435,3295011.477350286,152,5008417.445572436,38808327.335423194
100,20260116,510696029.61518633,3474122.6504434445,147,5106960.29615186,24907353.727042414
100,20260117,397762068.7990887,3083426.8899154165,129,3977620.6879908876,22846480.870860327
100,20260118,516142291.6703941,3395672.971515751,152,5161422.916703942,20300705.441120733
100,20260119,507690339.0915799,3213229.9942505057,158,5076903.390915799,24686901.11211037
100,20260120,471962436.3809922,3575473.002886304,132,4719624.363809924,20452329.960731283
100,20260121,529009969.7354031,3526733.1315693543,150,5290099.697354027,31332409.710596226
100,20260122,465411312.75627613,3397162.8668341325,137,4654113.127562764,19586147.366712473
100,20260123,400666616.5415463,3205332.9323323704,125,4006666.165415462,21727391.395735614
100,20260124,467774059.2496601,3414409.1916033584,137,4677740.592496605,22156502.911507886
100,20260125,489757304.6412692,3080234.620385341,159,4897573.0464126915,19835821.533044077
100,20260126,552055622.7773468,3538818.0947265825,156,5520556.227773467,29821410.40306332
100,20260127,446496708.98751503,3037392.578146361,147,4464967.089875149,31262943.313897926
100,20260128,414605142.3820009,2879202.3776527843,144,4146051.4238200095,13865813.640738467
100,20260129,450412343.31034666,3361286.1441070647,134,4504123.433103465,21322315.43367677
100,20260130,447144774.754443,3287829.22613561,136,4471447.74754443,19962330.55272119
500,20260101,549367770.9649522,3567323.1880841055,154,1098735.5419299046,7408924.346172484
500,20260102,507498895.64628017,3232477.0423329948,157,1014997.7912925608,7087925.707289194
500,20260103,449671040.4439793,3355754.033164025,134,899342.0808879583,6025066.96404816
500,20260104,437064908.2848787,3237517.8391472492,135,874129.8165697571,5967164.491513251
500,20260105,482242044.3484006,3052164.837648105,158,964484.0886968022,5979989.0805701
500,20260106,387241845.9226178,3309759.3668599813,117,774483.6918452354,9706517.192483546
500,20260107,464685894.96426266,3272435.8800300187,142,929371.7899285251,6079913.162529649
500,20260108,457942651.8881643,2993089.2280272176,153,915885.3037763289,5184129.703103711
500,20260109,494488353.8848481,3253212.85450558,152,988976.7077696974,5769433.419380716
500,20260110,494926902.2306805,3213811.0534459776,154,989853.8044613634,8239457.918206671
500,20260111,386414687.8667808,3360127.7205807026,115,772829.3757335612,3833021.380778289
500,20260112,435116558.00712657,3321500.442802493,131,870233.1160142532,7454670.127398137
500,20260113,497273025.9042666,3501922.7176356805,142,994546.0518085343,6225369.313578586
500,20260114,411978781.7519651,3322409.530257783,124,823957.5635039316,5432500.525516701
500,20260115,500841744.5572435,3295011.477350286,152,1001683.4891144871,8197072.373753401
500,20260116,510696029.61518633,3474122.6504434445,147,1021392.0592303736,6366661.314628701
500,20260117,397762068.7990887,3083426.8899154165,129,795524.1375981766,4455401.564061833
500,20260118,516142291.6703941,3395672.971515751,152,1032284.5833407894,7604306.141403639
500,20260119,507690339.0915799,3213229.9942505057,158,1015380.6781831603,5193688.255411075
500,20260120,471962436.3809922,3575473.002886304,132,943924.8727619842,7390965.842939144
500,20260121,529009969.7354031,3526733.1315693543,150,1058019.9394708064,6971576.4182233345
500,20260122,465411312.75627613,3397162.8668341325,137,930822.6255125527,7117996.835585138
500,20260123,400666616.5415463,3205332.9323323704,125,801333.233083093,4846164.941175889
500,20260124,467774059.2496601,3414409.1916033584,137,935548.11849932,6002997.910236218
500,20260125,489757304.6412692,3080234.620385341,159,979514.6092825385,9997569.265642615
500,20260126,552055622.7773468,3538818.0947265825,156,1104111.245554693,7367935.477768796
500,20260127,446496708.98751503,3037392.578146361,147,892993.417975031,6247073.031344546
500,20260128,414605142.3820009,2879202.3776527843,144,829210.2847640024,5715826.695143798
500,20260129,450412343.31034666,3361286.1441070647,134,900824.6866206927,4129952.347896134
500,20260130,447144774.754443,3287829.22613561,136,894289.5495088876,6479394.892513348
1000,20260101,549367770.9649522,3567323.1880841055,154,549367.7709649516,4021815.715846194
1000,20260102,507498895.64628017,3232477.0423329948,157,507498.89564627997,3755600.850978523
1000,20260103,449671040.4439793,3355754.033164025,134,449671.0404439792,3027180.290566617
1000,20260104,437064908.2848787,3237517.8391472492,135,437064.9082848785,3164044.845204177
1000,20260105,482242044.3484006,3052164.837648105,158,482242.04434840067,3395676.88334814
1000,20260106,387241845.9226178,3309759.3668599813,117,387241.8459226181,5075233.403187948
1000,20260107,464685894.96426266,3272435.8800300187,142,464685.89496426284,2879740.5456148456
1000,20260108,457942651.8881643,2993089.2280272176,153,457942.6518881642,2699626.123911058
1000,20260109,494488353.8848481,3253212.85450558,152,494488.3538848482,3000016.4024785063
1000,20260110,494926902.2306805,3213811.0534459776,154,494926.90223068127,4300421.457819823
1000,20260111,386414687.8667808,3360127.7205807026,115,386414.6878667802,2453772.9871018864
1000,20260112,435116558.00712657,3321500.442802493,131,435116.55800712615,3615046.063271349
1000,20260113,497273025.9042666,3501922.7176356805,142,497273.0259042665,3407884.832812434
1000,20260114,411978781.7519651,3322409.530257783,124,411978.78175196506,2892924.8824032885
1000,20260115,500841744.5572435,3295011.477350286,152,500841.7445572432,4237275.173340209
1000,20260116,510696029.61518633,3474122.6504434445,147,510696.02961518546,4370926.9859472
1000,20260117,397762068.7990887,3083426.8899154165,129,397762.0687990889,2183274.677045609
1000,20260118,516142291.6703941,3395672.971515751,152,516142.29167039366,3872895.0409897687
1000,20260119,507690339.0915799,3213229.9942505057,158,507690.3390915795,3105286.1915647257
1000,20260120,471962436.3809922,3575473.002886304,132,471962.43638099264,3603112.550310757
1000,20260121,529009969.7354031,3526733.1315693543,150,529009.9697354037,3462634.896889698
1000,20260122,465411312.75627613,3397162.8668341325,137,465411.3127562757,3615542.1175101823
1000,20260123,400666616.5415463,3205332.9323323704,125,400666.6165415463,3071040.14445484
1000,20260124,467774059.2496601,3414409.1916033584,137,467774.05924965977,6407001.908315801
1000,20260125,489757304.6412692,3080234.620385341,159,489757.3046412693,5136890.362334432
1000,20260126,552055622.7773468,3538818.0947265825,156,552055.6227773473,3467906.6096828054
1000,20260127,446496708.98751503,3037392.578146361,147,446496.70898751525,3107054.5114568966
1000,20260128,414605142.3820009,2879202.3776527843,144,414605.1423820001,2877093.4039721424
1000,20260129,450412343.31034666,3361286.1441070647,134,450412.34331034595,2858588.305148853
1000,20260130,447144774.754443,3287829.22613561,136,447144.774754443,3287346.664669126
