sweep,level,value,seed,network_energy_kwh,expected_reward_fiat
coin_price,low,20000.0,20260101,183122590.32165077,74319.23308508554
coin_price,low,20000.0,20260102,169166298.54876006,67343.27171527072
coin_price,low,20000.0,20260103,149890346.81465977,69911.54235758385
coin_price,low,20000.0,20260104,145688302.7616262,67448.2883155677
coin_price,low,20000.0,20260105,160747348.11613354,63586.76745100219
coin_price,low,20000.0,20260106,129080615.30753928,68953.32014291629
coin_price,low,20000.0,20260107,154895298.32142088,68175.74750062538
coin_price,low,20000.0,20260108,152647550.62938812,62356.02558390038
coin_price,low,20000.0,20260109,164829451.29494938,67775.26780219958
coin_price,low,20000.0,20260110,164975634.0768935,66954.3969467912
coin_price,low,20000.0,20260111,128804895.95559362,70002.66084543131
coin_price,low,20000.0,20260112,145038852.6690422,69197.92589171861
coin_price,low,20000.0,20260113,165757675.3014222,72956.72328407668
coin_price,low,20000.0,20260114,137326260.58398837,69216.86521370382
coin_price,low,20000.0,20260115,166947248.18574786,68646.07244479764
coin_price,low,20000.0,20260116,170232009.87172878,72377.55521757176
coin_price,low,20000.0,20260117,132587356.2663629,64238.06020657117
coin_price,low,20000.0,20260118,172047430.55679804,70743.18690657814
coin_price,low,20000.0,20260119,169230113.03052655,66942.2915468855
coin_price,low,20000.0,20260120,157320812.12699738,74489.02089346467
coin_price,low,20000.0,20260121,176336656.5784677,73473.60690769488
coin_price,low,20000.0,20260122,155137104.25209203,70774.22639237775
coin_price,low,20000.0,20260123,133555538.8471821,66777.76942359105
coin_price,low,20000.0,20260124,155924686.41655338,71133.52482506997
coin_price,low,20000.0,20260125,163252434.88042307,64171.554591361266
coin_price,low,20000.0,20260126,184018540.9257823,73725.37697347047
coin_price,low,20000.0,20260127,148832236.3291717,63279.012044715855
coin_price,low,20000.0,20260128,138201714.12733367,59983.38286776635
coin_price,low,20000.0,20260129,150137447.77011558,70026.7946688972
coin_price,low,20000.0,20260130,149048258.251481,68496.44221115854
coin_price,medium,60000.0,20260101,549367770.9649522,222957.6992552566
coin_price,medium,60000.0,20260102,507498895.64628017,202029.81514581214
coin_price,medium,60000.0,20260103,449671040.4439793,209734.62707275155
coin_price,medium,60000.0,20260104,437064908.2848787,202344.86494670308
coin_price,medium,60000.0,20260105,482242044.3484006,190760.30235300655
coin_price,medium,60000.0,20260106,387241845.9226178,206859.96042874883
coin_price,medium,60000.0,20260107,464685894.96426266,204527.24250187617
coin_price,medium,60000.0,20260108,457942651.8881643,187068.07675170113
coin_price,medium,60000.0,20260109,494488353.8848481,203325.80340659874
coin_price,medium,60000.0,20260110,494926902.2306805,200863.1908403736
coin_price,medium,60000.0,20260111,386414687.8667808,210007.98253629392
coin_price,medium,60000.0,20260112,435116558.00712657,207593.7776751558
coin_price,medium,60000.0,20260113,497273025.9042666,218870.16985223003
coin_price,medium,60000.0,20260114,411978781.7519651,207650.59564111143
coin_price,medium,60000.0,20260115,500841744.5572435,205938.2173343929
coin_price,medium,60000.0,20260116,510696029.61518633,217132.66565271528
coin_price,medium,60000.0,20260117,397762068.7990887,192714.18061971353
coin_price,medium,60000.0,20260118,516142291.6703941,212229.5607197344
coin_price,medium,60000.0,20260119,507690339.0915799,200826.87464065658
coin_price,medium,60000.0,20260120,471962436.3809922,223467.06268039398
coin_price,medium,60000.0,20260121,529009969.7354031,220420.82072308465
coin_price,medium,60000.0,20260122,465411312.75627613,212322.67917713328
coin_price,medium,60000.0,20260123,400666616.5415463,200333.30827077315
coin_price,medium,60000.0,20260124,467774059.2496601,213400.5744752099
coin_price,medium,60000.0,20260125,489757304.6412692,192514.6637740838
coin_price,medium,60000.0,20260126,552055622.7773468,221176.1309204114
coin_price,medium,60000.0,20260127,446496708.98751503,189837.03613414755
coin_price,medium,60000.0,20260128,414605142.3820009,179950.14860329902
coin_price,medium,60000.0,20260129,450412343.31034666,210080.38400669154
coin_price,medium,60000.0,20260130,447144774.754443,205489.32663347563
coin_price,high,100000.0,20260101,915612951.6082537,371596.16542542767
coin_price,high,100000.0,20260102,845831492.7438002,336716.3585763536
coin_price,high,100000.0,20260103,749451734.0732989,349557.7117879193
coin_price,high,100000.0,20260104,728441513.808131,337241.4415778385
coin_price,high,100000.0,20260105,803736740.5806677,317933.83725501096
coin_price,high,100000.0,20260106,645403076.5376962,344766.6007145814
coin_price,high,100000.0,20260107,774476491.6071044,340878.73750312696
coin_price,high,100000.0,20260108,763237753.1469407,311780.1279195019
coin_price,high,100000.0,20260109,824147256.474747,338876.3390109979
coin_price,high,100000.0,20260110,824878170.3844674,334771.984733956
coin_price,high,100000.0,20260111,644024479.7779679,350013.30422715656
coin_price,high,100000.0,20260112,725194263.345211,345989.62945859303
coin_price,high,100000.0,20260113,828788376.5071112,364783.61642038345
coin_price,high,100000.0,20260114,686631302.9199418,346084.32606851903
coin_price,high,100000.0,20260115,834736240.9287392,343230.36222398817
coin_price,high,100000.0,20260116,851160049.3586439,361887.7760878588
coin_price,high,100000.0,20260117,662936781.3318145,321190.3010328559
coin_price,high,100000.0,20260118,860237152.7839901,353715.9345328907
coin_price,high,100000.0,20260119,846150565.152633,334711.4577344276
coin_price,high,100000.0,20260120,786604060.6349868,372445.1044673233
coin_price,high,100000.0,20260121,881683282.8923384,367368.0345384744
coin_price,high,100000.0,20260122,775685521.2604603,353871.1319618888
coin_price,high,100000.0,20260123,667777694.2359105,333888.8471179553
coin_price,high,100000.0,20260124,779623432.0827668,355667.6241253498
coin_price,high,100000.0,20260125,816262174.4021152,320857.7729568063
coin_price,high,100000.0,20260126,920092704.6289115,368626.8848673524
coin_price,high,100000.0,20260127,744161181.6458585,316395.0602235793
coin_price,high,100000.0,20260128,691008570.6366683,299916.91433883173
coin_price,high,100000.0,20260129,750687238.850578,350133.973344486
coin_price,high,100000.0,20260130,745241291.257405,342482.21105579275
electricity_price_per_kwh,cheap,0.03,20260101,915612951.6082537,222957.6992552566
electricity_price_per_kwh,cheap,0.03,20260102,845831492.7438004,202029.81514581214
electricity_price_per_kwh,cheap,0.03,20260103,749451734.0732989,209734.62707275155
electricity_price_per_kwh,cheap,0.03,20260104,728441513.8081312,202344.86494670308
electricity_price_per_kwh,cheap,0.03,20260105,803736740.5806677,190760.30235300655
electricity_price_per_kwh,cheap,0.03,20260106,645403076.5376965,206859.96042874883
electricity_price_per_kwh,cheap,0.03,20260107,774476491.6071044,204527.24250187617
electricity_price_per_kwh,cheap,0.03,20260108,763237753.1469406,187068.07675170113
electricity_price_per_kwh,cheap,0.03,20260109,824147256.474747,203325.80340659874
electricity_price_per_kwh,cheap,0.03,20260110,824878170.3844677,200863.1908403736
electricity_price_per_kwh,cheap,0.03,20260111,644024479.777968,210007.98253629392
electricity_price_per_kwh,cheap,0.03,20260112,725194263.3452111,207593.7776751558
electricity_price_per_kwh,cheap,0.03,20260113,828788376.5071111,218870.16985223003
electricity_price_per_kwh,cheap,0.03,20260114,686631302.9199419,207650.59564111143
electricity_price_per_kwh,cheap,0.03,20260115,834736240.9287392,205938.2173343929
electricity_price_per_kwh,cheap,0.03,20260116,851160049.358644,217132.66565271528
electricity_price_per_kwh,cheap,0.03,20260117,662936781.3318146,192714.18061971353
electricity_price_per_kwh,cheap,0.03,20260118,860237152.7839903,212229.5607197344
electricity_price_per_kwh,cheap,0.03,20260119,846150565.1526332,200826.87464065658
electricity_price_per_kwh,cheap,0.03,20260120,786604060.6349869,223467.06268039398
electricity_price_per_kwh,cheap,0.03,20260121,881683282.8923388,220420.82072308465
electricity_price_per_kwh,cheap,0.03,20260122,775685521.2604603,212322.67917713328
electricity_price_per_kwh,cheap,0.03,20260123,667777694.2359105,200333.30827077315
electricity_price_per_kwh,cheap,0.03,20260124,779623432.0827669,213400.5744752099
electricity_price_per_kwh,cheap,0.03,20260125,816262174.4021153,192514.6637740838
electricity_price_per_kwh,cheap,0.03,20260126,920092704.6289115,221176.1309204114
electricity_price_per_kwh,cheap,0.03,20260127,744161181.6458585,189837.03613414755
electricity_price_per_kwh,cheap,0.03,20260128,691008570.6366683,179950.14860329902
electricity_price_per_kwh,cheap,0.03,20260129,750687238.850578,210080.38400669154
electricity_price_per_kwh,cheap,0.03,20260130,745241291.257405,205489.32663347563
electricity_price_per_kwh,typical,0.05,20260101,549367770.9649522,222957.6992552566
electricity_price_per_kwh,typical,0.05,20260102,507498895.64628017,202029.81514581214
electricity_price_per_kwh,typical,0.05,20260103,449671040.4439793,209734.62707275155
electricity_price_per_kwh,typical,0.05,20260104,437064908.2848787,202344.86494670308
electricity_price_per_kwh,typical,0.05,20260105,482242044.3484006,190760.30235300655
electricity_price_per_kwh,typical,0.05,20260106,387241845.9226178,206859.96042874883
electricity_price_per_kwh,typical,0.05,20260107,464685894.96426266,204527.24250187617
electricity_price_per_kwh,typical,0.05,20260108,457942651.8881643,187068.07675170113
electricity_price_per_kwh,typical,0.05,20260109,494488353.8848481,203325.80340659874
electricity_price_per_kwh,typical,0.05,20260110,494926902.2306805,200863.1908403736
electricity_price_per_kwh,typical,0.05,20260111,386414687.8667808,210007.98253629392
electricity_price_per_kwh,typical,0.05,20260112,435116558.00712657,207593.7776751558
electricity_price_per_kwh,typical,0.05,20260113,497273025.9042666,218870.16985223003
electricity_price_per_kwh,typical,0.05,20260114,411978781.7519651,207650.59564111143
electricity_price_per_kwh,typical,0.05,20260115,500841744.5572435,205938.2173343929
