N,boot_ci_high,boot_ci_low,cohens_d,comparison,mean_diff,median_diff,metric,n,other_mean,pocol_mean,tost_ci_high,tost_ci_low,tost_equivalent,tost_margin,tost_mean_diff
100,-3.465123868258145,-3.737764078104655,-5.1421310249965995,pocol_minus_common_template_duplicate_pow,-3.6004216241503304,-3.600541316266526,total_energy_kwh,100,3.6421784875608223,0.041756863410492055,,,,,
100,-5.802067872432243e+17,-6.258581712175236e+17,-5.142131024996605,pocol_minus_common_template_duplicate_pow,-6.028612952065669e+17,-6.028813366771855e+17,total_attempts,100,6.098531421032074e+17,6991846896640522.0,,,,,
100,-194.737786920253,-208.85992788225417,-5.5813224187350965,pocol_minus_common_template_duplicate_pow,-201.81380448450724,-204.46989304330452,mean_discovery_time_s,100,204.7307201693802,2.9169156848729774,,,,,
100,2.45,1.84,1.3630157130882805,pocol_minus_common_template_duplicate_pow,2.14,2.0,accepted_blocks,100,14.86,17.0,,,,,
100,0.0007070789992092271,-0.00513118673495725,-0.1485805142406162,pocol_minus_independent_header_pow,-0.0022481158135611136,-0.003486657597014147,total_energy_kwh,100,0.044004979224053165,0.041756863410492055,0.00014049187768333543,-0.004739374859756959,False,0.00044004979224053167,-0.0022481158135611136
100,118394623123420.95,-859175453295121.4,-0.14858051424060167,pocol_minus_independent_header_pow,-376428694363681.06,-583812434848850.0,total_attempts,100,7368275591004204.0,6991846896640522.0,,,,,
100,0.0493928340105979,-0.35843781948066994,-0.14858051424061672,pocol_minus_independent_header_pow,-0.15704159130735193,-0.24355963072543663,mean_discovery_time_s,100,3.073957276180329,2.9169156848729774,,,,,
100,0.0,0.0,nan,pocol_minus_independent_header_pow,0.0,0.0,accepted_blocks,100,17.0,17.0,,,,,
200,-3.352590357401159,-3.6515244736625396,-4.597423842736911,pocol_minus_common_template_duplicate_pow,-3.499727025834971,-3.5355435418455308,total_energy_kwh,100,3.520196613824357,0.020469587989386126,,,,,
200,-5.613639668206592e+17,-6.114180514039599e+17,-4.597423842736904,pocol_minus_common_template_duplicate_pow,-5.860008043258555e+17,-5.919979884020436e+17,total_attempts,100,5.894282702217527e+17,3427465895897167.5,,,,,
200,-195.49300846736932,-210.41040870415517,-5.215619568179722,pocol_minus_common_template_duplicate_pow,-202.96442825778934,-203.87728693500614,mean_discovery_time_s,100,204.39432642044977,1.4298981626604972,,,,,
200,2.1,1.57,1.3180564203677805,pocol_minus_common_template_duplicate_pow,1.82,1.0,accepted_blocks,100,15.18,17.0,,,,,
200,-0.00036851395159130017,-0.003146848668248215,-0.2416294389930204,pocol_minus_independent_header_pow,-0.0017546792644006722,-0.0017522800028979563,total_energy_kwh,100,0.022224267253786803,0.020469587989386126,-0.0005870533158384874,-0.002922038872256444,False,0.00022224267253786802,-0.0017546792644006722
200,-61704661661789.48,-526914195613705.1,-0.24162943899303552,pocol_minus_independent_header_pow,-293806760550836.0,-293405023741100.0,total_attempts,100,3721272656448002.5,3427465895897167.5,,,,,
200,-0.025742453759615255,-0.21982235945500955,-0.24162943899301967,pocol_minus_independent_header_pow,-0.12257269943713366,-0.12240509959994172,mean_discovery_time_s,100,1.5524708620976313,1.4298981626604972,,,,,
200,0.0,0.0,nan,pocol_minus_independent_header_pow,0.0,0.0,accepted_blocks,100,17.0,17.0,,,,,
300,-3.4444546213220537,-3.7428600481016403,-4.6750019643046405,pocol_minus_common_template_duplicate_pow,-3.597491942159343,-3.630738108477427,total_energy_kwh,100,3.6115324562934976,0.014040514134155064,,,,,
300,-5.767458900818321e+17,-6.267114499146927e+17,-4.675001964304646,pocol_minus_common_template_duplicate_pow,-6.023707438034249e+17,-6.07937543745059e+17,total_attempts,100,6.047217136119346e+17,2350969808509680.0,,,,,
300,-191.8942333451186,-208.78430382483663,-4.468856084475733,pocol_minus_common_template_duplicate_pow,-200.318006434936,-200.73945394197068,mean_discovery_time_s,100,201.29880318441857,0.9807967494825549,,,,,
300,2.48,1.9,1.459869039292981,pocol_minus_common_template_duplicate_pow,2.18,2.0,accepted_blocks,100,14.82,17.0,,,,,
300,0.00014177468428258462,-0.0017927780027481147,-0.1549191813223968,pocol_minus_independent_header_pow,-0.0007906459781412006,-0.000545437923621917,total_energy_kwh,100,0.014831160112296264,0.014040514134155064,1.2742405102248951e-05,-0.0016090667101639356,False,0.00014831160112296264,-0.0007906459781412006
