N,attempts,commit_time,committed,discovery_time,duplicate_evals,exhausted_templates,n_templates,post_discovery_idle_s,protocol,round_id,round_start,scenario,seed,unique_evals,winner_id,winning_nonce
100,35484094314579300,600.0,True,251.66024336581063,35129253371433507,0,1,34833.97566341889,common_template_duplicate_pow,0,0.0,stochastic_H1,0,354840943145793,0,354840943145792
100,66865730243180800,1200.0,True,1074.2250371856794,66197072940748992,0,1,12577.49628143209,common_template_duplicate_pow,1,600.0,stochastic_H1,0,668657302431808,0,668657302431807
100,62812167008787600,1800.0,True,1645.476361764451,62184045338699724,0,1,15452.363823554882,common_template_duplicate_pow,2,1200.0,stochastic_H1,0,628121670087876,0,628121670087875
100,18862963334996300,2400.0,True,1933.7798818084843,18674333701646337,0,1,46622.01181915153,common_template_duplicate_pow,3,1800.0,stochastic_H1,0,188629633349963,0,188629633349962
100,57021068932722300,3000.0,True,2804.4047442037045,56450858243395077,0,1,19559.525579629553,common_template_duplicate_pow,4,2400.0,stochastic_H1,0,570210689327223,0,570210689327222
100,19184887497121000,3600.0,True,3136.063031894475,18993038622149790,0,1,46393.6968105525,common_template_duplicate_pow,5,3000.0,stochastic_H1,0,191848874971210,0,191848874971209
100,84600000000000000,,False,,83754000000000000,0,1,0.0,common_template_duplicate_pow,6,3600.0,stochastic_H1,0,846000000000000,,
100,19146407264985300,4800.0,True,4335.790122446704,18954943192335447,0,1,46420.98775532947,common_template_duplicate_pow,7,4200.0,stochastic_H1,0,191464072649853,0,191464072649852
100,76402769408314700,5400.0,True,5341.863612824927,75638741714231553,0,1,5813.638717507274,common_template_duplicate_pow,8,4800.0,stochastic_H1,0,764027694083147,0,764027694083146
100,84600000000000000,,False,,83754000000000000,0,1,0.0,common_template_duplicate_pow,9,5400.0,stochastic_H1,0,846000000000000,,
100,27516384022954700,6600.0,True,6195.151659737267,27241220182725153,0,1,40484.83402627319,common_template_duplicate_pow,10,6000.0,stochastic_H1,0,275163840229547,0,275163840229546
100,74251248873682100,7200.0,True,7126.604601941008,73508736384945279,0,1,7339.539805899221,common_template_duplicate_pow,11,6600.0,stochastic_H1,0,742512488736821,0,742512488736820
100,41381640975422900,7800.0,True,7493.486815428531,40967824565668671,0,1,30651.318457146797,common_template_duplicate_pow,12,7200.0,stochastic_H1,0,413816409754229,0,413816409754228
100,34737459049081000,8400.0,True,8046.364957794901,34390084458590190,0,1,35363.50422050995,common_template_duplicate_pow,13,7800.0,stochastic_H1,0,347374590490810,0,347374590490809
100,25858762545851900,9000.0,True,8583.395479048595,25600174920393381,0,1,41660.4520951405,common_template_duplicate_pow,14,8400.0,stochastic_H1,0,258587625458519,0,258587625458518
100,26201046490931900,9600.0,True,9185.823024758382,25939036026022581,0,1,41417.69752416178,common_template_duplicate_pow,15,9000.0,stochastic_H1,0,262010464909319,0,262010464909318
100,19713992993003100,10200.0,True,9739.815553141865,19516853063073069,0,1,46018.44468581337,common_template_duplicate_pow,16,9600.0,stochastic_H1,0,197139929930031,0,197139929930030
100,570680647814000,600.0,True,4.047380480950355,0,0,1,59595.26195190488,independent_header_pow,0,0.0,stochastic_H1,0,570680647814000,97,
100,314214552288700,1200.0,True,602.2284720020475,0,0,1,59777.15279979529,independent_header_pow,1,600.0,stochastic_H1,0,314214552288700,19,
100,299894161026100,1800.0,True,1202.1269089434475,0,0,1,59787.309105655164,independent_header_pow,2,1200.0,stochastic_H1,0,299894161026100,73,
100,331894181687500,2400.0,True,1802.3538594445922,0,0,1,59764.61405554074,independent_header_pow,3,1800.0,stochastic_H1,0,331894181687500,90,
100,1129583610423100,3000.0,True,2408.0112312795964,0,1,2,59198.87687204029,independent_header_pow,4,2400.0,stochastic_H1,0,1975583610423100,89,
100,381394504038100,3600.0,True,3002.704925560554,0,0,1,59729.5074439447,independent_header_pow,5,3000.0,stochastic_H1,0,381394504038100,21,
100,85240540989500,4200.0,True,3600.604542843897,0,0,1,59939.54571561039,independent_header_pow,6,3600.0,stochastic_H1,0,85240540989500,28,
100,157337262660700,4800.0,True,4201.115867111069,0,0,1,59888.41328889319,independent_header_pow,7,4200.0,stochastic_H1,0,157337262660700,72,
100,872980620824300,5400.0,True,4806.19135192074,0,1,2,59380.864807926075,independent_header_pow,8,4800.0,stochastic_H1,0,1718980620824300,87,
100,213257570663800,6000.0,True,5401.5124650401685,0,0,1,59848.753495983015,independent_header_pow,9,5400.0,stochastic_H1,0,213257570663800,36,
100,701311056655800,6600.0,True,6004.973837281247,0,0,1,59502.6162718752,independent_header_pow,10,6000.0,stochastic_H1,0,701311056655800,39,
100,260365639688600,7200.0,True,6601.8465648204865,0,0,1,59815.343517951274,independent_header_pow,11,6600.0,stochastic_H1,0,260365639688600,1,
100,1462767948946800,7800.0,True,7210.374240772672,0,1,2,58962.57592273269,independent_header_pow,12,7200.0,stochastic_H1,0,2308767948946800,20,
100,1041546914572300,8400.0,True,7807.386857550158,0,1,2,59261.31424498433,independent_header_pow,13,7800.0,stochastic_H1,0,1887546914572300,69,
100,809963833907800,9000.0,True,8405.744424353956,0,0,1,59425.55756460429,independent_header_pow,14,8400.0,stochastic_H1,0,809963833907800,85,
100,893242359985100,9600.0,True,9006.335052198476,0,1,2,59366.494780152425,independent_header_pow,15,9000.0,stochastic_H1,0,1739242359985100,57,
100,488692864172400,10200.0,True,9603.465906838102,0,0,1,59653.409316189885,independent_header_pow,16,9600.0,stochastic_H1,0,488692864172400,32,
100,798094314579300,600.0,True,5.660243365810638,0,0,1,59433.97566341887,pocol_disjoint_nonce,0,0.0,stochastic_H1,0,798094314579300,41,354840943145792
100,31730243180800,1200.0,True,600.2250371856794,0,0,1,59977.4962814321,pocol_disjoint_nonce,1,600.0,stochastic_H1,0,31730243180800,79,668657302431807
100,208167008787600,1800.0,True,1201.476361764451,0,0,1,59852.36382355501,pocol_disjoint_nonce,2,1200.0,stochastic_H1,0,208167008787600,74,628121670087875
100,250963334996300,2400.0,True,1801.7798818084843,0,0,1,59822.01181915153,pocol_disjoint_nonce,3,1800.0,stochastic_H1,0,250963334996300,22,188629633349962
100,339068932722300,3000.0,True,2402.4047442037045,0,0,1,59759.52557962955,pocol_disjoint_nonce,4,2400.0,stochastic_H1,0,339068932722300,67,570210689327222
100,572887497121000,3600.0,True,3004.063031894475,0,0,1,59593.6968105525,pocol_disjoint_nonce,5,3000.0,stochastic_H1,0,572887497121000,22,191848874971209
100,1097258259510700,4200.0,True,3607.7819734717073,0,1,2,59221.80265282935,pocol_disjoint_nonce,6,3600.0,stochastic_H1,0,1943258259510700,70,594712582595106
100,473990466134600,4800.0,True,4203.3616345115925,0,0,1,59663.83654884066,pocol_disjoint_nonce,7,4200.0,stochastic_H1,0,473990466134600,87,740759904661345
100,262769408314700,5400.0,True,4801.863612824927,0,0,1,59813.638717507274,pocol_disjoint_nonce,8,4800.0,stochastic_H1,0,262769408314700,90,764027694083146
100,1373471774167100,6000.0,True,5409.740934568561,0,1,2,59025.90654314403,pocol_disjoint_nonce,9,5400.0,stochastic_H1,0,2219471774167100,53,453654717741670
100,57941406421000,6600.0,True,6000.410931960432,0,0,1,59958.90680395678,pocol_disjoint_nonce,10,6000.0,stochastic_H1,0,57941406421000,44,372819414064209
100,649248873682100,7200.0,True,6604.604601941008,0,0,1,59539.53980589935,pocol_disjoint_nonce,11,6600.0,stochastic_H1,0,649248873682100,87,742512488736820
100,256539493515900,7800.0,True,7201.819429032028,0,0,1,59818.05709679736,pocol_disjoint_nonce,12,7200.0,stochastic_H1,0,256539493515900,75,637065394935158
100,51459049081000,8400.0,True,7800.364957794901,0,0,1,59963.50422050982,pocol_disjoint_nonce,13,7800.0,stochastic_H1,0,51459049081000,41,347374590490809
100,409708413794400,9000.0,True,8402.905733431166,0,0,1,59709.42665688344,pocol_disjoint_nonce,14,8400.0,stochastic_H1,0,409708413794400,56,477857084137943
100,566200536196800,9600.0,True,9004.015606639694,0,0,1,59598.439336030475,pocol_disjoint_nonce,15,9000.0,stochastic_H1,0,566200536196800,50,428662005361967
100,255992993003100,10200.0,True,9601.815553141865,0,0,1,59818.44468581335,pocol_disjoint_nonce,16,9600.0,stochastic_H1,0,255992993003100,23,197139929930030
