N,accepted_blocks__boot_ci_high,accepted_blocks__boot_ci_low,accepted_blocks__max,accepted_blocks__mean,accepted_blocks__median,accepted_blocks__min,accepted_blocks__n,accepted_blocks__p2_5,accepted_blocks__p97_5,accepted_blocks__std,active_miner_seconds__boot_ci_high,active_miner_seconds__boot_ci_low,active_miner_seconds__max,active_miner_seconds__mean,active_miner_seconds__median,active_miner_seconds__min,active_miner_seconds__n,active_miner_seconds__p2_5,active_miner_seconds__p97_5,active_miner_seconds__std,duplicate_header_evaluations__boot_ci_high,duplicate_header_evaluations__boot_ci_low,duplicate_header_evaluations__max,duplicate_header_evaluations__mean,duplicate_header_evaluations__median,duplicate_header_evaluations__min,duplicate_header_evaluations__n,duplicate_header_evaluations__p2_5,duplicate_header_evaluations__p97_5,duplicate_header_evaluations__std,empty_rounds__boot_ci_high,empty_rounds__boot_ci_low,empty_rounds__max,empty_rounds__mean,empty_rounds__median,empty_rounds__min,empty_rounds__n,empty_rounds__p2_5,empty_rounds__p97_5,empty_rounds__std,energy_per_accepted_block_kwh__boot_ci_high,energy_per_accepted_block_kwh__boot_ci_low,energy_per_accepted_block_kwh__max,energy_per_accepted_block_kwh__mean,energy_per_accepted_block_kwh__median,energy_per_accepted_block_kwh__min,energy_per_accepted_block_kwh__n,energy_per_accepted_block_kwh__p2_5,energy_per_accepted_block_kwh__p97_5,energy_per_accepted_block_kwh__std,energy_per_tx_kwh__boot_ci_high,energy_per_tx_kwh__boot_ci_low,energy_per_tx_kwh__max,energy_per_tx_kwh__mean,energy_per_tx_kwh__median,energy_per_tx_kwh__min,energy_per_tx_kwh__n,energy_per_tx_kwh__p2_5,energy_per_tx_kwh__p97_5,energy_per_tx_kwh__std,exhausted_templates__boot_ci_high,exhausted_templates__boot_ci_low,exhausted_templates__max,exhausted_templates__mean,exhausted_templates__median,exhausted_templates__min,exhausted_templates__n,exhausted_templates__p2_5,exhausted_templates__p97_5,exhausted_templates__std,mean_discovery_time_s__boot_ci_high,mean_discovery_time_s__boot_ci_low,mean_discovery_time_s__max,mean_discovery_time_s__mean,mean_discovery_time_s__median,mean_discovery_time_s__min,mean_discovery_time_s__n,mean_discovery_time_s__p2_5,mean_discovery_time_s__p97_5,mean_discovery_time_s__std,mean_post_discovery_idle_s__boot_ci_high,mean_post_discovery_idle_s__boot_ci_low,mean_post_discovery_idle_s__max,mean_post_discovery_idle_s__mean,mean_post_discovery_idle_s__median,mean_post_discovery_idle_s__min,mean_post_discovery_idle_s__n,mean_post_discovery_idle_s__p2_5,mean_post_discovery_idle_s__p97_5,mean_post_discovery_idle_s__std,n_seeds,pct_time_active__boot_ci_high,pct_time_active__boot_ci_low,pct_time_active__max,pct_time_active__mean,pct_time_active__median,pct_time_active__min,pct_time_active__n,pct_time_active__p2_5,pct_time_active__p97_5,pct_time_active__std,protocol,throughput_tx_per_s__boot_ci_high,throughput_tx_per_s__boot_ci_low,throughput_tx_per_s__max,throughput_tx_per_s__mean,throughput_tx_per_s__median,throughput_tx_per_s__min,throughput_tx_per_s__n,throughput_tx_per_s__p2_5,throughput_tx_per_s__p97_5,throughput_tx_per_s__std,total_attempts__boot_ci_high,total_attempts__boot_ci_low,total_attempts__max,total_attempts__mean,total_attempts__median,total_attempts__min,total_attempts__n,total_attempts__p2_5,total_attempts__p97_5,total_attempts__std,total_energy_kwh__boot_ci_high,total_energy_kwh__boot_ci_low,total_energy_kwh__max,total_energy_kwh__mean,total_energy_kwh__median,total_energy_kwh__min,total_energy_kwh__n,total_energy_kwh__p2_5,total_energy_kwh__p97_5,total_energy_kwh__std
100,15.16,14.53,17.0,14.86,15.0,10.0,100,11.0,17.0,1.5700479308131026,448949.724994968,416084.5440737537,640910.2900142502,432519.9589384449,433712.5105842629,237826.67171834913,100,257431.27712090127,586398.4644375741,84147.4569760535,6.266889211204763e+17,5.808124150725527e+17,8.946466738308904e+17,6.037546106821754e+17,6.054192935245732e+17,3.319822510516438e+17,100,3.593483197330652e+17,8.185536165084101e+17,1.1746143519287306e+17,2.47,1.84,7.0,2.14,2.0,0.0,100,0.0,6.0,1.5700479308131026,0.26811130113504544,0.2382847428283309,0.539699873382832,0.25250880418447375,0.24497691361773066,0.11780580969185876,100,0.13548661746389057,0.43917135202859287,0.07753770580508364,0.00013405565056752273,0.00011914237141416542,0.000269849936691416,0.00012625440209223685,0.00012248845680886534,5.8902904845929384e-05,100,6.774330873194529e-05,0.00021958567601429644,3.876885290254181e-05,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,211.6724086217026,197.721808389061,286.2603418229857,204.73072016938013,207.49419647010666,123.10591081333862,100,142.13256391488167,277.8323480619613,36.2759582063779,402.27819161093896,388.3275913782974,476.89408918666174,395.2692798306198,392.5058035298932,313.73965817701406,100,322.16765193803906,457.86743608511836,36.27595820637791,100,44.0146789210753,40.792602360171934,62.83434215825982,42.40391754298481,42.52083437100616,23.316340364544033,100,25.238360502049147,57.490045533095504,8.249750683926814,common_template_duplicate_pow,2.9725490196078432,2.849019607843138,3.3333333333333335,2.913725490196078,2.9411764705882355,1.9607843137254901,100,2.156862745098039,3.3333333333333335,0.30785253545354957,6.330191122429053e+17,5.866792071439926e+17,9.036835089200913e+17,6.098531421032074e+17,6.115346399238113e+17,3.353356071228725e+17,100,3.6297810074046995e+17,8.268218348569798e+17,1.1864791433623538e+17,3.7805308092284626,3.5037785982210665,5.39699873382832,3.6421784875608227,3.652220766211652,2.002698764761599,100,2.167785879422249,4.937963735951407,0.7085917106191844
100,17.0,17.0,17.0,17.0,17.0,17.0,100,17.0,17.0,0.0,5466.861938874749,4986.485459191219,8622.2990512498,5225.72736950656,5136.972170740181,2658.0730213969214,100,3372.511222352085,8090.192331666599,1239.307342258177,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.002707972543741633,0.002470021351231729,0.004270996662396048,0.0025885281896501854,0.0025445639110455625,0.0013166582294713658,100,0.0016705502893072481,0.00400742125056329,0.0006138823869371996,1.3539862718708167e-06,1.2350106756158646e-06,2.135498331198024e-06,1.2942640948250927e-06,1.272281955522781e-06,6.583291147356829e-07,100,8.35275144653624e-07,2.0037106252816455e-06,3.069411934685998e-07,3.08,2.44,8.0,2.74,3.0,0.0,100,0.0,6.5249999999999915,1.6119503213138544,3.2158011405145586,2.933226740700718,5.071940618382246,3.073957276180329,3.021748335729517,1.5635723655275997,100,1.983830130795346,4.758936665686238,0.7290043189753981,597.0667732592993,596.7841988594855,598.4364276344722,596.9260427238198,596.9782516642707,594.9280593816184,100,595.2410633343139,598.0161698692043,0.7290043189753473,100,0.5359668567524264,0.48887112345011957,0.8453234363970392,0.5123262126967214,0.5036247226215864,0.2605953942546001,100,0.3306383551325574,0.7931561109477057,0.12150071982923302,independent_header_pow,3.3333333333333326,3.3333333333333326,3.3333333333333335,3.3333333333333326,3.3333333333333335,3.3333333333333335,100,3.3333333333333335,3.3333333333333335,8.926528984957934e-16,7708275333813351.0,7030944497459565.0,1.21574416622621e+16,7368275591004204.0,7243130760743600.0,3747882960169300.0,100,4755240823516408.0,1.1407171187649846e+16,1747423352584020.8,0.04603553324360777,0.0419903629709394,0.07260694326073282,0.04400497922405315,0.04325758648777456,0.02238318990101322,100,0.028399354918223218,0.06812616125957595,0.010436000577932392
100,17.0,17.0,17.0,17.0,17.0,17.0,100,17.0,17.0,0.0,5227.105155396284,4677.450366481888,9865.614221938391,4958.756664284061,4701.629639553702,2311.913015078729,100,2805.613671057976,7901.419557934708,1358.2290682646462,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0025892106664352696,0.00231694293888723,0.004886864299641549,0.00245628608297012,0.0023289199758671653,0.0011451902459495397,100,0.0013897414777471037,0.00391391395259463,0.0006727894477850131,1.2946053332176348e-06,1.1584714694436148e-06,2.4434321498207747e-06,1.2281430414850603e-06,1.1644599879335826e-06,5.725951229747699e-07,100,6.948707388735518e-07,1.956956976297315e-06,3.3639472389250654e-07,3.01,2.2,9.0,2.6,2.0,0.0,100,0.0,7.5249999999999915,2.0250950844368028,3.074767738468404,2.7514413920481697,5.803302483493176,2.9169156848729774,2.7656644938551196,1.3599488323992541,100,1.6503609829752823,4.647893857608656,0.7989582754497923,597.2485586079518,596.9252322615316,598.6400511676004,597.083084315127,597.234335506145,594.1966975165066,100,595.3521061423918,598.3496390170251,0.7989582754497591,100,0.5124612897447338,0.45857356534136157,0.9672170805821952,0.48615261414549615,0.4609440823091865,0.22665813873320872,100,0.2750601638292133,0.7746489762681086,0.1331597125749653,pocol_disjoint_nonce,3.3333333333333326,3.3333333333333326,3.3333333333333335,3.3333333333333326,3.3333333333333335,3.3333333333333335,100,3.3333333333333335,3.3333333333333335,8.926528984957934e-16,7370218269108733.0,6595205016739471.0,1.3910516052933e+16,6991846896640521.0,6629297791770700.0,3259797351260800.0,100,3955915276191950.0,1.1141001576687826e+16,1915102986253136.5,0.044016581329399576,0.0393880299610829,0.08307669309390633,0.04175686341049205,0.03959163958974181,0.019468234181142175,100,0.02362560512170076,0.06653653719410871,0.011437420612345223
200,15.44,14.91975,17.0,15.18,16.0,11.0,100,12.0,17.0,1.3808210118138653,872034.983519515,801754.4221925361,1261189.5316076884,836068.468399649,844312.4092434944,477027.27257662057,100,495918.8739542815,1227467.4301536242,181596.99058626223,6.11710740064352e+17,5.6241068330750944e+17,8.846929266845001e+17,5.864811288706438e+17,5.922640472740815e+17,3.346227060306862e+17,100,3.4787469210708006e+17,8.610377155670172e+17,1.2738574897149845e+17,2.0802499999999986,1.56,6.0,1.82,1.0,0.0,100,0.0,5.0,1.3808210118138653,0.252119708810841,0.22397115406016274,0.44251111864220977,0.23782262677090618,0.2270982156734229,0.11881885030238629,100,0.12455073649264603,0.42012275405956806,0.07290740602700503,0.00012605985440542055,0.0001119855770300814,0.0002212555593211049,0.00011891131338545307,0.00011354910783671145,5.940942515119315e-05,100,6.227536824632301e-05,0.00021006137702978404,3.645370301350251e-05,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,212.28747415004767,196.88118151071424,352.2892270583794,204.3943264204498,205.23015339592718,111.57102268019449,100,135.85942232337382,281.9154000923209,39.00946243032379,403.1188184892857,387.71252584995244,488.4289773198056,395.60567357955006,394.769846604073,247.71077294162066,100,318.0845999076789,464.140577676626,39.00946243032378,100,42.746812917623295,39.30168736237922,61.823016255278844,40.983748450963176,41.38786319821051,23.383689832187283,100,24.309748723249097,60.16997206635412,8.901813264032462,common_template_duplicate_pow,3.0274509803921563,2.9254411764705877,3.3333333333333335,2.9764705882352938,3.1372549019607843,2.156862745098039,100,2.3529411764705883,3.3333333333333335,0.2707492180027187,6.147846633812584e+17,5.652368676457381e+17,8.891386197834172e+17,5.894282702217527e+17,5.952402485166648e+17,3.363042271665188e+17,100,3.496228061377689e+17,8.653645382583087e+17,1.2802587836331502e+17,3.6716306285269598,3.375720181773161,5.310133423706517,3.520196613824357,3.5549070397522984,2.0084835789111546,100,2.088025092211678,5.1681493257093365,0.7645989957809085
200,17.0,17.0,17.0,17.0,17.0,17.0,100,17.0,17.0,0.0,5541.780435394611,5004.562567990019,9239.828562210463,5278.40093113195,5160.061419723963,2527.9392835784142,100,3094.816173251689,8085.72088416557,1366.1431107568383,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0013725414534231006,0.0012394878615083116,0.0022884428338513898,0.0013073098384580473,0.0012780005060370296,0.0006260986877588197,100,0.0007664979762428512,0.002002603174865027,0.00033835480721073155,6.862707267115503e-07,6.197439307541557e-07,1.144221416925695e-06,6.536549192290236e-07,6.390002530185149e-07,3.1304934387940984e-07,100,3.8324898812142564e-07,1.0013015874325134e-06,1.6917740360536578e-07,3.29,2.52,9.0,2.9,3.0,0.0,100,0.0,7.0,1.9514304517662953,1.6299354221748847,1.4719301670558875,2.7175966359442594,1.5524708620976313,1.5176651234482252,0.7435115539936492,100,0.9102400509563775,2.378153201225169,0.4018067972814233,598.5280698329442,598.3700645778251,599.2564884460057,598.4475291379024,598.4823348765519,597.2824033640555,100,597.6218467987748,599.0897599490442,0.4018067972813875,100,0.2716559036958142,0.2453216945093146,0.45293277265737564,0.2587451436829387,0.25294418724137074,0.1239185923322752,100,0.15170667515939654,0.3963588668708613,0.06696779954690384,independent_header_pow,3.3333333333333326,3.3333333333333326,3.3333333333333335,3.3333333333333326,3.3333333333333335,3.3333333333333335,100,3.3333333333333335,3.3333333333333335,8.926528984957934e-16,3906955206953180.0,3528216610432960.0,6514079136358600.0,3721272656448002.0,3637843300905300.0,1782197194922800.0,100,2181845402142230.0,5700433223336814.0,963130893083584.1,0.023333204708192713,0.021071293645641295,0.03890352817547363,0.022224267253786806,0.021726008602629507,0.010643677691899934,100,0.013030465596128471,0.034044253972705454,0.005752031722582436
200,17.0,17.0,17.0,17.0,17.0,17.0,100,17.0,17.0,0.0,5082.781424642075,4643.0526931728,7830.660626637509,4861.65375304569,4719.132501032476,2649.0207815738286,100,3032.928279737929,7368.04240353202,1176.5613278436697,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.001258860448431574,0.0011499521437380183,0.001939432000788537,0.0012040934111403607,0.0011687949490915004,0.0006560871322991026,100,0.0007511701045772501,0.0018248546197963534,0.0002914007896534387,6.29430224215787e-07,5.74976071869009e-07,9.697160003942685e-07,6.020467055701803e-07,5.843974745457501e-07,3.2804356614955127e-07,100,3.7558505228862504e-07,9.124273098981768e-07,1.4570039482671936e-07,2.45,1.82,7.0,2.12,2.0,0.0,100,0.0,6.0,1.671387254209913,1.4949357131300238,1.3656037332861186,2.3031354784228024,1.4298981626604976,1.3879801473624949,0.779123759286418,100,0.8920377293346858,2.1670712951564823,0.34604744936578513,598.6343962667139,598.5050642868699,599.2208762407133,598.5701018373396,598.6120198526378,597.6968645215767,100,597.8329287048437,599.1079622706648,0.3460474493657353,100,0.24915595218833708,0.22760062221435295,0.3838559130704662,0.23831636044341614,0.2313300245604155,0.12985395988107,100,0.14867295488911417,0.3611785491927461,0.05767457489429754,pocol_disjoint_nonce,3.3333333333333326,3.3333333333333326,3.3333333333333335,3.3333333333333326,3.3333333333333335,3.3333333333333335,100,3.3333333333333335,3.3333333333333335,8.926528984957934e-16,3583360904372648.0,3273352148686785.5,5520615741779600.0,3427465895897166.0,3326988413227700.0,1867559651009400.0,100,2138214437215035.0,5194469894490244.0,829475736129807.4,0.021400627623336752,0.01954918644354631,0.03297034401340513,0.020469587989386126,0.019869514134555507,0.011153481249084744,100,0.012769891777813252,0.03102252853653801,0.004953813424108458
300,15.13,14.51975,17.0,14.82,15.0,10.0,100,12.0,17.0,1.4932846312404713,1338417.2550783716,1231983.702703418,1913314.2507259306,1286641.94385518,1299307.4387439543,613978.0052635352,100,823736.396357882,1830490.3740027098,274899.92976695776,6.269592561872116e+17,5.771022324697044e+17,8.962601721817198e+17,6.027059745665614e+17,6.086389145556265e+17,2.8760776359894874e+17,100,3.858655859339094e+17,8.574627075286689e+17,1.287722904338352e+17,2.4802499999999985,1.87,7.0,2.18,2.0,0.0,100,0.0,5.0,1.4932846312404713,0.2643909100972461,0.23507721060855963,0.48823334605014196,0.250168469610367,0.25256080125862046,0.10137659711091582,100,0.13601072361431998,0.42954483554371353,0.07498266112310387,0.00013219545504862307,0.00011753860530427982,0.00024411667302507098,0.0001250842348051835,0.00012628040062931026,5.06882985554579e-05,100,6.800536180715998e-05,0.00021477241777185675,3.749133056155193e-05,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,209.7571159424529,192.40359709786335,335.95523344687143,201.29880318441857,201.6400720397785,104.79253556356932,100,122.5886205935124,290.07396997912707,44.84354181353161,407.5964029021367,390.2428840575472,495.2074644364315,398.7011968155814,398.3599279602216,264.0447665531289,100,309.9260300208729,477.4113794064875,44.84354181353163,100,43.739125982953325,40.26090531710517,62.52660950084741,42.0471223482085,42.46102740993315,20.06464069488677,100,26.919490077054967,59.81994686283365,8.983657835521496,common_template_duplicate_pow,2.9666666666666663,2.8470098039215683,3.3333333333333335,2.905882352941177,2.9411764705882355,1.9607843137254901,100,2.3529411764705883,3.3333333333333335,0.29280090808636694,6.290561098868344e+17,5.790323402706065e+17,8.992576978411905e+17,6.047217136119346e+17,6.106744962096589e+17,2.885696624738616e+17,100,3.871561062882034e+17,8.603304757812731e+17,1.292029669904701e+17,3.75686287849082,3.4581098099494554,5.370566806551562,3.6115324562934985,3.647083796807668,1.7234021508855688,100,2.3121823014434395,5.138084785915935,0.7716288306375304
300,17.0,17.0,17.0,17.0,17.0,17.0,100,17.0,17.0,0.0,5543.882698110905,5008.951636775991,9026.059185934602,5283.738387359383,5137.9982972324515,2404.7723142792497,100,3084.182406684013,8646.129887549965,1398.3205347876483,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.000915374749418475,0.0008270499393728981,0.0014903321580697572,0.000872421183076251,0.0008483573985871577,0.00039706248751293714,100,0.0005092428630644143,0.0014276003678707922,0.00023088282686322136,4.5768737470923733e-07,4.1352496968644904e-07,7.451660790348786e-07,4.3621059153812547e-07,4.241786992935789e-07,1.9853124375646858e-07,100,2.546214315322072e-07,7.138001839353961e-07,1.1544141343161066e-07,3.3702499999999986,2.62,9.0,3.0,3.0,0.0,100,0.0,8.0,1.954016841836789,1.0870358231590014,0.9821473797599988,1.7698155266538471,1.03602713477635,1.0074506465161728,0.4715239831920078,100,0.6047416483694171,1.69531958579411,0.27418049701718583,599.01785262024,598.9129641768409,599.5284760168074,598.9639728652236,598.9925493534836,598.2301844733447,100,598.304680414206,599.3952583516302,0.27418049701714814,100,0.1811726371931668,0.16369122995999974,0.29496925444230726,0.17267118912939158,0.16790844108602782,0.07858733053200162,100,0.10079027472823572,0.28255326429901845,0.04569674950286433,independent_header_pow,3.3333333333333326,3.3333333333333326,3.3333333333333335,3.3333333333333326,3.3333333333333335,3.3333333333333335,100,3.3333333333333335,3.3333333333333335,8.926528984957934e-16,2605624868112123.0,2354207269284741.0,4242247817389500.0,2483357042058900.0,2414859199699200.0,1130242987711500.0,100,1449565731141397.5,4063681047148543.5,657210651350190.1,0.015561370740114072,0.014059848969339268,0.02533564668718587,0.014831160112296264,0.014422075775981681,0.0067500622877199315,100,0.008657128672095045,0.02426920625380347,0.003925008056674762
300,17.0,17.0,17.0,17.0,17.0,17.0,100,17.0,17.0,0.0,5229.577358458955,4764.652381755857,8352.435567650724,5002.063422361029,5168.938088714831,2529.236156267743,100,2777.122532160168,7386.237571184278,1227.9633972815725,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0008634784184187556,0.0007867126195693296,0.0013791072125998547,0.0008259125961267684,0.0008534660030467885,0.0004176132575013959,100,0.0004585428625405001,0.0012195740303401518,0.0002027544138812142,4.317392092093777e-07,3.9335630978466483e-07,6.895536062999274e-07,4.1295629806338414e-07,4.267330015233943e-07,2.0880662875069796e-07,100,2.2927143127025006e-07,6.097870151700758e-07,1.0137720694060709e-07,2.8,2.1,9.0,2.44,2.0,0.0,100,0.0,6.0,1.8330302779823362,1.025407325188031,0.9342455650501679,1.637732464245245,0.9807967494825549,1.0135172722970278,0.4959286580917154,100,0.5445338298353269,1.4482818767028052,0.2407771367218776,599.06575443495,598.974592674812,599.504071341909,599.0192032505175,598.9864827277019,598.3622675357551,100,598.551718123297,599.4554661701645,0.24077713672195825,100,0.17090122086467174,0.155707594175028,0.27295541070754,0.16346612491375911,0.1689195453828376,0.08265477634861905,100,0.09075563830588784,0.24138031278379993,0.04012952278697949,pocol_disjoint_nonce,3.3333333333333326,3.3333333333333326,3.3333333333333335,3.3333333333333326,3.3333333333333335,3.3333333333333335,100,3.3333333333333335,3.3333333333333335,8.926528984957934e-16,2457901358475679.0,2239386619425234.2,3925644716796000.0,2350969808509680.0,2429400901696200.0,1188740993445600.0,100,1305247590115162.5,3471531658456702.5,577142796722376.9,0.014679133113118843,0.013374114532678607,0.02344482261419753,0.014040514134155064,0.014508922051795405,0.0070994253775237305,100,0.007795228663188502,0.02073275851578258,0.003446825035980642
400,14.94,14.33,17.0,14.64,15.0,12.0,100,12.0,17.0,1.5276574791940025,1798864.663702516,1664085.3972868815,2580042.0754332663,1729921.3188124686,1742666.7525886856,950770.0365329996,100,1062211.4343747469,2248134.8536771205,341579.2730376311,6.325145444702487e+17,5.851236272872662e+17,9.07191169511248e+17,6.082727717191913e+17,6.12754305211788e+17,3.343085717831865e+17,100,3.734934567905529e+17,7.9048636708138e+17,1.2010567701140038e+17,2.67,2.06,5.0,2.36,2.0,0.0,100,0.0,5.0,1.5276574791940025,0.2701557976767793,0.24131875766188443,0.45262717312939715,0.25536922830106495,0.250496108582313,0.11773935317605382,100,0.13563251376435656,0.37628361298628965,0.07201130370908612,0.00013507789883838964,0.00012065937883094219,0.00022631358656469857,0.00012768461415053252,0.00012524805429115654,5.8869676588026905e-05,100,6.781625688217828e-05,0.00018814180649314482,3.600565185454306e-05,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,206.2514927965785,190.8875648977461,296.9598610442476,198.76682300652257,198.18482633403272,107.21161187847757,100,131.2145367825298,281.35922332275624,39.48877359458599,409.11243510225387,393.74850720342147,492.7883881215238,401.23317699347746,401.8151736659679,303.04013895575235,100,318.6407766772444,468.7854632174704,39.488773594585965,100,44.08982018878715,40.7864067962471,63.236325378266336,42.400032323835006,42.71242040658542,23.30318716992646,100,26.03459397977321,55.101344452870606,8.372041005824293,common_template_duplicate_pow,2.929411764705882,2.8098039215686277,3.3333333333333335,2.8705882352941177,2.9411764705882355,2.3529411764705883,100,2.3529411764705883,3.3333333333333335,0.2995406821949025,6.340997939551365e+17,5.865901025436253e+17,9.094648315902236e+17,6.097972648813947e+17,6.142900302875067e+17,3.351464378778812e+17,100,3.744295306170957e+17,7.924675359211828e+17,1.2040669374576478e+17,3.786984880565402,3.503246445746651,5.431526077552766,3.6418447763749975,3.6686765697725883,2.001569003992915,100,2.236176363407655,4.732792228418195,0.719095532092763
