N,difficulty_expected_hashes,difficulty_mode,difficulty_ratio_vs_reference,expected_block_interval_s,hardware,network_hashrate_hps,p_success,per_miner_hashrate_hps,target,target_bits
1,8.46e+16,D1_CONSTANT_DIFFICULTY,1.0,600.0,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,141000000000000.0,1.182033096926714e-17,141000000000000.0,1368700818407992853706512825161795601102482088246342364532594,200
2,8.46e+16,D1_CONSTANT_DIFFICULTY,1.0,600.0,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,141000000000000.0,1.182033096926714e-17,70500000000000.0,1368700818407992853706512825161795601102482088246342364532594,200
5,8.46e+16,D1_CONSTANT_DIFFICULTY,1.0,600.0,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,141000000000000.0,1.182033096926714e-17,28200000000000.0,1368700818407992853706512825161795601102482088246342364532594,200
10,8.46e+16,D1_CONSTANT_DIFFICULTY,1.0,600.0,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,141000000000000.0,1.182033096926714e-17,14100000000000.0,1368700818407992853706512825161795601102482088246342364532594,200
20,8.46e+16,D1_CONSTANT_DIFFICULTY,1.0,600.0,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,141000000000000.0,1.182033096926714e-17,7050000000000.0,1368700818407992853706512825161795601102482088246342364532594,200
50,8.46e+16,D1_CONSTANT_DIFFICULTY,1.0,600.0,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,141000000000000.0,1.182033096926714e-17,2820000000000.0,1368700818407992853706512825161795601102482088246342364532594,200
100,8.46e+16,D1_CONSTANT_DIFFICULTY,1.0,600.0,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,141000000000000.0,1.182033096926714e-17,1410000000000.0,1368700818407992853706512825161795601102482088246342364532594,200
200,8.46e+16,D1_CONSTANT_DIFFICULTY,1.0,600.0,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,141000000000000.0,1.182033096926714e-17,705000000000.0,1368700818407992853706512825161795601102482088246342364532594,200
300,8.46e+16,D1_CONSTANT_DIFFICULTY,1.0,600.0,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,141000000000000.0,1.182033096926714e-17,470000000000.0,1368700818407992853706512825161795601102482088246342364532594,200
400,8.46e+16,D1_CONSTANT_DIFFICULTY,1.0,600.0,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,141000000000000.0,1.182033096926714e-17,352500000000.0,1368700818407992853706512825161795601102482088246342364532594,200
500,8.46e+16,D1_CONSTANT_DIFFICULTY,1.0,600.0,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,141000000000000.0,1.182033096926714e-17,282000000000.0,1368700818407992853706512825161795601102482088246342364532594,200
1,8.46e+16,D2_HASHRATE_SCALED_DIFFICULTY,1.0,600.0,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,141000000000000.0,1.182033096926714e-17,141000000000000.0,1368700818407992853706512825161795601102482088246342364532594,200
2,8.46e+16,D2_HASHRATE_SCALED_DIFFICULTY,1.0,600.0,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,141000000000000.0,1.182033096926714e-17,70500000000000.0,1368700818407992853706512825161795601102482088246342364532594,200
5,8.46e+16,D2_HASHRATE_SCALED_DIFFICULTY,1.0,600.0,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,141000000000000.0,1.182033096926714e-17,28200000000000.0,1368700818407992853706512825161795601102482088246342364532594,200
10,8.46e+16,D2_HASHRATE_SCALED_DIFFICULTY,1.0,600.0,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,141000000000000.0,1.182033096926714e-17,14100000000000.0,1368700818407992853706512825161795601102482088246342364532594,200
20,8.46e+16,D2_HASHRATE_SCALED_DIFFICULTY,1.0,600.0,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,141000000000000.0,1.182033096926714e-17,7050000000000.0,1368700818407992853706512825161795601102482088246342364532594,200
50,8.46e+16,D2_HASHRATE_SCALED_DIFFICULTY,1.0,600.0,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,141000000000000.0,1.182033096926714e-17,2820000000000.0,1368700818407992853706512825161795601102482088246342364532594,200
100,8.46e+16,D2_HASHRATE_SCALED_DIFFICULTY,1.0,600.0,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,141000000000000.0,1.182033096926714e-17,1410000000000.0,1368700818407992853706512825161795601102482088246342364532594,200
200,8.46e+16,D2_HASHRATE_SCALED_DIFFICULTY,1.0,600.0,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,141000000000000.0,1.182033096926714e-17,705000000000.0,1368700818407992853706512825161795601102482088246342364532594,200
300,8.46e+16,D2_HASHRATE_SCALED_DIFFICULTY,1.0,600.0,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,141000000000000.0,1.182033096926714e-17,470000000000.0,1368700818407992853706512825161795601102482088246342364532594,200
400,8.46e+16,D2_HASHRATE_SCALED_DIFFICULTY,1.0,600.0,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,141000000000000.0,1.182033096926714e-17,352500000000.0,1368700818407992853706512825161795601102482088246342364532594,200
500,8.46e+16,D2_HASHRATE_SCALED_DIFFICULTY,1.0,600.0,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,141000000000000.0,1.182033096926714e-17,282000000000.0,1368700818407992853706512825161795601102482088246342364532594,200
1,846000000000000.0,D1_CONSTANT_DIFFICULTY,1.0,600.0,H2_FIXED_PER_MINER_HASHRATE,1410000000000.0,1.182033096926714e-15,1410000000000.0,136870081840799285370651282516179560110248208824634236453259554,207
2,846000000000000.0,D1_CONSTANT_DIFFICULTY,1.0,300.0,H2_FIXED_PER_MINER_HASHRATE,2820000000000.0,1.182033096926714e-15,1410000000000.0,136870081840799285370651282516179560110248208824634236453259554,207
5,846000000000000.0,D1_CONSTANT_DIFFICULTY,1.0,120.0,H2_FIXED_PER_MINER_HASHRATE,7050000000000.0,1.182033096926714e-15,1410000000000.0,136870081840799285370651282516179560110248208824634236453259554,207
