N,boot_ci_high,boot_ci_low,cohens_d,comparison,hardware,mean_diff,median_diff,metric,n,other_mean,pocol_mean,tost_ci_high,tost_ci_low,tost_equivalent,tost_margin,tost_mean_diff
100,6.217248937900876e-16,2.8377300509419007e-16,0.5215151215238365,pocol_minus_common_template_duplicate_baseline,H1,4.440892098500626e-16,0.0,total_energy_kwh,100,8.589249999999998,8.589249999999998,,,,,
100,-8.044702619491437,-8.1517237166832,-74.88085316201862,pocol_minus_common_template_duplicate_baseline,H1,-8.096080061786411,-8.052421875000002,energy_per_accepted_block_kwh,15,8.58925,0.5181274220528698,,,,,
100,nan,nan,nan,pocol_minus_common_template_duplicate_baseline,H1,nan,nan,mean_block_interval_s,0,nan,574.1014811910403,,,,,
100,18.03025,16.56975,4.327985724899851,pocol_minus_common_template_duplicate_baseline,H1,17.28,17.0,accepted_blocks,100,0.15,17.43,,,,,
100,2.56,-71.68,-0.18284451258437912,pocol_minus_common_template_duplicate_baseline,H1,-35.84,0.0,total_attempts,100,1.4382e+18,1.4382e+18,,,,,
100,4.085620730620576e-16,-3.597122599785505e-17,0.1593255013631383,pocol_minus_independent_header_pow,H1,1.7763568394002506e-16,0.0,total_energy_kwh,100,8.58925,8.589249999999998,3.730349362740526e-16,0.0,True,0.0858925,1.7763568394002506e-16
100,0.013486439929390791,-0.055700311667160475,-0.11656810445790002,pocol_minus_independent_header_pow,H1,-0.020450309091763007,0.0,energy_per_accepted_block_kwh,100,0.5385777311446328,0.5181274220528698,,,,,
100,11.28136151093475,-63.767567121307465,-0.13504144901289447,pocol_minus_independent_header_pow,H1,-25.68931122082141,-17.963894468262822,mean_block_interval_s,100,599.7907924118617,574.1014811910403,,,,,
100,1.6607499999999957,-0.53,0.09268899104858704,pocol_minus_independent_header_pow,H1,0.53,0.0,accepted_blocks,100,16.9,17.43,,,,,
100,84.48,-15.36,0.12604515110010558,pocol_minus_independent_header_pow,H1,33.28,0.0,total_attempts,100,1.4382e+18,1.4382e+18,,,,,
