N,attempts_this_template,commit_time,difficulty,hardware,height,interval_s,mode,protocol,seed,target_bits,template_index,winner_id
100,2334114061484200,16.554000436058157,8.46e+16,H1,1,16.554000436058157,D2,independent_header_pow,0,200,0,59
100,14651111511304400,120.46259271481277,8.46e+16,H1,2,103.90859227875461,D2,independent_header_pow,0,200,1,6
100,39319072293657600,1599.3212614641575,8.46e+16,H1,3,1478.8586687493448,D2,independent_header_pow,0,200,3,82
100,56878742102178100,4402.716595522158,8.46e+16,H1,4,2803.3953340580006,D2,independent_header_pow,0,200,6,74
100,16589095287202900,4520.369753587427,8.46e+16,H1,5,117.65315806526905,D2,independent_header_pow,0,200,7,58
100,556453320167700,4524.316231035425,8.46e+16,H1,6,3.946477447997495,D2,independent_header_pow,0,200,8,58
100,4308731706031900,5754.874611929268,8.46e+16,H1,7,1230.5583808938436,D2,independent_header_pow,0,200,10,41
100,23988766982501300,5925.007711095944,8.46e+16,H1,8,170.1330991666755,D2,independent_header_pow,0,200,11,46
100,131751197071688800,6859.413364086644,8.46e+16,H1,9,934.4056529907002,D2,independent_header_pow,0,200,12,5
100,100321728431240900,7570.914984166367,8.46e+16,H1,10,711.5016200797227,D2,independent_header_pow,0,200,13,98
100,5731807122639200,7611.566098511325,8.46e+16,H1,11,40.65111434495884,D2,independent_header_pow,0,200,14,42
100,35537916864969500,7863.60806209267,8.46e+16,H1,12,252.04196358134413,D2,independent_header_pow,0,200,15,59
100,2399525499305300,7880.625973435261,8.46e+16,H1,13,17.017911342591105,D2,independent_header_pow,0,200,16,47
100,21698780268105400,8034.518032074306,8.46e+16,H1,14,153.892058639045,D2,independent_header_pow,0,200,17,14
100,100264291083414100,8745.612295077242,8.46e+16,H1,15,711.0942630029367,D2,independent_header_pow,0,200,18,6
100,14212249927095500,100.79609877372695,8.46e+16,H1,1,100.79609877372695,D2,pocol_disjoint_nonce,0,200,0,69
100,8840694758657400,163.4960616010844,8.46e+16,H1,2,62.69996282735744,D2,pocol_disjoint_nonce,0,200,1,78
100,158488625159134100,1287.5288641481347,8.46e+16,H1,3,1124.0328025470503,D2,pocol_disjoint_nonce,0,200,2,48
100,21217247205098000,1438.0057946807447,8.46e+16,H1,4,150.4769305326099,D2,pocol_disjoint_nonce,0,200,3,73
100,157473374431646300,2554.838237458378,8.46e+16,H1,5,1116.8324427776333,D2,pocol_disjoint_nonce,0,200,4,89
100,69065687288578900,3044.6658068809234,8.46e+16,H1,6,489.82756942254537,D2,pocol_disjoint_nonce,0,200,5,59
100,147696725212218200,5292.160311932115,8.46e+16,H1,7,2247.494505051192,D2,pocol_disjoint_nonce,0,200,7,12
100,80808375309834900,5865.269356682717,8.46e+16,H1,8,573.1090447506022,D2,pocol_disjoint_nonce,0,200,8,95
100,114511848350051500,6677.410125122799,8.46e+16,H1,9,812.140768440082,D2,pocol_disjoint_nonce,0,200,9,58
100,65045923853038600,7138.728734009598,8.46e+16,H1,10,461.31860888679876,D2,pocol_disjoint_nonce,0,200,10,75
100,5378797766097500,7176.876235896814,8.46e+16,H1,11,38.147501887216094,D2,pocol_disjoint_nonce,0,200,11,62
100,963042431941300,7183.70632406661,8.46e+16,H1,12,6.830088169795999,D2,pocol_disjoint_nonce,0,200,12,80
100,20033096019296500,9725.785019238925,8.46e+16,H1,13,2542.078695172315,D2,pocol_disjoint_nonce,0,200,15,64
