N,accepted_blocks,accumulated_work_per_block,active_fraction,active_miner_seconds,actual_hashes_per_accepted_block,aggregate_hashrate_hps,co2_kg,difficulty_mode,domain_M_total,duplicate_header_attempts,energy_per_accepted_block_kwh,energy_per_tx_kwh,final_difficulty,first_block_time_s,hardware,idle_fraction,idle_miner_seconds,initial_difficulty,mean_block_interval_s,mean_difficulty,mean_target_str,median_block_interval_s,n_templates,per_miner_hashrate_hps,protocol,seed,share_exhaust_time_s,sim_seconds,sleep_miner_seconds,t_target,template_exhaustion_rate,template_exhaustions,throughput_tx_per_s,total_attempts,total_energy_j,total_energy_kwh,total_hashes,unique_header_attempts
100,0,8.46e+16,1.0,1020000.0,nan,141000000000000.0,3.82221625,D2_HASHRATE_SCALED_DIFFICULTY,169200000000000000,1423818000000000000,nan,nan,8.46e+16,nan,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,0.0,0.0,8.46e+16,nan,8.46e+16,1368700818407992887940398291139337930539535525082852034084864,nan,1,1410000000000.0,common_template_duplicate_baseline,0,1200.0,10200.0,0.0,600.0,0.0,0,0.0,1438200000000000000,30921300.0,8.58925,1.4382e+18,14382000000000000
100,0,8.46e+16,1.0,1020000.0,nan,141000000000000.0,3.82221625,D2_HASHRATE_SCALED_DIFFICULTY,169200000000000000,1423818000000000000,nan,nan,8.46e+16,nan,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,0.0,0.0,8.46e+16,nan,8.46e+16,1368700818407992887940398291139337930539535525082852034084864,nan,1,1410000000000.0,common_template_duplicate_baseline,1,1200.0,10200.0,0.0,600.0,0.0,0,0.0,1438200000000000000,30921300.0,8.58925,1.4382e+18,14382000000000000
100,1,8.46e+16,1.0,1020000.0,1.4382e+18,141000000000000.0,3.82221625,D2_HASHRATE_SCALED_DIFFICULTY,169200000000000000,1423818000000000000,8.58925,0.004294625,8.46e+16,2216.1881781462453,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,0.0,0.0,8.46e+16,nan,8.46e+16,1368700818407992887940398291139337930539535525082852034084864,nan,2,1410000000000.0,common_template_duplicate_baseline,5,1200.0,10200.0,0.0,600.0,0.0,0,0.19607843137254902,1438200000000000000,30921300.0,8.58925,1.4382e+18,14382000000000000
100,0,8.46e+16,1.0,1020000.0,nan,141000000000000.0,3.82221625,D2_HASHRATE_SCALED_DIFFICULTY,169200000000000000,1423818000000000000,nan,nan,8.46e+16,nan,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,0.0,0.0,8.46e+16,nan,8.46e+16,1368700818407992887940398291139337930539535525082852034084864,nan,1,1410000000000.0,common_template_duplicate_baseline,3,1200.0,10200.0,0.0,600.0,0.0,0,0.0,1438200000000000000,30921300.0,8.58925,1.4382e+18,14382000000000000
100,0,8.46e+16,1.0,1020000.0,nan,141000000000000.0,3.82221625,D2_HASHRATE_SCALED_DIFFICULTY,169200000000000000,1423818000000000000,nan,nan,8.46e+16,nan,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,0.0,0.0,8.46e+16,nan,8.46e+16,1368700818407992887940398291139337930539535525082852034084864,nan,1,1410000000000.0,common_template_duplicate_baseline,4,1200.0,10200.0,0.0,600.0,0.0,0,0.0,1438200000000000000,30921300.0,8.58925,1.4382e+18,14382000000000000
100,0,8.46e+16,1.0,1020000.0,nan,141000000000000.0,3.82221625,D2_HASHRATE_SCALED_DIFFICULTY,169200000000000000,1423818000000000000,nan,nan,8.46e+16,nan,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,0.0,0.0,8.46e+16,nan,8.46e+16,1368700818407992887940398291139337930539535525082852034084864,nan,1,1410000000000.0,common_template_duplicate_baseline,7,1200.0,10200.0,0.0,600.0,0.0,0,0.0,1438200000000000000,30921300.0,8.58925,1.4382e+18,14382000000000000
100,0,8.46e+16,1.0,1020000.0,nan,141000000000000.0,3.82221625,D2_HASHRATE_SCALED_DIFFICULTY,169200000000000000,1423818000000000000,nan,nan,8.46e+16,nan,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,0.0,0.0,8.46e+16,nan,8.46e+16,1368700818407992887940398291139337930539535525082852034084864,nan,1,1410000000000.0,common_template_duplicate_baseline,10,1200.0,10200.0,0.0,600.0,0.0,0,0.0,1438200000000000000,30921300.0,8.58925,1.4382e+18,14382000000000000
100,0,8.46e+16,1.0,1020000.0,nan,141000000000000.0,3.82221625,D2_HASHRATE_SCALED_DIFFICULTY,169200000000000000,1423818000000000000,nan,nan,8.46e+16,nan,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,0.0,0.0,8.46e+16,nan,8.46e+16,1368700818407992887940398291139337930539535525082852034084864,nan,1,1410000000000.0,common_template_duplicate_baseline,2,1200.0,10200.0,0.0,600.0,0.0,0,0.0,1438200000000000000,30921300.0,8.58925,1.4382e+18,14382000000000000
100,0,8.46e+16,1.0,1020000.0,nan,141000000000000.0,3.82221625,D2_HASHRATE_SCALED_DIFFICULTY,169200000000000000,1423818000000000000,nan,nan,8.46e+16,nan,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,0.0,0.0,8.46e+16,nan,8.46e+16,1368700818407992887940398291139337930539535525082852034084864,nan,1,1410000000000.0,common_template_duplicate_baseline,11,1200.0,10200.0,0.0,600.0,0.0,0,0.0,1438200000000000000,30921300.0,8.58925,1.4382e+18,14382000000000000
100,0,8.46e+16,1.0,1020000.0,nan,141000000000000.0,3.82221625,D2_HASHRATE_SCALED_DIFFICULTY,169200000000000000,1423818000000000000,nan,nan,8.46e+16,nan,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,0.0,0.0,8.46e+16,nan,8.46e+16,1368700818407992887940398291139337930539535525082852034084864,nan,1,1410000000000.0,common_template_duplicate_baseline,6,1200.0,10200.0,0.0,600.0,0.0,0,0.0,1438200000000000000,30921300.0,8.58925,1.4382e+18,14382000000000000
100,0,8.46e+16,1.0,1020000.0,nan,141000000000000.0,3.82221625,D2_HASHRATE_SCALED_DIFFICULTY,169200000000000000,1423818000000000000,nan,nan,8.46e+16,nan,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,0.0,0.0,8.46e+16,nan,8.46e+16,1368700818407992887940398291139337930539535525082852034084864,nan,1,1410000000000.0,common_template_duplicate_baseline,8,1200.0,10200.0,0.0,600.0,0.0,0,0.0,1438200000000000000,30921300.0,8.58925,1.4382e+18,14382000000000000
