N,accepted_blocks__boot_ci_high,accepted_blocks__boot_ci_low,accepted_blocks__max,accepted_blocks__mean,accepted_blocks__median,accepted_blocks__min,accepted_blocks__n,accepted_blocks__p2_5,accepted_blocks__p97_5,accepted_blocks__std,accumulated_work_per_block__boot_ci_high,accumulated_work_per_block__boot_ci_low,accumulated_work_per_block__max,accumulated_work_per_block__mean,accumulated_work_per_block__median,accumulated_work_per_block__min,accumulated_work_per_block__n,accumulated_work_per_block__p2_5,accumulated_work_per_block__p97_5,accumulated_work_per_block__std,active_fraction__boot_ci_high,active_fraction__boot_ci_low,active_fraction__max,active_fraction__mean,active_fraction__median,active_fraction__min,active_fraction__n,active_fraction__p2_5,active_fraction__p97_5,active_fraction__std,actual_hashes_per_accepted_block__boot_ci_high,actual_hashes_per_accepted_block__boot_ci_low,actual_hashes_per_accepted_block__max,actual_hashes_per_accepted_block__mean,actual_hashes_per_accepted_block__median,actual_hashes_per_accepted_block__min,actual_hashes_per_accepted_block__n,actual_hashes_per_accepted_block__p2_5,actual_hashes_per_accepted_block__p97_5,actual_hashes_per_accepted_block__std,aggregate_hashrate_hps,difficulty_mode,difficulty_ratio_vs_N1,duplicate_header_attempts__boot_ci_high,duplicate_header_attempts__boot_ci_low,duplicate_header_attempts__max,duplicate_header_attempts__mean,duplicate_header_attempts__median,duplicate_header_attempts__min,duplicate_header_attempts__n,duplicate_header_attempts__p2_5,duplicate_header_attempts__p97_5,duplicate_header_attempts__std,energy_per_accepted_block_kwh__boot_ci_high,energy_per_accepted_block_kwh__boot_ci_low,energy_per_accepted_block_kwh__max,energy_per_accepted_block_kwh__mean,energy_per_accepted_block_kwh__median,energy_per_accepted_block_kwh__min,energy_per_accepted_block_kwh__n,energy_per_accepted_block_kwh__p2_5,energy_per_accepted_block_kwh__p97_5,energy_per_accepted_block_kwh__std,energy_per_tx_kwh__boot_ci_high,energy_per_tx_kwh__boot_ci_low,energy_per_tx_kwh__max,energy_per_tx_kwh__mean,energy_per_tx_kwh__median,energy_per_tx_kwh__min,energy_per_tx_kwh__n,energy_per_tx_kwh__p2_5,energy_per_tx_kwh__p97_5,energy_per_tx_kwh__std,hardware,idle_fraction__boot_ci_high,idle_fraction__boot_ci_low,idle_fraction__max,idle_fraction__mean,idle_fraction__median,idle_fraction__min,idle_fraction__n,idle_fraction__p2_5,idle_fraction__p97_5,idle_fraction__std,mean_block_interval_s__boot_ci_high,mean_block_interval_s__boot_ci_low,mean_block_interval_s__max,mean_block_interval_s__mean,mean_block_interval_s__median,mean_block_interval_s__min,mean_block_interval_s__n,mean_block_interval_s__p2_5,mean_block_interval_s__p97_5,mean_block_interval_s__std,mean_difficulty__boot_ci_high,mean_difficulty__boot_ci_low,mean_difficulty__max,mean_difficulty__mean,mean_difficulty__median,mean_difficulty__min,mean_difficulty__n,mean_difficulty__p2_5,mean_difficulty__p97_5,mean_difficulty__std,n_seeds,protocol,template_exhaustion_rate__boot_ci_high,template_exhaustion_rate__boot_ci_low,template_exhaustion_rate__max,template_exhaustion_rate__mean,template_exhaustion_rate__median,template_exhaustion_rate__min,template_exhaustion_rate__n,template_exhaustion_rate__p2_5,template_exhaustion_rate__p97_5,template_exhaustion_rate__std,total_energy_kwh__boot_ci_high,total_energy_kwh__boot_ci_low,total_energy_kwh__max,total_energy_kwh__mean,total_energy_kwh__median,total_energy_kwh__min,total_energy_kwh__n,total_energy_kwh__p2_5,total_energy_kwh__p97_5,total_energy_kwh__std,total_hashes__boot_ci_high,total_hashes__boot_ci_low,total_hashes__max,total_hashes__mean,total_hashes__median,total_hashes__min,total_hashes__n,total_hashes__p2_5,total_hashes__p97_5,total_hashes__std,unique_header_attempts__boot_ci_high,unique_header_attempts__boot_ci_low,unique_header_attempts__max,unique_header_attempts__mean,unique_header_attempts__median,unique_header_attempts__min,unique_header_attempts__n,unique_header_attempts__p2_5,unique_header_attempts__p97_5,unique_header_attempts__std
100,0.22,0.09,1.0,0.15,0.0,0.0,100,0.0,1.0,0.3588702812826367,8.46e+16,8.46e+16,8.46e+16,8.46e+16,8.46e+16,8.46e+16,100,8.46e+16,8.46e+16,0.0,1.0,1.0,1.0,1.0,1.0,1.0,100,1.0,1.0,0.0,1.4382e+18,1.4382e+18,1.4382000000000003e+18,1.4382e+18,1.4382e+18,1.4382e+18,15,1.4382e+18,1.4382000000000003e+18,68.41887792958065,141000000000000.0,D2_HASHRATE_SCALED_DIFFICULTY,1.0,1.423818e+18,1.4238179999999997e+18,1.4238180000000003e+18,1.4238179999999997e+18,1.423818e+18,1.423818e+18,100,1.423818e+18,1.423818e+18,261.120507030603,8.589250000000002,8.589249999999996,8.589250000000002,8.589249999999998,8.58925,8.58925,15,8.58925,8.589250000000002,2.325797050801189e-15,0.004294625000000001,0.004294624999999998,0.004294625000000001,0.004294624999999999,0.004294625,0.004294625,15,0.004294625,0.004294625000000001,1.135643091211518e-18,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,8.46e+16,8.46e+16,8.46e+16,8.46e+16,8.46e+16,8.46e+16,100,8.46e+16,8.46e+16,0.0,100,common_template_duplicate_baseline,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,8.589249999999998,8.589249999999998,8.589250000000002,8.589249999999998,8.58925,8.58925,100,8.58925,8.589250000000002,1.8639139732727e-15,1.4382e+18,1.4382e+18,1.4382000000000003e+18,1.4382e+18,1.4382e+18,1.4382e+18,100,1.4382e+18,1.4382e+18,25.72896807063583,1.4382e+16,1.4382e+16,1.4382000000000002e+16,1.4382e+16,1.4382e+16,1.4382e+16,100,1.4382e+16,1.4382e+16,0.20100756305184242
200,0.15,0.04,1.0,0.09,0.0,0.0,100,0.0,1.0,0.2876234912646614,8.46e+16,8.46e+16,8.46e+16,8.46e+16,8.46e+16,8.46e+16,100,8.46e+16,8.46e+16,0.0,1.0,1.0,1.0,1.0,1.0,1.0,100,1.0,1.0,0.0,1.4382e+18,1.4382e+18,1.4382e+18,1.4382e+18,1.4382e+18,1.4381999999999997e+18,9,1.4381999999999997e+18,1.4382e+18,90.50966799187809,141000000000000.0,D2_HASHRATE_SCALED_DIFFICULTY,1.0,1.4310089999999997e+18,1.4310089999999997e+18,1.431009e+18,1.4310089999999997e+18,1.431009e+18,1.4310089999999997e+18,100,1.431009e+18,1.431009e+18,254.70378913950262,8.58925,8.58925,8.589250000000002,8.58925,8.58925,8.58925,9,8.58925,8.589250000000002,8.881784197001252e-16,0.004294625,0.004294625,0.004294625000000001,0.004294625,0.004294625,0.004294625,9,0.004294625,0.004294625000000001,4.336808689942018e-19,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,8.46e+16,8.46e+16,8.46e+16,8.46e+16,8.46e+16,8.46e+16,100,8.46e+16,8.46e+16,0.0,100,common_template_duplicate_baseline,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,8.589249999999998,8.589249999999998,8.589250000000002,8.589249999999998,8.58925,8.58925,100,8.58925,8.58925,1.83808481743854e-15,1.4382e+18,1.4382e+18,1.4382e+18,1.4382e+18,1.4382e+18,1.4381999999999997e+18,100,1.4382e+18,1.4382e+18,25.72896807063583,7191000000000000.0,7191000000000000.0,7191000000000000.0,7191000000000000.0,7191000000000000.0,7190999999999999.0,100,7191000000000000.0,7191000000000000.0,0.1421338109037403
300,0.08,0.01,1.0,0.04,0.0,0.0,100,0.0,1.0,0.19694638556693236,8.46e+16,8.46e+16,8.46e+16,8.46e+16,8.46e+16,8.46e+16,100,8.46e+16,8.46e+16,0.0,1.0,1.0,1.0,1.0,1.0,1.0,100,1.0,1.0,0.0,1.4382e+18,1.4382e+18,1.4382e+18,1.4382e+18,1.4382e+18,1.4382e+18,4,1.4382e+18,1.4382e+18,0.0,141000000000000.0,D2_HASHRATE_SCALED_DIFFICULTY,1.0,1.4334060000000003e+18,1.4334060000000003e+18,1.433406e+18,1.4334060000000003e+18,1.433406e+18,1.433406e+18,100,1.433406e+18,1.433406e+18,257.2896807063583,8.589250000000002,8.58925,8.589250000000002,8.58925,8.58925,8.58925,4,8.58925,8.589250000000002,1.0255800994045674e-15,0.004294625000000001,0.004294625,0.004294625000000001,0.004294625,0.004294625,0.004294625,4,0.004294625,0.004294625000000001,5.007715329123864e-19,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,8.46e+16,8.46e+16,8.46e+16,8.46e+16,8.46e+16,8.46e+16,100,8.46e+16,8.46e+16,0.0,100,common_template_duplicate_baseline,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,8.589249999999998,8.589249999999998,8.589250000000002,8.589249999999998,8.58925,8.58925,100,8.58925,8.58925,1.8118874944198157e-15,1.4382e+18,1.4382e+18,1.4382e+18,1.4382e+18,1.4382e+18,1.4382e+18,100,1.4382e+18,1.4382e+18,0.0,4794000000000000.0,4794000000000000.0,4794000000000000.0,4794000000000000.0,4794000000000000.0,4794000000000000.0,100,4794000000000000.0,4794000000000000.0,0.0
400,0.07,0.0,1.0,0.03,0.0,0.0,100,0.0,0.5249999999999915,0.1714466079977653,8.46e+16,8.46e+16,8.46e+16,8.46e+16,8.46e+16,8.46e+16,100,8.46e+16,8.46e+16,0.0,1.0,1.0,1.0,1.0,1.0,1.0,100,1.0,1.0,0.0,1.4382e+18,1.4382e+18,1.4382e+18,1.4382e+18,1.4382e+18,1.4382e+18,3,1.4382e+18,1.4382e+18,0.0,141000000000000.0,D2_HASHRATE_SCALED_DIFFICULTY,1.0,1.4346045e+18,1.4346045e+18,1.4346045e+18,1.4346045e+18,1.4346045e+18,1.4346045e+18,100,1.4346045e+18,1.4346045e+18,0.0,8.589250000000002,8.58925,8.589250000000002,8.58925,8.58925,8.58925,3,8.58925,8.589250000000002,1.2560739669470201e-15,0.004294625000000001,0.004294625,0.004294625000000001,0.004294625,0.004294625,0.004294625,3,0.004294625,0.004294625000000001,6.133173666733497e-19,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,8.46e+16,8.46e+16,8.46e+16,8.46e+16,8.46e+16,8.46e+16,100,8.46e+16,8.46e+16,0.0,100,common_template_duplicate_baseline,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,8.589249999999998,8.589249999999998,8.589250000000002,8.589249999999998,8.58925,8.58925,100,8.58925,8.58925,1.8118874944198157e-15,1.4382e+18,1.4382e+18,1.4382e+18,1.4382e+18,1.4382e+18,1.4382e+18,100,1.4382e+18,1.4382e+18,0.0,3595500000000000.0,3595500000000000.0,3595500000000000.0,3595500000000000.0,3595500000000000.0,3595500000000000.0,100,3595500000000000.0,3595500000000000.0,0.0
500,0.05,0.0,1.0,0.02,0.0,0.0,100,0.0,0.0,0.14070529413628968,8.46e+16,8.46e+16,8.46e+16,8.46e+16,8.46e+16,8.46e+16,100,8.46e+16,8.46e+16,0.0,1.0,1.0,1.0,1.0,1.0,1.0,100,1.0,1.0,0.0,1.4382e+18,1.4382e+18,1.4382e+18,1.4382e+18,1.4382e+18,1.4382e+18,2,1.4382e+18,1.4382e+18,0.0,141000000000000.0,D2_HASHRATE_SCALED_DIFFICULTY,1.0,1.4353235999999997e+18,1.4353235999999997e+18,1.4353236e+18,1.4353235999999997e+18,1.4353236e+18,1.4353236e+18,100,1.4353236e+18,1.4353236e+18,257.2896807063583,8.589250000000074,8.589250000000074,8.589250000000074,8.589250000000074,8.589250000000074,8.589250000000074,2,8.589250000000074,8.589250000000074,0.0,0.004294625000000037,0.004294625000000037,0.004294625000000037,0.004294625000000037,0.004294625000000037,0.004294625000000037,2,0.004294625000000037,0.004294625000000037,0.0,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,8.46e+16,8.46e+16,8.46e+16,8.46e+16,8.46e+16,8.46e+16,100,8.46e+16,8.46e+16,0.0,100,common_template_duplicate_baseline,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,8.589250000000078,8.589250000000078,8.589250000000074,8.589250000000078,8.589250000000074,8.589250000000074,100,8.589250000000074,8.589250000000074,3.570611593983174e-15,1.4382e+18,1.4382e+18,1.4382e+18,1.4382e+18,1.4382e+18,1.4382e+18,100,1.4382e+18,1.4382e+18,0.0,2876400000000000.0,2876400000000000.0,2876400000000000.0,2876400000000000.0,2876400000000000.0,2876400000000000.0,100,2876400000000000.0,2876400000000000.0,0.0
100,17.750249999999998,16.11975,29.0,16.9,17.0,9.0,100,11.0,25.0,4.098533859562441,8.46e+16,8.46e+16,8.46e+16,8.46e+16,8.46e+16,8.46e+16,100,8.46e+16,8.46e+16,0.0,1.0,1.0,1.0,1.0,1.0,1.0,100,1.0,1.0,0.0,9.458201879679853e+16,8.571351041895373e+16,1.5979999999999997e+17,9.018045730793851e+16,8.460000000000002e+16,4.9593103448275864e+16,100,5.752799999999999e+16,1.3074545454545458e+17,2.2177296883522424e+16,141000000000000.0,D2_HASHRATE_SCALED_DIFFICULTY,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.5648648344808802,0.5119001316687515,0.9543611111111111,0.5385777311446328,0.5052500000000001,0.2961810344827586,100,0.34357,0.7808409090909092,0.13244774527659225,0.0002824324172404401,0.0002559500658343757,0.00047718055555555556,0.00026928886557231636,0.00025262500000000003,0.0001480905172413793,100,0.000171785,0.0003904204545454546,6.622387263829614e-05,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,627.6909065415648,572.1305370928513,1013.3531576952087,599.7907924118617,576.3969328026855,342.8592828312939,100,369.92182905293066,905.2404600464678,141.54902365152014,8.46e+16,8.46e+16,8.46e+16,8.46e+16,8.46e+16,8.46e+16,100,8.46e+16,8.46e+16,0.0,100,independent_header_pow,0.14756313814295113,0.1199457038885634,0.3333333333333333,0.1338357568097108,0.13043478260869565,0.0,100,0.015322580645161293,0.28635620915032667,0.07198977146076256,8.58925,8.589249999999998,8.589250000000002,8.58925,8.58925,8.58925,100,8.58925,8.589250000000002,7.574411013266429e-16,1.4382e+18,1.4382e+18,1.4382000000000003e+18,1.4382e+18,1.4382e+18,1.4381999999999997e+18,100,1.4381999999999997e+18,1.4382000000000003e+18,202.590097178385,1.4382e+18,1.4382e+18,1.4382000000000005e+18,1.4382e+18,1.4382e+18,1.4381999999999995e+18,100,1.4381999999999995e+18,1.4382000000000003e+18,189.06853014425508
200,17.820249999999998,16.20975,29.0,17.02,17.0,9.0,100,10.0,26.0,4.116927362620199,8.46e+16,8.46e+16,8.46e+16,8.46e+16,8.46e+16,8.46e+16,100,8.46e+16,8.46e+16,0.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,100,0.9999999999999999,1.0,5.4663602968277986e-17,9.464819403424163e+16,8.535956957755758e+16,1.598e+17,8.984633809906576e+16,8.46e+16,4.959310344827587e+16,100,5.531538461538461e+16,1.4382e+17,2.3596780736144276e+16,141000000000000.0,D2_HASHRATE_SCALED_DIFFICULTY,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.5652600477044986,0.5097863183104133,0.9543611111111113,0.5365822969805317,0.50525,0.2961810344827586,100,0.33035576923076926,0.8589249999999999,0.1409252182853061,0.0002826300238522493,0.00025489315915520666,0.00047718055555555567,0.00026829114849026586,0.000252625,0.0001480905172413793,100,0.00016517788461538463,0.0004294625,7.046260914265306e-05,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,5.884965717354241e-17,2.853316711444481e-17,1.7833229446528004e-16,4.2799750671667214e-17,0.0,0.0,100,0.0,1.7833229446528004e-16,7.65464082001691e-17,630.7908552984578,573.3388994851488,1064.7213703585849,601.5893095358762,582.4822783614737,339.41465871431814,100,381.88156905693603,950.9796160104783,149.87420047492867,8.46e+16,8.46e+16,8.46e+16,8.46e+16,8.46e+16,8.46e+16,100,8.46e+16,8.46e+16,0.0,100,independent_header_pow,0.14231091617929673,0.11292902154578169,0.3125,0.12721062181662532,0.1111111111111111,0.0,100,0.0,0.2766666666666665,0.07596345618069567,8.58925,8.589249999999998,8.589250000000002,8.58925,8.58925,8.58925,100,8.58925,8.589250000000002,8.926528984957934e-16,1.4382e+18,1.4382e+18,1.4382000000000003e+18,1.4382e+18,1.4382e+18,1.4381999999999997e+18,100,1.4381999999999997e+18,1.4382000000000003e+18,202.590097178385,1.4382e+18,1.4382e+18,1.4382000000000005e+18,1.4382e+18,1.4382e+18,1.4381999999999995e+18,100,1.4381999999999995e+18,1.4382000000000003e+18,258.5729289696808
300,17.41,15.77,30.0,16.59,16.0,8.0,100,9.475,25.049999999999983,4.077766768487601,8.46e+16,8.46e+16,8.46e+16,8.46e+16,8.46e+16,8.46e+16,100,8.46e+16,8.46e+16,0.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,100,0.9999999999999999,1.0,8.57074626950444e-17,9.7340529273654e+16,8.777385154923165e+16,1.79775e+17,9.22752201815347e+16,8.988749999999998e+16,4.794e+16,100,5.750495192307691e+16,1.5220949999999984e+17,2.4441460007249664e+16,141000000000000.0,D2_HASHRATE_SCALED_DIFFICULTY,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.581339272050989,0.5242049467523557,1.07365625,0.5510881205286102,0.536828125,0.2863083333333334,100,0.3434323517628205,0.9090289583333325,0.14596983059885216,0.0002906696360254945,0.0002621024733761779,0.000536828125,0.000275544060264305,0.0002684140625,0.0001431541666666667,100,0.00017171617588141025,0.00045451447916666624,7.298491529942607e-05,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,1.2126596023639041e-16,8.738282428798724e-17,1.7833229446528004e-16,1.0521605373451522e-16,1.7833229446528004e-16,0.0,100,0.0,1.7833229446528004e-16,8.815162736824889e-17,638.8824420835648,579.8654978932242,1091.5544123403392,608.0842902464194,588.824388369583,314.5381618558455,100,383.77852156464365,1046.0113923993092,154.01128094856932,8.46e+16,8.46e+16,8.46e+16,8.46e+16,8.46e+16,8.46e+16,100,8.46e+16,8.46e+16,0.0,100,independent_header_pow,0.14939586703039856,0.11961316304663651,0.35714285714285715,0.13401071121113522,0.13333333333333333,0.0,100,0.0,0.3234374999999998,0.07506864123343286,8.58925,8.589249999999998,8.589250000000002,8.589249999999998,8.58925,8.58925,100,8.58925,8.589250000000002,2.2793258577259146e-15,1.4382e+18,1.4382e+18,1.4382000000000003e+18,1.4382e+18,1.4381999999999997e+18,1.4381999999999997e+18,100,1.4381999999999997e+18,1.4382e+18,185.53422728690654,1.4382e+18,1.4382e+18,1.4382000000000003e+18,1.4382e+18,1.4381999999999997e+18,1.4381999999999995e+18,100,1.4381999999999995e+18,1.4382000000000003e+18,210.60068011439674
400,17.560249999999996,16.059749999999998,30.0,16.8,16.0,9.0,100,10.475,25.0,3.892494720807615,8.46e+16,8.46e+16,8.46e+16,8.46e+16,8.46e+16,8.46e+16,100,8.46e+16,8.46e+16,0.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,100,0.9999999999999999,1.0,8.78594493939418e-17,9.457168843089403e+16,8.615215009444386e+16,1.598e+17,9.02559720523641e+16,8.988749999999998e+16,4.794e+16,100,5.752799999999999e+16,1.376095909090908e+17,2.140404722745529e+16,141000000000000.0,D2_HASHRATE_SCALED_DIFFICULTY,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.5648031392400616,0.5145197852862621,0.9543611111111111,0.5390287219793969,0.536828125,0.28630833333333333,100,0.34357,0.8218350568181811,0.12782972649730243,0.00028240156962003077,0.00025725989264313104,0.00047718055555555556,0.0002695143609896984,0.0002684140625,0.00014315416666666665,100,0.000171785,0.0004109175284090906,6.39148632486512e-05,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,1.3731586673826562e-16,9.808276195590403e-17,3.566645889305601e-16,1.1769931434708482e-16,1.7833229446528004e-16,0.0,100,0.0,3.566645889305601e-16,9.888598049295278e-17,623.2176977959875,568.9107093699437,1154.1619919292348,595.1772310058244,568.6600912625464,310.0091471245372,100,372.4748260562042,874.9452774479593,140.31110864266586,8.46e+16,8.46e+16,8.46e+16,8.46e+16,8.46e+16,8.46e+16,100,8.46e+16,8.46e+16,0.0,100,independent_header_pow,0.14023471122741454,0.11558625018427197,0.3333333333333333,0.12785302084546785,0.125,0.0,100,0.03919230769230769,0.25874999999999987,0.06444372166554241,8.58925,8.589249999999998,8.589250000000002,8.589249999999998,8.58925,8.58925,100,8.58925,8.589250000000002,2.0355617960168377e-15,1.4382e+18,1.4382e+18,1.4382000000000003e+18,1.4382e+18,1.4381999999999997e+18,1.4381999999999997e+18,100,1.4381999999999997e+18,1.4382000000000003e+18,209.02312471749786,1.4382e+18,1.4382e+18,1.4382000000000005e+18,1.4382e+18,1.4382e+18,1.4381999999999992e+18,100,1.4381999999999995e+18,1.4382000000000003e+18,342.30165679181897
500,18.1,16.55,27.0,17.32,17.0,8.0,100,9.425,25.52499999999999,3.9996969582176796,8.46e+16,8.46e+16,8.46e+16,8.46e+16,8.46e+16,8.46e+16,100,8.46e+16,8.46e+16,0.0,1.0,1.0,1.0,1.0,0.9999999999999998,0.9999999999999998,100,0.9999999999999998,1.0,1.840251093755958e-16,9.306988832369518e+16,8.358440518199504e+16,1.79775e+17,8.817202298693677e+16,8.459999999999998e+16,5.326666666666666e+16,100,5.636637692307692e+16,1.5648596590909046e+17,2.4092608166840228e+16,141000000000000.0,D2_HASHRATE_SCALED_DIFFICULTY,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.5558340552665176,0.4991846420591415,1.0736562500000093,0.526582915060877,0.5052500000000044,0.3181203703703731,100,0.33663252884615674,0.9345689630681873,0.14388640988529702,0.00027791702763325883,0.0002495923210295708,0.0005368281250000046,0.00026329145753043853,0.0002526250000000022,0.00015906018518518656,100,0.00016831626442307838,0.0004672844815340936,7.194320494264852e-05,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,1.8546558624389117e-16,1.3374922084896002e-16,3.566645889305601e-16,1.5871574207409922e-16,1.7833229446528004e-16,0.0,100,0.0,3.566645889305601e-16,1.2898385583102116e-16,616.3110264382481,555.02876444608,1219.73375200257,584.3185941031098,551.3951451148351,328.3062856118992,100,365.41900094371726,917.9122521074637,153.53416316731,8.46e+16,8.46e+16,8.46e+16,8.46e+16,8.46e+16,8.46e+16,100,8.46e+16,8.46e+16,0.0,100,independent_header_pow,0.1317289416858474,0.10209193597884943,0.35714285714285715,0.11676105048040705,0.1111111111111111,0.0,100,0.0,0.28028846153846104,0.07592724666377379,8.589250000000078,8.589250000000076,8.589250000000074,8.589250000000076,8.589250000000074,8.589250000000073,100,8.589250000000073,8.589250000000074,1.9638363766907457e-15,1.4382e+18,1.4382e+18,1.4382000000000003e+18,1.4382e+18,1.4382e+18,1.4381999999999997e+18,100,1.4381999999999997e+18,1.4382000000000003e+18,187.3097148920186,1.4382e+18,1.4382e+18,1.4382e+18,1.4382e+18,1.4382e+18,1.4381999999999995e+18,100,1.4381999999999995e+18,1.4382e+18,356.5110393972692
