mode,N,seed,M,p_success,total_attempts,total_energy,completion_time,solution_found,winner_id,duplicate_header_evaluations
duplicate_full_domain,100,0,4294967296,4.656612873077393e-10,36314611100,36314611100.0,363146111.0,True,0,35951464989
disjoint_partition,100,0,4294967296,4.656612873077393e-10,1954872700,1954872700.0,19548727.0,True,8,0
independent_candidate_headers,100,0,4294967296,4.656612873077393e-10,805130300,805130300.0,8051303.0,True,94,0
duplicate_full_domain,100,1,4294967296,4.656612873077393e-10,429496729600,429496729600.0,4294967296.0,False,,425201762304
disjoint_partition,100,1,4294967296,4.656612873077393e-10,4294967296,4294967296.0,42949673.0,False,,0
independent_candidate_headers,100,1,4294967296,4.656612873077393e-10,1607290000,1607290000.0,16072900.0,True,40,0
duplicate_full_domain,100,2,4294967296,4.656612873077393e-10,9655412400,9655412400.0,96554124.0,True,0,9558858276
disjoint_partition,100,2,4294967296,4.656612873077393e-10,1065477800,1065477800.0,10654778.0,True,2,0
independent_candidate_headers,100,2,4294967296,4.656612873077393e-10,282887900,282887900.0,2828879.0,True,33,0
duplicate_full_domain,100,3,4294967296,4.656612873077393e-10,308299891200,308299891200.0,3082998912.0,True,0,305216892288
disjoint_partition,100,3,4294967296,4.656612873077393e-10,3357212900,3357212900.0,33572129.0,True,71,0
independent_candidate_headers,100,3,4294967296,4.656612873077393e-10,320440500,320440500.0,3204405.0,True,83,0
duplicate_full_domain,100,4,4294967296,4.656612873077393e-10,310036450100,310036450100.0,3100364501.0,True,0,306936085599
disjoint_partition,100,4,4294967296,4.656612873077393e-10,798804500,798804500.0,7988045.0,True,72,0
independent_candidate_headers,100,4,4294967296,4.656612873077393e-10,585153900,585153900.0,5851539.0,True,54,0
duplicate_full_domain,100,5,4294967296,4.656612873077393e-10,101654696000,101654696000.0,1016546960.0,True,0,100638149040
disjoint_partition,100,5,4294967296,4.656612873077393e-10,2870448100,2870448100.0,28704481.0,True,23,0
independent_candidate_headers,100,5,4294967296,4.656612873077393e-10,704064200,704064200.0,7040642.0,True,97,0
duplicate_full_domain,100,6,4294967296,4.656612873077393e-10,49714953500,49714953500.0,497149535.0,True,0,49217803965
disjoint_partition,100,6,4294967296,4.656612873077393e-10,2470313200,2470313200.0,24703132.0,True,11,0
independent_candidate_headers,100,6,4294967296,4.656612873077393e-10,26072900,26072900.0,260729.0,True,71,0
duplicate_full_domain,100,7,4294967296,4.656612873077393e-10,242134805900,242134805900.0,2421348059.0,True,0,239713457841
disjoint_partition,100,7,4294967296,4.656612873077393e-10,1616637100,1616637100.0,16166371.0,True,56,0
independent_candidate_headers,100,7,4294967296,4.656612873077393e-10,1487777500,1487777500.0,14877775.0,True,73,0
duplicate_full_domain,100,8,4294967296,4.656612873077393e-10,318708450900,318708450900.0,3187084509.0,True,0,315521366391
disjoint_partition,100,8,4294967296,4.656612873077393e-10,880870700,880870700.0,8808707.0,True,74,0
independent_candidate_headers,100,8,4294967296,4.656612873077393e-10,187226400,187226400.0,1872264.0,True,6,0
duplicate_full_domain,100,9,4294967296,4.656612873077393e-10,165358889500,165358889500.0,1653588895.0,True,0,163705300605
disjoint_partition,100,9,4294967296,4.656612873077393e-10,2150132100,2150132100.0,21501321.0,True,38,0
independent_candidate_headers,100,9,4294967296,4.656612873077393e-10,437615200,437615200.0,4376152.0,True,70,0
duplicate_full_domain,100,10,4294967296,4.656612873077393e-10,120186337900,120186337900.0,1201863379.0,True,0,118984474521
disjoint_partition,100,10,4294967296,4.656612873077393e-10,4222220800,4222220800.0,42222208.0,True,27,0
independent_candidate_headers,100,10,4294967296,4.656612873077393e-10,740656000,740656000.0,7406560.0,True,12,0
duplicate_full_domain,100,11,4294967296,4.656612873077393e-10,170345646700,170345646700.0,1703456467.0,True,0,168642190233
disjoint_partition,100,11,4294967296,4.656612873077393e-10,2841922000,2841922000.0,28419220.0,True,39,0
independent_candidate_headers,100,11,4294967296,4.656612873077393e-10,503917900,503917900.0,5039179.0,True,36,0
duplicate_full_domain,100,12,4294967296,4.656612873077393e-10,160061559400,160061559400.0,1600615594.0,True,0,158460943806
disjoint_partition,100,12,4294967296,4.656612873077393e-10,1147769300,1147769300.0,11477693.0,True,37,0
independent_candidate_headers,100,12,4294967296,4.656612873077393e-10,323410600,323410600.0,3234106.0,True,99,0
duplicate_full_domain,100,13,4294967296,4.656612873077393e-10,290102370100,290102370100.0,2901023701.0,True,0,287201346399
disjoint_partition,100,13,4294967296,4.656612873077393e-10,2339561000,2339561000.0,23395610.0,True,67,0
