N,mode,n_seeds,attempts_mean,attempts_median,attempts_std,attempts_ci95_low,attempts_ci95_high,attempts_min,attempts_max,energy_mean,energy_ci95_low,energy_ci95_high,completion_time_mean,exhaustion_probability,duplicate_header_evals_mean,paired_cohens_d_attempts_vs_baseline,paired_cohens_d_energy_vs_baseline
100,duplicate_full_domain,30,179616788066.66666,149836723800.0,140140422853.7449,129468181800.66504,229765394332.66827,7596999500.0,429496729600.0,179616788066.66666,129468181800.66504,229765394332.66827,1796167880.6666667,0.1,177820620186.0,nan,nan
100,disjoint_partition,30,2520969769.6,2448512250.0,1288758612.0854146,2059793423.0947552,2982146116.1052446,271176400.0,4294967296.0,2520969769.6,2059793423.0947552,2982146116.1052446,25209697.7,0.1,0.0,-1.2643887898029798,-1.2643887898029798
100,independent_candidate_headers,30,1133508110.0,634900850.0,1235192604.4624257,691500113.1459506,1575516106.8540494,26072900.0,5682820400.0,1133508110.0,691500113.1459506,1575516106.8540494,11335081.1,0.0,0.0,-1.2767432373858216,-1.2767432373858216
200,duplicate_full_domain,30,359233576133.3333,299673447600.0,280280845707.4898,258936363601.33008,459530788665.33655,15193999000.0,858993459200.0,359233576133.3333,258936363601.33008,459530788665.33655,1796167880.6666667,0.1,357437408252.6667,nan,nan
200,disjoint_partition,30,2321789702.9333334,2302314000.0,1446414715.7798913,1804196844.2711544,2839382561.5955124,5289200.0,4294967296.0,2321789702.9333334,1804196844.2711544,2839382561.5955124,11608948.566666666,0.1,0.0,-1.2745060854045822,-1.2745060854045822
200,independent_candidate_headers,30,1260916660.0,806735200.0,1382253014.7337313,766283771.185199,1755549548.814801,52145800.0,5988892600.0,1260916660.0,766283771.185199,1755549548.814801,6304583.3,0.0,0.0,-1.2778471042857003,-1.2778471042857003
300,duplicate_full_domain,30,538850364200.0,449510171400.0,420421268561.23474,388404545401.9951,689296182998.0049,22790998500.0,1288490188800.0,538850364200.0,388404545401.9951,689296182998.0049,1796167880.6666667,0.1,537054196319.3333,nan,nan
300,disjoint_partition,30,2552106679.6,2640996450.0,1257405449.086428,2102149918.382227,3002063440.817773,21402600.0,4294967296.0,2552106679.6,2102149918.382227,3002063440.817773,8507022.3,0.1,0.0,-1.2759020678504587,-1.2759020678504587
300,independent_candidate_headers,30,1434456100.0,950182350.0,1615451438.490969,856374226.968427,2012537973.031573,78218700.0,7635849000.0,1434456100.0,856374226.968427,2012537973.031573,4781520.333333333,0.0,0.0,-1.278629265681169,-1.278629265681169
400,duplicate_full_domain,30,718467152266.6666,599346895200.0,560561691414.9796,517872727202.66016,919061577330.6731,30387998000.0,1717986918400.0,718467152266.6666,517872727202.66016,919061577330.6731,1796167880.6666667,0.1,716670984386.0,nan,nan
400,disjoint_partition,30,2352924516.266667,2531242800.0,1449038865.854021,1834392617.5604331,2871456414.972901,10570800.0,4294967296.0,2352924516.266667,1834392617.5604331,2871456414.972901,5882311.366666666,0.1,0.0,-1.277936548953461,-1.277936548953461
400,independent_candidate_headers,30,1674953880.0,1154308800.0,1756426853.926104,1046424602.4446031,2303483157.555397,104291600.0,6502988000.0,1674953880.0,1046424602.4446031,2303483157.555397,4187384.7,0.0,0.0,-1.2793341557778,-1.2793341557778
500,duplicate_full_domain,30,898083940333.3334,749183619000.0,700702114268.7245,647340909003.3253,1148826971663.3413,37984997500.0,2147483648000.0,898083940333.3334,647340909003.3253,1148826971663.3413,1796167880.6666667,0.1,896287772452.6666,nan,nan
500,disjoint_partition,30,2726401112.9333334,2997538250.0,1233016970.0381305,2285171656.859317,3167630569.00735,109349500.0,4294967296.0,2726401112.9333334,2285171656.859317,3167630569.00735,5452802.266666667,0.1,0.0,-1.2785811795342572,-1.2785811795342572
500,independent_candidate_headers,30,2076995616.6666667,1442886000.0,2182943207.7250094,1295839422.0725336,2858151811.2608,130364500.0,8128735000.0,2076995616.6666667,1295839422.0725336,2858151811.2608,4153991.2333333334,0.0,0.0,-1.2793159178216302,-1.2793159178216302
